apply	function_address	function_name	target_kind	target_name	target_locator	expected_type	expected_source	proposed_type	access_count	field_count	confidence	type_evidence	evidence_sites	reason
0	00757E60	FUN_00757e60	parameter	param_1	Stack[0x4]:4	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredRecordView_00759190_ED2A1782	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredRecordView_00759190_ED2A1782	1	5	existing	{}	00757E60 machine member-pointer dereference 00757E6E | existing generated baseline /SubmarineTitans/Recovered/PointerShapes/RecoveredRecordView_00759190_ED2A1782	script-owned anonymous structure already covers the observed extent and fields
0	00759DD0	FUN_00759dd0	parameter	param_1	Stack[0x4]:4	pointer:/int	DEFAULT		0	0	review	{}		conflicting or invalid access widths
0	00759E00	FUN_00759e00	parameter	param_1	Stack[0x4]:4	pointer:/int	DEFAULT		0	0	review	{}		conflicting or invalid access widths
0	00759E30	FUN_00759e30	parameter	param_1	Stack[0x4]:4	pointer:/undefined4	DEFAULT		0	0	review	{}		conflicting or invalid access widths
0	00759E50	FUN_00759e50	parameter	param_1	Stack[0x4]:4	pointer:/undefined4	DEFAULT		0	0	review	{}		conflicting or invalid access widths
0	00759E70	FUN_00759e70	parameter	param_1	Stack[0x4]:4	/int	DEFAULT		0	0	review	{}		conflicting or invalid access widths
0	00759E70	FUN_00759e70	parameter	param_2	Stack[0x8]:4	/int	DEFAULT		0	0	review	{}		conflicting or invalid access widths
0	00759E90	FUN_00759e90	parameter	param_1	Stack[0x4]:4	/int	DEFAULT		0	0	review	{}		conflicting or invalid access widths
0	00759E90	FUN_00759e90	parameter	param_2	Stack[0x8]:4	/int	DEFAULT		0	0	review	{}		conflicting or invalid access widths
0	00759EB0	FUN_00759eb0	parameter	param_4	Stack[0x10]:4	/int	DEFAULT		0	0	review	{}		conflicting or invalid access widths
0	00759EB0	FUN_00759eb0	parameter	param_5	Stack[0x14]:4	/int	DEFAULT		0	0	review	{}		conflicting or invalid access widths
0	00759EB0	FUN_00759eb0	parameter	param_6	Stack[0x18]:4	/uint	DEFAULT		0	0	review	{}		conflicting or invalid access widths
0	00759EB0	FUN_00759eb0	parameter	param_1	Stack[0x4]:4	/int	DEFAULT		0	0	review	{}		conflicting or invalid access widths
0	00759EB0	FUN_00759eb0	parameter	param_2	Stack[0x8]:4	/int	DEFAULT		0	0	review	{}		incoming scalar ABI slot is fully overwritten before its pointer-shaped lifetime; split the post-write local instead of changing the parameter
0	00759EB0	FUN_00759eb0	parameter	param_3	Stack[0xc]:4	/int	DEFAULT		0	0	review	{}		conflicting or invalid access widths
0	00759F00	FUN_00759f00	parameter	param_1	Stack[0x4]:4	pointer:/undefined4	DEFAULT		0	0	review	{}		conflicting or invalid access widths
