anonymous_type	category	length	defined_components	concrete_fields	meaningful_fields	function_targets	global_targets	field_targets	exact_named_candidates	compatible_named_candidates	automatic_named_type	match_status	usage_status
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STGameObjC_01B9	class_pointee	12	4	0	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STMineSetC_0211	class_pointee	92	4	0	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STParticleC_00EB	class_pointee	500	2	0	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STPlaySystemC_0039	class_pointee	24	3	0	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STPlaySystemC_003D	class_pointee	8	2	0	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STT3DSprC_0020	class_pointee	532	3	0	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SettMapMTy_1C67	class_pointee	12	2	0	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SettMapMTy_1E1E	class_pointee	12	2	0	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SettMapMTy_2204	class_pointee	12	2	0	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SettMapSTy_0000	class_pointee	48	4	0	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SettMapTy_1E2B	class_pointee	12	2	0	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SpecPanelTy_0000	class_pointee	36	5	0	0	0	0	1		/SubmarineTitans/Recovered/SystemClassTyVTable,/time.h/tm		partial_named_review	referenced
