function_address	enum_name	status	detail
0045F400	STBoatC_CheckPBoxCmd_param_1Enum	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/STBoatC_CheckPBoxCmd_param_1Enum; parameter already uses enum
0045F980	Global_sub_0045F980_iVar2Enum	disabled	apply=0
0045FF50	STBoatC_sub_0045FF50_iVar1Enum	disabled	apply=0
0045FF50	STBoatC_sub_0045FF50_uVar1Enum	disabled	apply=0
004608B0	STBoatC_field_082EState	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/STBoatC_field_082EState; field already uses enum
004608B0	STBoatC_Defence_iVar9Enum	disabled	apply=0
004608B0	STBoatC_Defence_local_EAX_1396Enum	disabled	apply=0
004608B0	STBoatC_Defence_local_EAX_3491Enum	disabled	apply=0
004608B0	STBoatC_Defence_local_EAX_4152Enum	disabled	apply=0
00462180	Global_sub_00462180_iVar15Enum	disabled	apply=0
00462180	Global_sub_00462180_local_EAX_1646Enum	disabled	apply=0
00462180	Global_sub_00462180_local_EAX_1824Enum	disabled	apply=0
00462180	Global_sub_00462180_local_EAX_486Enum	disabled	apply=0
00462180	Global_sub_00462180_local_EAX_5975Enum	disabled	apply=0
00462180	Global_sub_00462180_local_EAX_7817Enum	disabled	apply=0
004658D0	Global_sub_004658D0_local_EAX_48Enum	disabled	apply=0
00465C60	STBoatC_field_04D9State	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/STBoatC_field_04D9State; field already uses enum
00465C60	STBoatC_LoadRC_local_EAX_1088Enum	disabled	apply=0
00465C60	STBoatC_LoadRC_local_EAX_11037Enum	disabled	apply=0
00465C60	STBoatC_LoadRC_local_EAX_15261Enum	disabled	apply=0
00465C60	STBoatC_LoadRC_local_EAX_2009Enum	disabled	apply=0
00465C60	STBoatC_LoadRC_local_EAX_4384Enum	disabled	apply=0
00465C60	STBoatC_LoadRC_local_EAX_6675Enum	disabled	apply=0
00465C60	STBoatC_LoadRC_local_EAX_7374Enum	disabled	apply=0
00465C60	STBoatC_LoadRC_local_EAX_8376Enum	disabled	apply=0
0046AA50	STBoatC_BackLoadRC_switch_0Enum	disabled	apply=0
0046B100	STBoatC_field_050CState	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/STBoatC_field_050CState; field already uses enum
0046B100	STBoatC_Build_iVar12Enum	disabled	apply=0
0046C980	STBoatC_field_0508State	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/STBoatC_field_0508State; field already uses enum
0046CF20	STBoatC_field_0528State	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/STBoatC_field_0528State; field already uses enum
0046D450	STBoatC_field_0550State	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/STBoatC_field_0550State; field already uses enum
0046D450	STBoatC_UnLoadRC_local_EAX_1808Enum	disabled	apply=0
0046D450	STBoatC_UnLoadRC_local_EAX_51Enum	disabled	apply=0
0046D450	STBoatC_UnLoadRC_local_EAX_769Enum	disabled	apply=0
0046EFD0	STBoatC_field_054CState	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/STBoatC_field_054CState; field already uses enum
0046F5C0	STBoatC_ToDok_local_EAX_1958Enum	disabled	apply=0
0046F5C0	STBoatC_ToDok_local_EAX_53Enum	disabled	apply=0
0046F5C0	STBoatC_ToDok_local_EAX_764Enum	disabled	apply=0
