apply	owner	type_path	existing_length	observed_min_size	exact_allocation_size	proposed_length	field_count	auto_field_count	confidence	reason	evidence_functions
1	STGroupBoatC	/STGroupBoatC	1	786		786	57	57	high	observed_this_access_extent	00497AF0 | 0049A620 | 0049A940 | 0049B4C0 | 0049B7D0 | 0049CD30 | 0049D230 | 0049DB40 | 0049DFA0 | 0049E510 | 0049EA00 | 0049ED40 | 0049F100 | 0049F640 | 0049F900 | 0049FBF0 | 004A0040 | 004A0590 | 004A0990 | 004A0FA0 | 004A7490 | 004A7AF0 | 004A80A0 | 004A85B0 | 004A8690 | 004A87A0
1	STGroupC	/STGroupC	1	61		61	3	3	high	observed_this_access_extent	004233E0 | 00423850 | 004247B0
1	STJellyGunC	/STJellyGunC	1	660		660	28	26	high	observed_this_access_extent	005823D0 | 005825C0 | 00583270
1	STJellyManC	/STJellyManC	1	531		531	6	6	high	observed_this_access_extent	005810D0 | 00581AC0
1	STLBombC	/STLBombC	1	600		600	14	14	high	observed_this_access_extent	00584970 | 005859A0
1	STMBombC	/STMBombC	1	627		627	4	4	high	observed_this_access_extent	005861F0 | 00588BC0
1	STMineSetC	/STMineSetC	1	702		702	3	3	high	observed_this_access_extent	00622600
1	STOctopusC	/STOctopusC	1	685		685	8	8	high	observed_this_access_extent	00589990 | 00589B50 | 0058A8D0
0	STParticleC	/STParticleC	1	32		32	2	1	manual	insufficient_layout_anchors	00629070
1	STPlaySystemC	/STPlaySystemC	1	232		232	6	6	high	observed_this_access_extent	0054CFC0 | 0054D2F0 | 0054D430 | 0054D550 | 00550250
1	STResourceC	/STResourceC	1	605		605	2	2	high	observed_this_access_extent	0057DFD0
1	STRubbishC	/STRubbishC	1	510		510	12	12	high	observed_this_access_extent	0062ED10
1	STSatC	/STSatC	1	585		585	7	7	high	observed_this_access_extent	0058BA30 | 0058C760
1	STSharkC	/STSharkC	1	603		603	16	15	high	observed_this_access_extent	0058D750 | 0058D7C0 | 0058E570
1	STSprGameObjC	/STSprGameObjC	1	783		783	9	9	high	observed_this_access_extent	00420340 | 00420AE0 | 005EC7E0
1	STT3DSprC	/STT3DSprC	1	36		36	3	3	high	observed_this_access_extent	004ABE40
0	STTmMineC	/STTmMineC	1	826		826	1	1	manual	insufficient_layout_anchors	0063E160
0	STTorpC	/STTorpC	1	581		581	1	1	manual	insufficient_layout_anchors	00645020
