type_apply	name_apply	repair	protected_override	function_address	expected_function	target_kind	target_ordinal	expected_target_name	expected_target_type	expected_target_source	proposed_name	proposed_type	confidence	evidence_sites	reason
0	0	1	0	004DBCC0	FUN_004dbcc0	parameter	1	param_1	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredRecordView_004DBCC0_6E09EFD2	DEFAULT		/uint	review	incoming stack slot is read as a uint before its address is passed as a distinct output lifetime	type_evidence={/uint=1}; name_evidence={}; strong_evidence=1; offset_zero_scalar_store_is_part_of_larger_output_aggregate; script_target_repair; addressed_stack_slot_entry_domain_repair
0	0	1	0	004DBF30	FUN_004dbf30	parameter	1	param_1	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredRecordView_004DBF30_6D6AEAAB	DEFAULT		/uint	review	incoming stack slot is read as a uint before its address is passed as a distinct output lifetime	type_evidence={/uint=1}; name_evidence={}; strong_evidence=1; offset_zero_scalar_store_is_part_of_larger_output_aggregate; script_target_repair; addressed_stack_slot_entry_domain_repair
0	0	0	0	004E20D0	FUN_004e20d0	parameter	4	param_4	/undefined4	DEFAULT		/int	review	0046F5C0 -> 004E20D0 @ 004706A7; /STBoatC+0x716	type_evidence={/int=1}; name_evidence={}; strong_evidence=0
0	0	1	0	004E2190	FUN_004e2190	parameter	1	param_1	pointer:/int	DEFAULT		pointer:/STBoatC	review	004E2190 -> 00490CA0 @ 004E21C7	type_evidence={pointer:/STBoatC=1}; name_evidence={}; strong_evidence=0; script_target_repair
0	0	0	0	004E5AF0	FUN_004e5af0	parameter	1	param_2	/uint	DEFAULT		pointer:/uint	review	004E7980 -> 004E5AF0 @ 004E7A08; data at 00801020	type_evidence={pointer:/uint=1}; name_evidence={}; strong_evidence=0
0	0	0	0	004E5D50	FUN_004e5d50	parameter	1	param_2	/uint	DEFAULT		pointer:/uint	review	004E7980 -> 004E5D50 @ 004E7BCB; data at 00801020	type_evidence={pointer:/uint=1}; name_evidence={}; strong_evidence=0
0	0	0	0	004E9650	FUN_004e9650	parameter	1	param_1	pointer:/undefined4	DEFAULT		pointer:/short	review	00479600 -> 004E9650 @ 0047A452; /STBoatC+0x657	type_evidence={pointer:/short=1}; name_evidence={}; strong_evidence=0
0	0	0	0	004E9650	FUN_004e9650	parameter	3	param_3	pointer:/undefined4	DEFAULT		pointer:/short	review	00479600 -> 004E9650 @ 0047A452; /STBoatC+0x65b	type_evidence={pointer:/short=1}; name_evidence={}; strong_evidence=0
0	0	0	0	004E9960	FUN_004e9960	parameter	1	param_1	pointer:/undefined4	DEFAULT		pointer:/short	review	00660700 -> 004E9960 @ 00660835; address of FUN_00660700 parameter param_1	type_evidence={pointer:/short=1}; name_evidence={}; strong_evidence=0
0	0	0	0	004E9960	FUN_004e9960	parameter	2	param_2	pointer:/undefined4	DEFAULT		pointer:/short	review	00660700 -> 004E9960 @ 00660835; address of FUN_00660700 parameter param_2	type_evidence={pointer:/short=1}; name_evidence={}; strong_evidence=0
0	0	0	0	004E9960	FUN_004e9960	parameter	3	param_3	pointer:/undefined4	DEFAULT		pointer:/short	review	00660700 -> 004E9960 @ 00660835; address of FUN_00660700 parameter param_3	type_evidence={pointer:/short=1}; name_evidence={}; strong_evidence=0
0	0	0	0	004F19D0	FUN_004f19d0	parameter	2	param_3	pointer:/undefined4	DEFAULT		pointer:/uint	review	004F1C80 -> 004F19D0 @ 004F1C9A; address of CPanelTy::sub_004F1C80 parameter param_1	type_evidence={pointer:/uint=1}; name_evidence={}; strong_evidence=0
0	0	0	0	004F19D0	FUN_004f19d0	parameter	3	param_4	pointer:/undefined4	DEFAULT		pointer:/uint	review	004F1C80 -> 004F19D0 @ 004F1C9A; address of CPanelTy::sub_004F1C80 parameter param_2	type_evidence={pointer:/uint=1}; name_evidence={}; strong_evidence=0
0	0	1	0	00523410	FUN_00523410	return		<RETURN>	/int	ANALYSIS		/WinDef.h/UINT	review	00523410 returns used as parameter 2 of HelpPanelTy::DrawDescription @ 00519C5A | 00523410 returns used as parameter 2 of HelpPanelTy::DrawDescription @ 0051B100 | 00523410 returns used as parameter 2 of HelpPanelTy::DrawDescription @ 0051D0E7 | 00523410 returns used as parameter 2 of HelpPanelTy::DrawDescription @ 0051D46B | 00523410 returns used as parameter 3 of HelpPanelTy::DrawTitle @ 00518D43 | 00523410 returns used as parameter 3 of HelpPanelTy::DrawTitle @ 0051A20E | 00523410 returns used as parameter 3 of HelpPanelTy::DrawTitle @ 0051CA96 | 00523410 returns used as parameter 3 of HelpPanelTy::DrawTitle @ 0051D445	type_evidence={/WinDef.h/UINT=8}; name_evidence={}; strong_evidence=8; machine_abi_target_preserved; script_target_repair
0	0	1	0	00524FE0	FUN_00524fe0	return		<RETURN>	/int	ANALYSIS		/WinDef.h/UINT	review	00524FE0 returns used as parameter 3 of HelpPanelTy::DrawTitle @ 0051B6BE	type_evidence={/WinDef.h/UINT=1}; name_evidence={}; strong_evidence=1; machine_abi_target_preserved; script_target_repair
0	0	0	0	005260B0	FUN_005260b0	parameter	1	param_2	/undefined1	DEFAULT		/byte	review	004F96A0 -> 005260B0 @ 004F99FC; unproven partial register write at 004F99F2	type_evidence={/byte=1}; name_evidence={}; strong_evidence=0
0	0	1	0	00528060	FUN_00528060	return		<RETURN>	/int	ANALYSIS		/WinDef.h/UINT	review	00528060 returns used as parameter 3 of HelpPanelTy::DrawTitle @ 00516B84	type_evidence={/WinDef.h/UINT=1}; name_evidence={}; strong_evidence=1; machine_abi_target_preserved; script_target_repair
0	0	1	0	005293F0	FUN_005293f0	return		<RETURN>	/int	ANALYSIS		/WinDef.h/UINT	review	005293F0 returns used as parameter 3 of HelpPanelTy::DrawTitle @ 00517BAD	type_evidence={/WinDef.h/UINT=1}; name_evidence={}; strong_evidence=1; machine_abi_target_preserved; script_target_repair
0	0	0	0	0052AB40	CreateMiniMap	parameter	0	param_1	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredRecord_0052AB40_8E5CB246	DEFAULT		pointer:/short	review	004F5690 -> 0052AB40 @ 004F7008; data at 00806750	type_evidence={pointer:/short=1}; name_evidence={}; strong_evidence=0; offset_zero_scalar_store_is_part_of_larger_output_aggregate
0	0	0	0	00538DB0	PanelTy::PaintIBut	parameter	1	param_1	pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_00538DB0_574DDCD0	DEFAULT		pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredRecord_00529FE0_85E582CB	review	00538DB0 -> 00529FE0 @ 00538EB0	type_evidence={pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredRecord_00529FE0_85E582CB=1}; name_evidence={}; strong_evidence=0; offset_zero_scalar_store_is_part_of_larger_output_aggregate
0	0	0	0	0053DAF0	UPanelTy::PaintIBut	parameter	1	param_1	pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_0053DAF0_3BDC2979	DEFAULT		pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredRecord_00529FE0_85E582CB	review	0053DAF0 -> 00529FE0 @ 0053DBC4	type_evidence={pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredRecord_00529FE0_85E582CB=1}; name_evidence={}; strong_evidence=0; offset_zero_scalar_store_is_part_of_larger_output_aggregate
0	0	0	0	0054CC20	STPlaySystemC::CreateGameObject	parameter	5	param_5	/undefined4	DEFAULT		/uint	review	004D0F00 -> 0054CC20 @ 004D0F46; zeroed full register at 004D0F0C	type_evidence={/uint=1}; name_evidence={}; strong_evidence=0
0	0	0	0	0054CF00	STPlaySystemC::vfunc_8	parameter	1	param_1	/int	DEFAULT		/SubmarineTitans/Recovered/Enums/STObjectTypeId	review	0054CF00 -> 006E6170 @ 0054CF1D	type_evidence={/SubmarineTitans/Recovered/Enums/STObjectTypeId=1}; name_evidence={}; strong_evidence=0
0	0	0	0	0054E950	STPlaySystemC::AddToRep	parameter	1	param_1	pointer:/undefined4	DEFAULT		pointer:/char	review	0054EBB0 -> 0054E950 @ 0054EBCC; STPlaySystemC::sub_0054EBB0 parameter param_1	type_evidence={pointer:/char=1}; name_evidence={}; strong_evidence=0
0	0	0	0	0054EEE0	STPlaySystemC::SetCtrlCmd	parameter	1	param_1	/undefined1	DEFAULT		/byte	review	0054EDF0 -> 0054EEE0 @ 0054EE87; unproven partial register write at 0054EE7B	type_evidence={/byte=1}; name_evidence={}; strong_evidence=0
0	0	0	0	00566E70	FUN_00566e70	parameter	1	param_1	/undefined4	DEFAULT		/WinDef.h/HWND	review	00571320 -> 00566E70 @ 00571381; FUN_00571320 parameter param_1	type_evidence={/WinDef.h/HWND=1}; name_evidence={}; strong_evidence=0
0	0	0	0	0057B990	FUN_0057b990	parameter	4	param_5	/undefined2	DEFAULT		/ushort	review	0057BA30 -> 0057B990 @ 0057BB9F; unproven partial register write at 0057BB86	type_evidence={/ushort=1}; name_evidence={}; strong_evidence=0
0	0	0	0	00580FF0	FUN_00580ff0	parameter	1	param_2	/undefined2	DEFAULT		/ushort	review	005804F0 -> 00580FF0 @ 0058053D; FUN_005804f0 parameter param_3	type_evidence={/ushort=1}; name_evidence={}; strong_evidence=0
0	0	0	0	00582460	FUN_00582460	parameter	11	param_12	/undefined2	DEFAULT		/ushort	review	00581AC0 -> 00582460 @ 00581B44; literal 65535 at 00581B0D	type_evidence={/ushort=1}; name_evidence={}; strong_evidence=0
0	0	0	0	0058CF90	FUN_0058cf90	parameter	2	param_2	/undefined2	DEFAULT		/ushort	review	004CCC10 -> 0058CF90 @ 004CD139; unproven partial register write at 004CD12D	type_evidence={/ushort=1}; name_evidence={}; strong_evidence=0
0	0	0	0	005AB300	ChooseMapTy::InitChooseMap	parameter	1	param_1	/undefined1	DEFAULT		/byte	review	005B0BA0 -> 005AB300 @ 005B0C4B; unproven partial register write at 005B0C44	type_evidence={/byte=1}; name_evidence={}; strong_evidence=0
0	0	0	0	005B5510	MMObjTy::CreateSprBut	parameter	2	param_2	/undefined4	DEFAULT		/uint	review	0059DB20 -> 005B5510 @ 0059E117; zeroed full register at 0059DFE2	type_evidence={/uint=1}; name_evidence={}; strong_evidence=0
0	0	0	0	005BD7A0	MReportTy::InitMReport	parameter	1	param_1	/undefined1	DEFAULT		/byte	review	005C1A90 -> 005BD7A0 @ 005C1B24; unproven partial register write at 005C1B20	type_evidence={/byte=1}; name_evidence={}; strong_evidence=0
0	0	0	0	005DAB70	FUN_005dab70	parameter	2	param_3	/undefined4	DEFAULT		pointer:/char	review	005BC5E0 -> 005DAB70 @ 005BCD9E; data at 008016A0	type_evidence={pointer:/char=1}; name_evidence={}; strong_evidence=0
0	0	0	0	005DFA30	MTaskTy::InitMTask	parameter	2	param_2	/undefined1	DEFAULT		/byte	review	005E4570 -> 005DFA30 @ 005E460B; unproven partial register write at 005E4603	type_evidence={/byte=1}; name_evidence={}; strong_evidence=0
0	0	0	0	005F05A0	FUN_005f05a0	parameter	2	param_2	/undefined2	DEFAULT		/ushort	review	005EDC20 -> 005F05A0 @ 005EDD87; unproven partial register write at 005EDD7C	type_evidence={/ushort=1}; name_evidence={}; strong_evidence=0
0	0	0	0	005F15F0	FUN_005f15f0	parameter	3	param_3	/undefined2	DEFAULT		/ushort	review	005F23D0 -> 005F15F0 @ 005F26C1; literal 0 at 005F26BD	type_evidence={/ushort=1}; name_evidence={}; strong_evidence=0
0	0	0	0	005F15F0	FUN_005f15f0	parameter	4	param_4	/undefined1	DEFAULT		/byte	review	005F23D0 -> 005F15F0 @ 005F26C1; STManBasisC::sub_005F23D0 parameter param_4	type_evidence={/byte=1}; name_evidence={}; strong_evidence=0
0	0	0	0	005F15F0	FUN_005f15f0	parameter	5	param_5	/undefined2	DEFAULT		/ushort	review	005F23D0 -> 005F15F0 @ 005F26C1; literal 0 at 005F26BA	type_evidence={/ushort=1}; name_evidence={}; strong_evidence=0
0	0	0	0	00605B60	FUN_00605b60	parameter	4	param_4	/int	DEFAULT		/SubmarineTitans/Recovered/Enums/Global_sub_00606FD0_param_1Enum	review	00605B60 -> 00606FD0 @ 00605BEB	type_evidence={/SubmarineTitans/Recovered/Enums/Global_sub_00606FD0_param_1Enum=1}; name_evidence={}; strong_evidence=0
0	0	0	0	00606050	STExplosion::sub_00606050	parameter	9	param_9	/undefined1	DEFAULT		/byte	review	00603740 -> 00606050 @ 00603921; unproven partial register write at 006038E9	type_evidence={/byte=1}; name_evidence={}; strong_evidence=0
0	0	0	0	00607200	FUN_00607200	parameter	4	param_4	/undefined4	DEFAULT		/SubmarineTitans/Recovered/Enums/Global_sub_00606CD0_param_1Enum	review	00607200 -> 00606CD0 @ 0060723A	type_evidence={/SubmarineTitans/Recovered/Enums/Global_sub_00606CD0_param_1Enum=1}; name_evidence={}; strong_evidence=0
0	0	0	0	00608B50	FUN_00608b50	parameter	9	param_9	/undefined1	DEFAULT		/byte	review	00603740 -> 00608B50 @ 00603C13; unproven partial register write at 00603BDD	type_evidence={/byte=1}; name_evidence={}; strong_evidence=0
0	0	0	0	00618B40	FUN_00618b40	parameter	2	param_2	/undefined2	DEFAULT		/ushort	review	004CCC10 -> 00618B40 @ 004CD101; unproven partial register write at 004CD0F5	type_evidence={/ushort=1}; name_evidence={}; strong_evidence=0
