apply	function_address	expected_function	expected_signature	label_address	decompiler_label	existing_primary_name	existing_primary_source	proposed_name	kind	goto_count	cfg_incoming	back_edges_into	back_edges_from	confidence	reason	preview
0	00442E50	STAllPlayersC::_AssignMDPairs	uint * __thiscall _AssignMDPairs(STAllPlayersC * this, char param_1, int param_2, DArrayTy * param_3, DArrayTy * param_4, DArrayTy * param_5)	00443676	LAB_00443676	LAB_00443676	DEFAULT	cf_join_00443676	join	1	3	0	1	medium	multi-predecessor target; semantic role requires review	00443676 MOV EDX,dword ptr [EBP + -0x20]; 00443679 MOV EAX,dword ptr [EBP + -0x38]; 0044367C INC EDX; 0044367D CMP EDX,EAX
0	00442E50	STAllPlayersC::_AssignMDPairs	uint * __thiscall _AssignMDPairs(STAllPlayersC * this, char param_1, int param_2, DArrayTy * param_3, DArrayTy * param_4, DArrayTy * param_5)	004436F7	LAB_004436f7	LAB_004436f7	DEFAULT	cf_join_004436F7	join	1	3	0	1	medium	multi-predecessor target; semantic role requires review	004436F7 MOV EDX,dword ptr [EBP + -0x20]; 004436FA MOV EAX,dword ptr [EBP + -0x28]; 004436FD INC EDX; 004436FE CMP EDX,EAX
0	00445A40	STAllPlayersC::RegisterPGPair	undefined __thiscall RegisterPGPair(STAllPlayersC * this, uint param_1, uint * param_2, uint * param_3)	00445DB2	LAB_00445db2	LAB_00445db2	DEFAULT	cf_join_00445DB2	join	1	2	0	0	medium	multi-predecessor target; semantic role requires review	00445DB2 MOV EAX,dword ptr [EBP + -0x8]; 00445DB5 TEST EAX,EAX
0	00445A40	STAllPlayersC::RegisterPGPair	undefined __thiscall RegisterPGPair(STAllPlayersC * this, uint param_1, uint * param_2, uint * param_3)	00445DCA	LAB_00445dca	LAB_00445dca	DEFAULT	cf_join_00445DCA	join	1	2	0	0	medium	multi-predecessor target; semantic role requires review	00445DCA MOV EAX,dword ptr [EBP + -0xc]; 00445DCD TEST EAX,EAX; 00445DCF JBE 0x00445e12
0	00445A40	STAllPlayersC::RegisterPGPair	undefined __thiscall RegisterPGPair(STAllPlayersC * this, uint param_1, uint * param_2, uint * param_3)	00445E36	LAB_00445e36	LAB_00445e36	DEFAULT	cf_join_00445E36	join	1	2	0	0	medium	multi-predecessor target; semantic role requires review	00445E36 MOV EAX,dword ptr [EBP + -0x8]; 00445E39 XOR EDI,EDI; 00445E3B TEST EAX,EAX; 00445E3D JLE 0x00445e99
0	00446F80	STAllPlayersC::DistributeGuardBoats	undefined __thiscall DistributeGuardBoats(STAllPlayersC * this, char param_1)	0044707D	joined_r0x0044707d			cf_join_0044707D	join	1	2	0	0	medium	multi-predecessor target; semantic role requires review	0044703A PUSH 0x1; 0044703C PUSH 0x4; 0044703E PUSH 0x1; 00447040 PUSH 0x0; calls=Library::DKW::TBL::DArrayCreate
0	00446F80	STAllPlayersC::DistributeGuardBoats	undefined __thiscall DistributeGuardBoats(STAllPlayersC * this, char param_1)	00447106	LAB_00447106	LAB_00447106	DEFAULT	cf_join_00447106	join	1	2	1	0	medium	multi-predecessor target; semantic role requires review	00447106 MOV ECX,dword ptr [EBP + -0x4e]; 00447109 LEA EAX,[EBP + -0x28]; 0044710C PUSH EAX; 0044710D CALL 0x006acc70; calls=DArrayGetElement
0	00446F80	STAllPlayersC::DistributeGuardBoats	undefined __thiscall DistributeGuardBoats(STAllPlayersC * this, char param_1)	00447196	LAB_00447196	LAB_00447196	DEFAULT	cf_join_00447196	join	1	2	0	0	medium	multi-predecessor target; semantic role requires review	00447196 CALL 0x006ae1c0; calls=Library::DKW::TBL::FUN_006ae1c0
0	00446F80	STAllPlayersC::DistributeGuardBoats	undefined __thiscall DistributeGuardBoats(STAllPlayersC * this, char param_1)	004471AD	LAB_004471ad	LAB_004471ad	DEFAULT	cf_join_004471AD	join	1	2	0	0	medium	multi-predecessor target; semantic role requires review	004471AD MOV EAX,dword ptr [EBP + -0x18]; 004471B0 MOV ESI,dword ptr [EBP + -0x5c]; 004471B3 MOV EBX,dword ptr [EBP + -0x58]; 004471B6 MOV EDI,dword ptr [EBP + -0x2c]
0	00446F80	STAllPlayersC::DistributeGuardBoats	undefined __thiscall DistributeGuardBoats(STAllPlayersC * this, char param_1)	004471BD	LAB_004471bd	LAB_004471bd	DEFAULT	cf_join_004471BD	join	1	3	0	0	medium	multi-predecessor target; semantic role requires review	004471BD MOV EAX,dword ptr [EBP + -0x18]; 004471C0 TEST EAX,EAX; 004471C2 JBE 0x0044738a
0	00446F80	STAllPlayersC::DistributeGuardBoats	undefined __thiscall DistributeGuardBoats(STAllPlayersC * this, char param_1)	00447348	LAB_00447348	LAB_00447348	DEFAULT	cf_join_00447348	join	1	2	0	0	medium	multi-predecessor target; semantic role requires review	00447348 PUSH EAX; 00447349 CALL 0x006ae1c0; calls=Library::DKW::TBL::FUN_006ae1c0
0	00446F80	STAllPlayersC::DistributeGuardBoats	undefined __thiscall DistributeGuardBoats(STAllPlayersC * this, char param_1)	0044738A	LAB_0044738a	LAB_0044738a	DEFAULT	cf_break_loop_0044738A	break_loop	1	3	0	0	high	multiple predecessors leave the same strongly-connected loop	0044738A MOV ESI,dword ptr [EBP + -0x60]; 0044738D TEST ESI,ESI; 0044738F JZ 0x004473d4
0	00448120	STAllPlayersC::PutOnPlaceGuardBoats	undefined __thiscall PutOnPlaceGuardBoats(STAllPlayersC * this, uint param_1, uint param_2, int param_3, undefined2 param_4, uint param_5, int param_6, undefined4 param_7, DArrayTy * param_8)	00448970	LAB_00448970	LAB_00448970	DEFAULT	cf_join_00448970	join	1	2	0	0	medium	multi-predecessor target; semantic role requires review	00448970 MOV EDI,dword ptr [EBP + EAX*0x4 + 0xffffff00]; 00448977 LEA EAX,[EBP + EAX*0x4 + 0xffffff00]; 0044897E INC EDI; 0044897F CMP ECX,0xb4
