apply	owner	parent_offset	type_path	length	field_count	access_count	confidence	reason
0	HelpPanelTy	104	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_HelpPanelTy_0068	24	4	4	review	multiple non-overlapping fixed offsets through one class pointer field
0	HelpPanelTy	435	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_HelpPanelTy_01B3	32	2	21	review	multiple non-overlapping fixed offsets through one class pointer field
0	HelpPanelTy	455	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_HelpPanelTy_01C7	8	2	5	review	multiple non-overlapping fixed offsets through one class pointer field
0	HelpPanelTy	484	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_HelpPanelTy_01E4	164	2	4	review	multiple non-overlapping fixed offsets through one class pointer field
0	HelpPanelTy	536	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_HelpPanelTy_0218	24	4	13	review	multiple non-overlapping fixed offsets through one class pointer field
0	HelpStringTy	298	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_HelpStringTy_012A	24	4	4	review	multiple non-overlapping fixed offsets through one class pointer field
0	MReportTy	115	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MReportTy_0073	12	2	6	review	multiple non-overlapping fixed offsets through one class pointer field
0	MReportTy	119	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MReportTy_0077	24	4	6	review	multiple non-overlapping fixed offsets through one class pointer field
0	MReportTy	131	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MReportTy_0083	164	3	3	review	multiple non-overlapping fixed offsets through one class pointer field
0	MReportTy	1107	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MReportTy_0453	27	5	10	review	multiple non-overlapping fixed offsets through one class pointer field
0	MReportTy	1111	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MReportTy_0457	27	5	10	review	multiple non-overlapping fixed offsets through one class pointer field
0	MTaskTy	141	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MTaskTy_008D	164	2	4	review	multiple non-overlapping fixed offsets through one class pointer field
0	MTaskTy	1727	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MTaskTy_06BF	24	4	4	review	multiple non-overlapping fixed offsets through one class pointer field
0	MTaskTy	1739	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MTaskTy_06CB	24	4	6	review	multiple non-overlapping fixed offsets through one class pointer field
0	MainMenuTy	6823	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MainMenuTy_1AA7	16	4	4	review	multiple non-overlapping fixed offsets through one class pointer field
0	MoneyTy	114	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MoneyTy_0072	24	4	6	review	multiple non-overlapping fixed offsets through one class pointer field
0	MoneyTy	118	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MoneyTy_0076	24	4	6	review	multiple non-overlapping fixed offsets through one class pointer field
0	MoneyTy	122	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MoneyTy_007A	24	4	6	review	multiple non-overlapping fixed offsets through one class pointer field
0	MoneyTy	126	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MoneyTy_007E	24	4	4	review	multiple non-overlapping fixed offsets through one class pointer field
0	OptPanelTy	489	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_OptPanelTy_01E9	24	2	3	review	multiple non-overlapping fixed offsets through one class pointer field
0	PlayPanelTy	104	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_PlayPanelTy_0068	24	4	4	review	multiple non-overlapping fixed offsets through one class pointer field
0	PlaySystemTy	57	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_PlaySystemTy_0039	24	3	6	review	multiple non-overlapping fixed offsets through one class pointer field
0	PopUpTy	144	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_PopUpTy_0090	24	4	15	review	multiple non-overlapping fixed offsets through one class pointer field
0	PrividerTy	6747	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_PrividerTy_1A5B	746	2	47	review	multiple non-overlapping fixed offsets through one class pointer field
0	PrividerTy	7298	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_PrividerTy_1C82	24	4	7	review	multiple non-overlapping fixed offsets through one class pointer field
0	PrividerTy	7318	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_PrividerTy_1C96	27	5	10	review	multiple non-overlapping fixed offsets through one class pointer field
0	PrividerTy	7322	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_PrividerTy_1C9A	27	5	14	review	multiple non-overlapping fixed offsets through one class pointer field
0	ProdPanelTy	104	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ProdPanelTy_0068	24	4	4	review	multiple non-overlapping fixed offsets through one class pointer field
0	SIDTy	7352	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SIDTy_1CB8	16	3	3	review	multiple non-overlapping fixed offsets through one class pointer field
0	SIDTy	7356	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SIDTy_1CBC	24	4	4	review	multiple non-overlapping fixed offsets through one class pointer field
0	SIDTy	7360	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SIDTy_1CC0	24	4	6	review	multiple non-overlapping fixed offsets through one class pointer field
0	SIDTy	7368	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SIDTy_1CC8	24	4	6	review	multiple non-overlapping fixed offsets through one class pointer field
