apply	function_address	function_name	target_name	target_locator	expected_type	expected_source	expected_comment	proposed_type	confidence	scalar_casts	scalar_source_assignments	narrow_scalar_assignments	address_member_uses	member_uses	reason
1	00436F20	STAllPlayersC::CmdToPlsObj	local_2c	Stack[-0x2c]:4	pointer:/SubmarineTitans/Recovered/DArrayTy	DEFAULT	[STPointerShapeApplier] pointer:/SubmarineTitans/Recovered/DArrayTy; unique typed-call evidence={pointer:/SubmarineTitans/Recovered/DArrayTy=3}	/undefined4	high	0	1	1	0	0	unsettled decompiler type propagation; pointer-shape-owned local also has scalar lifetime evidence: scalar_casts=0, scalar_source_assignments=1, narrow_scalar_assignments=1, address_of_member=0, member_uses=0. Resetting the persistent database type lets SSA lifetimes infer independently.
1	00436F20	STAllPlayersC::CmdToPlsObj	local_30	Stack[-0x30]:4	pointer:/SubmarineTitans/Recovered/DArrayTy	DEFAULT	[STPointerShapeApplier] pointer:/SubmarineTitans/Recovered/DArrayTy; unique typed-call evidence={pointer:/SubmarineTitans/Recovered/DArrayTy=3}	/undefined4	high	2	1	1	1	1	unsettled decompiler type propagation; pointer-shape-owned local also has scalar lifetime evidence: scalar_casts=2, scalar_source_assignments=1, narrow_scalar_assignments=1, address_of_member=1, member_uses=1. Resetting the persistent database type lets SSA lifetimes infer independently.
1	00436F20	STAllPlayersC::CmdToPlsObj	local_34	Stack[-0x34]:4	pointer:/SubmarineTitans/Recovered/DArrayTy	DEFAULT	[STPointerShapeApplier] pointer:/SubmarineTitans/Recovered/DArrayTy; unique typed-call evidence={pointer:/SubmarineTitans/Recovered/DArrayTy=3}	/undefined4	high	0	1	1	0	0	unsettled decompiler type propagation; pointer-shape-owned local also has scalar lifetime evidence: scalar_casts=0, scalar_source_assignments=1, narrow_scalar_assignments=1, address_of_member=0, member_uses=0. Resetting the persistent database type lets SSA lifetimes infer independently.
1	00436F20	STAllPlayersC::CmdToPlsObj	local_6c	Stack[-0x6c]:4	pointer:/SubmarineTitans/Recovered/DArrayTy	DEFAULT	[STPointerShapeApplier] pointer:/SubmarineTitans/Recovered/DArrayTy; unique typed-call evidence={pointer:/SubmarineTitans/Recovered/DArrayTy=3}	/undefined4	high	3	1	1	0	0	unsettled decompiler type propagation; pointer-shape-owned local also has scalar lifetime evidence: scalar_casts=3, scalar_source_assignments=1, narrow_scalar_assignments=1, address_of_member=0, member_uses=0. Resetting the persistent database type lets SSA lifetimes infer independently.
0	00664960	FUN_00664960	local_10	Stack[-0x10]:4	pointer:/SubmarineTitans/Recovered/DArrayTy	DEFAULT	[STPointerShapeApplier] pointer:/SubmarineTitans/Recovered/DArrayTy; unique typed-call evidence={pointer:/SubmarineTitans/Recovered/DArrayTy=3}	/undefined4	review	5	0	0	0	4	unsettled decompiler type propagation; pointer-shape-owned local also has scalar lifetime evidence: scalar_casts=5, scalar_source_assignments=0, narrow_scalar_assignments=0, address_of_member=0, member_uses=4. Resetting the persistent database type lets SSA lifetimes infer independently.
