apply	action	type_path	replacement_path	expected_replacement	expected_length	expected_parents	expected_function_uses	expected_listing_uses	expected_description	reason
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_PlaySystemTy_0039 *32			4	1	0	0	32-bit pointer to AnonPointee_PlaySystemTy_0039	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_PrividerTy_1C8E			12	1	0	0	[STClassLayoutApplier] Generated nested class-field pointee; source=multiple non-overlapping fixed offsets through one class pointer field; generated_layout_sha256=2633cbbf138c33fbd502cb41bf464e91a3762aa9447d67643d46023eef466d2a	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_PrividerTy_1C8E *32			4	1	0	0	32-bit pointer to AnonPointee_PrividerTy_1C8E	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ProdPanelTy_0000			32	1	0	0	[STClassLayoutApplier] Generated nested class-field pointee; source=multiple non-overlapping fixed offsets through one class pointer field; generated_layout_sha256=eddc9aa4f72422af8a2678dd819bec6af2c5a2b0616894902c1ba804f59c578c	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ProdPanelTy_0000 *32			4	1	0	0	32-bit pointer to AnonPointee_ProdPanelTy_0000	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ST3DSMAPContext_0280			1101	1	0	0	[STClassLayoutApplier] Generated nested class-field pointee; source=multiple non-overlapping fixed offsets through one class pointer field; generated_layout_sha256=82444967314d2abf6b905d8a7d2eb27f099fbaada1cb8b367895e2ca21f98de3	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ST3DSMAPContext_0280 *32			4	1	0	0	32-bit pointer to AnonPointee_ST3DSMAPContext_0280	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ST3DSMAPContext_0446			13	1	0	0	[STClassLayoutApplier] Generated nested class-field pointee; source=multiple non-overlapping fixed offsets through one class pointer field; generated_layout_sha256=9cd0f5a0e3c56f58d9b5baec3ac8095c6911a833f3ba674022b9db066c22a501	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ST3DSMAPContext_0446 *32			4	1	0	0	32-bit pointer to AnonPointee_ST3DSMAPContext_0446	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ST3DSMAPContext_044A			13	1	0	0	[STClassLayoutApplier] Generated nested class-field pointee; source=multiple non-overlapping fixed offsets through one class pointer field; generated_layout_sha256=9cd0f5a0e3c56f58d9b5baec3ac8095c6911a833f3ba674022b9db066c22a501	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ST3DSMAPContext_044A *32			4	1	0	0	32-bit pointer to AnonPointee_ST3DSMAPContext_044A	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ST3DSMAPContext_044E			21	1	0	0	[STClassLayoutApplier] Generated nested class-field pointee; source=multiple non-overlapping fixed offsets through one class pointer field; generated_layout_sha256=b59d1bcf4ba071b6e5bf6a2eeab0539bab9dae6d6e5592a2c9a564ed389eae9e	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ST3DSMAPContext_044E *32			4	1	0	0	32-bit pointer to AnonPointee_ST3DSMAPContext_044E	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ST3DSMAPContext_0452			28	1	0	0	[STClassLayoutApplier] Generated nested class-field pointee; source=multiple non-overlapping fixed offsets through one class pointer field; generated_layout_sha256=69b81d6ccc47d283cf00cee9801b036abdb5055c07c15de15b2476c68f0c5df4	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ST3DSMAPContext_0452 *32			4	1	0	0	32-bit pointer to AnonPointee_ST3DSMAPContext_0452	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_018D			16	1	0	0	[STClassLayoutApplier] Generated nested class-field pointee; source=multiple non-overlapping fixed offsets through one class pointer field; generated_layout_sha256=f7b25b0cb2cc454d7cbe7f16602a75e9733c796bcbb9cd69e32da77af964f1fe	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_018D *32			4	1	0	0	32-bit pointer to AnonPointee_STAllPlayersC_018D	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_0191			16	1	0	0	[STClassLayoutApplier] Generated nested class-field pointee; source=multiple non-overlapping fixed offsets through one class pointer field; generated_layout_sha256=f7b25b0cb2cc454d7cbe7f16602a75e9733c796bcbb9cd69e32da77af964f1fe	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_0191 *32			4	1	0	0	32-bit pointer to AnonPointee_STAllPlayersC_0191	still referenced
