apply	owner_path	expected_owner_hash	field_offset	expected_field_name	expected_field_type	expected_field_comment	node_path	node_length	field_layout	node_layout_sha256	root_loads	traversal_sites	source_view_count	nonzero_field_count	source_view_hashes	evidence_functions	evidence_variables	confidence	reason
1	/SubmarineTitans/Recovered/LibraryContexts/ST3DSMAPContext	00cc54b9ff92a0c2f9f8fc3c725886af299d1deb7cff0c293720e36133cad873	320	field_0140	pointer:/SubmarineTitans/Recovered/RecursivePointees/RecursiveNode_ST3DSMAPContext_0140_DDDC9F89	[STClassLayoutApplier] reads=34, writes=43; type_confidence=existing; name_confidence=none; consistent_this_relative_access; concrete_type_already_present; typed_cross_class_recovery=72; type_evidence=pointer:/void <= 00574685 generic pointer-return assignment in FUN_005745e0; [STRecursivePointeeApplier] Recursive linked-node root; evidence=006DDD50 ST3DSMAPContext::sub_006DDD50 | 006DE9C0 ST3DSMAPContext::sub_006DE9C0	/SubmarineTitans/Recovered/RecursivePointees/RecursiveNode_ST3DSMAPContext_0140_DDDC9F89	76	0~4~self~next~0~recursive traversal;8~2~/short~field_0008~1~/SubmarineTitans/Recovered/PointerShapes/AnonShape_007282B0_AFD740A9;28~4~/uint~field_001C~1~/SubmarineTitans/Recovered/PointerShapes/AnonShape_006E1EE0_698AE49A;32~4~/int~field_0020~1~/SubmarineTitans/Recovered/PointerShapes/AnonShape_007282B0_AFD740A9;36~4~/int~field_0024~1~/SubmarineTitans/Recovered/PointerShapes/AnonShape_006E1EE0_698AE49A;40~4~/int~field_0028~2~/SubmarineTitans/Recovered/PointerShapes/AnonShape_006E1EE0_698AE49A|/SubmarineTitans/Recovered/PointerShapes/AnonShape_007282B0_AFD740A9;60~4~/int~field_003C~2~/SubmarineTitans/Recovered/PointerShapes/AnonShape_006E1EE0_698AE49A|/SubmarineTitans/Recovered/PointerShapes/AnonShape_007282B0_AFD740A9;72~1~/byte~field_0048~1~/SubmarineTitans/Recovered/PointerShapes/AnonShape_007282B0_AFD740A9	27d5a0bc5a28ae1e11eef98e3aa788c05f2d13fc9d14c0b25b5ef85dc28cdd75	4	4	2	7	/SubmarineTitans/Recovered/PointerShapes/AnonShape_006E1EE0_698AE49A=91a38410b669c3f66abcae76bfba92d309d4a317fa5de0c6f267d11db33af782|/SubmarineTitans/Recovered/PointerShapes/AnonShape_007282B0_AFD740A9=9a14231532894a30e232bd1101adf172d74037b3cc6c9f1834a42c4d8d4a62a0	006DDD50 ST3DSMAPContext::sub_006DDD50	006DDD50:pRVar15 | 006DDD50:temp_5f0605bde0 | 006DDD50:temp_5ff32f7558 | 006DDD50:temp_5f4598f33d	high	root_identity=/SubmarineTitans/Recovered/LibraryContexts/ST3DSMAPContext+0x140; root_loads=4; recursive_traversals=4; source_views=2; exact_direct_fields=0; nonzero_fields=7
0	/SubmarineTitans/Recovered/LibraryContexts/ST3DSMAPContext	00cc54b9ff92a0c2f9f8fc3c725886af299d1deb7cff0c293720e36133cad873	1094	field_0446	pointer:/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ST3DSMAPContext_0446	[STClassLayoutApplier] reads=5, writes=0; type_confidence=existing; name_confidence=medium; consistent_this_relative_access; concrete_type_already_present; typed_cross_class_recovery=3; type_evidence=pointer:/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ST3DSMAPContext_0446 <= consistent nested dereferences through [this+0x446]	/SubmarineTitans/Recovered/RecursivePointees/RecursiveNode_ST3DSMAPContext_0446_DDDC9F89	28	0~4~self~next~0~recursive traversal;14~2~/short~field_000E~1~/SubmarineTitans/Recovered/PointerShapes/AnonShape_006E6AF0_D2F012A7;16~2~/short~field_0010~1~/SubmarineTitans/Recovered/PointerShapes/AnonShape_006E6AF0_D2F012A7;24~4~/int~field_0018~1~/SubmarineTitans/Recovered/PointerShapes/AnonShape_006E6AF0_D2F012A7	059066048a530cffe87c57c0bec0dfbcdfdc6f51c79c0e963e5b548f84898333	2	10	1	3	/SubmarineTitans/Recovered/PointerShapes/AnonShape_006E6AF0_D2F012A7=957a13d990116128c756c3d47284f2cca4191eaa34c306052856fd0c37486057	006E6FB0 ST3DSMAPContext::sub_006E6FB0	006E6FB0:pAVar2	review	root_identity=/SubmarineTitans/Recovered/LibraryContexts/ST3DSMAPContext+0x446; root_loads=2; recursive_traversals=10; source_views=1; exact_direct_fields=0; nonzero_fields=3; root field is concrete/incompatible; insufficient independent geometry/traversal evidence
0	/SubmarineTitans/Recovered/LibraryContexts/ST3DSMAPContext	00cc54b9ff92a0c2f9f8fc3c725886af299d1deb7cff0c293720e36133cad873	1098	field_044A	pointer:/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ST3DSMAPContext_044A	[STClassLayoutApplier] reads=4, writes=0; type_confidence=existing; name_confidence=medium; consistent_this_relative_access; concrete_type_already_present; typed_cross_class_recovery=2; type_evidence=pointer:/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ST3DSMAPContext_044A <= consistent nested dereferences through [this+0x44A]	/SubmarineTitans/Recovered/RecursivePointees/RecursiveNode_ST3DSMAPContext_044A_DDDC9F89	28	0~4~self~next~0~recursive traversal;14~2~/short~field_000E~1~/SubmarineTitans/Recovered/PointerShapes/AnonShape_006E6AF0_D2F012A7;16~2~/short~field_0010~1~/SubmarineTitans/Recovered/PointerShapes/AnonShape_006E6AF0_D2F012A7;24~4~/int~field_0018~1~/SubmarineTitans/Recovered/PointerShapes/AnonShape_006E6AF0_D2F012A7	5a6044d75f17aa2335f78bdca254ee627d3aa2b73ce07b62012180582547d315	2	10	1	3	/SubmarineTitans/Recovered/PointerShapes/AnonShape_006E6AF0_D2F012A7=957a13d990116128c756c3d47284f2cca4191eaa34c306052856fd0c37486057	006E6FB0 ST3DSMAPContext::sub_006E6FB0	006E6FB0:pAVar2	review	root_identity=/SubmarineTitans/Recovered/LibraryContexts/ST3DSMAPContext+0x44A; root_loads=2; recursive_traversals=10; source_views=1; exact_direct_fields=0; nonzero_fields=3; root field is concrete/incompatible; insufficient independent geometry/traversal evidence
