address	status	proposed_name	detail
0062E130	applied	STManRub3C::sub_0062E130	owner=applied(STManRub3C::sub_0062E130); parameters=applied(no explicit parameters); convention=applied(__thiscall); this_type=unchanged
0062EF00	disabled	STRubbishC::sub_0062EF00	all apply flags are 0
0062F080	disabled	STRubbishC::sub_0062F080	all apply flags are 0
0062F900	applied	STRubbishC::sub_0062F900	owner=applied(STRubbishC::sub_0062F900); parameters=applied(no explicit parameters); convention=applied(__thiscall); this_type=unchanged
0062FCA0	applied	STRubbishC::sub_0062FCA0	owner=applied(STRubbishC::sub_0062FCA0)
0062FEA0	applied	STRubbishC::sub_0062FEA0	owner=applied(STRubbishC::sub_0062FEA0); this_type=unchanged
0062FFD0	disabled	STRubbishC::sub_0062FFD0	all apply flags are 0
00630260	applied	STRubbishC::sub_00630260	owner=applied(STRubbishC::sub_00630260); this_type=unchanged
006308B0	disabled	STManRuinC::sub_006308B0	all apply flags are 0
00630C50	applied	STManRuinC::sub_00630C50	owner=applied(STManRuinC::sub_00630C50); this_type=unchanged
00630FF0	disabled	STManRuinC::sub_00630FF0	all apply flags are 0
00631010	applied	STManRuinC::sub_00631010	owner=applied(STManRuinC::sub_00631010); parameters=applied(no explicit parameters); convention=applied(__thiscall); this_type=unchanged
00631220	applied	STManRuinC::sub_00631220	owner=applied(STManRuinC::sub_00631220); this_type=unchanged
00631390	applied	STManRuinC::sub_00631390	owner=applied(STManRuinC::sub_00631390); this_type=unchanged
00631450	applied	STManRuinC::sub_00631450	owner=applied(STManRuinC::sub_00631450); parameters=applied(no explicit parameters); convention=applied(__thiscall); this_type=unchanged
00631560	applied	STManRuinC::sub_00631560	owner=applied(STManRuinC::sub_00631560); parameters=applied(no explicit parameters); convention=applied(__thiscall); this_type=unchanged
006364B0	disabled	SubmarineTitans::Recovered::HiddenThis::AnonReceiver_00636260::sub_006364B0	all apply flags are 0
00636FC0	disabled	SubmarineTitans::Recovered::HiddenThis::AnonReceiver_00636260::sub_00636FC0	all apply flags are 0
00645F10	applied	SubmarineTitans::Recovered::HiddenThis::AnonReceiver_00644410::sub_00645F10	owner=applied(SubmarineTitans::Recovered::HiddenThis::AnonReceiver_00644410::sub_00645F10); this_type=unchanged
00646D00	disabled	STVolcanoC::sub_00646D00	all apply flags are 0
00646D40	applied	STVolcanoC::sub_00646D40	owner=applied(STVolcanoC::sub_00646D40); this_type=unchanged
00646DB0	applied	STVolcanoC::sub_00646DB0	owner=applied(STVolcanoC::sub_00646DB0); this_type=unchanged
006472B0	applied	STVolcanoC::sub_006472B0	owner=applied(STVolcanoC::sub_006472B0); parameters=applied(no explicit parameters); convention=applied(__thiscall); this_type=unchanged
006479E0	applied	STVolcanoC::sub_006479E0	owner=applied(STVolcanoC::sub_006479E0); parameters=applied(no explicit parameters); convention=applied(__thiscall); this_type=unchanged
00647ED0	disabled	AiBossClassTy::sub_00647ED0	all apply flags are 0
0065BD70	disabled	AiEventClassTy::sub_0065BD70	all apply flags are 0
0065D480	disabled	AiFltClassTy::sub_0065D480	all apply flags are 0
