kind	address	status	name	detail
table	0079ADB8	already_present	InterSystemCVTable	used unchanged generated type /SubmarineTitans/Recovered/VTables/InterSystemCVTable; 9 slots
owner_vptr	InterSystemC+0x0	already_present	InterSystemC	owner already points to /SubmarineTitans/Recovered/VTables/InterSystemCVTable
table	0079ADF4	skipped	VTable_0079ADF4	apply=0; layout_apply=0
table	0079AE38	already_present	STPlaySystemCVTable	used unchanged generated type /SubmarineTitans/Recovered/VTables/STPlaySystemCVTable; 9 slots
owner_vptr	STPlaySystemC+0x0	already_present	STPlaySystemC	owner already points to /SubmarineTitans/Recovered/VTables/STPlaySystemCVTable
table	0079AE68	skipped	VTable_0079AE68	apply=0; layout_apply=0
table	0079AE94	skipped	VTable_0079AE94	apply=0; layout_apply=0
table	0079AEC0	already_present	TraksClassTyVTable	used unchanged generated type /SubmarineTitans/Recovered/VTables/TraksClassTyVTable; 1 slots
owner_vptr	TraksClassTy+0x0	already_present	TraksClassTy	owner already points to /SubmarineTitans/Recovered/VTables/TraksClassTyVTable
table	0079AEEC	already_present	VisibleClassTyVTable	used unchanged generated type /SubmarineTitans/Recovered/VTables/VisibleClassTyVTable; 1 slots
owner_vptr	VisibleClassTy+0x0	already_present	VisibleClassTy	owner already points to /SubmarineTitans/Recovered/VTables/VisibleClassTyVTable
table	0079AEFC	updated	CFsgsConnectionVTable	updated unchanged-since-apply generated type /SubmarineTitans/Recovered/VTables/CFsgsConnectionVTable; 23 slots
owner_vptr	CFsgsConnection+0x0	skipped	CFsgsConnection	vptr store lies outside the recovered owner layout
table	0079B0A8	already_present	STAppCVTable	used unchanged generated type /SubmarineTitans/Recovered/VTables/STAppCVTable; 7 slots
owner_vptr	STAppC+0x0	already_present	STAppC	owner already points to /SubmarineTitans/Recovered/VTables/STAppCVTable
table	0079B1B4	already_present	BaseSystemCVTable	used unchanged generated type /SubmarineTitans/Recovered/VTables/BaseSystemCVTable; 9 slots
owner_vptr	BaseSystemC+0x0	already_present	BaseSystemC	owner already points to /SubmarineTitans/Recovered/VTables/BaseSystemCVTable
table	0079B1E0	already_present	GameSystemCVTable	used unchanged generated type /SubmarineTitans/Recovered/VTables/GameSystemCVTable; 9 slots
owner_vptr	GameSystemC+0x0	already_present	GameSystemC	owner already points to /SubmarineTitans/Recovered/VTables/GameSystemCVTable
table	0079B20C	already_present	DebugSystemCVTable	used unchanged generated type /SubmarineTitans/Recovered/VTables/DebugSystemCVTable; 9 slots
owner_vptr	DebugSystemC+0x0	already_present	DebugSystemC	owner already points to /SubmarineTitans/Recovered/VTables/DebugSystemCVTable
table	0079B238	updated	STCrabCVTable	updated unchanged-since-apply generated type /SubmarineTitans/Recovered/VTables/STCrabCVTable; 73 slots
owner_vptr	STCrabC+0x0	already_present	STCrabC	owner already points to /SubmarineTitans/Recovered/VTables/STCrabCVTable
table	0079B398	already_present	VTable_0079B398	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_0079B398; 1 slots
