kind	address	status	name	detail
owner_vptr	STColl3C+0x0	already_present	STColl3C	owner already points to /SubmarineTitans/Recovered/VTables/STColl3CVTable
table	0079C718	skipped	VTable_0079C718	apply=0; layout_apply=0
table	0079C78C	skipped	VTable_0079C78C	apply=0; layout_apply=0
table	0079C8A0	already_present	VTable_0079C8A0	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_0079C8A0; 53 slots
table	0079C9B0	already_present	STDestCVTable	used unchanged generated type /SubmarineTitans/Recovered/VTables/STDestCVTable; 73 slots
owner_vptr	STDestC+0x0	already_present	STDestC	owner already points to /SubmarineTitans/Recovered/VTables/STDestCVTable
table	0079CB10	already_present	VTable_0079CB10	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_0079CB10; 1 slots
table	0079CB14	already_present	STExplosionVTable	used unchanged generated type /SubmarineTitans/Recovered/VTables/STExplosionVTable; 53 slots
owner_vptr	STExplosion+0x0	already_present	STExplosion	owner already points to /SubmarineTitans/Recovered/VTables/STExplosionVTable
table	0079CC28	already_present	VTable_0079CC28	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_0079CC28; 53 slots
table	0079CD94	already_present	VTable_0079CD94	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_0079CD94; 53 slots
table	0079CEBC	already_present	JumpManagCVTable	used unchanged generated type /SubmarineTitans/Recovered/VTables/JumpManagCVTable; 1 slots
owner_vptr	JumpManagC+0x0	already_present	JumpManagC	owner already points to /SubmarineTitans/Recovered/VTables/JumpManagCVTable
table	0079CED0	already_present	STJumpMineCVTable	used unchanged generated type /SubmarineTitans/Recovered/VTables/STJumpMineCVTable; 1 slots
owner_vptr	STJumpMineC+0x0	already_present	STJumpMineC	owner already points to /SubmarineTitans/Recovered/VTables/STJumpMineCVTable
table	0079CED4	already_present	STLightCVTable	used unchanged generated type /SubmarineTitans/Recovered/VTables/STLightCVTable; 1 slots
owner_vptr	STLightC+0x0	already_present	STLightC	owner already points to /SubmarineTitans/Recovered/VTables/STLightCVTable
table	0079CEFC	updated	STMineSetCVTable	updated unchanged-since-apply generated type /SubmarineTitans/Recovered/VTables/STMineSetCVTable; 73 slots
owner_vptr	STMineSetC+0x0	already_present	STMineSetC	owner already points to /SubmarineTitans/Recovered/VTables/STMineSetCVTable
