type_path	type_name	owner	provenance	length	defined_components	usage_functions	merge_apply	rejection_reason
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_01B1	AnonPointee_STAllPlayersC_01B1	STAllPlayersC+0x01B1	class_field_pointee	12	4		0	anonymous geometry match only; no named semantic anchor
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_01B5	AnonPointee_STAllPlayersC_01B5	STAllPlayersC+0x01B5	class_field_pointee	12	4		0	anonymous geometry match only; no named semantic anchor
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_01B9	AnonPointee_STAllPlayersC_01B9	STAllPlayersC+0x01B9	class_field_pointee	12	4		0	anonymous geometry match only; no named semantic anchor
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAppC_115A	AnonPointee_STAppC_115A	STAppC+0x115A	class_field_pointee	8	2		0	the unique named geometry is not a semantic anchor; layout equality alone cannot identify a type
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STBHEShellC_00F3	AnonPointee_STBHEShellC_00F3	STBHEShellC+0x00F3	class_field_pointee	256	7		0	no independently proven named layout has complete compatible geometry
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STGameObjC_0195	AnonPointee_STGameObjC_0195	STGameObjC+0x0195	class_field_pointee	20	6		0	anonymous geometry match only; no named semantic anchor
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STGameObjC_0199	AnonPointee_STGameObjC_0199	STGameObjC+0x0199	class_field_pointee	20	6		0	anonymous geometry match only; no named semantic anchor
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STGameObjC_01AD	AnonPointee_STGameObjC_01AD	STGameObjC+0x01AD	class_field_pointee	12	4		0	anonymous geometry match only; no named semantic anchor
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STGameObjC_01B1	AnonPointee_STGameObjC_01B1	STGameObjC+0x01B1	class_field_pointee	12	4		0	anonymous geometry match only; no named semantic anchor
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STGameObjC_01B5	AnonPointee_STGameObjC_01B5	STGameObjC+0x01B5	class_field_pointee	12	4		0	anonymous geometry match only; no named semantic anchor
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STGameObjC_01B9	AnonPointee_STGameObjC_01B9	STGameObjC+0x01B9	class_field_pointee	12	4		0	anonymous geometry match only; no named semantic anchor
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STMineSetC_0211	AnonPointee_STMineSetC_0211	STMineSetC+0x0211	class_field_pointee	92	4		0	no independently proven named layout has complete compatible geometry
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STParticleC_00EB	AnonPointee_STParticleC_00EB	STParticleC+0x00EB	class_field_pointee	500	2		0	no independently proven named layout has complete compatible geometry
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STPlaySystemC_0039	AnonPointee_STPlaySystemC_0039	STPlaySystemC+0x0039	class_field_pointee	24	3		0	anonymous geometry match only; no named semantic anchor
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STPlaySystemC_003D	AnonPointee_STPlaySystemC_003D	STPlaySystemC+0x003D	class_field_pointee	8	2		0	no independently proven named layout has complete compatible geometry
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STT3DSprC_0020	AnonPointee_STT3DSprC_0020	STT3DSprC+0x0020	class_field_pointee	532	3		0	no independently proven named layout has complete compatible geometry
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SettMapMTy_1C67	AnonPointee_SettMapMTy_1C67	SettMapMTy+0x1C67	class_field_pointee	12	2		0	anonymous geometry match only; no named semantic anchor
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SettMapMTy_1E1E	AnonPointee_SettMapMTy_1E1E	SettMapMTy+0x1E1E	class_field_pointee	12	2		0	anonymous geometry match only; no named semantic anchor
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SettMapMTy_2204	AnonPointee_SettMapMTy_2204	SettMapMTy+0x2204	class_field_pointee	12	2		0	anonymous geometry match only; no named semantic anchor
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SettMapSTy_0000	AnonPointee_SettMapSTy_0000	SettMapSTy+0x0000	class_field_pointee	48	4		0	no independently proven named layout has complete compatible geometry
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SettMapTy_1E2B	AnonPointee_SettMapTy_1E2B	SettMapTy+0x1E2B	class_field_pointee	12	2		0	anonymous geometry match only; no named semantic anchor
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SpecPanelTy_0000	AnonPointee_SpecPanelTy_0000	SpecPanelTy+0x0000	class_field_pointee	36	5		0	all observed offsets fit the named layout, but partial geometry does not prove type identity; semantic_anchor=false
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_StartSystemTy_000C	AnonPointee_StartSystemTy_000C	StartSystemTy+0x000C	class_field_pointee	8	2		0	the unique named geometry is not a semantic anchor; layout equality alone cannot identify a type
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_StartSystemTy_0544	AnonPointee_StartSystemTy_0544	StartSystemTy+0x0544	class_field_pointee	12	2		0	anonymous geometry match only; no named semantic anchor
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SubmarineTitans__Recovered__HiddenThis__RecoveredReceiver_00416270_02E6	AnonPointee_SubmarineTitans__Recovered__HiddenThis__RecoveredReceiver_00416270_02E6	SubmarineTitans__Recovered__HiddenThis__RecoveredReceiver_00416270+0x02E6	class_field_pointee	32	4		0	no independently proven named layout has complete compatible geometry
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SubmarineTitans__Recovered__HiddenThis__RecoveredReceiver_0054A9B0_04E7	AnonPointee_SubmarineTitans__Recovered__HiddenThis__RecoveredReceiver_0054A9B0_04E7	SubmarineTitans__Recovered__HiddenThis__RecoveredReceiver_0054A9B0+0x04E7	class_field_pointee	37	4		0	no independently proven named layout has complete compatible geometry
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SubmarineTitans__Recovered__HiddenThis__RecoveredReceiver_00573260_0004	AnonPointee_SubmarineTitans__Recovered__HiddenThis__RecoveredReceiver_00573260_0004	SubmarineTitans__Recovered__HiddenThis__RecoveredReceiver_00573260+0x0004	class_field_pointee	132	4		0	no independently proven named layout has complete compatible geometry
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SubmarineTitans__Recovered__HiddenThis__RecoveredReceiver_006CEC40_0288	AnonPointee_SubmarineTitans__Recovered__HiddenThis__RecoveredReceiver_006CEC40_0288	SubmarineTitans__Recovered__HiddenThis__RecoveredReceiver_006CEC40+0x0288	class_field_pointee	44	8		0	no independently proven named layout has complete compatible geometry
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_TLOBaseTy_01F5	AnonPointee_TLOBaseTy_01F5	TLOBaseTy+0x01F5	class_field_pointee	532	11		0	no independently proven named layout has complete compatible geometry
