address	name	current_type	raw_target	classification	target_name	target_data_type	pointee	anonymous_pointee	script_owned	evidence_sites	proposed_type	type_apply
005D7074	PTR_caseD_2_005d7074	/pointer	005D69BA	code_pointer	SettMapSTy::GetMessage			0	0	0		0
005D70B4	PTR_caseD_0_005d70b4	/pointer	005D6F70	code_pointer	SettMapSTy::GetMessage			0	0	0		0
005D70B8	PTR_caseD_1_005d70b8	/pointer	005D6F69	code_pointer	SettMapSTy::GetMessage			0	0	0		0
005D70BC	PTR_caseD_2_005d70bc	/pointer	005D6F5B	code_pointer	SettMapSTy::GetMessage			0	0	0		0
005E93F8	PTR_caseD_1b_005e93f8	/pointer	005E9199	code_pointer	WaitTy::NoneWait			0	0	0		0
006096B0	PTR_caseD_3_006096b0	/pointer	006092A7	code_pointer	FUN_00608e90			0	0	0		0
006096B8	PTR_caseD_5_006096b8	/pointer	0060926A	code_pointer	FUN_00608e90			0	0	0		0
006096CC	PTR_caseD_0_006096cc	/pointer	006092D9	code_pointer	FUN_00608e90			0	0	0		0
0062D8C8	PTR_caseD_1_0062d8c8	/pointer	0062D88E	code_pointer	STManRub3C::sub_0062D840			0	0	0		0
006613D4	PTR_caseD_64_006613d4	/pointer	00661149	code_pointer	AiFltClassTy::sub_00660F70			0	0	0		0
0066726C	PTR_caseD_24e_0066726c	/pointer	00666DEA	code_pointer	AiFltClassTy::sub_00664960			0	0	0		0
0067456C	PTR_caseD_1d_0067456c	/pointer	00673E2C	code_pointer	FUN_00673d20			0	0	0		0
00682C1C	PTR_caseD_2_00682c1c	/pointer	00682A50	code_pointer	FUN_006829b0			0	0	0		0
00682F3C	PTR_caseD_2_00682f3c	/pointer	00682EEF	code_pointer	FUN_00682ec0			0	0	0		0
0068AB30	PTR_caseD_3_0068ab30	/pointer	00684DC8	code_pointer	FUN_00683c70			0	0	0		0
006BB310	PTR_caseD_20_006bb310	/pointer	006BB086	code_pointer	Library::DKW::DDX::FUN_006bac60			0	0	0		0
006BB340	PTR_caseD_20_006bb340	/pointer	006BB1C3	code_pointer	Library::DKW::DDX::FUN_006bac60			0	0	0		0
006BF65C	PTR_caseD_20_006bf65c	/pointer	006BEF0D	code_pointer	FUN_006bea40			0	0	0		0
006BF68C	PTR_caseD_20_006bf68c	/pointer	006BF0B6	code_pointer	FUN_006bea40			0	0	0		0
006BF6BC	PTR_caseD_20_006bf6bc	/pointer	006BF1E1	code_pointer	FUN_006bea40			0	0	0		0
006BF6EC	PTR_caseD_20_006bf6ec	/pointer	006BF32D	code_pointer	FUN_006bea40			0	0	0		0
006CE6B4	PTR_caseD_3_006ce6b4	/pointer	006CD0D8	code_pointer	FUN_006c8ec0			0	0	0		0
006F9A94	PTR_caseD_4_006f9a94	/pointer	006F9672	code_pointer	FUN_006f94d0			0	0	0		0
006F9AA4	PTR_caseD_4_006f9aa4	/pointer	006F975E	code_pointer	FUN_006f94d0			0	0	0		0
006FA248	PTR_caseD_4_006fa248	/pointer	006F9CB2	code_pointer	FUN_006f9ad0			0	0	0		0
006FA258	PTR_caseD_4_006fa258	/pointer	006F9E00	code_pointer	FUN_006f9ad0			0	0	0		0
006FB460	PTR_caseD_4_006fb460	/pointer	006FAF93	code_pointer	FUN_006fadc0			0	0	0		0
006FBD04	PTR_caseD_4_006fbd04	/pointer	006FB6A4	code_pointer	FUN_006fb4a0			0	0	0		0
007024D0	PTR_caseD_2_007024d0	/pointer	00701DED	code_pointer	FUN_00701ad0			0	0	0		0
007024E0	PTR_caseD_2_007024e0	/pointer	00701F16	code_pointer	FUN_00701ad0			0	0	0		0
00703120	PTR_caseD_4_00703120	/pointer	00702BE2	code_pointer	FUN_00702a30			0	0	0		0
00703130	PTR_caseD_4_00703130	/pointer	00702D0D	code_pointer	FUN_00702a30			0	0	0		0
00703140	PTR_caseD_4_00703140	/pointer	00702EC9	code_pointer	FUN_00702a30			0	0	0		0
00703D00	PTR_caseD_4_00703d00	/pointer	00703814	code_pointer	FUN_00703650			0	0	0		0
00703D10	PTR_caseD_4_00703d10	/pointer	00703939	code_pointer	FUN_00703650			0	0	0		0
007055A8	PTR_caseD_2_007055a8	/pointer	0070545E	code_pointer	FUN_00705180			0	0	0		0
007055B8	PTR_caseD_2_007055b8	/pointer	007054B8	code_pointer	FUN_00705180			0	0	0		0
00706890	PTR_caseD_4_00706890	/pointer	007064CF	code_pointer	FUN_00706340			0	0	0		0
0072DD00	PTR_caseD_0_0072dd00	/pointer	0072DD47	code_pointer	Library::MSVCRT::FUN_0072da70			0	0	0		0
0073A5C0	PTR_caseD_0_0073a5c0	/pointer	0073A607	code_pointer	Library::MSVCRT::FUN_0073a330			0	0	0		0
0073C328	PTR_caseD_5_0073c328	/pointer	0073B962	code_pointer	Library::MSVCRT::FUN_0073b6f0			0	0	0		0
0073C32C	PTR_caseD_6_0073c32c	/pointer	0073B9AE	code_pointer	Library::MSVCRT::FUN_0073b6f0			0	0	0		0
00740BAF	PTR_caseD_20_00740baf	/pointer	007407F5	code_pointer	Library::MSVCRT::FUN_00740700			0	0	0		0
00743F12	PTR_caseD_a_00743f12	/pointer	00743CD3	code_pointer	Library::MSVCRT::FUN_007434d0			0	0	0		0
00790C1C	PTR_s_tlo_bubbles_00790c1c	/pointer	007AD59C	string_pointer	s_tlo_bubbles_007ad59c	/string		0	0	0		0
00790C20	PTR_s_tlo_emb6_00790c20	/pointer	007AD590	string_pointer	s_tlo_emb6_007ad590	/string		0	0	0		0
00790C24	PTR_DAT_00790c24	/pointer	007AD58C	initialized_data_pointer	DAT_007ad58c			0	0	0		0
00790C28	PTR_s_tlo_capture_00790c28	/pointer	007AD57C	string_pointer	s_tlo_capture_007ad57c	/string		0	0	0		0
0079ACEC	PTR_s_SAVEGAME\\_0079acec	/pointer	007C7094	string_pointer	s_SAVEGAME\\_007c7094	/string		0	0	0		0
0079ACF0	PTR_s_SYSTEM\\_0079acf0	/pointer	007C7088	string_pointer	s_SYSTEM\\_007c7088	/string		0	0	0		0
0079ACF4	PTR_DAT_0079acf4	/pointer	007C7080	initialized_data_pointer	DAT_007c7080	/undefined1		0	0	0		0
0079ACF8	PTR_DAT_0079acf8	/pointer	007C7078	initialized_data_pointer	DAT_007c7078	/undefined1		0	0	0		0
0079ACFC	PTR_s_STRATEGS_0079acfc	/pointer	007C706C	string_pointer	s_STRATEGS_007c706c	/string		0	0	0		0
0079AD00	PTR_DAT_0079ad00	/pointer	007C7064	initialized_data_pointer	DAT_007c7064	/undefined1		0	0	0		0
