kind	target	status	detail
case_type	/SubmarineTitans/Recovered/DiscriminatedPayloads/STGroupBoatC_SetOrderData_00498D20_Case_2	unchanged	generated layout already current
case_type	/SubmarineTitans/Recovered/DiscriminatedPayloads/STGroupBoatC_SetOrderData_00498D20_Case_4	unchanged	generated layout already current
case_type	/SubmarineTitans/Recovered/DiscriminatedPayloads/STGroupBoatC_SetOrderData_00498D20_Case_5	unchanged	generated layout already current
case_type	/SubmarineTitans/Recovered/DiscriminatedPayloads/STGroupBoatC_SetOrderData_00498D20_Case_6	unchanged	generated layout already current
case_type	/SubmarineTitans/Recovered/DiscriminatedPayloads/STGroupBoatC_SetOrderData_00498D20_Case_7	unchanged	generated layout already current
case_type	/SubmarineTitans/Recovered/DiscriminatedPayloads/STGroupBoatC_SetOrderData_00498D20_Case_8	unchanged	generated layout already current
case_type	/SubmarineTitans/Recovered/DiscriminatedPayloads/STGroupBoatC_SetOrderData_00498D20_Case_9	disabled	apply=0
case_type	/SubmarineTitans/Recovered/DiscriminatedPayloads/STGroupBoatC_SetOrderData_00498D20_Case_A	unchanged	generated layout already current
case_type	/SubmarineTitans/Recovered/DiscriminatedPayloads/STGroupBoatC_SetOrderData_00498D20_Case_B	preserved	type name occupied by a different/manual layout
case_type	/SubmarineTitans/Recovered/DiscriminatedPayloads/STGroupBoatC_SetOrderData_00498D20_Case_C	unchanged	generated layout already current
case_type	/SubmarineTitans/Recovered/DiscriminatedPayloads/STGroupBoatC_SetOrderData_00498D20_Case_D	unchanged	generated layout already current
case_type	/SubmarineTitans/Recovered/DiscriminatedPayloads/STGroupBoatC_SetOrderData_00498D20_Case_E	unchanged	generated layout already current
case_type	/SubmarineTitans/Recovered/DiscriminatedPayloads/STGroupBoatC_SetOrderData_00498D20_Case_F	unchanged	generated layout already current
case_type	/SubmarineTitans/Recovered/DiscriminatedPayloads/STGroupBoatC_SetOrderData_00498D20_Case_10	unchanged	generated layout already current
case_type	/SubmarineTitans/Recovered/DiscriminatedPayloads/STGroupBoatC_SetOrderData_00498D20_Case_11	unchanged	generated layout already current
case_type	/SubmarineTitans/Recovered/DiscriminatedPayloads/STGroupBoatC_SetOrderData_00498D20_Case_12	unchanged	generated layout already current
case_type	/SubmarineTitans/Recovered/DiscriminatedPayloads/STGroupBoatC_SetOrderData_00498D20_Case_13	unchanged	generated layout already current
case_type	/SubmarineTitans/Recovered/DiscriminatedPayloads/STGroupBoatC_SetOrderData_00498D20_Case_14	unchanged	generated layout already current
case_type	/SubmarineTitans/Recovered/DiscriminatedPayloads/STGroupBoatC_SetOrderData_00498D20_Case_15	preserved	type name occupied by a different/manual layout
case_type	/SubmarineTitans/Recovered/DiscriminatedPayloads/STGroupBoatC_SetOrderData_00498D20_Case_65	unchanged	generated layout already current
case_type	/SubmarineTitans/Recovered/DiscriminatedPayloads/Library__MSVCRT_FUN_0072da70_0072DA70_Case_1	unchanged	generated layout already current
case_type	/SubmarineTitans/Recovered/DiscriminatedPayloads/Library__MSVCRT_FUN_0072da70_0072DA70_Case_2	unchanged	generated layout already current
case_type	/SubmarineTitans/Recovered/DiscriminatedPayloads/Library__MSVCRT_FUN_0072da70_0072DA70_Case_3	unchanged	generated layout already current
case_type	/SubmarineTitans/Recovered/DiscriminatedPayloads/Library__MSVCRT_FUN_0073a330_0073A330_Case_1	unchanged	generated layout already current
case_type	/SubmarineTitans/Recovered/DiscriminatedPayloads/Library__MSVCRT_FUN_0073a330_0073A330_Case_2	unchanged	generated layout already current
case_type	/SubmarineTitans/Recovered/DiscriminatedPayloads/Library__MSVCRT_FUN_0073a330_0073A330_Case_3	unchanged	generated layout already current
case_union	/SubmarineTitans/Recovered/DiscriminatedPayloads/Library__MSVCRT_FUN_0072da70_0072DA70_Payload	unchanged	union already current
case_union	/SubmarineTitans/Recovered/DiscriminatedPayloads/Library__MSVCRT_FUN_0073a330_0073A330_Payload	unchanged	union already current
case_union	/SubmarineTitans/Recovered/DiscriminatedPayloads/STGroupBoatC_SetOrderData_00498D20_Payload	unchanged	union already current
