value_hex	value_decimal	known_names	handler_count	handlers
0x6992	27026	MESS_FSGSTY_6992	1	005A4350 FSGSTy::GetMessage
0x69FF	27135	MESS_SHARED_69FF	4	005B4BB0 MainMenuTy::GetMessage | 005B9330 MMsgTy::GetMessage | 005D1400 SettMapMTy::GetMessage | 005D5560 SettMapSTy::GetMessage
0x6A7F	27263	MESS_SHARED_6A7F	2	005D1400 SettMapMTy::GetMessage | 005D5560 SettMapSTy::GetMessage
0x6AFF	27391	MESS_SHARED_6AFF	2	005D1400 SettMapMTy::GetMessage | 005D5560 SettMapSTy::GetMessage
0x70FF	28927	MESS_MREPORTTY_70FF	1	005C1A90 MReportTy::GetMessage
0x7100	28928	MESS_STAPPC_7100	1	0056FA60 STAppC::GetMessage
0x7101	28929	MESS_STAPPC_7101	1	0056FA60 STAppC::GetMessage
0x7102	28930	MESS_STAPPC_7102	1	0056FA60 STAppC::GetMessage
0x7104	28932	MESS_STAPPC_7104	1	0056FA60 STAppC::GetMessage
0x7106	28934	MESS_AIBOSSCLASSTY_7106	1	00648030 AiBossClassTy::GetMessage
0x8160	33120	MESS_SHARED_8160	5	0051DDD0 HelpPanelTy::GetMessage | 00533D10 OptPanelTy::GetMessage | 005A4350 FSGSTy::GetMessage | 005BC5E0 PrividerTy::GetMessage | 005D9470 SIDTy::GetMessage
0x8161	33121	MESS_SIDTY_8161	2	00533D10 OptPanelTy::GetMessage | 005D9470 SIDTy::GetMessage
0x8162	33122	MESS_OPTPANELTY_8162	1	00533D10 OptPanelTy::GetMessage
0x8163	33123	MESS_SIDTY_8163	2	00533D10 OptPanelTy::GetMessage | 005D9470 SIDTy::GetMessage
0x8164	33124	MESS_OPTPANELTY_8164	2	00533D10 OptPanelTy::GetMessage | 005D9470 SIDTy::GetMessage
0x8165	33125	MESS_OPTPANELTY_8165	2	00533D10 OptPanelTy::GetMessage | 005D9470 SIDTy::GetMessage
0x8166	33126	MESS_SHARED_8166	5	0051DDD0 HelpPanelTy::GetMessage | 005A4350 FSGSTy::GetMessage | 005B0BA0 ChooseMapTy::GetMessage | 005BC5E0 PrividerTy::GetMessage | 005D9470 SIDTy::GetMessage
0xA0FF	41215	MESS_CURSORCLASSTY_A0FF	1	005449B0 CursorClassTy::GetMessage
0xA100	41216	MESS_CURSORCLASSTY_A100	1	005449B0 CursorClassTy::GetMessage
0xA101	41217	MESS_CURSORCLASSTY_A101	1	005449B0 CursorClassTy::GetMessage
0xA102	41218	MESS_CURSORCLASSTY_A102	1	005449B0 CursorClassTy::GetMessage
0xA105	41221	MESS_OPTPANELTY_A105	1	00533D10 OptPanelTy::GetMessage
0xA106	41222	MESS_OPTPANELTY_A106	1	00533D10 OptPanelTy::GetMessage
0xA10F	41231	MESS_CURSORCLASSTY_A10F	1	005449B0 CursorClassTy::GetMessage
0xA115	41237	MESS_CURSORCLASSTY_A115	1	005449B0 CursorClassTy::GetMessage
0xA123	41251	MESS_CURSORCLASSTY_A123	1	005449B0 CursorClassTy::GetMessage
0xA124	41252	MESS_CURSORCLASSTY_A124	1	005449B0 CursorClassTy::GetMessage
0xA133	41267	MESS_CURSORCLASSTY_A133	1	005449B0 CursorClassTy::GetMessage
0xA1FF	41471	MESS_CURSORCLASSTY_A1FF	1	005449B0 CursorClassTy::GetMessage
0xA203	41475	MESS_CURSORCLASSTY_A203	1	005449B0 CursorClassTy::GetMessage
0xA206	41478	MESS_CURSORCLASSTY_A206	1	005449B0 CursorClassTy::GetMessage
0xA207	41479	MESS_CURSORCLASSTY_A207	1	005449B0 CursorClassTy::GetMessage
0xA208	41480	MESS_CURSORCLASSTY_A208	1	005449B0 CursorClassTy::GetMessage
0xA209	41481	MESS_CURSORCLASSTY_A209	1	005449B0 CursorClassTy::GetMessage
0xA313	41747	MESS_CURSORCLASSTY_A313	1	005449B0 CursorClassTy::GetMessage
0xA31C	41756	MESS_CURSORCLASSTY_A31C	1	005449B0 CursorClassTy::GetMessage
0xA31D	41757	MESS_CURSORCLASSTY_A31D	1	005449B0 CursorClassTy::GetMessage
0xA326	41766	MESS_CURSORCLASSTY_A326	1	005449B0 CursorClassTy::GetMessage
0xA32F	41775	MESS_CURSORCLASSTY_A32F	1	005449B0 CursorClassTy::GetMessage
0xA330	41776	MESS_CURSORCLASSTY_A330	1	005449B0 CursorClassTy::GetMessage
0xA4FF	42239	MESS_CURSORCLASSTY_A4FF	1	005449B0 CursorClassTy::GetMessage
0xA500	42240	MESS_CURSORCLASSTY_A500	1	005449B0 CursorClassTy::GetMessage
0xA501	42241	MESS_CURSORCLASSTY_A501	1	005449B0 CursorClassTy::GetMessage
0xA502	42242	MESS_CURSORCLASSTY_A502	1	005449B0 CursorClassTy::GetMessage
0xA503	42243	MESS_CURSORCLASSTY_A503	1	005449B0 CursorClassTy::GetMessage
0xA504	42244	MESS_CURSORCLASSTY_A504	1	005449B0 CursorClassTy::GetMessage
0xA507	42247	MESS_CURSORCLASSTY_A507	1	005449B0 CursorClassTy::GetMessage
0xA50C	42252	MESS_CURSORCLASSTY_A50C	1	005449B0 CursorClassTy::GetMessage
0xA51A	42266	MESS_CURSORCLASSTY_A51A	1	005449B0 CursorClassTy::GetMessage
0xA6FF	42751	MESS_CURSORCLASSTY_A6FF	1	005449B0 CursorClassTy::GetMessage
0xA708	42760	MESS_CURSORCLASSTY_A708	1	005449B0 CursorClassTy::GetMessage
0xB0FF	45311	MESS_CURSORCLASSTY_B0FF	1	005449B0 CursorClassTy::GetMessage
0xB104	45316	MESS_CPANELTY_B104	1	004FB060 CPanelTy::GetMessage
0xB105	45317	MESS_CPANELTY_B105	1	004FB060 CPanelTy::GetMessage
0xB106	45318	MESS_CPANELTY_B106	1	004FB060 CPanelTy::GetMessage
0xB108	45320	MESS_FRMPANELTY_B108	1	005107C0 FrmPanelTy::GetMessage
0xB109	45321	MESS_FRMPANELTY_B109	1	005107C0 FrmPanelTy::GetMessage
0xB10A	45322	MESS_FRMPANELTY_B10A	1	005107C0 FrmPanelTy::GetMessage
0xB10B	45323	MESS_FRMPANELTY_B10B	1	005107C0 FrmPanelTy::GetMessage
0xB10D	45325	MESS_CPANELTY_B10D	1	004FB060 CPanelTy::GetMessage
0xB10E	45326	MESS_CPANELTY_B10E	2	004FB060 CPanelTy::GetMessage | 005107C0 FrmPanelTy::GetMessage
0xB110	45328	MESS_CPANELTY_B110	1	004FB060 CPanelTy::GetMessage
0xB164	45412	MESS_CPANELTY_B164	1	004FB060 CPanelTy::GetMessage
0xB16F	45423	MESS_CPANELTY_B16F	1	004FB060 CPanelTy::GetMessage
0xB174	45428	MESS_CPANELTY_B174	1	004FB060 CPanelTy::GetMessage
0xB1FF	45567	MESS_SHARED_B1FF	2	004EE4D0 BehPanelTy::GetMessage | 005522A0 TradePanelTy::GetMessage
0xB200	45568	MESS_BEHPANELTY_B200	2	004EE4D0 BehPanelTy::GetMessage | 005522A0 TradePanelTy::GetMessage
0xB201	45569	MESS_SHARED_B201	2	004EF6D0 BldBoatPanelTy::GetMessage | 005522A0 TradePanelTy::GetMessage
0xB202	45570	MESS_SHARED_B202	2	004EF6D0 BldBoatPanelTy::GetMessage | 005522A0 TradePanelTy::GetMessage
0xB205	45573	MESS_BLDOBJPANELTY_B205	1	004F1080 BldObjPanelTy::GetMessage
0xB206	45574	MESS_BLDOBJPANELTY_B206	1	004F1080 BldObjPanelTy::GetMessage
0xB207	45575	MESS_RESEARCHPANELTY_B207	1	0053CA80 ResearchPanelTy::GetMessage
0xB208	45576	MESS_MREPORTTY_B208	3	00521490 InfocPanelTy::GetMessage | 0053AFB0 PlayPanelTy::GetMessage | 005C1A90 MReportTy::GetMessage
0xB209	45577	MESS_PLAYPANELTY_B209	3	00521490 InfocPanelTy::GetMessage | 0053AFB0 PlayPanelTy::GetMessage | 005C1A90 MReportTy::GetMessage
0xB20A	45578	MESS_TRADEPANELTY_B20A	1	005522A0 TradePanelTy::GetMessage
0xB20B	45579	MESS_TRADEPANELTY_B20B	1	005522A0 TradePanelTy::GetMessage
0xB20C	45580	MESS_TRADEPANELTY_B20C	1	005522A0 TradePanelTy::GetMessage
0xB20E	45582	MESS_BEHPANELTY_B20E	1	004EE4D0 BehPanelTy::GetMessage
0xB4FF	46335	MESS_SAMPANELTY_B4FF	1	0053D4D0 SAMPanelTy::GetMessage
0xB507	46343	MESS_SAMPANELTY_B507	1	0053D4D0 SAMPanelTy::GetMessage
0xB508	46344	MESS_SAMPANELTY_B508	1	0053D4D0 SAMPanelTy::GetMessage
0xB50F	46351	MESS_SAMPANELTY_B50F	1	0053D4D0 SAMPanelTy::GetMessage
0xB517	46359	MESS_SAMPANELTY_B517	1	0053D4D0 SAMPanelTy::GetMessage
0xB518	46360	MESS_SAMPANELTY_B518	1	0053D4D0 SAMPanelTy::GetMessage
0xB526	46374	MESS_PLAYPANELTY_B526	1	0053AFB0 PlayPanelTy::GetMessage
0xB52F	46383	MESS_PLAYPANELTY_B52F	1	0053AFB0 PlayPanelTy::GetMessage
0xB536	46390	MESS_PLAYPANELTY_B536	1	0053AFB0 PlayPanelTy::GetMessage
0xB8FF	47359	MESS_INTERSYSTEMC_B8FF	1	00542F40 InterSystemC::GetMessage
0xB900	47360	MESS_INTERSYSTEMC_B900	1	00542F40 InterSystemC::GetMessage
0xB901	47361	MESS_INTERSYSTEMC_B901	1	00542F40 InterSystemC::GetMessage
0xB902	47362	MESS_INTERSYSTEMC_B902	1	00542F40 InterSystemC::GetMessage
0xB903	47363	MESS_INTERSYSTEMC_B903	1	00542F40 InterSystemC::GetMessage
0xB904	47364	MESS_INTERSYSTEMC_B904	1	00542F40 InterSystemC::GetMessage
0xB908	47368	MESS_INTERSYSTEMC_B908	1	00542F40 InterSystemC::GetMessage
0xBFFF	49151	MESS_SHARED_BFFF	5	0051DDD0 HelpPanelTy::GetMessage | 005397F0 PausePanelTy::GetMessage | 0053AFB0 PlayPanelTy::GetMessage | 0053EB70 SpecPanelTy::GetMessage | 005400F0 ProdPanelTy::GetMessage
0xC000	49152	MESS_SHARED_C000	5	0051DDD0 HelpPanelTy::GetMessage | 005397F0 PausePanelTy::GetMessage | 0053AFB0 PlayPanelTy::GetMessage | 0053EB70 SpecPanelTy::GetMessage | 005400F0 ProdPanelTy::GetMessage
0xC001	49153	MESS_OPTPANELTY_C001	1	00533D10 OptPanelTy::GetMessage
0xC002	49154	MESS_OPTPANELTY_C002	1	00533D10 OptPanelTy::GetMessage
0xC003	49155	MESS_OPTPANELTY_C003	1	00533D10 OptPanelTy::GetMessage
0xC004	49156	MESS_OPTPANELTY_C004	1	00533D10 OptPanelTy::GetMessage
0xC005	49157	MESS_SHARED_C005	3	00533D10 OptPanelTy::GetMessage | 005400F0 ProdPanelTy::GetMessage | 005522A0 TradePanelTy::GetMessage
0xC006	49158	MESS_OPTPANELTY_C006	3	00533D10 OptPanelTy::GetMessage | 005400F0 ProdPanelTy::GetMessage | 005522A0 TradePanelTy::GetMessage
0xC09F	49311	MESS_SHARED_C09F	5	004EE4D0 BehPanelTy::GetMessage | 004F0210 BldLabPanelTy::GetMessage | 005107C0 FrmPanelTy::GetMessage | 00522E80 IntercomPanelTy::GetMessage | 0053CA80 ResearchPanelTy::GetMessage
0xC0A0	49312	MESS_BEHPANELTY_C0A0	3	004EE4D0 BehPanelTy::GetMessage | 00522E80 IntercomPanelTy::GetMessage | 005DCE90 StartSystemTy::GetMessage
0xC0A1	49313	MESS_FSGSTY_C0A1	1	005A4350 FSGSTy::GetMessage
0xC0A2	49314	MESS_SHARED_C0A2	4	005B0BA0 ChooseMapTy::GetMessage | 005D1400 SettMapMTy::GetMessage | 005DCE90 StartSystemTy::GetMessage | 005EA680 WaitTy::GetMessage
0xC0A3	49315	MESS_SHARED_C0A3	2	004F0210 BldLabPanelTy::GetMessage | 0053CA80 ResearchPanelTy::GetMessage
0xC0A4	49316	MESS_BLDLABPANELTY_C0A4	1	004F0210 BldLabPanelTy::GetMessage
0xC0A5	49317	MESS_FRMPANELTY_C0A5	2	005107C0 FrmPanelTy::GetMessage | 005A4350 FSGSTy::GetMessage
0xC0AE	49326	MESS_OPTPANELTY_C0AE	2	004F0210 BldLabPanelTy::GetMessage | 00533D10 OptPanelTy::GetMessage
0xC0AF	49327	MESS_INTERCOMPANELTY_C0AF	1	00522E80 IntercomPanelTy::GetMessage
0xC0B1	49329	MESS_BEHPANELTY_C0B1	1	004EE4D0 BehPanelTy::GetMessage
0xC0B3	49331	MESS_BLDLABPANELTY_C0B3	1	004F0210 BldLabPanelTy::GetMessage
0xC0B4	49332	MESS_RESEARCHPANELTY_C0B4	1	0053CA80 ResearchPanelTy::GetMessage
0xC0B5	49333	MESS_SHARED_C0B5	2	0051DDD0 HelpPanelTy::GetMessage | 00533D10 OptPanelTy::GetMessage
0xFFFF	65535	MESS_COMBOTY_FFFF	1	00594440 ComboTy::GetMessage
