value_hex	value_decimal	known_names	handler_count	handlers
0x41	65	MESS_EDITORCLASSTY_0041	1	00722410 EditorClassTy::GetMessage
0x53	83	MESS_CONTROLCLASSTY_0053	1	0072B780 ControlClassTy::GetMessage
0x5B	91	MESS_RADIOCLASSTY_005B	1	0071E0E0 RadioClassTy::GetMessage
0x5C	92	MESS_LISTCLASSTY_005C	1	0071F3A0 ListClassTy::GetMessage
0x60	96	MESS_SHARED_0060	8	004FB060 CPanelTy::GetMessage | 0051DDD0 HelpPanelTy::GetMessage | 00521490 InfocPanelTy::GetMessage | 0052BF00 MoneyTy::GetMessage | 005449B0 CursorClassTy::GetMessage | 005C1A90 MReportTy::GetMessage | 0071CFD0 ButtonClassTy::GetMessage | 0072B780 ControlClassTy::GetMessage
0x61	97	MESS_SHARED_0061	4	004FB060 CPanelTy::GetMessage | 0051DDD0 HelpPanelTy::GetMessage | 00722410 EditorClassTy::GetMessage | 00723420 TabClassTy::GetMessage
0x62	98	MESS_TRACKBARCLASSTY_0062	1	00725020 TrackbarClassTy::GetMessage
0x64	100	MESS_SHARED_0064	6	005908B0 MAdvTy::GetMessage | 00594440 ComboTy::GetMessage | 005E4570 MTaskTy::GetMessage | 005E5FB0 MTestTy::GetMessage | 0071CFD0 ButtonClassTy::GetMessage | 0071E8B0 ViewerClassTy::GetMessage
0x66	102	MESS_INPUTCLASSTY_0066	1	0071CA50 InputClassTy::GetMessage
0x67	103	MESS_CURSORCLASSTY_0067	1	005449B0 CursorClassTy::GetMessage
0x68	104	MESS_SHARED_0068	3	005449B0 CursorClassTy::GetMessage | 0071F3A0 ListClassTy::GetMessage | 007244B0 SliderClassTy::GetMessage
0x100	256	MESS_OPTICCLASSC_0100	1	004A8920 OpticClassC::GetMessage
0x101	257	MESS_OPTICCLASSC_0101	1	004A8920 OpticClassC::GetMessage
0x104	260	MESS_OPTICCLASSC_0104	1	004A8920 OpticClassC::GetMessage
0x108	264	MESS_SHARED_0108	10	004B9FA0 TLOBaseTy::GetMessage | 004D55B0 TLOEmbryoTy::GetMessage | 00558840 VisibleClassTy::GetMessage | 0057E0A0 STDcResourcC::GetMessage | 005EAF10 STArtiafactC::GetMessage | 005F5F20 STColl3C::GetMessage | 005FB640 STContainerC::GetMessage | 00621B50 STMineSetC::GetMessage | 0062E740 STRubbishC::GetMessage | 006406D0 STTorpC::GetMessage
0x109	265	MESS_STSPRGAMEOBJC_0109	1	0041E530 STSprGameObjC::GetMessage
0x10F	271	MESS_SHARED_010F	41	00430A90 STAllPlayersC::GetMessage | 0044EE30 STBoatC::GetMessage | 00497E00 STGroupBoatC::GetMessage | 004A8920 OpticClassC::GetMessage | 004B9FA0 TLOBaseTy::GetMessage | 004D0B90 TLOFakeTy::GetMessage | 004D55B0 TLOEmbryoTy::GetMessage | 005564C0 TraksClassTy::GetMessage | 00558840 VisibleClassTy::GetMessage | 00575CB0 STAlgaC::GetMessage | 00578630 STCrabC::GetMessage | 0057BF60 STFishC::GetMessage | 0057E0A0 STDcResourcC::GetMessage | 00581BF0 STJellyManC::GetMessage | 00583270 STJellyGunC::GetMessage | 005859A0 STLBombC::GetMessage | 00588BC0 STMBombC::GetMessage | 00589C10 STOctopusC::GetMessage | 0058C760 STSatC::GetMessage | 0058D7C0 STSharkC::GetMessage | 005EAF10 STArtiafactC::GetMessage | 005F10D0 STManBasisC::GetMessage | 005F27C0 STBHEShellC::GetMessage | 005F5F20 STColl3C::GetMessage | 005FB640 STContainerC::GetMessage | 00601F80 STDestC::GetMessage | 00603740 STExplosion::GetMessage | 00617640 JumpManagC::GetMessage | 00618C00 STJumpMineC::GetMessage | 0061D190 STLightC::GetMessage | 00621B50 STMineSetC::GetMessage | 00627EB0 STParticleC::GetMessage | 0062CCA0 STManRub3C::GetMessage | 0062E740 STRubbishC::GetMessage | 00630430 STManRuinC::GetMessage | 006406D0 STTorpC::GetMessage | 006461E0 STVolcanoC::GetMessage | 00648030 AiBossClassTy::GetMessage | 00667D90 AiFltClassTy::GetMessage | 0067C7E0 AiPlrClassTy::GetMessage | 00690B90 AiTactClassTy::GetMessage
0x110	272	MESS_TORPHIT	10	0041E530 STSprGameObjC::GetMessage | 0044EE30 STBoatC::GetMessage | 004B9FA0 TLOBaseTy::GetMessage | 004D55B0 TLOEmbryoTy::GetMessage | 0057BF60 STFishC::GetMessage | 00583270 STJellyGunC::GetMessage | 0058D7C0 STSharkC::GetMessage | 005EAF10 STArtiafactC::GetMessage | 005FB640 STContainerC::GetMessage | 00621B50 STMineSetC::GetMessage
0x111	273	MESS_ID_ALLCREATE	10	00430A90 STAllPlayersC::GetMessage | 0044EE30 STBoatC::GetMessage | 004B9FA0 TLOBaseTy::GetMessage | 00558840 VisibleClassTy::GetMessage | 0057E0A0 STDcResourcC::GetMessage | 00603740 STExplosion::GetMessage | 00618C00 STJumpMineC::GetMessage | 00667D90 AiFltClassTy::GetMessage | 0067C7E0 AiPlrClassTy::GetMessage | 00690B90 AiTactClassTy::GetMessage
0x112	274	MESS_STOCTOPUSC_0112	12	0041E530 STSprGameObjC::GetMessage | 00583270 STJellyGunC::GetMessage | 005859A0 STLBombC::GetMessage | 00588BC0 STMBombC::GetMessage | 00589C10 STOctopusC::GetMessage | 0058C760 STSatC::GetMessage | 005F27C0 STBHEShellC::GetMessage | 00601F80 STDestC::GetMessage | 00603740 STExplosion::GetMessage | 00618C00 STJumpMineC::GetMessage | 00621B50 STMineSetC::GetMessage | 00627EB0 STParticleC::GetMessage
0x113	275	MESS_STSPRGAMEOBJC_0113	11	0041E530 STSprGameObjC::GetMessage | 00583270 STJellyGunC::GetMessage | 005859A0 STLBombC::GetMessage | 00588BC0 STMBombC::GetMessage | 00589C10 STOctopusC::GetMessage | 0058C760 STSatC::GetMessage | 005F27C0 STBHEShellC::GetMessage | 00601F80 STDestC::GetMessage | 00603740 STExplosion::GetMessage | 00618C00 STJumpMineC::GetMessage | 00621B50 STMineSetC::GetMessage
