apply	function_address	expected_function	parameter_ordinal	expected_parameter_name	expected_storage	expected_parameter_type	expected_parameter_source	expected_parameter_comment	definition_path	proposed_calling_convention	proposed_return_type	stack_parameter_count	proposed_parameter_types	target_addresses	target_sites	null_sites	unknown_sites	indirect_call_sites	confidence	evidence
0	0053D7A0	UPanelTy::PaintBut	4	param_4	Stack[0x10]:4	pointer:/undefined	DEFAULT		/SubmarineTitans/Recovered/FunctionPointerParameters/callback_0053D7A0_p4	__cdecl	/undefined4	3	/undefined4;/undefined4;/undefined4	00529F90|00529FE0	0051DDD0 HelpPanelTy::GetMessage -> 0053D7A0 @ 0051F195 passes 00401E88 thunk_FUN_00529fe0 | 0051DDD0 HelpPanelTy::GetMessage -> 0053D7A0 @ 0051F195 passes 004025C7 thunk_FUN_00529f90 | 00533D10 OptPanelTy::GetMessage -> 0053D7A0 @ 00534657 passes 00401E88 thunk_FUN_00529fe0 | 0053AFB0 PlayPanelTy::GetMessage -> 0053D7A0 @ 0053B51E passes 00401E88 thunk_FUN_00529fe0			0053D817 CALL dword ptr [EBP + 0x14]	review	indirect_calls=1, observed_argument_counts=[3], caller_cleanup_counts=[3], direct_calls=3, exact_target_sites=4, null_sites=0, unknown_sites=0, targets=[00529F90, 00529FE0], machine_abis=[__cdecl;/undefined4;3;/undefined4;/undefined4;/undefined4]; manual/imported parameter preserved
0	0053D920	UPanelTy::PaintTxtBut	6	param_6	Stack[0x18]:4	pointer:/undefined	DEFAULT		/SubmarineTitans/Recovered/FunctionPointerParameters/callback_0053D920_p6	__cdecl	/undefined4	1	/undefined4	0052A1E0|0052A230|0052A280	00533D10 OptPanelTy::GetMessage -> 0053D920 @ 00536FB2 passes 004039D1 thunk_FUN_0052a230 | 00533D10 OptPanelTy::GetMessage -> 0053D920 @ 00536FB2 passes 00404692 thunk_FUN_0052a280 | 00533D10 OptPanelTy::GetMessage -> 0053D920 @ 00536FB2 passes 00404D95 thunk_FUN_0052a1e0			0053D9FB CALL dword ptr [EBP + 0x1c]	review	indirect_calls=1, observed_argument_counts=[1], caller_cleanup_counts=[1], direct_calls=1, exact_target_sites=3, null_sites=0, unknown_sites=0, targets=[0052A1E0, 0052A230, 0052A280], machine_abis=[__cdecl;/undefined4;1;/undefined4]; manual/imported parameter preserved
0	0053DCC0	UPanelTy::PaintLBut	5	param_5	Stack[0x14]:4	pointer:/undefined	DEFAULT		/SubmarineTitans/Recovered/FunctionPointerParameters/callback_0053DCC0_p5									0053DD3A CALL dword ptr [EBP + 0x18]	review	indirect_calls=1, observed_argument_counts=[1], caller_cleanup_counts=[1], direct_calls=0, exact_target_sites=0, null_sites=0, unknown_sites=0, targets=[], machine_abis=[]; incomplete direct-call coverage; fewer than two exact target sites; cdecl caller cleanup is absent/conflicting; target machine ABIs are absent/conflicting; manual/imported parameter preserved
0	0053FCD0	ProdPanelTy::PaintTab	2	param_2	Stack[0x8]:4	pointer:/undefined	DEFAULT		/SubmarineTitans/Recovered/FunctionPointerParameters/callback_0053FCD0_p2	__cdecl	/undefined4	3	/undefined4;/undefined4;/undefined4	004EF5F0|0052A7B0	004EF6D0 BldBoatPanelTy::GetMessage -> 0053FCD0 @ 004EF7C4 passes 00402E7D thunk_FUN_004ef5f0 | 004F1080 BldObjPanelTy::GetMessage -> 0053FCD0 @ 004F1174 passes 00401BA4 thunk_FUN_0052a7b0			0053FD51 CALL dword ptr [EBP + 0xc]	review	indirect_calls=1, observed_argument_counts=[3], caller_cleanup_counts=[3], direct_calls=2, exact_target_sites=2, null_sites=0, unknown_sites=0, targets=[004EF5F0, 0052A7B0], machine_abis=[__cdecl;/undefined4;3;/undefined4;/undefined4;/undefined4, __cdecl;/undefined4;3;pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_0052A7B0_DD603BF4;/undefined4;/undefined4]; target machine ABIs are absent/conflicting; manual/imported parameter preserved
0	0053FEE0	ProdPanelTy::PaintTab	2	param_2	Stack[0x8]:4	pointer:/undefined	DEFAULT		/SubmarineTitans/Recovered/FunctionPointerParameters/callback_0053FEE0_p2	__cdecl	/undefined4	3	pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_0052A7B0_DD603BF4;/undefined4;/undefined4	0052A7B0	0053CA80 ResearchPanelTy::GetMessage -> 0053FEE0 @ 0053CCC5 passes 00401BA4 thunk_FUN_0052a7b0			0053FF61 CALL dword ptr [EBP + 0xc]	review	indirect_calls=1, observed_argument_counts=[3], caller_cleanup_counts=[3], direct_calls=1, exact_target_sites=1, null_sites=0, unknown_sites=0, targets=[0052A7B0], machine_abis=[__cdecl;/undefined4;3;pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_0052A7B0_DD603BF4;/undefined4;/undefined4]; fewer than two exact target sites; manual/imported parameter preserved
1	0055F0C0	FUN_0055f0c0	5	param_6	Stack[0x18]:4	pointer:/SubmarineTitans/Recovered/FunctionPointerParameters/callback_0055F0C0_p5	DEFAULT	[STFunctionPointerParameterApplier] exact function-address argument and indirect-call chain; targets=00562170	/SubmarineTitans/Recovered/FunctionPointerParameters/callback_0055F0C0_p5	__stdcall	/undefined4	2	/undefined4;/undefined4	00562170	0055F410 AiCalcDispositionAreas -> 0055F0C0 @ 00560849 passes 00562170 FUN_00562170 | 00562F50 AiAiCalcMinesFields -> 0055F0C0 @ 0056439A passes 00562170 FUN_00562170			0055F2CF CALL dword ptr [EBP + 0x1c]	high	indirect_calls=1, observed_argument_counts=[2], caller_cleanup_counts=[-1], direct_calls=2, exact_target_sites=2, null_sites=0, unknown_sites=0, targets=[00562170], machine_abis=[__stdcall;/undefined4;2;/undefined4;/undefined4]
1	0055F0C0	FUN_0055f0c0	6	param_7	Stack[0x1c]:4	pointer:/SubmarineTitans/Recovered/FunctionPointerParameters/callback_0055F0C0_p6	DEFAULT	[STFunctionPointerParameterApplier] exact function-address argument and indirect-call chain; targets=00562E10|00564DD0	/SubmarineTitans/Recovered/FunctionPointerParameters/callback_0055F0C0_p6	__stdcall	/undefined4	4	/undefined4;/undefined4;/undefined4;/undefined4	00562E10|00564DD0	0055F410 AiCalcDispositionAreas -> 0055F0C0 @ 00560849 passes 00562E10 FUN_00562e10 | 00562F50 AiAiCalcMinesFields -> 0055F0C0 @ 0056439A passes 00564DD0 FUN_00564dd0			0055F2A9 CALL dword ptr [EBP + 0x20]	high	indirect_calls=1, observed_argument_counts=[4], caller_cleanup_counts=[-1], direct_calls=2, exact_target_sites=2, null_sites=0, unknown_sites=0, targets=[00562E10, 00564DD0], machine_abis=[__stdcall;/undefined4;4;/undefined4;/undefined4;/undefined4;/undefined4]
1	00676C40	FUN_00676c40	1	param_2	Stack[0x8]:4	pointer:/SubmarineTitans/Recovered/FunctionPointerParameters/callback_00676C40_p1	DEFAULT	[STFunctionPointerParameterApplier] exact function-address argument and indirect-call chain; targets=00660D10|0067B350|0067BAF0|0067BB20|0068E7D0	/SubmarineTitans/Recovered/FunctionPointerParameters/callback_00676C40_p1	__cdecl	/undefined4	2	/undefined4;/undefined4	00660D10|0067B350|0067BAF0|0067BB20|0068E7D0	00664960 AiFltClassTy::sub_00664960 -> 00676C40 @ 00664AB9 passes 004013CF thunk_FUN_00660d10 | 00667D90 AiFltClassTy::GetMessage -> 00676C40 @ 00667EF0 passes 004013CF thunk_FUN_00660d10 | 0067B3C0 AiPlrClassTy::SetTech -> 00676C40 @ 0067B462 passes 004029B9 thunk_FUN_0067b350 | 0067C180 AiPlrClassTy::Offensive -> 00676C40 @ 0067C43D passes 004026FD thunk_FUN_0067baf0 | 0067C180 AiPlrClassTy::Offensive -> 00676C40 @ 0067C448 passes 004029B4 thunk_FUN_0067bb20 | 0067C180 AiPlrClassTy::Offensive -> 00676C40 @ 0067C5EE passes 004026FD thunk_FUN_0067baf0 | 0068EB30 AiTactClassTy::PrepareToSave -> 00676C40 @ 0068EBCB passes 0040242D thunk_FUN_0068e7d0 | 0068F020 AiTactClassTy::GiveObjByClaim -> 00676C40 @ 0068F0C1 passes 0040242D thunk_FUN_0068e7d0			00676C88 CALL dword ptr [EBP + 0xc]	high	indirect_calls=1, observed_argument_counts=[2], caller_cleanup_counts=[2], direct_calls=8, exact_target_sites=8, null_sites=0, unknown_sites=0, targets=[00660D10, 0067B350, 0067BAF0, 0067BB20, 0068E7D0], machine_abis=[__cdecl;/undefined4;2;/undefined4;/undefined4]
0	00676CE0	FUN_00676ce0	1	param_2	Stack[0x8]:4	pointer:/undefined	DEFAULT		/SubmarineTitans/Recovered/FunctionPointerParameters/callback_00676CE0_p1									00676D28 CALL dword ptr [EBP + 0xc]	review	indirect_calls=1, observed_argument_counts=[2], caller_cleanup_counts=[2], direct_calls=0, exact_target_sites=0, null_sites=0, unknown_sites=0, targets=[], machine_abis=[]; incomplete direct-call coverage; fewer than two exact target sites; cdecl caller cleanup is absent/conflicting; target machine ABIs are absent/conflicting
0	00683C70	FUN_00683c70	4	param_5	Stack[0x14]:4	pointer:/undefined	DEFAULT		/SubmarineTitans/Recovered/FunctionPointerParameters/callback_00683C70_p4							0056ADC0 STAppC::InitApp -> 00683C70 @ 0056C004 passes null | 0056FA60 STAppC::GetMessage -> 00683C70 @ 005709EA passes null | 006494C0 CreatePlrDataForWS -> 00683C70 @ 00649609 passes null | 00649790 CreatePlrDataForBO -> 00683C70 @ 006498D9 passes null | 00649B90 CreateBossData -> 00683C70 @ 00649D1E passes null | 00649FF0 FUN_00649ff0 -> 00683C70 @ 0064A111 passes null		00684152 CALL dword ptr [EBP + 0x18]	review	indirect_calls=1, observed_argument_counts=[1], caller_cleanup_counts=[1], direct_calls=6, exact_target_sites=0, null_sites=6, unknown_sites=0, targets=[], machine_abis=[]; fewer than two exact target sites; cdecl caller cleanup is absent/conflicting; target machine ABIs are absent/conflicting
0	0068CEC0	FUN_0068cec0	3	param_4	Stack[0x10]:4	pointer:/undefined	DEFAULT		/SubmarineTitans/Recovered/FunctionPointerParameters/callback_0068CEC0_p3									0068D2B8 CALL dword ptr [EBP + 0x14]	review	indirect_calls=1, observed_argument_counts=[4], caller_cleanup_counts=[4], direct_calls=0, exact_target_sites=0, null_sites=0, unknown_sites=0, targets=[], machine_abis=[]; incomplete direct-call coverage; fewer than two exact target sites; cdecl caller cleanup is absent/conflicting; target machine ABIs are absent/conflicting
0	006904D0	FUN_006904d0	1	param_1	Stack[0x4]:4	pointer:/undefined	DEFAULT		/SubmarineTitans/Recovered/FunctionPointerParameters/callback_006904D0_p1								0067A240 AiPlrClassTy::sub_0067A240 -> 006904D0 @ 0067A28F has an untracked callback argument	00690506 CALL dword ptr [EBP + 0x8]	review	indirect_calls=1, observed_argument_counts=[2], caller_cleanup_counts=[2], direct_calls=1, exact_target_sites=0, null_sites=0, unknown_sites=1, targets=[], machine_abis=[]; incomplete direct-call coverage; fewer than two exact target sites; cdecl caller cleanup is absent/conflicting; target machine ABIs are absent/conflicting
1	006ACCD0	FUN_006accd0	3	param_4	Stack[0x10]:4	pointer:/SubmarineTitans/Recovered/FunctionPointerParameters/callback_006ACCD0_p3	DEFAULT	[STFunctionPointerParameterApplier] exact function-address argument and indirect-call chain; targets=0040F1D0|0040F220|00575C80|006ECFC0	/SubmarineTitans/Recovered/FunctionPointerParameters/callback_006ACCD0_p3	__cdecl	/undefined4	2	/undefined4;/undefined4	0040F1D0|0040F220|00575C80|006ECFC0	0040EB90 FUN_0040eb90 -> 006ACCD0 @ 0040EE60 passes 0040F1D0 FUN_0040f1d0 | 0040EB90 FUN_0040eb90 -> 006ACCD0 @ 0040EF61 passes 0040F220 FUN_0040f220 | 00575CB0 STAlgaC::GetMessage -> 006ACCD0 @ 00576715 passes 00403AC6 thunk_FUN_00575c80 | 006ED100 Library::Ourlib::ST3DSPR::FUN_006ed100 -> 006ACCD0 @ 006EE942 passes 006ECFC0 FUN_006ecfc0			006ACD45 CALL dword ptr [EBP + 0x14] | 006ACD58 CALL dword ptr [EBP + 0x14] | 006ACE0C CALL dword ptr [EBP + 0x14]	high	indirect_calls=3, observed_argument_counts=[2], caller_cleanup_counts=[2], direct_calls=4, exact_target_sites=4, null_sites=0, unknown_sites=0, targets=[0040F1D0, 0040F220, 00575C80, 006ECFC0], machine_abis=[__cdecl;/undefined4;2;/undefined4;/undefined4]
0	00725910	FUN_00725910	3	param_4	Stack[0x10]:4	pointer:/undefined	DEFAULT		/SubmarineTitans/Recovered/FunctionPointerParameters/callback_00725910_p3	__cdecl	/undefined4	4	/undefined4;/undefined4;/undefined4;/undefined4	005DB030|00725C20	005BAE00 PrividerTy::NonePrivider -> 00725910 @ 005BB365 passes 00404E49 thunk_FUN_005db030 | 005BAE00 PrividerTy::NonePrivider -> 00725910 @ 005BB3D4 passes 00404E49 thunk_FUN_005db030 | 005D9470 SIDTy::GetMessage -> 00725910 @ 005D96FB passes 00725C20 FUN_00725c20 | 005E7FE0 WaitTy::ShowDescription -> 00725910 @ 005E8148 passes 00404E49 thunk_FUN_005db030 | 005E84D0 WaitTy::NoneWait -> 00725910 @ 005E8D28 passes 00404E49 thunk_FUN_005db030 | 005E84D0 WaitTy::NoneWait -> 00725910 @ 005E8D96 passes 00404E49 thunk_FUN_005db030		00725910 FUN_00725910 -> 00725910 @ 00725BC5 has an untracked callback argument	0072592A CALL dword ptr [EBP + 0x14] | 00725A48 CALL dword ptr [EBP + 0x14] | 00725BFE CALL dword ptr [EBP + 0x14]	review	indirect_calls=3, observed_argument_counts=[4], caller_cleanup_counts=[4], direct_calls=7, exact_target_sites=6, null_sites=0, unknown_sites=1, targets=[005DB030, 00725C20], machine_abis=[__cdecl;/undefined4;4;/undefined4;/undefined4;/undefined4;/undefined4, __cdecl;/undefined4;4;/winnt.h/LPCSTR;/undefined4;/undefined4;/undefined4]; incomplete direct-call coverage; target machine ABIs are absent/conflicting
0	0074EB3C	FUN_0074eb3c	1	param_1	Stack[0x4]:4	pointer:/undefined	DEFAULT		/SubmarineTitans/Recovered/FunctionPointerParameters/callback_0074EB3C_p1								0074EB6B FUN_0074eb6b -> 0074EB3C @ 0074EB90 has an untracked callback argument | 0074EB99 FUN_0074eb99 -> 0074EB3C @ 0074EBA6 has an untracked callback argument | 0074EBAE FUN_0074ebae -> 0074EB3C @ 0074EBBB has an untracked callback argument | 0074EBC3 FUN_0074ebc3 -> 0074EB3C @ 0074EBD0 has an untracked callback argument	0074EB56 CALL dword ptr [EBP + 0x8]	review	indirect_calls=1, observed_argument_counts=[2], caller_cleanup_counts=[-1], direct_calls=4, exact_target_sites=0, null_sites=0, unknown_sites=4, targets=[], machine_abis=[]; incomplete direct-call coverage; fewer than two exact target sites; cdecl caller cleanup is absent/conflicting; target machine ABIs are absent/conflicting
