apply	layout_apply	layout_name	proposed_name	owner	slot_count	named_slot_count	confidence	reason	strong_vptr_refs	all_code_refs	slot_owners	constructor_owners	vptr_writer_owners	primary_vptr_store	this_vptr_offsets	related_tables	table_address
1	1	VTable_0079E1B4	SystemWithNamedObjClassTyVTable	SystemWithNamedObjClassTy	9	0	high	unique_constructor_vptr_anchor	006E6115 SystemWithNamedObjClassTy::SystemWithNamedObjClassTy [vptr-store] MOV dword ptr [ESI],0x79e1b4	006E6115 SystemWithNamedObjClassTy::SystemWithNamedObjClassTy [vptr-store] MOV dword ptr [ESI],0x79e1b4		SystemWithNamedObjClassTy	SystemWithNamedObjClassTy	1	0x0	0079E188	0079E1B4
1	1	VTable_0079E21C	SpriteClassTyVTable	SpriteClassTy	3	0	high	unique_constructor_vptr_anchor	00715827 SpriteClassTy::SpriteClassTy [vptr-store] MOV dword ptr [EAX],0x79e21c	00715827 SpriteClassTy::SpriteClassTy [vptr-store] MOV dword ptr [EAX],0x79e21c		SpriteClassTy	SpriteClassTy	1	0x0	0079ADF4	0079E21C
0	1	VTable_0079E284	VTable_0079E284		4	0	medium	unnamed_vptr_store	0071B1BA FUN_0071b1b0 [vptr-store] MOV dword ptr [ESI],0x79e284	0071B1BA FUN_0071b1b0 [vptr-store] MOV dword ptr [ESI],0x79e284				1	0x0		0079E284
0	1	VTable_0079E294	VTable_0079E294		1	0	medium	unnamed_vptr_store	0071E048 FUN_0071e040 [vptr-store] MOV dword ptr [ESI],0x79e294	0071E048 FUN_0071e040 [vptr-store] MOV dword ptr [ESI],0x79e294				1	0x0		0079E294
0	1	VTable_0079E298	VTable_0079E298		7	0	medium	unnamed_vptr_store	0071E6FA FUN_0071e6f0 [vptr-store] MOV dword ptr [ESI],0x79e298	0071E6FA FUN_0071e6f0 [vptr-store] MOV dword ptr [ESI],0x79e298				1	0x0		0079E298
0	1	VTable_0079E2B4	VTable_0079E2B4		5	0	medium	unnamed_vptr_store	007209BA FUN_007209b0 [vptr-store] MOV dword ptr [ESI],0x79e2b4	007209BA FUN_007209b0 [vptr-store] MOV dword ptr [ESI],0x79e2b4				1	0x0		0079E2B4
0	1	VTable_0079E2C8	VTable_0079E2C8		4	0	medium	unnamed_vptr_store	0072431A FUN_00724310 [vptr-store] MOV dword ptr [ESI],0x79e2c8	0072431A FUN_00724310 [vptr-store] MOV dword ptr [ESI],0x79e2c8				1	0x0		0079E2C8
0	1	VTable_0079E360	VTable_0079E360		2	0	medium	unnamed_vptr_store	0072B70A FUN_0072b700 [vptr-store] MOV dword ptr [ESI],0x79e360	0072B70A FUN_0072b700 [vptr-store] MOV dword ptr [ESI],0x79e360				1	0x0		0079E360
0	1	VTable_007A1108	VTable_007A1108		8	0	medium	unnamed_vptr_store	00747609 FUN_00747603 [vptr-store] MOV dword ptr [ESI],0x7a1108 | 00747594 FUN_0074756b [vptr-store] MOV dword ptr [ESI],0x7a1108	00747609 FUN_00747603 [vptr-store] MOV dword ptr [ESI],0x7a1108 | 00747594 FUN_0074756b [vptr-store] MOV dword ptr [ESI],0x7a1108				1	0x0		007A1108
0	1	VTable_007A1128	VTable_007A1128		8	0	medium	unnamed_vptr_store	007478D8 FUN_007478d8 [vptr-store] MOV dword ptr [ECX],0x7a1128 | 0074788C FUN_00747874 [vptr-store] MOV dword ptr [ESI],0x7a1128	007478D8 FUN_007478d8 [vptr-store] MOV dword ptr [ECX],0x7a1128 | 0074788C FUN_00747874 [vptr-store] MOV dword ptr [ESI],0x7a1128				1	0x0		007A1128
0	1	VTable_007A1148	VTable_007A1148		22	0	medium	unnamed_vptr_store	00748AD3 FUN_00748ad3 [vptr-store] MOV dword ptr [ECX],0x7a1148 | 00748AAE FUN_00748a83 [vptr-store] MOV dword ptr [EAX],0x7a1148	00748AD3 FUN_00748ad3 [vptr-store] MOV dword ptr [ECX],0x7a1148 | 00748AAE FUN_00748a83 [vptr-store] MOV dword ptr [EAX],0x7a1148				1	0x0	0079DD34	007A1148
0	1	VTable_007A11A0	VTable_007A11A0		9	0	medium	unnamed_vptr_store	007496ED FUN_007496e0 [vptr-store] MOV dword ptr [EAX],0x7a11a0	007496ED FUN_007496e0 [vptr-store] MOV dword ptr [EAX],0x7a11a0				0	0xC	0079DCF8	007A11A0
0	1	VTable_007A11C8	VTable_007A11C8		6	0	medium	unnamed_vptr_store	007496E6 FUN_007496e0 [vptr-store] MOV dword ptr [ESI],0x7a11c8	007496E6 FUN_007496e0 [vptr-store] MOV dword ptr [ESI],0x7a11c8				1	0x0	007A1C08 | 007A1CB8 | 007A1D88	007A11C8
0	1	VTable_007A1378	VTable_007A1378		5	0	medium	unnamed_vptr_store	00749B2E FUN_00749a93 [vptr-store] MOV dword ptr [ESI + 0x10],0x7a1378 | 00749B70 FUN_00749b5f [vptr-store] MOV dword ptr [ESI + 0x10],0x7a1378	00749B2E FUN_00749a93 [vptr-store] MOV dword ptr [ESI + 0x10],0x7a1378 | 00749B70 FUN_00749b5f [vptr-store] MOV dword ptr [ESI + 0x10],0x7a1378				0	0x10	0079DD9C	007A1378
0	1	VTable_007A1390	VTable_007A1390		15	0	medium	unnamed_vptr_store	00749B27 FUN_00749a93 [vptr-store] MOV dword ptr [ESI + 0xc],0x7a1390 | 00749B69 FUN_00749b5f [vptr-store] MOV dword ptr [ESI + 0xc],0x7a1390	00749B27 FUN_00749a93 [vptr-store] MOV dword ptr [ESI + 0xc],0x7a1390 | 00749B69 FUN_00749b5f [vptr-store] MOV dword ptr [ESI + 0xc],0x7a1390				0	0xC	0079DB3C | 0079DDB0 | 007A15A8	007A1390
0	1	VTable_007A13D0	VTable_007A13D0		45	2	medium	slot_owner_may_be_inherited_from_related_table	00749B21 FUN_00749a93 [vptr-store] MOV dword ptr [ESI],0x7a13d0 | 00749B63 FUN_00749b5f [vptr-store] MOV dword ptr [ESI],0x7a13d0	00749B21 FUN_00749a93 [vptr-store] MOV dword ptr [ESI],0x7a13d0 | 00749B63 FUN_00749b5f [vptr-store] MOV dword ptr [ESI],0x7a13d0	CBaseRenderer			1	0x0	0079DB78 | 007A15E8 | 007A1C08 | 007A1CB8 | 007A1D88	007A13D0
0	1	VTable_007A1488	VTable_007A1488		9	0	medium	unnamed_vptr_store	0074A995 FUN_0074a95f [vptr-store] MOV dword ptr [ESI + 0x98],0x7a1488	0074A995 FUN_0074a95f [vptr-store] MOV dword ptr [ESI + 0x98],0x7a1488				0	0x98	0079DC3C | 0079DE58 | 007A1740 | 007A18C8	007A1488
0	1	VTable_007A14B0	VTable_007A14B0		5	0	medium	unnamed_vptr_store	0074A98E FUN_0074a95f [vptr-store] MOV dword ptr [ESI + 0x10],0x7a14b0	0074A98E FUN_0074a95f [vptr-store] MOV dword ptr [ESI + 0x10],0x7a14b0				0	0x10	0079DC60 | 0079DE7C | 007A1768 | 007A18F0	007A14B0
0	1	VTable_007A14C8	VTable_007A14C8		18	0	medium	unnamed_vptr_store	0074A987 FUN_0074a95f [vptr-store] MOV dword ptr [ESI + 0xc],0x7a14c8	0074A987 FUN_0074a95f [vptr-store] MOV dword ptr [ESI + 0xc],0x7a14c8				0	0xC	0079DC74 | 0079DE90 | 007A1780 | 007A1820 | 007A1908 | 007A19A8	007A14C8
0	1	VTable_007A1510	VTable_007A1510		15	0	medium	unnamed_vptr_store	0074A981 FUN_0074a95f [vptr-store] MOV dword ptr [ESI],0x7a1510	0074A981 FUN_0074a95f [vptr-store] MOV dword ptr [ESI],0x7a1510				1	0x0	0079DCBC	007A1510
0	1	VTable_007A1550	VTable_007A1550		5	0	medium	unnamed_vptr_store	0074AC10 FUN_0074abc4 [vptr-store] MOV dword ptr [ESI + 0xcc],0x7a1550 | 0074AC5F FUN_0074ac41 [vptr-store] MOV dword ptr [ECX + 0xcc],0x7a1550	0074AC10 FUN_0074abc4 [vptr-store] MOV dword ptr [ESI + 0xcc],0x7a1550 | 0074AC5F FUN_0074ac41 [vptr-store] MOV dword ptr [ECX + 0xcc],0x7a1550				0	0xCC	0079DAF0	007A1550
0	1	VTable_007A1568	VTable_007A1568		9	0	medium	unnamed_vptr_store	0074AC06 FUN_0074abc4 [vptr-store] MOV dword ptr [ESI + 0xc8],0x7a1568 | 0074AC55 FUN_0074ac41 [vptr-store] MOV dword ptr [ECX + 0xc8],0x7a1568	0074AC06 FUN_0074abc4 [vptr-store] MOV dword ptr [ESI + 0xc8],0x7a1568 | 0074AC55 FUN_0074ac41 [vptr-store] MOV dword ptr [ECX + 0xc8],0x7a1568				0	0xC8	0079DB04	007A1568
0	1	VTable_007A1590	VTable_007A1590		5	0	medium	unnamed_vptr_store	0074ABFF FUN_0074abc4 [vptr-store] MOV dword ptr [ESI + 0x10],0x7a1590 | 0074AC4E FUN_0074ac41 [vptr-store] MOV dword ptr [ECX + 0x10],0x7a1590	0074ABFF FUN_0074abc4 [vptr-store] MOV dword ptr [ESI + 0x10],0x7a1590 | 0074AC4E FUN_0074ac41 [vptr-store] MOV dword ptr [ECX + 0x10],0x7a1590				0	0x10	0079DB28	007A1590
0	1	VTable_007A15A8	VTable_007A15A8		15	0	medium	unnamed_vptr_store	0074ABF8 FUN_0074abc4 [vptr-store] MOV dword ptr [ESI + 0xc],0x7a15a8 | 0074AC47 FUN_0074ac41 [vptr-store] MOV dword ptr [ECX + 0xc],0x7a15a8	0074ABF8 FUN_0074abc4 [vptr-store] MOV dword ptr [ESI + 0xc],0x7a15a8 | 0074AC47 FUN_0074ac41 [vptr-store] MOV dword ptr [ECX + 0xc],0x7a15a8				0	0xC	0079DB3C | 007A1390	007A15A8
0	1	VTable_007A15E8	VTable_007A15E8		49	2	medium	slot_owner_may_be_inherited_from_related_table	0074ABF2 FUN_0074abc4 [vptr-store] MOV dword ptr [ESI],0x7a15e8 | 0074AC41 FUN_0074ac41 [vptr-store] MOV dword ptr [ECX],0x7a15e8	0074ABF2 FUN_0074abc4 [vptr-store] MOV dword ptr [ESI],0x7a15e8 | 0074AC41 FUN_0074ac41 [vptr-store] MOV dword ptr [ECX],0x7a15e8	CBaseRenderer			1	0x0	0079DB78 | 007A13D0 | 007A1C08 | 007A1CB8 | 007A1D88	007A15E8
0	1	VTable_007A1740	VTable_007A1740		9	0	medium	unnamed_vptr_store	0074C3C7 FUN_0074c38f [vptr-store] MOV dword ptr [ESI + 0x98],0x7a1740	0074C3C7 FUN_0074c38f [vptr-store] MOV dword ptr [ESI + 0x98],0x7a1740				0	0x98	0079DC3C | 0079DE58 | 007A1488 | 007A18C8	007A1740
0	1	VTable_007A1768	VTable_007A1768		5	0	medium	unnamed_vptr_store	0074C3C0 FUN_0074c38f [vptr-store] MOV dword ptr [ESI + 0x10],0x7a1768	0074C3C0 FUN_0074c38f [vptr-store] MOV dword ptr [ESI + 0x10],0x7a1768				0	0x10	0079DC60 | 0079DE7C | 007A14B0 | 007A18F0	007A1768
0	1	VTable_007A1780	VTable_007A1780		18	0	medium	unnamed_vptr_store	0074C3B9 FUN_0074c38f [vptr-store] MOV dword ptr [ESI + 0xc],0x7a1780	0074C3B9 FUN_0074c38f [vptr-store] MOV dword ptr [ESI + 0xc],0x7a1780				0	0xC	0079DC74 | 0079DE90 | 007A14C8 | 007A1820 | 007A1908	007A1780
0	1	VTable_007A17C8	VTable_007A17C8		15	0	medium	unnamed_vptr_store	0074C3B3 FUN_0074c38f [vptr-store] MOV dword ptr [ESI],0x7a17c8	0074C3B3 FUN_0074c38f [vptr-store] MOV dword ptr [ESI],0x7a17c8				1	0x0	0079DED8 | 007A1950	007A17C8
0	1	VTable_007A1808	VTable_007A1808		5	0	medium	unnamed_vptr_store	0074C690 FUN_0074c658 [vptr-store] MOV dword ptr [ESI + 0x10],0x7a1808 | 0074C6D2 FUN_0074c6ba [vptr-store] MOV dword ptr [ESI + 0x10],0x7a1808	0074C690 FUN_0074c658 [vptr-store] MOV dword ptr [ESI + 0x10],0x7a1808 | 0074C6D2 FUN_0074c6ba [vptr-store] MOV dword ptr [ESI + 0x10],0x7a1808				0	0x10	007A1990	007A1808
0	1	VTable_007A1820	VTable_007A1820		18	0	medium	unnamed_vptr_store	0074C689 FUN_0074c658 [vptr-store] MOV dword ptr [ESI + 0xc],0x7a1820 | 0074C6CB FUN_0074c6ba [vptr-store] MOV dword ptr [ESI + 0xc],0x7a1820	0074C689 FUN_0074c658 [vptr-store] MOV dword ptr [ESI + 0xc],0x7a1820 | 0074C6CB FUN_0074c6ba [vptr-store] MOV dword ptr [ESI + 0xc],0x7a1820				0	0xC	0079DC74 | 007A14C8 | 007A1780 | 007A19A8	007A1820
0	1	VTable_007A1868	VTable_007A1868		23	0	medium	unnamed_vptr_store	0074C683 FUN_0074c658 [vptr-store] MOV dword ptr [ESI],0x7a1868 | 0074C6C3 FUN_0074c6ba [vptr-store] MOV dword ptr [ESI],0x7a1868	0074C683 FUN_0074c658 [vptr-store] MOV dword ptr [ESI],0x7a1868 | 0074C6C3 FUN_0074c6ba [vptr-store] MOV dword ptr [ESI],0x7a1868				1	0x0	007A19F0	007A1868
