apply	layout_apply	layout_name	proposed_name	owner	slot_count	named_slot_count	confidence	reason	strong_vptr_refs	all_code_refs	slot_owners	constructor_owners	vptr_writer_owners	primary_vptr_store	this_vptr_offsets	related_tables	table_address
1	1	VTable_007900A0	STGameObjCVTable	STGameObjC	53	2	high	confirmed_recovery_anchor	004158EC STGameObjC::STGameObjC [vptr-store] MOV dword ptr [ESI],0x7900a0	004158EC STGameObjC::STGameObjC [vptr-store] MOV dword ptr [ESI],0x7900a0	STGameObjC	STGameObjC	STGameObjC	1	0x0	00790AA0 | 00797560 | 00798C70 | 0079B238 | 0079B3C4 | 0079B528 | 0079B68C | 0079B78C | 0079B8F0 | 0079BA54 | 0079BBB8 | 0079BD1C | 0079BE80 | 0079C3EC | 0079C5AC | 0079C8A0 | 0079C9B0 | 0079CB14 | 0079CC28 | 0079CD94 | 0079CEFC | 0079D098 | 0079D1D8 | 0079D33C | 0079D4AC	007900A0
0	1	VTable_00790508	STGroupCVTable	STGroupC	10	4	medium	confirmed_anchor_conflicts_with_constructor	004232AA STGroupBoatC::sub_004232A0 [vptr-store] MOV dword ptr [ESI],0x790508	004232AA STGroupBoatC::sub_004232A0 [vptr-store] MOV dword ptr [ESI],0x790508	STGroupC	STGroupBoatC	STGroupBoatC	1	0x0		00790508
1	1	VTable_0079059C	STAllPlayersCVTable	STAllPlayersC	1	1	high	unique_constructor_vptr_anchor	0042A955 STAllPlayersC::STAllPlayersC [vptr-store] MOV dword ptr [ESI],0x79059c	0042A955 STAllPlayersC::STAllPlayersC [vptr-store] MOV dword ptr [ESI],0x79059c	STAllPlayersC	STAllPlayersC	STAllPlayersC	1	0x0		0079059C
1	1	VTable_007905A0	STBoatCVTable	STBoatC	73	16	high	unique_constructor_vptr_anchor	0044E6B9 STBoatC::STBoatC [vptr-store] MOV dword ptr [ESI],0x7905a0	0044E6B9 STBoatC::STBoatC [vptr-store] MOV dword ptr [ESI],0x7905a0	STBoatC | STGameObjC	STBoatC	STBoatC	1	0x0		007905A0
0	1	VTable_00790700	VTable_00790700		1	0	medium	named_nonconstructor_vptr_writer_review	0044E6A6 STBoatC::STBoatC [vptr-store] MOV dword ptr [EDI],0x790700	0044E6A6 STBoatC::STBoatC [vptr-store] MOV dword ptr [EDI],0x790700			STBoatC	0	0x1D5		00790700
0	1	VTable_00790708	VTable_00790708		1	0	medium	unnamed_vptr_store	004956F8 FUN_004956f0 [vptr-store] MOV dword ptr [ESI],0x790708	004956F8 FUN_004956f0 [vptr-store] MOV dword ptr [ESI],0x790708				1	0x0		00790708
1	1	VTable_00790710	DumpClassCVTable	DumpClassC	1	1	high	unique_constructor_vptr_anchor	00495928 DumpClassC::DumpClassC [vptr-store] MOV dword ptr [ESI],0x790710	00495928 DumpClassC::DumpClassC [vptr-store] MOV dword ptr [ESI],0x790710	DumpClassC	DumpClassC	DumpClassC	1	0x0		00790710
1	1	VTable_00790728	STGroupBoatCVTable	STGroupBoatC	10	7	high	unique_constructor_vptr_anchor	00497B05 STGroupBoatC::STGroupBoatC [vptr-store] MOV dword ptr [ESI],0x790728	00497B05 STGroupBoatC::STGroupBoatC [vptr-store] MOV dword ptr [ESI],0x790728	STGroupBoatC	STGroupBoatC	STGroupBoatC	1	0x0		00790728
1	1	VTable_00790758	OpticClassCVTable	OpticClassC	1	1	high	unique_constructor_vptr_anchor	004A88C8 OpticClassC::OpticClassC [vptr-store] MOV dword ptr [ESI],0x790758	004A88C8 OpticClassC::OpticClassC [vptr-store] MOV dword ptr [ESI],0x790758	OpticClassC	OpticClassC	OpticClassC	1	0x0		00790758
0	1	VTable_00790790	VTable_00790790		1	0	medium	unnamed_vptr_store	004AB814 FUN_004ab810 [vptr-store] MOV dword ptr [EAX],0x790790	004AB814 FUN_004ab810 [vptr-store] MOV dword ptr [EAX],0x790790				1	0x0		00790790
1	1	VTable_00790AA0	TLOBaseTyVTable	TLOBaseTy	73	8	high	unique_constructor_vptr_anchor	004B7F47 TLOBaseTy::TLOBaseTy [vptr-store] MOV dword ptr [ESI],0x790aa0	004B7F47 TLOBaseTy::TLOBaseTy [vptr-store] MOV dword ptr [ESI],0x790aa0	STGameObjC | TLOBaseTy	TLOBaseTy	TLOBaseTy	1	0x0	007900A0 | 00797560 | 00798C70 | 0079B238 | 0079B3C4 | 0079B68C | 0079B78C | 0079B8F0 | 0079BA54 | 0079BBB8 | 0079BD1C | 0079BE80 | 0079C5AC | 0079C8A0 | 0079C9B0 | 0079CB14 | 0079CC28 | 0079CD94 | 0079D098 | 0079D1D8 | 0079D33C | 0079D4AC	00790AA0
0	1	VTable_00790C00	VTable_00790C00		1	0	medium	named_nonconstructor_vptr_writer_review	004B7F0B TLOBaseTy::TLOBaseTy [vptr-store] MOV dword ptr [EDI],0x790c00	004B7F0B TLOBaseTy::TLOBaseTy [vptr-store] MOV dword ptr [EDI],0x790c00			TLOBaseTy	0	0x1D5		00790C00
1	1	VTable_00790C04	TLOBldMarkVTable	TLOBldMark	1	1	high	unique_constructor_vptr_anchor	004C60AA TLOBldMark::TLOBldMark [vptr-store] MOV dword ptr [ESI],0x790c04	004C60AA TLOBldMark::TLOBldMark [vptr-store] MOV dword ptr [ESI],0x790c04	TLOBldMark	TLOBldMark	TLOBldMark	1	0x0		00790C04
1	1	VTable_00797560	TLOFakeTyVTable	TLOFakeTy	73	2	high	unique_constructor_vptr_anchor	004D093C TLOFakeTy::TLOFakeTy [vptr-store] MOV dword ptr [ESI],0x797560	004D093C TLOFakeTy::TLOFakeTy [vptr-store] MOV dword ptr [ESI],0x797560	STGameObjC | TLOFakeTy	TLOFakeTy	TLOFakeTy	1	0x0	007900A0 | 00790AA0 | 00798C70 | 0079B238 | 0079B3C4 | 0079B528 | 0079B68C | 0079B78C | 0079B8F0 | 0079BA54 | 0079BBB8 | 0079BD1C | 0079BE80 | 0079C3EC | 0079C5AC | 0079C8A0 | 0079C9B0 | 0079CB14 | 0079CC28 | 0079CD94 | 0079CEFC | 0079D098 | 0079D1D8 | 0079D33C | 0079D4AC	00797560
0	1	VTable_007976C0	VTable_007976C0		1	0	medium	named_nonconstructor_vptr_writer_review	004D0936 TLOFakeTy::TLOFakeTy [vptr-store] MOV dword ptr [EDI],0x7976c0	004D0936 TLOFakeTy::TLOFakeTy [vptr-store] MOV dword ptr [EDI],0x7976c0			TLOFakeTy	0	0x1D5		007976C0
0	1	VTable_00798C6C	VTable_00798C6C		1	0	medium	unnamed_vptr_store	004D0FE6 FUN_004d0fc0 [vptr-store] MOV dword ptr [EDI],0x798c6c	004D0FE6 FUN_004d0fc0 [vptr-store] MOV dword ptr [EDI],0x798c6c				0	0x1D5		00798C6C
0	1	VTable_00798C70	VTable_00798C70		73	3	low	competing_slot_owners_left_unresolved	004D0FE0 FUN_004d0fc0 [vptr-store] MOV dword ptr [ESI],0x798c70	004D0FE0 FUN_004d0fc0 [vptr-store] MOV dword ptr [ESI],0x798c70	STGameObjC | TLOBaseTy | TLOEmbryoTy			1	0x0	007900A0 | 00790AA0 | 00797560 | 0079B238 | 0079B3C4 | 0079B528 | 0079B68C | 0079B78C | 0079B8F0 | 0079BA54 | 0079BBB8 | 0079BD1C | 0079BE80 | 0079C3EC | 0079C5AC | 0079C8A0 | 0079C9B0 | 0079CB14 | 0079CC28 | 0079CD94 | 0079CEFC | 0079D098 | 0079D1D8 | 0079D33C | 0079D4AC	00798C70
0	0	VTable_0079AB74	VTable_0079AB74		9	9	low	competing_slot_owners_left_unresolved			BehPanelTy | PanelTy | SpecPanelTy			0		0079ABA0 | 0079ABC8 | 0079ABF0 | 0079AC48 | 0079AC9C | 0079AD10 | 0079AD2C | 0079AD48 | 0079AD64 | 0079AD8C | 0079AE64 | 0079AE90	0079AB74
0	0	VTable_0079ABA0	VTable_0079ABA0		8	7	low	competing_slot_owners_left_unresolved			BldBoatPanelTy | PanelTy			0		0079AB74 | 0079ABC8 | 0079ABF0 | 0079AC48 | 0079AC9C | 0079AD10 | 0079AD2C | 0079AD48 | 0079AD64 | 0079AD8C | 0079AE64 | 0079AE90	0079ABA0
0	0	VTable_0079ABC8	VTable_0079ABC8		8	8	low	competing_slot_owners_left_unresolved			BldLabPanelTy | PanelTy | ProdPanelTy			0		0079AB74 | 0079ABA0 | 0079ABF0 | 0079AC48 | 0079AC9C | 0079AD10 | 0079AD2C | 0079AD48 | 0079AD64 | 0079AD8C | 0079AE64 | 0079AE90	0079ABC8
0	0	VTable_0079ABF0	VTable_0079ABF0		8	7	low	competing_slot_owners_left_unresolved			BldObjPanelTy | PanelTy			0		0079AB74 | 0079ABA0 | 0079ABC8 | 0079AC48 | 0079AC9C | 0079AD10 | 0079AD2C | 0079AD48 | 0079AD64 | 0079AD8C | 0079AE64 | 0079AE90	0079ABF0
0	1	VTable_0079AC18	VTable_0079AC18		10	10	low	competing_slot_owners_left_unresolved	004F4F9C FUN_004f4f90 [vptr-store] MOV dword ptr [ESI],0x79ac18	004F4F9C FUN_004f4f90 [vptr-store] MOV dword ptr [ESI],0x79ac18	CPanelTy | FrmPanelTy | PanelTy | SpecPanelTy			1	0x0	0079AC6C	0079AC18
0	1	VTable_0079AC48	HelpPanelTyVTable	HelpPanelTy	7	7	medium	derived_owner_from_rare_override	00510CB9 FUN_00510c80 [vptr-store] MOV dword ptr [ESI],0x79ac48	00510CB9 FUN_00510c80 [vptr-store] MOV dword ptr [ESI],0x79ac48	HelpPanelTy | PanelTy			1	0x0	0079AB74 | 0079ABA0 | 0079ABC8 | 0079ABF0 | 0079AC9C | 0079AD10 | 0079AD2C | 0079AD48 | 0079AD64 | 0079AD8C | 0079AE64 | 0079AE90	0079AC48
0	0	VTable_0079AC6C	VTable_0079AC6C		10	10	low	competing_slot_owners_left_unresolved			HelpStringTy | InfocPanelTy | PanelTy | SpecPanelTy			0		0079AC18	0079AC6C
0	0	VTable_0079AC9C	VTable_0079AC9C		6	6	low	competing_slot_owners_left_unresolved			IntercomPanelTy | PanelTy			0		0079AB74 | 0079ABA0 | 0079ABC8 | 0079ABF0 | 0079AC48 | 0079AD10 | 0079AD2C | 0079AD48 | 0079AD64 | 0079AD8C | 0079AE64 | 0079AE90	0079AC9C
0	0	VTable_0079AD10	VTable_0079AD10		6	6	low	competing_slot_owners_left_unresolved			OptPanelTy | PanelTy			0		0079AB74 | 0079ABA0 | 0079ABC8 | 0079ABF0 | 0079AC48 | 0079AC9C | 0079AD2C | 0079AD48 | 0079AD64 | 0079AD8C | 0079AE64 | 0079AE90	0079AD10
0	0	VTable_0079AD2C	VTable_0079AD2C		6	6	low	competing_slot_owners_left_unresolved			PanelTy | PausePanelTy			0		0079AB74 | 0079ABA0 | 0079ABC8 | 0079ABF0 | 0079AC48 | 0079AC9C | 0079AD10 | 0079AD48 | 0079AD64 | 0079AD8C | 0079AE64 | 0079AE90	0079AD2C
0	0	VTable_0079AD48	VTable_0079AD48		6	6	low	competing_slot_owners_left_unresolved			PanelTy | PlayPanelTy			0		0079AB74 | 0079ABA0 | 0079ABC8 | 0079ABF0 | 0079AC48 | 0079AC9C | 0079AD10 | 0079AD2C | 0079AD64 | 0079AD8C | 0079AE64 | 0079AE90	0079AD48
0	0	VTable_0079AD64	VTable_0079AD64		8	7	low	competing_slot_owners_left_unresolved			PanelTy | ResearchPanelTy			0		0079AB74 | 0079ABA0 | 0079ABC8 | 0079ABF0 | 0079AC48 | 0079AC9C | 0079AD10 | 0079AD2C | 0079AD48 | 0079AD8C | 0079AE64 | 0079AE90	0079AD64
0	0	VTable_0079AD8C	VTable_0079AD8C		9	9	low	competing_slot_owners_left_unresolved			PanelTy | SAMPanelTy | SpecPanelTy			0		0079AB74 | 0079ABA0 | 0079ABC8 | 0079ABF0 | 0079AC48 | 0079AC9C | 0079AD10 | 0079AD2C | 0079AD48 | 0079AD64 | 0079AE64 | 0079AE90	0079AD8C
1	1	VTable_0079ADB8	InterSystemCVTable	InterSystemC	9	3	high	unique_constructor_vptr_anchor	00542453 InterSystemC::InterSystemC [vptr-store] MOV dword ptr [ESI],0x79adb8	00542453 InterSystemC::InterSystemC [vptr-store] MOV dword ptr [ESI],0x79adb8	InterSystemC	InterSystemC	InterSystemC	1	0x0	0079B1B4 | 0079B20C | 0079C1E8 | 0079E188	0079ADB8
0	0	VTable_0079ADF4	VTable_0079ADF4		3	0	low	function_pointer_run_without_owner						0		0079E21C	0079ADF4
1	1	VTable_0079AE38	STPlaySystemCVTable	STPlaySystemC	9	4	high	unique_constructor_vptr_anchor	0054CB53 STPlaySystemC::STPlaySystemC [vptr-store] MOV dword ptr [ESI],0x79ae38	0054CB53 STPlaySystemC::STPlaySystemC [vptr-store] MOV dword ptr [ESI],0x79ae38	STPlaySystemC	STPlaySystemC	STPlaySystemC	1	0x0		0079AE38
0	0	VTable_0079AE64	VTable_0079AE64		9	9	low	competing_slot_owners_left_unresolved			PanelTy | SpecPanelTy | TradePanelTy			0		0079AB74 | 0079ABA0 | 0079ABC8 | 0079ABF0 | 0079AC48 | 0079AC9C | 0079AD10 | 0079AD2C | 0079AD48 | 0079AD64 | 0079AD8C | 0079AE90	0079AE64
0	0	VTable_0079AE90	VTable_0079AE90		9	9	low	competing_slot_owners_left_unresolved			PanelTy | SpecPanelTy | UpgPanelTy			0		0079AB74 | 0079ABA0 | 0079ABC8 | 0079ABF0 | 0079AC48 | 0079AC9C | 0079AD10 | 0079AD2C | 0079AD48 | 0079AD64 | 0079AD8C | 0079AE64	0079AE90
1	1	VTable_0079AEC0	TraksClassTyVTable	TraksClassTy	1	1	high	unique_constructor_vptr_anchor	005556D9 TraksClassTy::TraksClassTy [vptr-store] MOV dword ptr [ESI],0x79aec0	005556D9 TraksClassTy::TraksClassTy [vptr-store] MOV dword ptr [ESI],0x79aec0	TraksClassTy	TraksClassTy	TraksClassTy	1	0x0		0079AEC0
1	1	VTable_0079AEEC	VisibleClassTyVTable	VisibleClassTy	1	1	high	unique_constructor_vptr_anchor	005577C9 VisibleClassTy::VisibleClassTy [vptr-store] MOV dword ptr [ESI],0x79aeec	005577C9 VisibleClassTy::VisibleClassTy [vptr-store] MOV dword ptr [ESI],0x79aeec	VisibleClassTy	VisibleClassTy	VisibleClassTy	1	0x0		0079AEEC
1	1	VTable_0079AEFC	CFsgsConnectionVTable	CFsgsConnection	23	2	high	unique_slot_owner_and_vptr_store	0055BD46 FUN_0055bd40 [vptr-store] MOV dword ptr [ESI],0x79aefc | 0055BCBD FUN_0055bcb0 [vptr-store] MOV dword ptr [0x00802a90],0x79aefc	0055BD46 FUN_0055bd40 [vptr-store] MOV dword ptr [ESI],0x79aefc | 0055BCBD FUN_0055bcb0 [vptr-store] MOV dword ptr [0x00802a90],0x79aefc	CFsgsConnection			1	0x0 | unknown		0079AEFC
1	1	VTable_0079B0A8	STAppCVTable	STAppC	7	4	high	unique_constructor_vptr_anchor	0056A67D STAppC::STAppC [vptr-store] MOV dword ptr [ESI],0x79b0a8	0056A67D STAppC::STAppC [vptr-store] MOV dword ptr [ESI],0x79b0a8	STAppC	STAppC	STAppC	1	0x0		0079B0A8
1	1	VTable_0079B1B4	BaseSystemCVTable	BaseSystemC	9	1	high	unique_constructor_vptr_anchor	00576AB1 BaseSystemC::BaseSystemC [vptr-store] MOV dword ptr [ESI],0x79b1b4	00576AB1 BaseSystemC::BaseSystemC [vptr-store] MOV dword ptr [ESI],0x79b1b4	BaseSystemC	BaseSystemC	BaseSystemC	1	0x0	0079ADB8 | 0079B20C | 0079C1E8 | 0079E188	0079B1B4
1	1	VTable_0079B1E0	GameSystemCVTable	GameSystemC	9	4	high	unique_constructor_vptr_anchor	00576DE1 GameSystemC::GameSystemC [vptr-store] MOV dword ptr [ESI],0x79b1e0	00576DE1 GameSystemC::GameSystemC [vptr-store] MOV dword ptr [ESI],0x79b1e0	GameSystemC	GameSystemC	GameSystemC	1	0x0		0079B1E0
1	1	VTable_0079B20C	DebugSystemCVTable	DebugSystemC	9	1	high	unique_constructor_vptr_anchor	005781D4 DebugSystemC::DebugSystemC [vptr-store] MOV dword ptr [ESI],0x79b20c	005781D4 DebugSystemC::DebugSystemC [vptr-store] MOV dword ptr [ESI],0x79b20c	DebugSystemC	DebugSystemC	DebugSystemC	1	0x0	0079ADB8 | 0079B1B4 | 0079C1E8 | 0079E188	0079B20C
1	1	VTable_0079B238	STCrabCVTable	STCrabC	73	3	high	unique_constructor_vptr_anchor	005785FC STCrabC::STCrabC [vptr-store] MOV dword ptr [ESI],0x79b238	005785FC STCrabC::STCrabC [vptr-store] MOV dword ptr [ESI],0x79b238	STCrabC | STGameObjC	STCrabC	STCrabC	1	0x0	007900A0 | 00790AA0 | 00797560 | 00798C70 | 0079B3C4 | 0079B528 | 0079B68C | 0079B78C | 0079B8F0 | 0079BA54 | 0079BBB8 | 0079BD1C | 0079BE80 | 0079C3EC | 0079C5AC | 0079C8A0 | 0079C9B0 | 0079CB14 | 0079CC28 | 0079CD94 | 0079CEFC | 0079D098 | 0079D1D8 | 0079D33C | 0079D4AC	0079B238
0	1	VTable_0079B398	VTable_0079B398		1	0	medium	named_nonconstructor_vptr_writer_review	005785F6 STCrabC::STCrabC [vptr-store] MOV dword ptr [EDI],0x79b398	005785F6 STCrabC::STCrabC [vptr-store] MOV dword ptr [EDI],0x79b398			STCrabC	0	0x1D5		0079B398
1	1	VTable_0079B3C4	STFishCVTable	STFishC	73	3	high	unique_constructor_vptr_anchor	0057BD3C STFishC::STFishC [vptr-store] MOV dword ptr [ESI],0x79b3c4	0057BD3C STFishC::STFishC [vptr-store] MOV dword ptr [ESI],0x79b3c4	STFishC | STGameObjC	STFishC	STFishC	1	0x0	007900A0 | 00790AA0 | 00797560 | 00798C70 | 0079B238 | 0079B528 | 0079B68C | 0079B78C | 0079B8F0 | 0079BA54 | 0079BBB8 | 0079BD1C | 0079BE80 | 0079C3EC | 0079C5AC | 0079C8A0 | 0079C9B0 | 0079CB14 | 0079CC28 | 0079CD94 | 0079CEFC | 0079D098 | 0079D1D8 | 0079D33C | 0079D4AC	0079B3C4
0	1	VTable_0079B524	VTable_0079B524		1	0	medium	named_nonconstructor_vptr_writer_review	0057BD36 STFishC::STFishC [vptr-store] MOV dword ptr [EDI],0x79b524	0057BD36 STFishC::STFishC [vptr-store] MOV dword ptr [EDI],0x79b524			STFishC	0	0x1D5		0079B524
1	1	VTable_0079B528	STDcResourcCVTable	STDcResourcC	73	4	high	unique_constructor_vptr_anchor	0057F1F9 STDcResourcC::STDcResourcC [vptr-store] MOV dword ptr [ESI],0x79b528	0057F1F9 STDcResourcC::STDcResourcC [vptr-store] MOV dword ptr [ESI],0x79b528	STDcResourcC | STGameObjC	STDcResourcC	STDcResourcC	1	0x0	007900A0 | 00797560 | 00798C70 | 0079B238 | 0079B3C4 | 0079B68C | 0079B78C | 0079B8F0 | 0079BA54 | 0079BBB8 | 0079BD1C | 0079BE80 | 0079C3EC | 0079C5AC | 0079C8A0 | 0079C9B0 | 0079CB14 | 0079CC28 | 0079CD94 | 0079CEFC | 0079D098 | 0079D1D8 | 0079D33C | 0079D4AC	0079B528
0	1	VTable_0079B688	VTable_0079B688		1	0	medium	named_nonconstructor_vptr_writer_review	0057F1E6 STDcResourcC::STDcResourcC [vptr-store] MOV dword ptr [EDI],0x79b688	0057F1E6 STDcResourcC::STDcResourcC [vptr-store] MOV dword ptr [EDI],0x79b688			STDcResourcC	0	0x1D5		0079B688
1	1	VTable_0079B68C	STJellyManCVTable	STJellyManC	53	2	high	unique_constructor_vptr_anchor	005810E6 STJellyManC::STJellyManC [vptr-store] MOV dword ptr [ESI],0x79b68c	005810E6 STJellyManC::STJellyManC [vptr-store] MOV dword ptr [ESI],0x79b68c	STGameObjC | STJellyManC	STJellyManC	STJellyManC	1	0x0	007900A0 | 00790AA0 | 00797560 | 00798C70 | 0079B238 | 0079B3C4 | 0079B528 | 0079B78C | 0079B8F0 | 0079BA54 | 0079BBB8 | 0079BD1C | 0079BE80 | 0079C3EC | 0079C5AC | 0079C8A0 | 0079C9B0 | 0079CB14 | 0079CC28 | 0079CD94 | 0079CEFC | 0079D098 | 0079D1D8 | 0079D33C | 0079D4AC	0079B68C
1	1	VTable_0079B78C	STJellyGunCVTable	STJellyGunC	73	2	high	unique_constructor_vptr_anchor	005823F9 STJellyGunC::STJellyGunC [vptr-store] MOV dword ptr [ESI],0x79b78c	005823F9 STJellyGunC::STJellyGunC [vptr-store] MOV dword ptr [ESI],0x79b78c	STGameObjC | STJellyGunC	STJellyGunC	STJellyGunC	1	0x0	007900A0 | 00790AA0 | 00797560 | 00798C70 | 0079B238 | 0079B3C4 | 0079B528 | 0079B68C | 0079B8F0 | 0079BA54 | 0079BBB8 | 0079BD1C | 0079BE80 | 0079C3EC | 0079C5AC | 0079C8A0 | 0079C9B0 | 0079CB14 | 0079CC28 | 0079CD94 | 0079CEFC | 0079D098 | 0079D1D8 | 0079D33C | 0079D4AC	0079B78C
0	1	VTable_0079B8EC	VTable_0079B8EC		1	0	medium	named_nonconstructor_vptr_writer_review	005823E6 STJellyGunC::STJellyGunC [vptr-store] MOV dword ptr [EDI],0x79b8ec	005823E6 STJellyGunC::STJellyGunC [vptr-store] MOV dword ptr [EDI],0x79b8ec			STJellyGunC	0	0x1D5		0079B8EC
1	1	VTable_0079B8F0	STLBombCVTable	STLBombC	73	2	high	unique_constructor_vptr_anchor	00584999 STLBombC::STLBombC [vptr-store] MOV dword ptr [ESI],0x79b8f0	00584999 STLBombC::STLBombC [vptr-store] MOV dword ptr [ESI],0x79b8f0	STGameObjC | STLBombC	STLBombC	STLBombC	1	0x0	007900A0 | 00790AA0 | 00797560 | 00798C70 | 0079B238 | 0079B3C4 | 0079B528 | 0079B68C | 0079B78C | 0079BA54 | 0079BBB8 | 0079BD1C | 0079BE80 | 0079C3EC | 0079C5AC | 0079C8A0 | 0079C9B0 | 0079CB14 | 0079CC28 | 0079CD94 | 0079CEFC | 0079D098 | 0079D1D8 | 0079D33C | 0079D4AC	0079B8F0
0	1	VTable_0079BA50	VTable_0079BA50		1	0	medium	named_nonconstructor_vptr_writer_review	00584986 STLBombC::STLBombC [vptr-store] MOV dword ptr [EDI],0x79ba50	00584986 STLBombC::STLBombC [vptr-store] MOV dword ptr [EDI],0x79ba50			STLBombC	0	0x1D5		0079BA50
1	1	VTable_0079BA54	STMBombCVTable	STMBombC	73	2	high	unique_constructor_vptr_anchor	0058620C STMBombC::STMBombC [vptr-store] MOV dword ptr [ESI],0x79ba54	0058620C STMBombC::STMBombC [vptr-store] MOV dword ptr [ESI],0x79ba54	STGameObjC | STMBombC	STMBombC	STMBombC	1	0x0	007900A0 | 00790AA0 | 00797560 | 00798C70 | 0079B238 | 0079B3C4 | 0079B528 | 0079B68C | 0079B78C | 0079B8F0 | 0079BBB8 | 0079BD1C | 0079BE80 | 0079C3EC | 0079C5AC | 0079C8A0 | 0079C9B0 | 0079CB14 | 0079CC28 | 0079CD94 | 0079CEFC | 0079D098 | 0079D1D8 | 0079D33C | 0079D4AC	0079BA54
0	1	VTable_0079BBB4	VTable_0079BBB4		1	0	medium	named_nonconstructor_vptr_writer_review	00586206 STMBombC::STMBombC [vptr-store] MOV dword ptr [EDI],0x79bbb4	00586206 STMBombC::STMBombC [vptr-store] MOV dword ptr [EDI],0x79bbb4			STMBombC	0	0x1D5		0079BBB4
1	1	VTable_0079BBB8	STOctopusCVTable	STOctopusC	73	3	high	unique_constructor_vptr_anchor	005899B9 STOctopusC::STOctopusC [vptr-store] MOV dword ptr [ESI],0x79bbb8	005899B9 STOctopusC::STOctopusC [vptr-store] MOV dword ptr [ESI],0x79bbb8	STGameObjC | STOctopusC	STOctopusC	STOctopusC	1	0x0	007900A0 | 00790AA0 | 00797560 | 00798C70 | 0079B238 | 0079B3C4 | 0079B528 | 0079B68C | 0079B78C | 0079B8F0 | 0079BA54 | 0079BD1C | 0079BE80 | 0079C3EC | 0079C5AC | 0079C8A0 | 0079C9B0 | 0079CB14 | 0079CC28 | 0079CD94 | 0079CEFC | 0079D098 | 0079D1D8 | 0079D33C | 0079D4AC	0079BBB8
0	1	VTable_0079BD18	VTable_0079BD18		1	0	medium	named_nonconstructor_vptr_writer_review	005899A6 STOctopusC::STOctopusC [vptr-store] MOV dword ptr [EDI],0x79bd18	005899A6 STOctopusC::STOctopusC [vptr-store] MOV dword ptr [EDI],0x79bd18			STOctopusC	0	0x1D5		0079BD18
1	1	VTable_0079BD1C	STSatCVTable	STSatC	73	2	high	unique_constructor_vptr_anchor	0058BA59 STSatC::STSatC [vptr-store] MOV dword ptr [ESI],0x79bd1c	0058BA59 STSatC::STSatC [vptr-store] MOV dword ptr [ESI],0x79bd1c	STGameObjC | STSatC	STSatC	STSatC	1	0x0	007900A0 | 00790AA0 | 00797560 | 00798C70 | 0079B238 | 0079B3C4 | 0079B528 | 0079B68C | 0079B78C | 0079B8F0 | 0079BA54 | 0079BBB8 | 0079BE80 | 0079C3EC | 0079C5AC | 0079C8A0 | 0079C9B0 | 0079CB14 | 0079CC28 | 0079CD94 | 0079CEFC | 0079D098 | 0079D1D8 | 0079D33C | 0079D4AC	0079BD1C
0	1	VTable_0079BE7C	VTable_0079BE7C		1	0	medium	named_nonconstructor_vptr_writer_review	0058BA46 STSatC::STSatC [vptr-store] MOV dword ptr [EDI],0x79be7c	0058BA46 STSatC::STSatC [vptr-store] MOV dword ptr [EDI],0x79be7c			STSatC	0	0x1D5		0079BE7C
1	1	VTable_0079BE80	STSharkCVTable	STSharkC	73	2	high	unique_constructor_vptr_anchor	0058D77B STSharkC::STSharkC [vptr-store] MOV dword ptr [ESI],0x79be80	0058D77B STSharkC::STSharkC [vptr-store] MOV dword ptr [ESI],0x79be80	STGameObjC | STSharkC	STSharkC	STSharkC	1	0x0	007900A0 | 00790AA0 | 00797560 | 00798C70 | 0079B238 | 0079B3C4 | 0079B528 | 0079B68C | 0079B78C | 0079B8F0 | 0079BA54 | 0079BBB8 | 0079BD1C | 0079C3EC | 0079C5AC | 0079C8A0 | 0079C9B0 | 0079CB14 | 0079CC28 | 0079CD94 | 0079CEFC | 0079D098 | 0079D1D8 | 0079D33C | 0079D4AC	0079BE80
0	1	VTable_0079BFE0	MAdvTyVTable	MAdvTy	2	1	medium	single_named_slot_owner	0058D766 STSharkC::STSharkC [vptr-store] MOV dword ptr [EDI],0x79bfe0	0058D766 STSharkC::STSharkC [vptr-store] MOV dword ptr [EDI],0x79bfe0	MAdvTy		STSharkC	0	0x1D5		0079BFE0
0	0	VTable_0079BFF8	VTable_0079BFF8		3	3	low	competing_slot_owners_left_unresolved			CampaignTy | MMObjTy			0			0079BFF8
