target_address	target_function	callable_entry	callable_function	via_thunk	call_address	caller_address	caller_function	call_instruction	ecx_mode	ecx_evidence	pushes_in_window	stack_reservation	caller_cleanup_bytes	backward_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005A2ECF	005A2D70	FSGSTy::JoinChannel	CALL 0x006e6080	pointer_setup	005A2ECA: MOV ECX,ESI	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005A2EEE	005A2D70	FSGSTy::JoinChannel	CALL 0x006e6080	pointer_setup	005A2EEC: MOV ECX,ESI	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005A2F12	005A2D70	FSGSTy::JoinChannel	CALL 0x006e6080	pointer_setup	005A2F10: MOV ECX,ESI	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005A31A7	005A2FF0	FSGSTy::SetChannelList	CALL 0x006e6080	pointer_setup	005A319C: MOV ECX,ESI	3	0	0	previous_call
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005A31E2	005A2FF0	FSGSTy::SetChannelList	CALL 0x006e6080	pointer_setup	005A31E0: MOV ECX,ESI	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005A3604	005A3540	FSGSTy::SetGameList	CALL 0x006e6080	pointer_setup	005A35FB: MOV ECX,EBX	3	0	0	previous_call
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005A3760	005A3540	FSGSTy::SetGameList	CALL 0x006e6080	pointer_setup	005A3755: MOV ECX,EBX	3	0	0	previous_call
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005A379B	005A3540	FSGSTy::SetGameList	CALL 0x006e6080	pointer_setup	005A3796: MOV ECX,EBX	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005A3855	005A3540	FSGSTy::SetGameList	CALL 0x006e6080	pointer_setup	005A3842: MOV ECX,EBX	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005A3BE0	005A3AB0	FSGSTy::SetInfo	CALL 0x006e6080	pointer_setup	005A3BD7: MOV ECX,ESI	3	0	0	previous_call
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005A3C28	005A3AB0	FSGSTy::SetInfo	CALL 0x006e6080	pointer_setup	005A3C23: MOV ECX,ESI	3	0	0	previous_call
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005A3C70	005A3AB0	FSGSTy::SetInfo	CALL 0x006e6080	pointer_setup	005A3C6B: MOV ECX,ESI	3	0	0	previous_call
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005A3CF0	005A3AB0	FSGSTy::SetInfo	CALL 0x006e6080	pointer_setup	005A3CEB: MOV ECX,ESI	3	0	0	previous_call
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005A4231	005A40F0	FSGSTy::SetLadder	CALL 0x006e6080	pointer_setup	005A422F: MOV ECX,EBX	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005A4269	005A40F0	FSGSTy::SetLadder	CALL 0x006e6080	pointer_setup	005A4263: MOV ECX,EBX	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005A4E48	005A4350	FSGSTy::GetMessage	CALL 0x006e6080	pointer_setup	005A4E42: MOV ECX,EBX	3	0	0	previous_call
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005A5534	005A4350	FSGSTy::GetMessage	CALL 0x006e6080	pointer_setup	005A552E: MOV ECX,EBX	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005A5647	005A4350	FSGSTy::GetMessage	CALL 0x006e6080	pointer_setup	005A5645: MOV ECX,EBX	3	0	0	previous_call
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005A5677	005A4350	FSGSTy::GetMessage	CALL 0x006e6080	pointer_setup	005A5675: MOV ECX,EBX	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005A56B0	005A4350	FSGSTy::GetMessage	CALL 0x006e6080	pointer_setup	005A56AA: MOV ECX,EBX	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005A56EE	005A4350	FSGSTy::GetMessage	CALL 0x006e6080	pointer_setup	005A56E5: MOV ECX,EBX	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005A5774	005A4350	FSGSTy::GetMessage	CALL 0x006e6080	pointer_setup	005A5772: MOV ECX,EBX	3	0	0	previous_call
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005A6CE5	005A4350	FSGSTy::GetMessage	CALL 0x006e6080	pointer_setup	005A6CE3: MOV ECX,EBX	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005A6D02	005A4350	FSGSTy::GetMessage	CALL 0x006e6080	pointer_setup	005A6CF5: MOV ECX,EBX	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005A7FD8	005A4350	FSGSTy::GetMessage	CALL 0x006e6080	pointer_setup	005A7FD2: MOV ECX,EBX	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005A7FFB	005A4350	FSGSTy::GetMessage	CALL 0x006e6080	pointer_setup	005A7FF9: MOV ECX,EBX	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005A8081	005A4350	FSGSTy::GetMessage	CALL 0x006e6080	pointer_setup	005A807B: MOV ECX,EBX	3	0	0	previous_call
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005A838E	005A4350	FSGSTy::GetMessage	CALL 0x006e6080	pointer_setup	005A838C: MOV ECX,EBX	3	0	0	previous_call
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005A8573	005A4350	FSGSTy::GetMessage	CALL 0x006e6080	pointer_setup	005A8571: MOV ECX,EBX	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005A859D	005A4350	FSGSTy::GetMessage	CALL 0x006e6080	pointer_setup	005A8597: MOV ECX,EBX	3	0	0	control_flow_boundary
