apply	action	function_address	function_name	call_address	slot_offset	expected_override	proposed_calling_convention	receiver_type	stack_parameter_count	proposed_parameter_types	proposed_return_type	signature_function_address	signature_function	confidence	evidence
1	present	004E8B10	FUN_004e8b10	004E8B63	44	none	__thiscall	pointer:/void	0		/undefined4			high	exact structural dispatch presentation: all machine CFG paths agree on the unadjusted ECX receiver; slot=0x2C; stack_words=0; return=/undefined4; no physical vtable or semantic receiver owner is claimed
1	present	004E8DC0	FUN_004e8dc0	004E8DF4	44	none	__thiscall	pointer:/void	0		/undefined4			high	exact structural dispatch presentation: all machine CFG paths agree on the unadjusted ECX receiver; slot=0x2C; stack_words=0; return=/undefined4; no physical vtable or semantic receiver owner is claimed
1	present	004E96C0	FUN_004e96c0	004E9732	44	none	__thiscall	pointer:/void	0		/undefined4			high	exact structural dispatch presentation: all machine CFG paths agree on the unadjusted ECX receiver; slot=0x2C; stack_words=0; return=/undefined4; no physical vtable or semantic receiver owner is claimed
1	present	004E96C0	FUN_004e96c0	004E973F	44	none	__thiscall	pointer:/void	0		/undefined4			high	exact structural dispatch presentation: all machine CFG paths agree on the unadjusted ECX receiver; slot=0x2C; stack_words=0; return=/undefined4; no physical vtable or semantic receiver owner is claimed
1	present	004E96C0	FUN_004e96c0	004E974C	44	none	__thiscall	pointer:/void	0		/undefined4			high	exact structural dispatch presentation: all machine CFG paths agree on the unadjusted ECX receiver; slot=0x2C; stack_words=0; return=/undefined4; no physical vtable or semantic receiver owner is claimed
1	present	004E96C0	FUN_004e96c0	004E975D	44	none	__thiscall	pointer:/void	0		/undefined4			high	exact structural dispatch presentation: all machine CFG paths agree on the unadjusted ECX receiver; slot=0x2C; stack_words=0; return=/undefined4; no physical vtable or semantic receiver owner is claimed
1	present	004E96C0	FUN_004e96c0	004E976A	44	none	__thiscall	pointer:/void	0		/undefined4			high	exact structural dispatch presentation: all machine CFG paths agree on the unadjusted ECX receiver; slot=0x2C; stack_words=0; return=/undefined4; no physical vtable or semantic receiver owner is claimed
1	present	004E96C0	FUN_004e96c0	004E9792	44	none	__thiscall	pointer:/void	0		/undefined4			high	exact structural dispatch presentation: all machine CFG paths agree on the unadjusted ECX receiver; slot=0x2C; stack_words=0; return=/undefined4; no physical vtable or semantic receiver owner is claimed
1	present	004E96C0	FUN_004e96c0	004E9874	144	none	__thiscall	pointer:/void	2	/undefined4;/undefined4	/void			high	exact structural dispatch presentation: all machine CFG paths agree on the unadjusted ECX receiver; slot=0x90; stack_words=2; return=/void; no physical vtable or semantic receiver owner is claimed
1	present	004EA530	FUN_004ea530	004EA5A9	44	none	__thiscall	pointer:/void	0		/undefined4			high	exact structural dispatch presentation: all machine CFG paths agree on the unadjusted ECX receiver; slot=0x2C; stack_words=0; return=/undefined4; no physical vtable or semantic receiver owner is claimed
1	present	004EA530	FUN_004ea530	004EA5B5	44	none	__thiscall	pointer:/void	0		/undefined4			high	exact structural dispatch presentation: all machine CFG paths agree on the unadjusted ECX receiver; slot=0x2C; stack_words=0; return=/undefined4; no physical vtable or semantic receiver owner is claimed
1	present	004EAA20	TLOBaseTy::sub_004EAA20	004EAAFC	144	none	__thiscall	pointer:/void	2	/undefined4;/undefined4	/void			high	exact structural dispatch presentation: all machine CFG paths agree on the unadjusted ECX receiver; slot=0x90; stack_words=2; return=/void; no physical vtable or semantic receiver owner is claimed
1	present	004EAA20	TLOBaseTy::sub_004EAA20	004EACAA	144	none	__thiscall	pointer:/void	2	/undefined4;/undefined4	/undefined4			high	exact structural dispatch presentation: all machine CFG paths agree on the unadjusted ECX receiver; slot=0x90; stack_words=2; return=/undefined4; no physical vtable or semantic receiver owner is claimed
1	present	004EB6D0	FUN_004eb6d0	004EB9A2	144	none	__thiscall	pointer:/void	2	/undefined4;/undefined4	/undefined4			high	exact structural dispatch presentation: all machine CFG paths agree on the unadjusted ECX receiver; slot=0x90; stack_words=2; return=/undefined4; no physical vtable or semantic receiver owner is claimed
1	present	004EB6D0	FUN_004eb6d0	004EB9B9	144	none	__thiscall	pointer:/void	2	/undefined4;/undefined4	/undefined4			high	exact structural dispatch presentation: all machine CFG paths agree on the unadjusted ECX receiver; slot=0x90; stack_words=2; return=/undefined4; no physical vtable or semantic receiver owner is claimed
1	present	004EB6D0	FUN_004eb6d0	004EB9D0	144	none	__thiscall	pointer:/void	2	/undefined4;/undefined4	/undefined4			high	exact structural dispatch presentation: all machine CFG paths agree on the unadjusted ECX receiver; slot=0x90; stack_words=2; return=/undefined4; no physical vtable or semantic receiver owner is claimed
1	present	004EBCB0	FUN_004ebcb0	004EBD43	144	none	__thiscall	pointer:/void	2	/undefined4;/undefined4	/undefined4			high	exact structural dispatch presentation: all machine CFG paths agree on the unadjusted ECX receiver; slot=0x90; stack_words=2; return=/undefined4; no physical vtable or semantic receiver owner is claimed
1	present	004EBCB0	FUN_004ebcb0	004EBD5F	144	none	__thiscall	pointer:/void	2	/undefined4;/undefined4	/undefined4			high	exact structural dispatch presentation: all machine CFG paths agree on the unadjusted ECX receiver; slot=0x90; stack_words=2; return=/undefined4; no physical vtable or semantic receiver owner is claimed
1	present	004EBF10	FUN_004ebf10	004EBF6F	144	none	__thiscall	pointer:/void	2	/undefined4;/undefined4	/undefined4			high	exact structural dispatch presentation: all machine CFG paths agree on the unadjusted ECX receiver; slot=0x90; stack_words=2; return=/undefined4; no physical vtable or semantic receiver owner is claimed
1	present	004EBF10	FUN_004ebf10	004EBF8B	144	none	__thiscall	pointer:/void	2	/undefined4;/undefined4	/undefined4			high	exact structural dispatch presentation: all machine CFG paths agree on the unadjusted ECX receiver; slot=0x90; stack_words=2; return=/undefined4; no physical vtable or semantic receiver owner is claimed
1	present	004ECEA0	FUN_004ecea0	004ED10E	144	none	__thiscall	pointer:/void	2	/undefined4;/undefined4	/undefined4			high	exact structural dispatch presentation: all machine CFG paths agree on the unadjusted ECX receiver; slot=0x90; stack_words=2; return=/undefined4; no physical vtable or semantic receiver owner is claimed
