convention_apply	receiver_type_apply	address	expected_name	expected_name_source	expected_signature	expected_signature_source	expected_calling_convention	proposed_calling_convention	receiver_type_name	receiver_type_path	observed_size	vtable_slots	calls	ecx_pointer_setup	ecx_scalar_setup	ecx_live_prior	caller_cleanup_calls	expected_stack_bytes	confidence	reason
0	0	0045EEE0	FUN_0045eee0	DEFAULT	undefined FUN_0045eee0(void)	DEFAULT	unknown	__thiscall	AnonReceiver_0045EEE0	/SubmarineTitans/Recovered/HiddenThis/AnonReceiver_0045EEE0	1787		0	0	0	0	0	0	review	incoming_receiver_captures=0; receiver_accesses=1; incoming_edx_uses=0; calls=0; ecx_pointer_setup=0; ecx_scalar_setup=0; caller_cleanup_calls=0; callee_ret_pop=[0]; expected_stack=0
0	0	00483880	FUN_00483880	DEFAULT	undefined FUN_00483880(void)	DEFAULT	unknown	__thiscall	AnonReceiver_0041F310	/SubmarineTitans/Recovered/HiddenThis/AnonReceiver_0041F310	1113		0	0	0	0	0	0	review	incoming_receiver_captures=0; receiver_accesses=1; incoming_edx_uses=0; calls=0; ecx_pointer_setup=0; ecx_scalar_setup=0; caller_cleanup_calls=0; callee_ret_pop=[0]; expected_stack=0
0	0	004838B0	FUN_004838b0	DEFAULT	undefined FUN_004838b0(void)	DEFAULT	unknown	__thiscall	AnonReceiver_004838B0	/SubmarineTitans/Recovered/HiddenThis/AnonReceiver_004838B0	1113		0	0	0	0	0	0	review	incoming_receiver_captures=0; receiver_accesses=2; incoming_edx_uses=0; calls=0; ecx_pointer_setup=0; ecx_scalar_setup=0; caller_cleanup_calls=0; callee_ret_pop=[0]; expected_stack=0
0	0	00486A40	FUN_00486a40	DEFAULT	undefined FUN_00486a40(void)	DEFAULT	unknown	__thiscall	AnonReceiver_00486A40	/SubmarineTitans/Recovered/HiddenThis/AnonReceiver_00486A40	1818		0	0	0	0	0	0	review	incoming_receiver_captures=0; receiver_accesses=1; incoming_edx_uses=0; calls=0; ecx_pointer_setup=0; ecx_scalar_setup=0; caller_cleanup_calls=0; callee_ret_pop=[0]; expected_stack=0
0	0	00486A60	FUN_00486a60	DEFAULT	undefined FUN_00486a60(void)	DEFAULT	unknown	__thiscall	AnonReceiver_00486A60	/SubmarineTitans/Recovered/HiddenThis/AnonReceiver_00486A60	1818		0	0	0	0	0	0	review	incoming_receiver_captures=0; receiver_accesses=2; incoming_edx_uses=0; calls=0; ecx_pointer_setup=0; ecx_scalar_setup=0; caller_cleanup_calls=0; callee_ret_pop=[0]; expected_stack=0
0	0	0048D110	FUN_0048d110	DEFAULT	undefined FUN_0048d110(void)	DEFAULT	unknown	__thiscall	AnonReceiver_0048D110	/SubmarineTitans/Recovered/HiddenThis/AnonReceiver_0048D110	1958		0	0	0	0	0	0	review	incoming_receiver_captures=0; receiver_accesses=1; incoming_edx_uses=0; calls=0; ecx_pointer_setup=0; ecx_scalar_setup=0; caller_cleanup_calls=0; callee_ret_pop=[0]; expected_stack=0
1	1	0048DFD0	FUN_0048dfd0	DEFAULT	undefined4 __stdcall FUN_0048dfd0(int param_1, int param_2, uint param_3, int param_4, int param_5, int * param_6, int param_7, short * param_8, short * param_9, short * param_10)	ANALYSIS	__stdcall	__thiscall	AnonReceiver_00405687	/SubmarineTitans/Recovered/HiddenThis/AnonReceiver_00405687	22615	0x0,0x4,0x8,0xC,0x10,0x14,0x18,0x1C,0x20,0x24,0x28,0x2C,0x6C,0x78,0x7C,0x90,0xAC,0xC4,0xC8,0xCC,0xD8,0xE8,0xF8,0x100,0x104,0x124	30	30	0	0	0	40	high	incoming_receiver_captures=2; receiver_accesses=3; incoming_edx_uses=0; calls=30; ecx_pointer_setup=30; ecx_scalar_setup=0; caller_cleanup_calls=0; callee_ret_pop=[40]; expected_stack=40
0	0	00490E70	FUN_00490e70	DEFAULT	undefined FUN_00490e70(void)	DEFAULT	unknown	__thiscall	AnonReceiver_00490E70	/SubmarineTitans/Recovered/HiddenThis/AnonReceiver_00490E70	1783		0	0	0	0	0	0	review	incoming_receiver_captures=0; receiver_accesses=1; incoming_edx_uses=0; calls=0; ecx_pointer_setup=0; ecx_scalar_setup=0; caller_cleanup_calls=0; callee_ret_pop=[0]; expected_stack=0
0	0	00491180	FUN_00491180	DEFAULT	undefined FUN_00491180(void)	DEFAULT	unknown	__thiscall	AnonReceiver_00491180	/SubmarineTitans/Recovered/HiddenThis/AnonReceiver_00491180	1476		0	0	0	0	0	0	review	incoming_receiver_captures=0; receiver_accesses=2; incoming_edx_uses=0; calls=0; ecx_pointer_setup=0; ecx_scalar_setup=0; caller_cleanup_calls=0; callee_ret_pop=[0]; expected_stack=0
0	0	00491930	FUN_00491930	DEFAULT	undefined FUN_00491930(void)	DEFAULT	unknown	__thiscall	AnonReceiver_00491930	/SubmarineTitans/Recovered/HiddenThis/AnonReceiver_00491930	1787		0	0	0	0	0	0	review	incoming_receiver_captures=0; receiver_accesses=3; incoming_edx_uses=0; calls=0; ecx_pointer_setup=0; ecx_scalar_setup=0; caller_cleanup_calls=0; callee_ret_pop=[0]; expected_stack=0
