apply	structure_path	component_offset	expected_field_name	expected_component_type	expected_comment	definition_path	proposed_field_name	signature_function_address	signature_function	target_addresses	observed_target_addresses	observed_store_sites	store_sites	indirect_call_sites	rejected_store_sites	confidence	evidence
0	/SubmarineTitans/Recovered/PointerShapes/AnonNested_RecoveredRecord_007576C0_30DE796E_01A2_AB632069	8	field_0008	/undefined4	[STPointerShapeApplier] evidence_count=1; dereference through parent pointer field; observed_types={/undefined4=1}; exact_widths={}; semantic_roles={}	/SubmarineTitans/Recovered/FunctionPointerFields/callback_AnonNested_RecoveredRecord_007576C0_30DE796E_01A2_AB632069_0008	callback_0008				00757710	007576E3 FUN_007576c0 stores Library::DKW::JPG::FUN_00757710			007576E3 FUN_007576c0 stores Library::DKW::JPG::FUN_00757710 [no imported or recovered ABI provenance]	review	stores=0, calls=0, targets=[], observed_targets=[00757710], signatures=[], call_argument_counts=[]; incomplete chain; all exact stores rejected: [no imported or recovered ABI provenance]
0	/SubmarineTitans/Recovered/PointerShapes/AnonNested_RecoveredRecord_007576C0_30DE796E_01A2_AB632069	12	field_000C	/undefined4	[STPointerShapeApplier] evidence_count=1; dereference through parent pointer field; observed_types={/undefined4=1}; exact_widths={}; semantic_roles={}	/SubmarineTitans/Recovered/FunctionPointerFields/callback_AnonNested_RecoveredRecord_007576C0_30DE796E_01A2_AB632069_000C	callback_000C				007579A0	007576EA FUN_007576c0 stores Library::DKW::JPG::FUN_007579a0			007576EA FUN_007576c0 stores Library::DKW::JPG::FUN_007579a0 [no imported or recovered ABI provenance]	review	stores=0, calls=0, targets=[], observed_targets=[007579A0], signatures=[], call_argument_counts=[]; incomplete chain; all exact stores rejected: [no imported or recovered ABI provenance]
0	/SubmarineTitans/Recovered/PointerShapes/AnonNested_RecoveredRecord_0075A670_EE0D550C_019A_F8ADDB3E	0	field_0000	/undefined4	[STPointerShapeApplier] evidence_count=1; dereference through parent pointer field; observed_types={/undefined4=1}; exact_widths={}; semantic_roles={}	/SubmarineTitans/Recovered/FunctionPointerFields/callback_AnonNested_RecoveredRecord_0075A670_EE0D550C_019A_F8ADDB3E_0000	callback_0000				0075A780	0075A695 FUN_0075a670 stores Library::DKW::JPG::FUN_0075a780			0075A695 FUN_0075a670 stores Library::DKW::JPG::FUN_0075a780 [no imported or recovered ABI provenance]	review	stores=0, calls=0, targets=[], observed_targets=[0075A780], signatures=[], call_argument_counts=[]; incomplete chain; all exact stores rejected: [no imported or recovered ABI provenance]
0	/SubmarineTitans/Recovered/PointerShapes/AnonNested_RecoveredRecord_0075A670_EE0D550C_019A_F8ADDB3E	4		/undefined		/SubmarineTitans/Recovered/FunctionPointerFields/callback_AnonNested_RecoveredRecord_0075A670_EE0D550C_019A_F8ADDB3E_0004	callback_0004				0075AAA0|0075AAB0	0075A71C FUN_0075a670 stores Library::DKW::JPG::FUN_0075aab0 | 0075A75B FUN_0075a670 stores Library::DKW::JPG::FUN_0075aaa0			0075A71C FUN_0075a670 stores Library::DKW::JPG::FUN_0075aab0 [no imported or recovered ABI provenance] | 0075A75B FUN_0075a670 stores Library::DKW::JPG::FUN_0075aaa0 [unknown calling convention]	review	stores=0, calls=0, targets=[], observed_targets=[0075AAA0, 0075AAB0], signatures=[], call_argument_counts=[]; incomplete chain; all exact stores rejected: [no imported or recovered ABI provenance, unknown calling convention]; concrete field type preserved
0	/SubmarineTitans/Recovered/PointerShapes/AnonNested_RecoveredRecord_0075A670_EE0D550C_019A_F8ADDB3E	8	field_0008	/undefined4	[STPointerShapeApplier] evidence_count=1; dereference through parent pointer field; observed_types={/undefined4=1}; exact_widths={}; semantic_roles={}	/SubmarineTitans/Recovered/FunctionPointerFields/callback_AnonNested_RecoveredRecord_0075A670_EE0D550C_019A_F8ADDB3E_0008	callback_0008				0075A800	0075A69B FUN_0075a670 stores Library::DKW::JPG::FUN_0075a800			0075A69B FUN_0075a670 stores Library::DKW::JPG::FUN_0075a800 [no imported or recovered ABI provenance]	review	stores=0, calls=0, targets=[], observed_targets=[0075A800], signatures=[], call_argument_counts=[]; incomplete chain; all exact stores rejected: [no imported or recovered ABI provenance]
0	/SubmarineTitans/Recovered/PointerShapes/AnonNested_RecoveredRecord_0075A670_EE0D550C_019A_F8ADDB3E	12		/undefined		/SubmarineTitans/Recovered/FunctionPointerFields/callback_AnonNested_RecoveredRecord_0075A670_EE0D550C_019A_F8ADDB3E_000C	callback_000C				0075A860|0075ACB0	0075A723 FUN_0075a670 stores Library::DKW::JPG::FUN_0075acb0 | 0075A762 FUN_0075a670 stores Library::DKW::JPG::FUN_0075a860			0075A723 FUN_0075a670 stores Library::DKW::JPG::FUN_0075acb0 [no imported or recovered ABI provenance] | 0075A762 FUN_0075a670 stores Library::DKW::JPG::FUN_0075a860 [no imported or recovered ABI provenance]	review	stores=0, calls=0, targets=[], observed_targets=[0075A860, 0075ACB0], signatures=[], call_argument_counts=[]; incomplete chain; all exact stores rejected: [no imported or recovered ABI provenance]; concrete field type preserved
0	/SubmarineTitans/Recovered/PointerShapes/AnonNested_RecoveredRecord_0075B8E0_0BFBB4AB_01AA_F7377AC4	0	field_0000	/undefined4	[STPointerShapeApplier] evidence_count=1; dereference through parent pointer field; observed_types={/undefined4=1}; exact_widths={}; semantic_roles={}	/SubmarineTitans/Recovered/FunctionPointerFields/callback_AnonNested_RecoveredRecord_0075B8E0_0BFBB4AB_01AA_F7377AC4_0000	callback_0000				0075B920	0075B8F6 FUN_0075b8e0 stores Library::DKW::JPG::FUN_0075b920			0075B8F6 FUN_0075b8e0 stores Library::DKW::JPG::FUN_0075b920 [no imported or recovered ABI provenance]	review	stores=0, calls=0, targets=[], observed_targets=[0075B920], signatures=[], call_argument_counts=[]; incomplete chain; all exact stores rejected: [no imported or recovered ABI provenance]
0	/SubmarineTitans/Recovered/PointerShapes/AnonNested_RecoveredRecord_0075B8E0_0BFBB4AB_01AA_F7377AC4	4	field_0004	/undefined4	[STPointerShapeApplier] evidence_count=1; dereference through parent pointer field; observed_types={/undefined4=1}; exact_widths={}; semantic_roles={}	/SubmarineTitans/Recovered/FunctionPointerFields/callback_AnonNested_RecoveredRecord_0075B8E0_0BFBB4AB_01AA_F7377AC4_0004	callback_0004				0075BA30	0075B8FC FUN_0075b8e0 stores Library::DKW::JPG::FUN_0075ba30			0075B8FC FUN_0075b8e0 stores Library::DKW::JPG::FUN_0075ba30 [no imported or recovered ABI provenance]	review	stores=0, calls=0, targets=[], observed_targets=[0075BA30], signatures=[], call_argument_counts=[]; incomplete chain; all exact stores rejected: [no imported or recovered ABI provenance]
0	/SubmarineTitans/Recovered/PointerShapes/AnonNested_RecoveredRecord_0075CDF0_76EF4ECD_019E_EB733C66	0	field_0000	/undefined4	[STPointerShapeApplier] evidence_count=1; dereference through parent pointer field; observed_types={/undefined4=1}; exact_widths={}; semantic_roles={}	/SubmarineTitans/Recovered/FunctionPointerFields/callback_AnonNested_RecoveredRecord_0075CDF0_76EF4ECD_019E_EB733C66_0000	callback_0000				0075CE80	0075CE0B FUN_0075cdf0 stores Library::DKW::JPG::FUN_0075ce80			0075CE0B FUN_0075cdf0 stores Library::DKW::JPG::FUN_0075ce80 [no imported or recovered ABI provenance]	review	stores=0, calls=0, targets=[], observed_targets=[0075CE80], signatures=[], call_argument_counts=[]; incomplete chain; all exact stores rejected: [no imported or recovered ABI provenance]
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_007550C0_25940DF4	4	field_0004	/undefined4	[STPointerShapeApplier] evidence_count=1; fixed-offset dereference; observed_types={/undefined4=2, pointer:/undefined1=1}	/SubmarineTitans/Recovered/FunctionPointerFields/callback_AnonShape_007550C0_25940DF4_0004	callback_0004	00673160	FUN_00673160	00673160	00673110|00673160	00755121 FUN_007550c0 stores thunk_FUN_00673110 | 00755139 FUN_007550c0 stores thunk_FUN_00673160	00755139 FUN_007550c0 stores thunk_FUN_00673160		00755121 FUN_007550c0 stores thunk_FUN_00673110 [no imported or recovered ABI provenance]	review	stores=1, calls=0, targets=[00673160], observed_targets=[00673110, 00673160], signatures=[__cdecl;/int;pointer:/char;pointer:/char], call_argument_counts=[]; incomplete chain
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_007550C0_25940DF4	8	field_0008	/undefined4	[STPointerShapeApplier] evidence_count=1; fixed-offset dereference; observed_types={/undefined4=3}	/SubmarineTitans/Recovered/FunctionPointerFields/callback_AnonShape_007550C0_25940DF4_0008	callback_0008				00757430	00755128 FUN_007550c0 stores FUN_00757430 | 00755140 FUN_007550c0 stores FUN_00757430			00755128 FUN_007550c0 stores FUN_00757430 [no imported or recovered ABI provenance] | 00755140 FUN_007550c0 stores FUN_00757430 [no imported or recovered ABI provenance]	review	stores=0, calls=0, targets=[], observed_targets=[00757430], signatures=[], call_argument_counts=[]; incomplete chain; all exact stores rejected: [no imported or recovered ABI provenance]
