address	function	current_calling_convention	signature_source	evidence	action
00594D40	FSGSTy::OutTRGlProc	__thiscall	USER_DEFINED	no live incoming ECX use found before clobber/call	review_only; analyzer never reverts an existing signature
00594EB0	FSGSTy::OutTRGlProc	__thiscall	USER_DEFINED	no live incoming ECX use found before clobber/call	review_only; analyzer never reverts an existing signature
005952B0	FSGSTy::OutSGlProc	__thiscall	USER_DEFINED	no live incoming ECX use found before clobber/call	review_only; analyzer never reverts an existing signature
005956C0	FSGSTy::OutLadProc	__thiscall	USER_DEFINED	no live incoming ECX use found before clobber/call	review_only; analyzer never reverts an existing signature
0059DB20	FSGSTy::ChatCtrls	__thiscall	USER_DEFINED	no live incoming ECX use found before clobber/call	review_only; analyzer never reverts an existing signature
005AA6A0	HoloTy::OutHoloProc	__thiscall	USER_DEFINED	no live incoming ECX use found before clobber/call	review_only; analyzer never reverts an existing signature
005AA880	HoloTy::CalcHologram	__thiscall	USER_DEFINED	no live incoming ECX use found before clobber/call	review_only; analyzer never reverts an existing signature
005AB1D0	ChooseMapTy::OutListProc	__thiscall	USER_DEFINED	no live incoming ECX use found before clobber/call	review_only; analyzer never reverts an existing signature
005B5240	MMObjTy::InitSprBut	__thiscall	USER_DEFINED	no live incoming ECX use found before clobber/call	review_only; analyzer never reverts an existing signature
005B5A30	MMObjTy::PaintButDib	__thiscall	USER_DEFINED	no live incoming ECX use found before clobber/call	review_only; analyzer never reverts an existing signature
005B67A0	MMMObjTy::OutRGlProc	__thiscall	USER_DEFINED	no live incoming ECX use found before clobber/call	review_only; analyzer never reverts an existing signature
005B68B0	MMMObjTy::OutBSlProc	__thiscall	USER_DEFINED	no live incoming ECX use found before clobber/call	review_only; analyzer never reverts an existing signature
005B69F0	ChatGlassTy::OutChGlProc	__thiscall	USER_DEFINED	no live incoming ECX use found before clobber/call	review_only; analyzer never reverts an existing signature
005B9730	PrividerTy::OutListProc	__thiscall	USER_DEFINED	no live incoming ECX use found before clobber/call	review_only; analyzer never reverts an existing signature
