function_address	function	parameter_ordinal	parameter_name	parameter_type	storage	frame_offset	qualifies	selected	score	direct_reads	scalar_operations	signed_comparisons	unsigned_bounds	pointer_dereferences	slot_reused	evidence
004162B0	STFishC::sub_004162B0	2	param_2	pointer:/undefined2	Stack[0x8]:4	0x8	0	0	100	1	0	0	0	1	0	004162B3 incoming load: MOV EDX,dword ptr [EBP + 0x8] | 004162BA pointer-like dereference: MOV word ptr [EDX],AX
004162B0	STFishC::sub_004162B0	2	param_2	pointer:/undefined2	Stack[0x8]:4	0xc	0	0	100	1	0	0	0	1	0	004162BD incoming load: MOV EDX,dword ptr [EBP + 0xc] | 004162C4 pointer-like dereference: MOV word ptr [EDX],AX
004162B0	STFishC::sub_004162B0	3	param_3	pointer:/undefined2	Stack[0xc]:4	0xc	0	0	100	1	0	0	0	1	0	004162BD incoming load: MOV EDX,dword ptr [EBP + 0xc] | 004162C4 pointer-like dereference: MOV word ptr [EDX],AX
004162B0	STFishC::sub_004162B0	3	param_3	pointer:/undefined2	Stack[0xc]:4	0x10	0	0	100	1	0	0	0	1	0	004162CB incoming load: MOV ECX,dword ptr [EBP + 0x10] | 004162CE pointer-like dereference: MOV word ptr [ECX],AX
004162F0	STFishC::sub_004162F0	1	param_1	pointer:/undefined2	Stack[0x4]:4	0x4	0	0	0	0	0	0	0	0	0	-
004162F0	STFishC::sub_004162F0	1	param_1	pointer:/undefined2	Stack[0x4]:4	0x8	0	0	100	1	0	0	0	1	0	004162F3 incoming load: MOV EDX,dword ptr [EBP + 0x8] | 004162FA pointer-like dereference: MOV word ptr [EDX],AX
004162F0	STFishC::sub_004162F0	2	param_2	pointer:/undefined2	Stack[0x8]:4	0x8	0	0	100	1	0	0	0	1	0	004162F3 incoming load: MOV EDX,dword ptr [EBP + 0x8] | 004162FA pointer-like dereference: MOV word ptr [EDX],AX
004162F0	STFishC::sub_004162F0	2	param_2	pointer:/undefined2	Stack[0x8]:4	0xc	0	0	100	1	0	0	0	1	0	004162FD incoming load: MOV EDX,dword ptr [EBP + 0xc] | 00416304 pointer-like dereference: MOV word ptr [EDX],AX
004162F0	STFishC::sub_004162F0	3	param_3	pointer:/undefined2	Stack[0xc]:4	0xc	0	0	100	1	0	0	0	1	0	004162FD incoming load: MOV EDX,dword ptr [EBP + 0xc] | 00416304 pointer-like dereference: MOV word ptr [EDX],AX
004162F0	STFishC::sub_004162F0	3	param_3	pointer:/undefined2	Stack[0xc]:4	0x10	0	0	100	1	0	0	0	1	0	0041630B incoming load: MOV ECX,dword ptr [EBP + 0x10] | 0041630E pointer-like dereference: MOV word ptr [ECX],AX
00416840	FUN_00416840	1	param_1	pointer:/undefined2	Stack[0x4]:4	0x4	0	0	0	0	0	0	0	0	0	-
00416840	FUN_00416840	1	param_1	pointer:/undefined2	Stack[0x4]:4	0x8	0	0	100	1	0	0	0	1	0	00416853 incoming load: MOV EDX,dword ptr [EBP + 0x8] | 00416856 pointer-like dereference: MOV word ptr [EDX],AX
00416840	FUN_00416840	2	param_2	pointer:/undefined2	Stack[0x8]:4	0x8	0	0	100	1	0	0	0	1	0	00416853 incoming load: MOV EDX,dword ptr [EBP + 0x8] | 00416856 pointer-like dereference: MOV word ptr [EDX],AX
00416840	FUN_00416840	2	param_2	pointer:/undefined2	Stack[0x8]:4	0xc	0	0	100	1	0	0	0	1	0	0041686A incoming load: MOV EDX,dword ptr [EBP + 0xc] | 0041686D pointer-like dereference: MOV word ptr [EDX],AX
00416840	FUN_00416840	3	param_3	pointer:/undefined2	Stack[0xc]:4	0xc	0	0	100	1	0	0	0	1	0	0041686A incoming load: MOV EDX,dword ptr [EBP + 0xc] | 0041686D pointer-like dereference: MOV word ptr [EDX],AX
00416840	FUN_00416840	3	param_3	pointer:/undefined2	Stack[0xc]:4	0x10	0	0	100	1	0	0	0	1	0	00416881 incoming load: MOV EAX,dword ptr [EBP + 0x10] | 00416884 pointer-like dereference: MOV word ptr [EAX],DX
0041AB60	FUN_0041ab60	0	param_1	pointer:/undefined4	Stack[0x4]:4	0x4	0	0	0	0	0	0	0	0	0	-
0041AB60	FUN_0041ab60	0	param_1	pointer:/undefined4	Stack[0x4]:4	0x8	0	0	100	1	0	0	0	0	0	0041AB64 incoming load: MOV EDI,dword ptr [EBP + 0x8]
0041AB90	FUN_0041ab90	0	param_1	pointer:/undefined4	Stack[0x4]:4	0x4	0	0	0	0	0	0	0	0	0	-
0041AB90	FUN_0041ab90	0	param_1	pointer:/undefined4	Stack[0x4]:4	0x8	0	0	100	1	0	0	0	0	0	0041AB94 incoming load: MOV EDI,dword ptr [EBP + 0x8]
0041AC90	FUN_0041ac90	0	param_1	pointer:/undefined4	Stack[0x4]:4	0x4	0	0	0	0	0	0	0	0	0	-
0041AC90	FUN_0041ac90	0	param_1	pointer:/undefined4	Stack[0x4]:4	0x8	0	0	100	1	0	0	0	0	0	0041AC94 incoming load: MOV EDI,dword ptr [EBP + 0x8]
0041ACC0	FUN_0041acc0	0	param_1	pointer:/undefined4	Stack[0x4]:4	0x4	0	0	0	0	0	0	0	0	0	-
0041ACC0	FUN_0041acc0	0	param_1	pointer:/undefined4	Stack[0x4]:4	0x8	0	0	100	1	0	0	0	4	0	0041ACC3 incoming load: MOV ECX,dword ptr [EBP + 0x8] | 0041ACC8 pointer-like dereference: MOV dword ptr [ECX],EAX | 0041ACCA pointer-like dereference: MOV dword ptr [ECX + 0x4],EAX | 0041ACCD pointer-like dereference: MOV dword ptr [ECX + 0x8],EAX | 0041ACD0 pointer-like dereference: MOV dword ptr [ECX + 0xc],EAX
0041ACF0	FUN_0041acf0	0	param_1	pointer:/undefined4	Stack[0x4]:4	0x4	0	0	0	0	0	0	0	0	0	-
0041ACF0	FUN_0041acf0	0	param_1	pointer:/undefined4	Stack[0x4]:4	0x8	0	0	100	1	0	0	0	6	0	0041ACF3 incoming load: MOV ECX,dword ptr [EBP + 0x8] | 0041ACF8 pointer-like dereference: MOV dword ptr [ECX],EAX | 0041ACFA pointer-like dereference: MOV dword ptr [ECX + 0x4],EAX | 0041ACFD pointer-like dereference: MOV dword ptr [ECX + 0x8],EAX | 0041AD00 pointer-like dereference: MOV dword ptr [ECX + 0xc],EAX | 0041AD03 pointer-like dereference: MOV word ptr [ECX + 0x10],AX | 0041AD07 pointer-like dereference: MOV byte ptr [ECX + 0x12],AL
0041AD50	FUN_0041ad50	0	param_1	pointer:/undefined4	Stack[0x4]:4	0x4	0	0	0	0	0	0	0	0	0	-
0041AD50	FUN_0041ad50	0	param_1	pointer:/undefined4	Stack[0x4]:4	0x8	0	0	100	1	0	0	0	3	0	0041AD53 incoming load: MOV ECX,dword ptr [EBP + 0x8] | 0041AD58 pointer-like dereference: MOV dword ptr [ECX],EAX | 0041AD5A pointer-like dereference: MOV dword ptr [ECX + 0x4],EAX | 0041AD5D pointer-like dereference: MOV dword ptr [ECX + 0x8],EAX
0041AD80	FUN_0041ad80	0	param_1	pointer:/undefined4	Stack[0x4]:4	0x4	0	0	0	0	0	0	0	0	0	-
0041AD80	FUN_0041ad80	0	param_1	pointer:/undefined4	Stack[0x4]:4	0x8	0	0	100	1	0	0	0	4	0	0041AD83 incoming load: MOV ECX,dword ptr [EBP + 0x8] | 0041AD88 pointer-like dereference: MOV dword ptr [ECX],EAX | 0041AD8A pointer-like dereference: MOV dword ptr [ECX + 0x4],EAX | 0041AD8D pointer-like dereference: MOV word ptr [ECX + 0x8],AX | 0041AD91 pointer-like dereference: MOV byte ptr [ECX + 0xa],AL
0041ADB0	FUN_0041adb0	0	param_1	pointer:/undefined4	Stack[0x4]:4	0x4	0	0	0	0	0	0	0	0	0	-
0041ADB0	FUN_0041adb0	0	param_1	pointer:/undefined4	Stack[0x4]:4	0x8	0	0	100	1	0	0	0	4	0	0041ADB3 incoming load: MOV ECX,dword ptr [EBP + 0x8] | 0041ADB8 pointer-like dereference: MOV dword ptr [ECX],EAX | 0041ADBA pointer-like dereference: MOV dword ptr [ECX + 0x4],EAX | 0041ADBD pointer-like dereference: MOV word ptr [ECX + 0x8],AX | 0041ADC1 pointer-like dereference: MOV byte ptr [ECX + 0xa],AL
0041ADE0	FUN_0041ade0	0	param_1	pointer:/undefined4	Stack[0x4]:4	0x4	0	0	0	0	0	0	0	0	0	-
0041ADE0	FUN_0041ade0	0	param_1	pointer:/undefined4	Stack[0x4]:4	0x8	0	0	100	1	0	0	0	0	0	0041ADE4 incoming load: MOV EDI,dword ptr [EBP + 0x8]
0041AE10	FUN_0041ae10	0	param_1	pointer:/undefined4	Stack[0x4]:4	0x4	0	0	0	0	0	0	0	0	0	-
