apply	address	expected_name	expected_name_source	expected_layout	proposed_name	proposed_type	role	index_formula	confidence	function_references	reference_sites	reason
1	007FB230	SHORT_007fb230	DEFAULT	00=/short:2,SHORT_007fb230:DEFAULT|02=/short:2,SHORT_007fb232:DEFAULT|04=/undefined2:2,DAT_007fb234:DEFAULT|06=none,DAT_007fb236:DEFAULT|08=/undefined4:4,DAT_007fb238:DEFAULT	g_pathingScratchGrid	/SubmarineTitans/Recovered/GlobalRecords/STPathingGrid16	pathing scratch	x + sizeX * y + planeStride * z	high	10	57	DumpClassC::GetMessage initializes 5/5 descriptor fields; referenced by 10 functions; layout=replaceable scalar fields; index=x + sizeX * y + planeStride * z; 16-bit cells are passed to Library::DKW::WAY and tested as flags/costs
1	007FB240	SHORT_007fb240	DEFAULT	00=/short:2,SHORT_007fb240:DEFAULT|02=/short:2,SHORT_007fb242:DEFAULT|04=/short:2,SHORT_007fb244:DEFAULT|06=/short:2,SHORT_007fb246:DEFAULT|08=pointer:/SubmarineTitans/Recovered/GlobalRecords/STWorldCell:4,g_worldCells:ANALYSIS	g_worldGrid	/SubmarineTitans/Recovered/GlobalRecords/STWorldGrid	world object	x + sizeX * y + planeStride * z	high	238	2758	DumpClassC::GetMessage initializes 5/5 descriptor fields; referenced by 238 functions; layout=replaceable scalar fields; index=x + sizeX * y + planeStride * z; 8-byte cells contain two STWorldObject pointers
1	007FB278	SHORT_007fb278	DEFAULT	00=/short:2,SHORT_007fb278:DEFAULT|02=/short:2,SHORT_007fb27a:DEFAULT|04=/short:2,SHORT_007fb27c:DEFAULT|06=/short:2,SHORT_007fb27e:DEFAULT|08=/undefined4:4,DAT_007fb280:DEFAULT	g_pathingGrid	/SubmarineTitans/Recovered/GlobalRecords/STPathingGrid16	pathing flags/cost	x + sizeX * y + planeStride * z	high	51	471	DumpClassC::GetMessage initializes 5/5 descriptor fields; referenced by 51 functions; layout=replaceable scalar fields; index=x + sizeX * y + planeStride * z; 16-bit cells are passed to Library::DKW::WAY and tested as flags/costs
