apply	function_address	function_name	original_name	merge_group	merge_group_count	expected_current_type	expected_symbol_source	proposed_type	anchor_kind	anchor_address	anchor_time	anchor_operand	direct_target_address	resolved_target_address	anchor_source	supporting_anchors	evidence_count	confidence	reason
0	00418030	SubmarineTitans::Recovered::HiddenThis::RecoveredReceiver_004167A0::FUN_00418030	uVar11	4	6	/uint	DEFAULT	/int	signed_scalar_role	004186A9	680	-1			INT_SRIGHT	004186A9:t680:signed_scalar_role:-1::	1	review	separate decompiler merge group; exact_type_votes=1; score=4; sources=[scalar_arithmetic]; one-way call conversion alone is review-only
0	00418030	SubmarineTitans::Recovered::HiddenThis::RecoveredReceiver_004167A0::FUN_00418030	uVar11	5	6	/uint	DEFAULT	/int	signed_scalar_role	004186BA	716	-1			INT_SRIGHT	004186BA:t716:signed_scalar_role:-1::	1	review	separate decompiler merge group; exact_type_votes=1; score=4; sources=[scalar_arithmetic]; one-way call conversion alone is review-only
0	0041AF40	STGameObjC::GetMessage	local_c	0	1	pointer:/SubmarineTitans/Recovered/DArrayTy	DEFAULT		call_argument	0041B319	1788	0	006AE110	006AE110	ANALYSIS	0041B319:t1788:call_argument:0:006AE110:006AE110	2	conflict	incompatible exact lifetime types=[pointer:/SubmarineTitans/Recovered/DArrayTy, pointer:/int]
0	0041E530	STSprGameObjC::GetMessage	local_10	0	1	pointer:/STSprGameObjC	DEFAULT		typed_copy	0041E554	10625	0			DEFAULT	0041E554:t10625:typed_copy:0::	2	conflict	incompatible exact lifetime types=[pointer:/STGameObjC, pointer:/STSprGameObjC]
0	0041E530	STSprGameObjC::GetMessage	puVar8	0	2	pointer:/undefined4	DEFAULT	pointer:/STT3DSprC	call_argument	0041EF37	3012	0	00404264	004AC410	ANALYSIS	0041EF37:t3012:call_argument:0:00404264:004AC410,0041EF3F:t3019:call_argument:0:00404264:004AC410,0041EF9E:t3111:call_argument:0:00405240:004AC1A0,0041EFB3:t3125:call_argument:0:00405240:004AC1A0	4	review	separate decompiler merge group; exact_type_votes=4; score=16; sources=[call_argument]; exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol
0	0041E530	STSprGameObjC::GetMessage	puVar8	1	2	pointer:/undefined4	DEFAULT	pointer:/STT3DSprC	call_argument	0041EEBF	2883	0	00404264	004AC410	ANALYSIS	0041EEBF:t2883:call_argument:0:00404264:004AC410,0041EEC7:t2890:call_argument:0:00404264:004AC410,0041EEF5:t2936:call_argument:0:00405240:004AC1A0,0041EF0B:t2950:call_argument:0:00405240:004AC1A0	4	review	separate decompiler merge group; exact_type_votes=4; score=16; sources=[call_argument]; exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol
0	0041F3B0	FUN_0041f3b0	puVar1	0	2	pointer:/undefined4	DEFAULT	pointer:/STT3DSprC	call_argument	0041F45F	278	0	00401064	004ABE40	ANALYSIS	0041F45F:t278:call_argument:0:00401064:004ABE40,0041F468:t285:call_argument:0:004030BC:004AC040,0041F50C:t563:call_argument:0:00401064:004ABE40,0041F515:t570:call_argument:0:004030BC:004AC040	4	review	separate decompiler merge group; exact_type_votes=4; score=16; sources=[call_argument]; exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol
0	0041F3B0	FUN_0041f3b0	puVar1	1	2	pointer:/undefined4	DEFAULT	pointer:/STT3DSprC	call_argument	0041F53A	642	0	00401064	004ABE40	ANALYSIS	0041F53A:t642:call_argument:0:00401064:004ABE40,0041F543:t649:call_argument:0:004030BC:004AC040,0041F592:t750:call_argument:0:00401064:004ABE40,0041F59B:t757:call_argument:0:004030BC:004AC040	4	review	separate decompiler merge group; exact_type_votes=4; score=16; sources=[call_argument]; exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol
0	0041F3B0	FUN_0041f3b0	uVar3	0	4	/uint	DEFAULT	/int	signed_scalar_role	0041F431	1401	-1			INT_SDIV	0041F431:t1401:signed_scalar_role:-1::	1	review	separate decompiler merge group; exact_type_votes=1; score=4; sources=[scalar_arithmetic]; one-way call conversion alone is review-only
0	0041F3B0	FUN_0041f3b0	uVar3	2	4	/uint	DEFAULT	/int	signed_scalar_role	0041F4E5	1404	-1			INT_SDIV	0041F4E5:t1404:signed_scalar_role:-1::	1	review	separate decompiler merge group; exact_type_votes=1; score=4; sources=[scalar_arithmetic]; one-way call conversion alone is review-only
0	00420340	STSprGameObjC::LoadActFrame	this_00	0	1	pointer:/undefined4	DEFAULT	pointer:/STT3DSprC	call_argument	004206B4	1240	0	00404183	004AB880	ANALYSIS	004206B4:t1240:call_argument:0:00404183:004AB880,004206E9:t1285:call_argument:0:00404183:004AB880,004207A6:t1451:call_argument:0:00405240:004AC1A0,004207BC:t1465:call_argument:0:00405240:004AC1A0,004207CC:t1492:call_argument:0:00404264:004AC410,004207D5:t1499:call_argument:0:00404264:004AC410,00420809:t1545:call_argument:0:00405240:004AC1A0,0042081E:t1559:call_argument:0:00405240:004AC1A0	8	review	single undefined local lifetime; exact_type_votes=8; score=32; sources=[call_argument]; exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol
0	00420AE0	STSprGameObjC::LoadLifeFrame	this_00	0	1	pointer:/undefined4	DEFAULT	pointer:/STT3DSprC	call_argument	00420D97	1290	0	00404183	004AB880	ANALYSIS	00420D97:t1290:call_argument:0:00404183:004AB880,00420DCB:t1329:call_argument:0:00405240:004AC1A0,00420DED:t1369:call_argument:0:00404183:004AB880,00420E21:t1408:call_argument:0:00405240:004AC1A0	4	review	single undefined local lifetime; exact_type_votes=4; score=16; sources=[call_argument]; exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol
0	00424E10	SubmarineTitans::Recovered::HiddenThis::RecoveredReceiver_004248D0::FUN_00424e10	uVar20	2	7	/uint	DEFAULT	/int	signed_scalar_role	004258B1	4368	-1			INT_SRIGHT	004258B1:t4368:signed_scalar_role:-1::	1	review	separate decompiler merge group; exact_type_votes=1; score=4; sources=[scalar_arithmetic]; one-way call conversion alone is review-only
0	00424E10	SubmarineTitans::Recovered::HiddenThis::RecoveredReceiver_004248D0::FUN_00424e10	uVar22	1	4	/uint	DEFAULT	/int	signed_scalar_role	0042665E	5522	-1			INT_SRIGHT	0042665E:t5522:signed_scalar_role:-1::	1	review	separate decompiler merge group; exact_type_votes=1; score=4; sources=[scalar_arithmetic]; one-way call conversion alone is review-only
0	00424E10	SubmarineTitans::Recovered::HiddenThis::RecoveredReceiver_004248D0::FUN_00424e10	uVar22	2	4	/uint	DEFAULT	/int	signed_scalar_role	00426688	5609	-1			INT_SRIGHT	00426688:t5609:signed_scalar_role:-1::	1	review	separate decompiler merge group; exact_type_votes=1; score=4; sources=[scalar_arithmetic]; one-way call conversion alone is review-only
0	00424E10	SubmarineTitans::Recovered::HiddenThis::RecoveredReceiver_004248D0::FUN_00424e10	uVar22	3	4	/uint	DEFAULT	/int	signed_scalar_role	004266AF	5694	-1			INT_SRIGHT	004266AF:t5694:signed_scalar_role:-1::	1	review	separate decompiler merge group; exact_type_votes=1; score=4; sources=[scalar_arithmetic]; one-way call conversion alone is review-only
0	00424E10	SubmarineTitans::Recovered::HiddenThis::RecoveredReceiver_004248D0::FUN_00424e10	uVar28	0	2	/uint	DEFAULT	/int	signed_scalar_role	004258AA	4333	-1			INT_SRIGHT	004258AA:t4333:signed_scalar_role:-1::	1	review	separate decompiler merge group; exact_type_votes=1; score=4; sources=[scalar_arithmetic]; one-way call conversion alone is review-only
0	00424E10	SubmarineTitans::Recovered::HiddenThis::RecoveredReceiver_004248D0::FUN_00424e10	uVar28	1	2	/uint	DEFAULT	/int	signed_scalar_role	00425911	4604	-1			INT_SRIGHT	00425911:t4604:signed_scalar_role:-1::	1	review	separate decompiler merge group; exact_type_votes=1; score=4; sources=[scalar_arithmetic]; one-way call conversion alone is review-only
1	00428E50	FUN_00428e50	local_b4	0	1	/undefined8	DEFAULT	/double	floating_value_role	00428F00	19012	1			FLOAT_DIV	00428F00:t19012:floating_value_role:1::,00428F3B:t19017:floating_value_role:1::	2	high	single undefined local lifetime; exact_type_votes=2; score=24; sources=[floating_role]
0	00428E50	FUN_00428e50	pSVar8	1	2	pointer:/SubmarineTitans/Recovered/LibraryContexts/ST3DSMAPContext	DEFAULT		call_argument	004290B9	760	0	006E25D0	006E25D0	ANALYSIS	004290B9:t760:call_argument:0:006E25D0:006E25D0	2	conflict	incompatible exact lifetime types=[pointer:/HoloTy, pointer:/SubmarineTitans/Recovered/LibraryContexts/ST3DSMAPContext]
0	0042A290	LoadLand	param_1	0	1	pointer:/cMf32	DEFAULT	/int	call_argument	0042A2D9	85	0	006EF640	006EF640	DEFAULT	0042A2D9:t85:call_argument:0:006EF640:006EF640	1	review	exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol; complete CALL-operand scan records an address-local source view only
0	0042B620	STAllPlayersC::GetObjPtr	array	0	1	pointer:/SubmarineTitans/Recovered/DArraySpecializations/DArrayOf_STGameObjCPtr	DEFAULT		typed_copy	0042B662	688	0			ANALYSIS	0042B662:t688:typed_copy:0::	2	conflict	incompatible exact lifetime types=[pointer:/SubmarineTitans/Recovered/DArraySpecializations/DArrayOf_STGameObjCPtr, pointer:/SubmarineTitans/Recovered/DArrayTy]
