function_address	function	target_kind	target_ordinal	target_name	current_type	storage	source	candidate_type	strong_evidence	candidate_sites	status	type_evidence	evidence_sites
00589B50	STOctopusC::SetSprRange	return		<RETURN>	/undefined	<UNASSIGNED>	DEFAULT		0	0	no_evidence		-
0058A8D0	STOctopusC::Bad	return		<RETURN>	/undefined	<UNASSIGNED>	DEFAULT		0	0	no_evidence		-
0058A970	FUN_0058a970	parameter	1	param_1	/undefined4	Stack[0x4]:4	DEFAULT		0	0	no_evidence		-
0058A9E0	FUN_0058a9e0	return		<RETURN>	/undefined	<UNASSIGNED>	DEFAULT		0	0	no_evidence		-
0058AF70	STOctopusC::sub_0058AF70	return		<RETURN>	/undefined4	EAX:4	DEFAULT		0	0	no_evidence		-
0058B190	STOctopusC::sub_0058B190	return		<RETURN>	/undefined4	EAX:4	DEFAULT		0	0	no_evidence		-
0058B980	FUN_0058b980	parameter	0	param_1	/undefined4	Stack[0x4]:4	DEFAULT		0	0	no_evidence		-
0058B980	FUN_0058b980	parameter	1	param_2	/undefined4	Stack[0x8]:4	DEFAULT		0	0	no_evidence		-
0058B980	FUN_0058b980	parameter	2	param_3	/undefined4	Stack[0xc]:4	DEFAULT		0	0	no_evidence		-
0058B980	FUN_0058b980	parameter	3	param_4	/undefined4	Stack[0x10]:4	DEFAULT		0	0	no_evidence		-
0058B980	FUN_0058b980	parameter	4	param_5	/undefined4	Stack[0x14]:4	DEFAULT		0	0	no_evidence		-
0058B980	FUN_0058b980	parameter	5	param_6	/undefined4	Stack[0x18]:4	DEFAULT		0	0	no_evidence		-
0058B980	FUN_0058b980	return		<RETURN>	/undefined4	EAX:4	DEFAULT		0	0	no_evidence		-
0058BAB0	FUN_0058bab0	parameter	0	param_1	/undefined4	Stack[0x4]:4	DEFAULT		0	0	no_evidence		-
0058BAB0	FUN_0058bab0	parameter	1	param_2	/undefined4	Stack[0x8]:4	DEFAULT		0	0	no_evidence		-
0058BAB0	FUN_0058bab0	parameter	2	param_3	/undefined4	Stack[0xc]:4	DEFAULT		0	0	no_evidence		-
0058BAB0	FUN_0058bab0	parameter	3	param_4	/undefined4	Stack[0x10]:4	DEFAULT		0	0	no_evidence		-
0058BAB0	FUN_0058bab0	parameter	4	param_5	/undefined4	Stack[0x14]:4	DEFAULT		0	0	no_evidence		-
0058BAB0	FUN_0058bab0	return		<RETURN>	/undefined4	EAX:4	DEFAULT		0	0	no_evidence		-
0058BB50	FUN_0058bb50	return		<RETURN>	/undefined	<UNASSIGNED>	DEFAULT		0	0	no_evidence		-
0058BB90	FUN_0058bb90	return		<RETURN>	/undefined	<UNASSIGNED>	DEFAULT		0	0	no_evidence		-
0058BD90	FUN_0058bd90	return		<RETURN>	/undefined	<UNASSIGNED>	DEFAULT		0	0	no_evidence		-
0058C560	FUN_0058c560	return		<RETURN>	/undefined	<UNASSIGNED>	DEFAULT		0	0	no_evidence		-
0058CF90	FUN_0058cf90	parameter	1	param_1	/undefined4	Stack[0x4]:4	DEFAULT		0	0	no_evidence		-
