target	target_kind	status	detail
/SubmarineTitans/Recovered/VTables/DebugSystemCVTable+24	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/GameSystemCVTable+12	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/GameSystemCVTable+16	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/GameSystemCVTable+24	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/GameSystemCVTable+28	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/InterSystemCVTable+4	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/InterSystemCVTable+12	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/InterSystemCVTable+16	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/InterSystemCVTable+24	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STAppCVTable+8	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STAppCVTable+16	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+4	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+8	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+12	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+16	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+20	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+24	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+28	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+36	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+40	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+44	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+48	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+52	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+56	vtable_slot	disabled	apply=0
