apply	record_id	offset	offset_hex	size	proposed_name	proposed_type	type_confidence	name_confidence	reads	writes	evidence	reason
1	record_a62x8	2550	0x9F6	4		/undefined4	layout	none	13	3	004354E0 STAllPlayersC::ReplaceObject @ 004355A8 MOV ECX,dword ptr [ECX*0x2 + 0x7f5816] | 00443F30 STAllPlayersC::SaveAllPlData @ 00444099 MOV EAX,dword ptr [EAX + 0x839] | 00444E70 FUN_00444e70 @ 0044529B MOV dword ptr [EBX + 0x7f5816],EAX | 00444E70 FUN_00444e70 @ 00445319 MOV ECX,dword ptr [EBX + 0x7f5816] | 00444E70 FUN_00444e70 @ 0044542E MOV dword ptr [EBX + 0x7f5816],EDI | 00445A40 STAllPlayersC::RegisterPGPair @ 00445D60 MOV EAX,dword ptr [EDX*0x2 + 0x7f5816] | 00445A40 STAllPlayersC::RegisterPGPair @ 00445F44 MOV EAX,dword ptr [ECX*0x2 + 0x7f5816] | 00445A40 STAllPlayersC::RegisterPGPair @ 00445F65 MOV EAX,dword ptr [EDI] | 004461B0 STAllPlayersC::_DeleteGuardBoat @ 004461DF MOV EDX,dword ptr [ECX*0x2 + 0x7f5816] | 00446520 STAllPlayersC::DeleteGuardBoat @ 00446548 MOV EDX,dword ptr [ECX*0x2 + 0x7f5816] | 00446910 STAllPlayersC::DeletePGPairs @ 00446935 MOV EDX,dword ptr [ECX*0x2 + 0x7f5816] | 00446910 STAllPlayersC::DeletePGPairs @ 004469B1 MOV dword ptr [ECX*0x2 + 0x7f5816],0x0 | 00446AA0 STAllPlayersC::OptimizeGuardBoats @ 00446AC0 MOV ECX,dword ptr [EAX + 0x7f5816] | 00446F80 STAllPlayersC::DistributeGuardBoats @ 00446FA3 MOV ECX,dword ptr [EAX + 0x7f5816] | 00449A90 FUN_00449a90 @ 00449AAB MOV ESI,dword ptr [ECX*0x2 + 0x7f5816] | 004A0FA0 STGroupBoatC::RechargeNewCmd @ 004A1D07 MOV ECX,dword ptr [ECX*0x2 + 0x7f5816]	stride_relative_memory_access
1	record_a62x8	2554	0x9FA	4		/undefined4	layout	none	2	3	00444E70 FUN_00444e70 @ 0044524A MOV dword ptr [EBX + 0x7f581a],EDI | 00446AA0 STAllPlayersC::OptimizeGuardBoats @ 00446AC6 MOV EAX,dword ptr [EAX + 0x7f581a] | 00446AA0 STAllPlayersC::OptimizeGuardBoats @ 00446CD4 MOV dword ptr [EDX*0x2 + 0x7f581a],EAX | 00446F80 STAllPlayersC::DistributeGuardBoats @ 00446FB2 MOV ECX,dword ptr [EAX + 0x7f581a] | 00446F80 STAllPlayersC::DistributeGuardBoats @ 00447C08 MOV dword ptr [ECX + 0x7f581a],EBX	stride_relative_memory_access
1	record_a62x8	2558	0x9FE	4		/undefined4	layout	none	1	3	00444E70 FUN_00444e70 @ 00445250 MOV dword ptr [EBX + 0x7f581e],EDI | 00446F80 STAllPlayersC::DistributeGuardBoats @ 00446FA9 MOV EDX,dword ptr [EAX + 0x7f581e] | 00446F80 STAllPlayersC::DistributeGuardBoats @ 0044706C MOV dword ptr [EBX + 0x7f581e],ECX | 00446F80 STAllPlayersC::DistributeGuardBoats @ 00447C52 MOV dword ptr [ECX + 0x7f581e],EBX	stride_relative_memory_access
1	record_a62x8	2562	0xA02	4		/undefined4	layout	none	1	4	00444E70 FUN_00444e70 @ 00445256 MOV dword ptr [EBX + 0x7f5822],EDI | 00446F80 STAllPlayersC::DistributeGuardBoats @ 00446FB8 MOV EAX,dword ptr [EAX + 0x7f5822] | 00446F80 STAllPlayersC::DistributeGuardBoats @ 004473CA MOV dword ptr [EBX + 0x7f5822],0x0 | 00446F80 STAllPlayersC::DistributeGuardBoats @ 004473F7 MOV dword ptr [EBX + 0x7f5822],EDI | 00446F80 STAllPlayersC::DistributeGuardBoats @ 00447C9C MOV dword ptr [ECX + 0x7f5822],EBX	stride_relative_memory_access
1	record_a62x8	2566	0xA06	4		/undefined4	layout	none	0	3	00444E70 FUN_00444e70 @ 0044525C MOV dword ptr [EBX + 0x7f5826],EDI | 00446F80 STAllPlayersC::DistributeGuardBoats @ 00447551 MOV dword ptr [ECX + 0x7f5826],EDI | 00446F80 STAllPlayersC::DistributeGuardBoats @ 00447D1C MOV dword ptr [EAX + 0x7f5826],EBX	stride_relative_memory_access
1	record_a62x8	2570	0xA0A	4		/undefined4	layout	none	2	2	00430A90 STAllPlayersC::GetMessage @ 00430D66 MOV EDX,dword ptr [EDI] | 00443F30 STAllPlayersC::SaveAllPlData @ 004448EB MOV EDX,dword ptr [EAX + 0x14] | 00444E70 FUN_00444e70 @ 00445268 MOV dword ptr [EBX + 0x7f582a],ECX | 00446F80 STAllPlayersC::DistributeGuardBoats @ 00447B6C MOV dword ptr [EDX + 0x7f582a],ECX	stride_relative_memory_access
1	record_a62x8	2574	0xA0E	4		/undefined4	layout	none	9	4	004B9FA0 TLOBaseTy::GetMessage @ 004BCCCA MOV ECX,dword ptr [EAX + 0x7f582e] | 004BEA70 TLOBaseTy::FUN_004bea70 @ 004BF793 MOV EAX,dword ptr [ECX*0x2 + 0x7f582e] | 004BEA70 TLOBaseTy::FUN_004bea70 @ 004BF9E5 MOV EAX,dword ptr [ECX*0x2 + 0x7f582e] | 004BEA70 TLOBaseTy::FUN_004bea70 @ 004C0B08 MOV ECX,dword ptr [EAX + 0x7f582e] | 004DA390 FUN_004da390 @ 004DA4F2 CMP dword ptr [ESI + 0x7f582e],0x3 | 004DA9C0 FUN_004da9c0 @ 004DA9E4 MOV EAX,dword ptr [EDI] | 004DA9C0 FUN_004da9c0 @ 004DAA5E MOV dword ptr [EDI],0x0 | 004DA9C0 FUN_004da9c0 @ 004DAA79 MOV dword ptr [EDI],0x2 | 004DB020 FUN_004db020 @ 004DB036 MOV ECX,dword ptr [EAX + 0x7f582e] | 004DB020 FUN_004db020 @ 004DB049 MOV dword ptr [EAX + 0x7f582e],0x1 | 004DB0A0 FUN_004db0a0 @ 004DB0BB MOV ECX,dword ptr [ECX*0x2 + 0x7f582e] | 004DB0F0 FUN_004db0f0 @ 004DB106 CMP dword ptr [EAX + 0x7f582e],0x2 | 004DB0F0 FUN_004db0f0 @ 004DB115 MOV dword ptr [EAX + 0x7f582e],0x3	stride_relative_memory_access
1	record_a62x8	2578	0xA12	4		/undefined4	layout	none	1	1	004DA9C0 FUN_004da9c0 @ 004DAA4D MOV EAX,dword ptr [EDI + 0x4] | 004DB020 FUN_004db020 @ 004DB053 MOV dword ptr [EAX + 0x7f5832],ECX	stride_relative_memory_access
1	record_a62x8	2582	0xA16	4		/undefined4	layout	none	1	2	004BEA70 TLOBaseTy::FUN_004bea70 @ 004C0B1E MOV ECX,dword ptr [EAX + 0x7f5836] | 004DA9C0 FUN_004da9c0 @ 004DAA64 MOV dword ptr [EDI + 0x8],EDX | 004DB020 FUN_004db020 @ 004DB059 MOV dword ptr [EAX + 0x7f5836],0x0	stride_relative_memory_access
1	record_a62x8	2586	0xA1A	4		/undefined4	layout	none	3	2	004BEA70 TLOBaseTy::FUN_004bea70 @ 004C0B95 MOV EAX,dword ptr [EDX*0x2 + 0x7f583a] | 004DA390 FUN_004da390 @ 004DA51C MOV EDI,dword ptr [ESI + 0x7f583a] | 004DA9C0 FUN_004da9c0 @ 004DAA3A MOV ESI,dword ptr [EDI + 0xc] | 004DB020 FUN_004db020 @ 004DB069 MOV dword ptr [EAX + 0x7f583a],ECX | 004DB0F0 FUN_004db0f0 @ 004DB125 MOV dword ptr [EAX + 0x7f583a],EDX	stride_relative_memory_access
1	record_a62x8	2590	0xA1E	4		/undefined4	layout	none	1	1	004BEA70 TLOBaseTy::FUN_004bea70 @ 004C0BF8 MUL dword ptr [ECX*0x2 + 0x7f583e] | 004DA9C0 FUN_004da9c0 @ 004DAA81 MOV dword ptr [EDI + 0x10],EDX	stride_relative_memory_access
1	record_a62x8	2594	0xA22	4		/undefined4	layout	none	4	1	004DA9C0 FUN_004da9c0 @ 004DACB3 MOV EDX,dword ptr [ECX + -0x20] | 004DA9C0 FUN_004da9c0 @ 004DADA1 CMP ECX,dword ptr [EDX] | 004E7EB0 FUN_004e7eb0 @ 004E7EDD CMP ECX,dword ptr [EAX + 0x7f5842] | 004E7EB0 FUN_004e7eb0 @ 004E7EE5 MOV dword ptr [EAX + 0x7f5842],ECX | 004E7F20 FUN_004e7f20 @ 004E7F60 CMP EAX,dword ptr [EDX + ECX*0x2 + 0x7f5842]	stride_relative_memory_access
1	record_a62x8	2598	0xA26	4		/undefined4	layout	none	2	0	004DA9C0 FUN_004da9c0 @ 004DADA1 CMP ECX,dword ptr [EDX] | 004E7F20 FUN_004e7f20 @ 004E7F60 CMP EAX,dword ptr [EDX + ECX*0x2 + 0x7f5842]	stride_relative_memory_access
1	record_a62x8	2626	0xA42	4		/undefined4	layout	none	1	2	004DA9C0 FUN_004da9c0 @ 004DACC0 CMP dword ptr [EDX],0x0 | 004DA9C0 FUN_004da9c0 @ 004DACD4 MOV dword ptr [ECX],0x1 | 004E7EB0 FUN_004e7eb0 @ 004E7EEB MOV dword ptr [EAX + 0x7f5862],0x0	stride_relative_memory_access
