sequence	script	status	duration_ms	argument	detail
63	STAbiRegressionGate.java	completed	1798	<repo>/decomp/ST.exe | <repo>/recovery/ST.exe | <repo>/config | deep-abi-pass-1 | 	-
64	STPointerRoleRepairAnalyzer.java	skipped	0	<local-home>/st/recovery	semantic/source/dependency cache hit; reusing verified analyzer artifacts
65	STPointerRoleRepairApplier.java	completed	20	<repo>/recovery/ST.exe/pointer_role_repair_proposals.tsv	recovery_state: proposals_enabled=0, proposals_review=1, changed=0, unchanged=0, review=1, conflict=0, error=0
66	STPointerShapeAnalyzer.java	skipped	0	<local-home>/st/recovery	semantic/source/dependency cache hit; reusing verified analyzer artifacts
67	STPointerShapeApplier.java	completed	32	<repo>/recovery/ST.exe/pointer_shape_target_proposals.tsv	recovery_state: proposals_enabled=0, proposals_review=2007, changed=0, unchanged=0, review=2833, conflict=0, error=0
68	STTypeFamilyAnalyzer.java	completed	2054	<repo>/recovery	-
69	STTypeFamilyApplier.java	completed	18	<repo>/recovery/ST.exe/type_family_proposals.tsv	recovery_state: proposals_enabled=0, proposals_review=2, changed=0, unchanged=0, review=2, conflict=0, error=0
70	STClassArrayAnalyzer.java	completed	1695	<repo>/recovery	-
71	STInlineAggregateAnalyzer.java	completed	1023	<repo>/recovery	-
72	STClassLayoutAnalyzer.java	skipped	0	<local-home>/st/recovery	semantic/source/dependency cache hit; reusing verified analyzer artifacts
73	STClassLayoutApplier.java	completed	77	<repo>/recovery/ST.exe/class_layout_proposals.tsv	recovery_state: proposals_enabled=112, proposals_review=33, changed=0, unchanged=112, review=185, conflict=0, error=0
74	STDArrayElementAnalyzer.java	skipped	0	<local-home>/st/recovery	semantic/source/dependency cache hit; reusing verified analyzer artifacts
75	STDArrayElementApplier.java	completed	25	<repo>/recovery/ST.exe/darray_element_proposals.tsv | types-only	recovery_state: proposals_enabled=22, proposals_review=28, changed=0, unchanged=20, review=28, conflict=2, error=0
76	STSwitchEnumAnalyzer.java	skipped	0	<local-home>/st/recovery	semantic/source/dependency cache hit; reusing verified analyzer artifacts
77	STSwitchEnumApplier.java	completed	54	<repo>/recovery/ST.exe/switch_enum_proposals.tsv	recovery_state: proposals_enabled=561, proposals_review=415, changed=0, unchanged=560, review=416, conflict=0, error=0
78	STObjectFactoryAnalyzer.java	completed	164	<repo>/recovery	-
79	STObjectFactoryApplier.java	completed	20	<repo>/recovery/ST.exe/object_factory_proposals.tsv	recovery_state: proposals_enabled=94, proposals_review=2, changed=0, unchanged=96, review=2, conflict=0, error=0
80	STMessageHandlerAnalyzer.java	completed	450	<repo>/recovery	-
81	STMessageHandlerApplier.java	completed	20	<repo>/recovery/ST.exe/message_handler_proposals.tsv	recovery_state: proposals_enabled=0, proposals_review=106, changed=0, unchanged=0, review=106, conflict=0, error=0
82	STObjectFactoryAnalyzer.java	completed	169	<repo>/recovery	-
83	STObjectFactoryApplier.java	completed	19	<repo>/recovery/ST.exe/object_factory_proposals.tsv	recovery_state: proposals_enabled=94, proposals_review=2, changed=0, unchanged=96, review=2, conflict=0, error=0
84	STVTableAnalyzer.java	completed	273	<repo>/recovery	-
85	STVTableApplier.java	completed	67	<repo>/recovery/ST.exe/vtable_proposals.tsv	recovery_state: proposals_enabled=158, proposals_review=22, changed=0, unchanged=206, review=30, conflict=0, error=0
86	STVirtualMethodAnalyzer.java	completed	57	<repo>/recovery/ST.exe/vtable_proposals.tsv	-
87	STVirtualMethodApplier.java	completed	18	<repo>/recovery/ST.exe/virtual_method_proposals.tsv	recovery_state: proposals_enabled=0, proposals_review=365, changed=0, unchanged=0, review=365, conflict=0, error=0
88	STConstructorAnalyzer.java	completed	49	<repo>/recovery/ST.exe/vtable_proposals.tsv	-
89	STConstructorApplier.java	completed	17	<repo>/recovery/ST.exe/constructor_proposals.tsv	recovery_state: proposals_enabled=0, proposals_review=57, changed=0, unchanged=0, review=57, conflict=0, error=0
90	STClassArrayAnalyzer.java	completed	1661	<repo>/recovery	-
91	STInlineAggregateAnalyzer.java	completed	1030	<repo>/recovery	-
92	STClassLayoutAnalyzer.java	skipped	0	<local-home>/st/recovery	clean analyzer node at the current Program epoch; reusing verified artifacts
93	STClassLayoutApplier.java	completed	58	<repo>/recovery/ST.exe/class_layout_proposals.tsv	recovery_state: proposals_enabled=112, proposals_review=33, changed=0, unchanged=112, review=185, conflict=0, error=0
94	STDArrayElementAnalyzer.java	skipped	0	<local-home>/st/recovery	clean analyzer node at the current Program epoch; reusing verified artifacts
95	STDArrayElementApplier.java	completed	24	<repo>/recovery/ST.exe/darray_element_proposals.tsv | types-only	recovery_state: proposals_enabled=22, proposals_review=28, changed=0, unchanged=20, review=28, conflict=2, error=0
96	STFunctionPointerParameterAnalyzer.java	completed	4374	<repo>/recovery	-
97	STFunctionPointerParameterApplier.java	completed	20	<repo>/recovery/ST.exe/function_pointer_parameter_proposals.tsv	recovery_state: proposals_enabled=0, proposals_review=25, changed=0, unchanged=0, review=25, conflict=0, error=0
98	STFunctionPointerFieldAnalyzer.java	skipped	0	<local-home>/st/recovery	semantic/source/dependency cache hit; reusing verified analyzer artifacts
99	STFunctionPointerFieldApplier.java	completed	18	<repo>/recovery/ST.exe/function_pointer_field_proposals.tsv	recovery_state: proposals_enabled=0, proposals_review=0, changed=0, unchanged=0, review=0, conflict=0, error=0
