apply	shape_id	type_path	length	target_count	field_count	confidence	reason
0	AnonNested_006E6780_044E_FEECA1D4	/SubmarineTitans/Recovered/PointerShapes/AnonNested_006E6780_044E_FEECA1D4	8	1	2	review	fixed-offset accesses through pointer field +0x44E
0	AnonNested_006E67C0_0452_59995E3E	/SubmarineTitans/Recovered/PointerShapes/AnonNested_006E67C0_0452_59995E3E	28	1	7	review	fixed-offset accesses through pointer field +0x452
0	AnonNested_006E6830_0452_DAA077C9	/SubmarineTitans/Recovered/PointerShapes/AnonNested_006E6830_0452_DAA077C9	8	1	2	review	fixed-offset accesses through pointer field +0x452
0	AnonNested_006E8580_0004_0F761FCB	/SubmarineTitans/Recovered/PointerShapes/AnonNested_006E8580_0004_0F761FCB	32	1	2	review	fixed-offset accesses through pointer field +0x4
0	AnonNested_006E8EA0_02F0_0B4BBCFB	/SubmarineTitans/Recovered/PointerShapes/AnonNested_006E8EA0_02F0_0B4BBCFB	12	1	3	review	fixed-offset accesses through pointer field +0x2F0
0	AnonNested_006E9490_0310_0881F4E4	/SubmarineTitans/Recovered/PointerShapes/AnonNested_006E9490_0310_0881F4E4	168	1	3	review	fixed-offset accesses through pointer field +0x310
0	AnonNested_006E9CB0_0310_31D172B2	/SubmarineTitans/Recovered/PointerShapes/AnonNested_006E9CB0_0310_31D172B2	168	1	4	review	fixed-offset accesses through pointer field +0x310
0	AnonNested_006E9D40_0310_477CEA1A	/SubmarineTitans/Recovered/PointerShapes/AnonNested_006E9D40_0310_477CEA1A	168	1	4	review	fixed-offset accesses through pointer field +0x310
0	AnonNested_006E9DD0_0310_F81C983F	/SubmarineTitans/Recovered/PointerShapes/AnonNested_006E9DD0_0310_F81C983F	168	1	4	review	fixed-offset accesses through pointer field +0x310
0	AnonNested_006E9E60_0310_51AA0C90	/SubmarineTitans/Recovered/PointerShapes/AnonNested_006E9E60_0310_51AA0C90	168	1	4	review	fixed-offset accesses through pointer field +0x310
0	AnonNested_00721520_0138_26FFE90C	/SubmarineTitans/Recovered/PointerShapes/AnonNested_00721520_0138_26FFE90C	24	1	2	review	fixed-offset accesses through pointer field +0x138
