apply	owner	owner_type_path	field_offset	field_name	expected_field_type	element_size	element_type_path	descriptor_type_path	field_count	access_count	creation_sites	source_records	confidence	reason
0	MTaskTy	/MTaskTy	1615	field_064F	pointer:/SubmarineTitans/Recovered/DArrayTy	62	/SubmarineTitans/Recovered/DArrayElements/MTaskTy_field_064FElement	/SubmarineTitans/Recovered/DArraySpecializations/MTaskTy_field_064FDArray	0	0	005DFA30 DArrayCreate elementSize=0x3E		review	DArrayCreate element_size=0x3E; access_functions=0; field_accesses=0; selected_fields=0; inline_source_bases=[]; semantic_fields=0; insufficient non-overlapping element evidence
0	OptPanelTy	/OptPanelTy	493	field_01ED	pointer:/SubmarineTitans/Recovered/DArrayTy	8	/SubmarineTitans/Recovered/DArrayElements/OptPanelTy_field_01EDElement	/SubmarineTitans/Recovered/DArraySpecializations/OptPanelTy_field_01EDDArray	0	0	00532D50 DArrayCreate elementSize=0x8		review	DArrayCreate element_size=0x8; access_functions=0; field_accesses=0; selected_fields=0; inline_source_bases=[]; semantic_fields=0; insufficient non-overlapping element evidence
0	STBoatC	/STBoatC	1147	field_047B	pointer:/SubmarineTitans/Recovered/DArrayTy	14	/SubmarineTitans/Recovered/DArrayElements/STBoatC_field_047BElement	/SubmarineTitans/Recovered/DArraySpecializations/STBoatC_field_047BDArray	0	0	0048CC80 DArrayCreate elementSize=0xE		review	DArrayCreate element_size=0xE; access_functions=0; field_accesses=0; selected_fields=0; inline_source_bases=[]; semantic_fields=0; owner layout is manual/hash-diverged; insufficient non-overlapping element evidence
0	STGroupBoatC	/STGroupBoatC	239	field_00EF	pointer:/SubmarineTitans/Recovered/DArrayTy	4	/SubmarineTitans/Recovered/DArrayElements/STGroupBoatC_field_00EFElement	/SubmarineTitans/Recovered/DArraySpecializations/STGroupBoatC_field_00EFDArray	0	0	00498D20 DArrayCreate elementSize=0x4		review	DArrayCreate element_size=0x4; access_functions=0; field_accesses=0; selected_fields=0; inline_source_bases=[]; semantic_fields=0; owner layout is manual/hash-diverged; primitive/invalid element size; insufficient non-overlapping element evidence
0	STGroupBoatC	/STGroupBoatC	271	field_010F	pointer:/SubmarineTitans/Recovered/DArrayTy	2	/SubmarineTitans/Recovered/DArrayElements/STGroupBoatC_field_010FElement	/SubmarineTitans/Recovered/DArraySpecializations/STGroupBoatC_field_010FDArray	0	0	00498D20 DArrayCreate elementSize=0x2		review	DArrayCreate element_size=0x2; access_functions=0; field_accesses=0; selected_fields=0; inline_source_bases=[]; semantic_fields=0; owner layout is manual/hash-diverged; primitive/invalid element size; insufficient non-overlapping element evidence
0	STGroupBoatC	/STGroupBoatC	295	field_0127	pointer:/SubmarineTitans/Recovered/DArrayTy	2	/SubmarineTitans/Recovered/DArrayElements/STGroupBoatC_field_0127Element	/SubmarineTitans/Recovered/DArraySpecializations/STGroupBoatC_field_0127DArray	0	0	00498D20 DArrayCreate elementSize=0x2		review	DArrayCreate element_size=0x2; access_functions=0; field_accesses=0; selected_fields=0; inline_source_bases=[]; semantic_fields=0; owner layout is manual/hash-diverged; primitive/invalid element size; insufficient non-overlapping element evidence
0	STGroupBoatC	/STGroupBoatC	352	field_0160	pointer:/SubmarineTitans/Recovered/DArrayTy	2	/SubmarineTitans/Recovered/DArrayElements/STGroupBoatC_field_0160Element	/SubmarineTitans/Recovered/DArraySpecializations/STGroupBoatC_field_0160DArray	0	0	00498D20 DArrayCreate elementSize=0x2		review	DArrayCreate element_size=0x2; access_functions=0; field_accesses=0; selected_fields=0; inline_source_bases=[]; semantic_fields=0; owner layout is manual/hash-diverged; primitive/invalid element size; insufficient non-overlapping element evidence
0	STGroupBoatC	/STGroupBoatC	360	field_0168	pointer:/SubmarineTitans/Recovered/DArrayTy	2	/SubmarineTitans/Recovered/DArrayElements/STGroupBoatC_field_0168Element	/SubmarineTitans/Recovered/DArraySpecializations/STGroupBoatC_field_0168DArray	0	0	00498D20 DArrayCreate elementSize=0x2		review	DArrayCreate element_size=0x2; access_functions=0; field_accesses=0; selected_fields=0; inline_source_bases=[]; semantic_fields=0; owner layout is manual/hash-diverged; primitive/invalid element size; insufficient non-overlapping element evidence
0	STGroupBoatC	/STGroupBoatC	458	field_01CA	pointer:/SubmarineTitans/Recovered/DArrayTy	2	/SubmarineTitans/Recovered/DArrayElements/STGroupBoatC_field_01CAElement	/SubmarineTitans/Recovered/DArraySpecializations/STGroupBoatC_field_01CADArray	0	0	00498D20 DArrayCreate elementSize=0x2		review	DArrayCreate element_size=0x2; access_functions=0; field_accesses=0; selected_fields=0; inline_source_bases=[]; semantic_fields=0; owner layout is manual/hash-diverged; primitive/invalid element size; insufficient non-overlapping element evidence
0	STGroupBoatC	/STGroupBoatC	462	field_01CE	pointer:/SubmarineTitans/Recovered/DArrayTy	4	/SubmarineTitans/Recovered/DArrayElements/STGroupBoatC_field_01CEElement	/SubmarineTitans/Recovered/DArraySpecializations/STGroupBoatC_field_01CEDArray	0	0	00498D20 DArrayCreate elementSize=0x4		review	DArrayCreate element_size=0x4; access_functions=0; field_accesses=0; selected_fields=0; inline_source_bases=[]; semantic_fields=0; owner layout is manual/hash-diverged; primitive/invalid element size; insufficient non-overlapping element evidence
