function_address	function_name	call_address	slot_offset	stack_parameter_count	last_ecx_assignment	receiver_register	exact_unadjusted_receiver	physical_vtable_paths	receiver_paths	physical_owners	caller_owner	machine_return	classification
0041AF40	STGameObjC::GetMessage	0041B7E3	52	1	EBX	EBX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable		/STGameObjC	STGameObjC	/void	physical_vtable
0041AF40	STGameObjC::GetMessage	0041B840	48	1	EBX	EBX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable		/STGameObjC	STGameObjC	/void	physical_vtable
0041AF40	STGameObjC::GetMessage	0041B8CD	56	1	EBX	EBX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable		/STGameObjC	STGameObjC	/void	physical_vtable
0041AF40	STGameObjC::GetMessage	0041B9FE	60	1	EBX	EBX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable		/STGameObjC	STGameObjC	/void	physical_vtable
0041AF40	STGameObjC::GetMessage	0041BB90	68	1	EBX	EBX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable		/STGameObjC	STGameObjC	/void	physical_vtable
0041AF40	STGameObjC::GetMessage	0041BBEE	72	1	EBX	EBX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable		/STGameObjC	STGameObjC	/void	physical_vtable
0041AF40	STGameObjC::GetMessage	0041BC76	80	1	EBX	EBX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable		/STGameObjC	STGameObjC	/void	physical_vtable
0041AF40	STGameObjC::GetMessage	0041BD07	84	1	EBX	EBX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable		/STGameObjC	STGameObjC	/void	physical_vtable
0041AF40	STGameObjC::GetMessage	0041BD70	92	1	EBX	EBX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable		/STGameObjC	STGameObjC	/void	physical_vtable
0041AF40	STGameObjC::GetMessage	0041BDD7	48	1	EBX	EBX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable		/STGameObjC	STGameObjC	/void	physical_vtable
0041AF40	STGameObjC::GetMessage	0041BE33	52	1	EBX	EBX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable		/STGameObjC	STGameObjC	/void	physical_vtable
0041C3F0	TLOEmbryoTy::sub_0041C3F0	0041C4A7	44	0	ESI	ESI	1	/SubmarineTitans/Recovered/VTables/TLOEmbryoTyVTable	/TLOEmbryoTy	/TLOEmbryoTy	TLOEmbryoTy	/undefined4	physical_vtable
0041C3F0	TLOEmbryoTy::sub_0041C3F0	0041C4FB	148	0	ESI	ESI	1	/SubmarineTitans/Recovered/VTables/TLOEmbryoTyVTable	/TLOEmbryoTy	/TLOEmbryoTy	TLOEmbryoTy	/undefined4	physical_vtable
0041C5A0	sub_0041C5A0	0041C618	44	0	ESI	ESI	1					/undefined4	unresolved_object_dispatch
0041C5A0	sub_0041C5A0	0041C661	152	0	ESI	ESI	1					/undefined4	unresolved_object_dispatch
0041CE40	FUN_0041ce40	0041CE7C	8	0	ESI	ESI	1					/undefined4	unresolved_object_dispatch
0041CF50	FUN_0041cf50	0041CF86	8	0	ESI	ESI	1					/undefined4	unresolved_object_dispatch
0041CFF0	FUN_0041cff0	0041D02C	8	0	ESI	ESI	1					/undefined4	unresolved_object_dispatch
0041D100	FUN_0041d100	0041D134	8	0	ESI	ESI	1					/undefined4	unresolved_object_dispatch
0041D1A0	STMineSetC::sub_0041D1A0	0041D1DC	8	0	ESI	ESI	1	/SubmarineTitans/Recovered/VTables/STMineSetCVTable	/STMineSetC	/STMineSetC	STMineSetC	/undefined4	physical_vtable
0041D2B0	STMineSetC::sub_0041D2B0	0041D2E4	8	0	ESI	ESI	1	/SubmarineTitans/Recovered/VTables/STMineSetCVTable	/STMineSetC	/STMineSetC	STMineSetC	/undefined4	physical_vtable
0041D3E0	FUN_0041d3e0	0041D41C	8	0	ESI	ESI	1					/undefined4	unresolved_object_dispatch
0041D4F0	FUN_0041d4f0	0041D524	8	0	ESI	ESI	1					/undefined4	unresolved_object_dispatch
0041DD00	FUN_0041dd00	0041DF5F	44	0	ESI	ESI	1					/undefined4	unresolved_object_dispatch
0041DD00	FUN_0041dd00	0041E141	44	0	ESI	ESI	1					/undefined4	unresolved_object_dispatch
0041DD00	FUN_0041dd00	0041E14D	44	0	ESI	ESI	1					/undefined4	unresolved_object_dispatch
0041DD00	FUN_0041dd00	0041E23C	44	0	ESI	ESI	1					/undefined4	unresolved_object_dispatch
0041F3B0	FUN_0041f3b0	0041F419	124	0	ESI	ESI	1	/SubmarineTitans/Recovered/VTables/STSprGameObjCVTable	/STSprGameObjC	/STSprGameObjC		/undefined4	physical_vtable
0041F3B0	FUN_0041f3b0	0041F4A1	44	0	ESI	ESI	1	/SubmarineTitans/Recovered/VTables/STSprGameObjCVTable	/STSprGameObjC	/STSprGameObjC		/undefined4	physical_vtable
0041F3B0	FUN_0041f3b0	0041F4AD	12	0	ESI	ESI	1	/SubmarineTitans/Recovered/VTables/STSprGameObjCVTable	/STSprGameObjC	/STSprGameObjC		/undefined4	physical_vtable
0041F3B0	FUN_0041f3b0	0041F4CA	196	0	ESI	ESI	1	/SubmarineTitans/Recovered/VTables/STSprGameObjCVTable	/STSprGameObjC	/STSprGameObjC		/undefined4	physical_vtable
0041F3B0	FUN_0041f3b0	0041F578	44	0	ESI	ESI	1	/SubmarineTitans/Recovered/VTables/STSprGameObjCVTable	/STSprGameObjC	/STSprGameObjC		/undefined4	physical_vtable
0041F3B0	FUN_0041f3b0	0041F584	12	0	ESI	ESI	1	/SubmarineTitans/Recovered/VTables/STSprGameObjCVTable	/STSprGameObjC	/STSprGameObjC		/undefined4	physical_vtable
0041F630	FUN_0041f630	0041F7A5	108	0	ESI	ESI	1					/undefined4	unresolved_object_dispatch
00420340	STSprGameObjC::LoadActFrame	00420421	44	0	EBX	EBX	1	/SubmarineTitans/Recovered/VTables/STSprGameObjCVTable	/STSprGameObjC	/STSprGameObjC	STSprGameObjC	/undefined4	physical_vtable
00420340	STSprGameObjC::LoadActFrame	00420537	44	0	EBX	EBX	1	/SubmarineTitans/Recovered/VTables/STSprGameObjCVTable	/STSprGameObjC	/STSprGameObjC	STSprGameObjC	/undefined4	physical_vtable
00420AE0	STSprGameObjC::LoadLifeFrame	00420B9E	44	0	EBX	EBX	1	/SubmarineTitans/Recovered/VTables/STSprGameObjCVTable	/STSprGameObjC	/STSprGameObjC	STSprGameObjC	/undefined4	physical_vtable
00420AE0	STSprGameObjC::LoadLifeFrame	00420DD4	12	0	EBX	EBX	1	/SubmarineTitans/Recovered/VTables/STSprGameObjCVTable	/STSprGameObjC	/STSprGameObjC	STSprGameObjC	/undefined4	physical_vtable
00423320	FUN_00423320	00423339	0	1	ECX	ECX	1					/undefined4	unresolved_object_dispatch
00423520	STGroupC::GetTOBJQty	004235B3	44	0	ESI	ESI	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable	/STGameObjC	/STGameObjC	STGroupC	/undefined4	physical_vtable
00423660	STGroupC::GetTOBJList	00423702	44	0	ESI	ESI	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable	/STGameObjC	/STGameObjC	STGroupC	/undefined4	physical_vtable
00423850	STGroupC::AddObj	00423958	8	2	EDI	EDI	1				STGroupC	/void	unresolved_object_dispatch
00423850	STGroupC::AddObj	004239E6	256	1	ESI	ESI	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable	/STGameObjC	/STGameObjC	STGroupC	/void	physical_vtable
00423850	STGroupC::AddObj	004239F8	260	1	ESI	ESI	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable	/STGameObjC	/STGameObjC	STGroupC		physical_vtable
00423850	STGroupC::AddObj	00423A37	0	1	ECX	ECX	1				STGroupC	/void	unresolved_object_dispatch
00423C70	FUN_00423c70	00423D2F	0	1	ECX	ECX	1					/void	unresolved_object_dispatch
00423D80	FUN_00423d80	00423DB6	4	1	EBX	EBX	1					/undefined4	unresolved_object_dispatch
00424530	FUN_00424530	004245CE	256	1	EAX	EAX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable	/STGameObjC	/STGameObjC		/void	physical_vtable
00424620	FUN_00424620	004246BE	260	1	EAX	EAX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable	/STGameObjC	/STGameObjC		/void	physical_vtable
0042ABE0	STAllPlayersC::GetGObjFromZone2	0042AE48	236	0	ESI	ESI	1				STAllPlayersC	/undefined4	unresolved_object_dispatch
0042ABE0	STAllPlayersC::GetGObjFromZone2	0042AE83	236	0	ESI	ESI	1				STAllPlayersC	/undefined4	unresolved_object_dispatch
0042ABE0	STAllPlayersC::GetGObjFromZone2	0042AEA5	236	0	ESI	ESI	1				STAllPlayersC	/undefined4	unresolved_object_dispatch
0042ABE0	STAllPlayersC::GetGObjFromZone2	0042AF10	236	0	ESI	ESI	1				STAllPlayersC	/undefined4	unresolved_object_dispatch
0042ABE0	STAllPlayersC::GetGObjFromZone2	0042AF5B	236	0	ESI	ESI	1				STAllPlayersC	/undefined4	unresolved_object_dispatch
0042ABE0	STAllPlayersC::GetGObjFromZone2	0042AF88	236	0	ESI	ESI	1				STAllPlayersC	/undefined4	unresolved_object_dispatch
0042ABE0	STAllPlayersC::GetGObjFromZone2	0042AFAE	236	0	ESI	ESI	1				STAllPlayersC	/undefined4	unresolved_object_dispatch
0042ABE0	STAllPlayersC::GetGObjFromZone2	0042AFD7	236	0	ESI	ESI	1				STAllPlayersC	/undefined4	unresolved_object_dispatch
0042B1F0	STAllPlayersC::GetGObjFromBox	0042B410	248	0	ESI	ESI	1				STAllPlayersC	/undefined4	unresolved_object_dispatch
0042B7D0	STAllPlayersC::AddObjsToGroup	0042B877	8	2	DWORD PTR [EBP + -0X8]	ECX	1				STAllPlayersC	/void	unresolved_object_dispatch
0042B7D0	STAllPlayersC::AddObjsToGroup	0042B906	8	2	DWORD PTR [EBP + -0X8]	ECX	1				STAllPlayersC		unresolved_object_dispatch
0042B7D0	STAllPlayersC::AddObjsToGroup	0042B980	8	5	DWORD PTR [0X00802A38]	ECX	1	/SubmarineTitans/Recovered/VTables/STPlaySystemCVTable	/STPlaySystemC	/STPlaySystemC	STAllPlayersC	/void	physical_vtable
0042B7D0	STAllPlayersC::AddObjsToGroup	0042B9AB	8	2	DWORD PTR [EBP + -0XC]	ECX	1				STAllPlayersC	/void	unresolved_object_dispatch
0042BB30	STAllPlayersC::AddObjToTmp	0042BCC7	232	1	EAX	EAX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable	/STGameObjC	/STGameObjC	STAllPlayersC	/void	physical_vtable
0042BEA0	STAllPlayersC::AddObjToTmp2	0042C089	232	1	EAX	EAX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable	/STGameObjC	/STGameObjC	STAllPlayersC	/void	physical_vtable
0042C300	FUN_0042c300	0042C40A	232	1	EAX	EAX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable	/STGameObjC	/STGameObjC		/void	physical_vtable
0042C5F0	STAllPlayersC::DelObjFromTmps	0042C691	232	1	EAX	EAX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable	/STGameObjC	/STGameObjC	STAllPlayersC		physical_vtable
0042C5F0	STAllPlayersC::DelObjFromTmps	0042C741	232	1	EAX	EAX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable	/STGameObjC	/STGameObjC	STAllPlayersC		physical_vtable
0042C5F0	STAllPlayersC::DelObjFromTmps	0042C82C	232	1	EAX	EAX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable	/STGameObjC	/STGameObjC	STAllPlayersC	/void	physical_vtable
0042C5F0	STAllPlayersC::DelObjFromTmps	0042C90A	232	1	EAX	EAX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable	/STGameObjC	/STGameObjC	STAllPlayersC		physical_vtable
0042C5F0	STAllPlayersC::DelObjFromTmps	0042C9D8	232	1	EAX	EAX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable	/STGameObjC	/STGameObjC	STAllPlayersC		physical_vtable
0042C5F0	STAllPlayersC::DelObjFromTmps	0042CA8A	232	1	EAX	EAX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable	/STGameObjC	/STGameObjC	STAllPlayersC		physical_vtable
0042C5F0	STAllPlayersC::DelObjFromTmps	0042CB8D	232	1	EAX	EAX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable	/STGameObjC	/STGameObjC	STAllPlayersC	/void	physical_vtable
0042D190	STAllPlayersC::ResetActivityFromObjs	0042D1E2	232	1	ESI	ESI	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable	/STGameObjC	/STGameObjC	STAllPlayersC		physical_vtable
0042D190	STAllPlayersC::ResetActivityFromObjs	0042D23C	232	1	ESI	ESI	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable	/STGameObjC	/STGameObjC	STAllPlayersC	/void	physical_vtable
0042D190	STAllPlayersC::ResetActivityFromObjs	0042D2BD	232	1	ESI	ESI	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable	/STGameObjC	/STGameObjC	STAllPlayersC	/void	physical_vtable
0042D190	STAllPlayersC::ResetActivityFromObjs	0042D2F5	232	1	ESI	ESI	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable	/STGameObjC	/STGameObjC	STAllPlayersC	/void	physical_vtable
