apply	family_id	canonical_type	member_type	length	named_fields	evidence
0	EXACT_5BE2C78C2D5C	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_01A5	/SubmarineTitans/Recovered/PointerShapes/AnonNested_0052A890_0014_9BCDCE5B	12	0	anonymous geometry match only; no named semantic anchor
0	EXACT_5BE2C78C2D5C	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_01A5	/SubmarineTitans/Recovered/PointerShapes/AnonNested_AnonShape_00754B80_75BFDB7A_0080_4681841F	12	0	anonymous geometry match only; no named semantic anchor
0	EXACT_5D5C14DF77D5	/SubmarineTitans/Recovered/PointerShapes/RecoveredRecord_AiEventClassTy_0064FD80	/SubmarineTitans/Recovered/PointerShapes/RecoveredRecord_AiEventClassTy_0064FD80	216	0	anonymous geometry match only; no named semantic anchor
0	EXACT_5D5C14DF77D5	/SubmarineTitans/Recovered/PointerShapes/RecoveredRecord_AiEventClassTy_0064FD80	/SubmarineTitans/Recovered/PointerShapes/RecoveredRecord_AiEventClassTy_00650240	216	0	anonymous geometry match only; no named semantic anchor
0	EXACT_5DBEA2CAB5CA	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0075E750_D250320C	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0075E750_D250320C	448	0	anonymous geometry match only; no named semantic anchor
0	EXACT_5DBEA2CAB5CA	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0075E750_D250320C	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0075E7D0_08EF6D02	448	0	anonymous geometry match only; no named semantic anchor
0	EXACT_5E16D480C268	/SubmarineTitans/Recovered/PointerShapes/AnonNested_0053FCD0_0014_03E531EF	/SubmarineTitans/Recovered/PointerShapes/AnonNested_0053FCD0_0014_03E531EF	20	0	anonymous geometry match only; no named semantic anchor
0	EXACT_5E16D480C268	/SubmarineTitans/Recovered/PointerShapes/AnonNested_0053FCD0_0014_03E531EF	/SubmarineTitans/Recovered/PointerShapes/AnonNested_0053FEE0_0014_154E5252	20	0	anonymous geometry match only; no named semantic anchor
0	EXACT_5F6435CCCE62	/SubmarineTitans/Recovered/PointerShapes/AnonShape_006C7D20_41F6C243	/SubmarineTitans/Recovered/PointerShapes/AnonShape_006C7D20_41F6C243	48	0	anonymous geometry match only; no named semantic anchor
0	EXACT_5F6435CCCE62	/SubmarineTitans/Recovered/PointerShapes/AnonShape_006C7D20_41F6C243	/SubmarineTitans/Recovered/PointerShapes/RecoveredRecord_FSGSTy_006C7D20	48	0	anonymous geometry match only; no named semantic anchor
