apply	action	function_address	function_name	call_address	target_address	target_name	expected_override	proposed_return_type	confidence	evidence
1	apply	0049A500	STGroupBoatC::sub_0049A500	0049A550	004028BA	STAllPlayersC::GetObjPtr	none	pointer:/STFishC	high	one exact direct CALL result reaches only the concrete pointer view pointer:/STFishC through COPY/CAST/INDIRECT; consumer anchors=[0049A550:machine-call-boundary, 0049A563, 0049A563:typed-argument]; transport callee ABI pointer:/STGameObjC is retained
1	apply	0049A620	STGroupBoatC::GrpMove	0049A6B0	00402DB5	STGroupC::GetGroupContent	none	pointer:/STGroupBoatC	high	one exact direct CALL result reaches only the concrete pointer view pointer:/STGroupBoatC through COPY/CAST/INDIRECT; consumer anchors=[0049A6B0, 0049A6B0:machine-call-boundary, 0049A6CD:typed-argument, 0049A6D3:typed-argument]; transport callee ABI pointer:/uint is retained
1	apply	0049A620	STGroupBoatC::GrpMove	0049A721	004028BA	STAllPlayersC::GetObjPtr	__thiscall;pointer:/STBoatC;pointer:/STAllPlayersC;/char;/ushort;/SubmarineTitans/Recovered/Enums/STAllPlayersC_GetObjPtr_param_3Enum	pointer:/STBoatC	high	one exact direct CALL result reaches only the concrete pointer view pointer:/STBoatC through COPY/CAST/INDIRECT; consumer anchors=[0049A728:null-test, 0049A74F:typed-argument]; transport callee ABI pointer:/STGameObjC is retained
1	apply	0049A620	STGroupBoatC::GrpMove	0049A7C6	004028BA	STAllPlayersC::GetObjPtr	none	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredRecord_0045FF30_A86BE482	high	one exact direct CALL result reaches only the concrete pointer view pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredRecord_0045FF30_A86BE482 through COPY/CAST/INDIRECT; consumer anchors=[0049A7CD:null-test, 0049A7EE, 0049A7EE:typed-argument, 0049A7F9:typed-argument, 0049A805:typed-argument]; transport callee ABI pointer:/STGameObjC is retained
1	apply	0049A940	STGroupBoatC::GrpMove	0049A9DF	004028BA	STAllPlayersC::GetObjPtr	__thiscall;pointer:/STBoatC;pointer:/STAllPlayersC;/char;/ushort;/SubmarineTitans/Recovered/Enums/STAllPlayersC_GetObjPtr_param_3Enum	pointer:/STBoatC	high	one exact direct CALL result reaches only the concrete pointer view pointer:/STBoatC through COPY/CAST/INDIRECT; consumer anchors=[0049A9E6:null-test, 0049AA0C:typed-argument]; transport callee ABI pointer:/STGameObjC is retained
1	apply	0049B4C0	STGroupBoatC::GrpGoToDeep	0049B655	004028BA	STAllPlayersC::GetObjPtr	none	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredRecord_0045FF30_A86BE482	high	one exact direct CALL result reaches only the concrete pointer view pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredRecord_0045FF30_A86BE482 through COPY/CAST/INDIRECT; consumer anchors=[0049B65C:null-test, 0049B67D, 0049B67D:typed-argument, 0049B688:typed-argument, 0049B694:typed-argument]; transport callee ABI pointer:/STGameObjC is retained
1	apply	0049B7D0	STGroupBoatC::GrpPatrol	0049B959	004028BA	STAllPlayersC::GetObjPtr	__thiscall;pointer:/STFishC;pointer:/STAllPlayersC;/char;/ushort;/SubmarineTitans/Recovered/Enums/STAllPlayersC_GetObjPtr_param_3Enum	pointer:/STFishC	high	one exact direct CALL result reaches only the concrete pointer view pointer:/STFishC through COPY/CAST/INDIRECT; consumer anchors=[0049B960:null-test, 0049B98D:typed-argument]; transport callee ABI pointer:/STGameObjC is retained
1	apply	0049B7D0	STGroupBoatC::GrpPatrol	0049BBC2	004028BA	STAllPlayersC::GetObjPtr	__thiscall;pointer:/STFishC;pointer:/STAllPlayersC;/char;/ushort;/SubmarineTitans/Recovered/Enums/STAllPlayersC_GetObjPtr_param_3Enum	pointer:/STFishC	high	one exact direct CALL result reaches only the concrete pointer view pointer:/STFishC through COPY/CAST/INDIRECT; consumer anchors=[0049BBC9:null-test, 0049BBF5:typed-argument]; transport callee ABI pointer:/STGameObjC is retained
1	apply	0049B7D0	STGroupBoatC::GrpPatrol	0049BD10	004028BA	STAllPlayersC::GetObjPtr	__thiscall;pointer:/STFishC;pointer:/STAllPlayersC;/char;/ushort;/SubmarineTitans/Recovered/Enums/STAllPlayersC_GetObjPtr_param_3Enum	pointer:/STFishC	high	one exact direct CALL result reaches only the concrete pointer view pointer:/STFishC through COPY/CAST/INDIRECT; consumer anchors=[0049BD17:null-test, 0049BD43:typed-argument]; transport callee ABI pointer:/STGameObjC is retained
1	apply	0049B7D0	STGroupBoatC::GrpPatrol	0049BF23	004028BA	STAllPlayersC::GetObjPtr	__thiscall;pointer:/STBoatC;pointer:/STAllPlayersC;/char;/ushort;/SubmarineTitans/Recovered/Enums/STAllPlayersC_GetObjPtr_param_3Enum	pointer:/STBoatC	high	one exact direct CALL result reaches only the concrete pointer view pointer:/STBoatC through COPY/CAST/INDIRECT; consumer anchors=[0049BF2A:null-test, 0049BF83:typed-argument]; transport callee ABI pointer:/STGameObjC is retained
1	apply	0049C210	STGroupBoatC::GrpLoadRC	0049C44E	00401974	thunk_FUN_0043ec20	__stdcall;pointer:/SubmarineTitans/Recovered/DArrayTy;/char;/SubmarineTitans/Recovered/Enums/Global_sub_0043EC20_param_2Enum;/short;/short;/short;/short;/short;/short;/int;/char	pointer:/SubmarineTitans/Recovered/DArrayTy	high	one exact direct CALL result reaches only the concrete pointer view pointer:/SubmarineTitans/Recovered/DArrayTy through COPY/CAST/INDIRECT; consumer anchors=[0049C45B:null-test, 0049C48D:load-base, 0049C4A1:typed-argument, 0049C508:typed-argument]; transport callee ABI pointer:/uint is retained
1	apply	0049C210	STGroupBoatC::GrpLoadRC	0049C694	00401974	thunk_FUN_0043ec20	__stdcall;pointer:/SubmarineTitans/Recovered/DArrayTy;/char;/SubmarineTitans/Recovered/Enums/Global_sub_0043EC20_param_2Enum;/short;/short;/short;/short;/short;/short;/int;/char	pointer:/SubmarineTitans/Recovered/DArrayTy	high	one exact direct CALL result reaches only the concrete pointer view pointer:/SubmarineTitans/Recovered/DArrayTy through COPY/CAST/INDIRECT; consumer anchors=[0049C6A1:null-test, 0049C6D0:load-base, 0049C6E4:typed-argument, 0049C71B:typed-argument]; transport callee ABI pointer:/uint is retained
1	apply	0049C210	STGroupBoatC::GrpLoadRC	0049C758	00401415	STAllPlayersC::GetTOBJList	__thiscall;pointer:/SubmarineTitans/Recovered/DArrayTy;pointer:/STAllPlayersC;/char;/SubmarineTitans/Recovered/Enums/STAllPlayersC_GetTOBJList_param_2Enum;/int;/char	pointer:/SubmarineTitans/Recovered/DArrayTy	high	one exact direct CALL result reaches only the concrete pointer view pointer:/SubmarineTitans/Recovered/DArrayTy through COPY/CAST/INDIRECT; consumer anchors=[0049C765:load-base, 0049C797:load-base, 0049C7AB:typed-argument, 0049C7E2:typed-argument]; transport callee ABI pointer:/uint is retained
1	apply	0049DB40	STGroupBoatC::GrpGuard	0049DCDE	004028BA	STAllPlayersC::GetObjPtr	__thiscall;pointer:/STBoatC;pointer:/STAllPlayersC;/char;/ushort;/SubmarineTitans/Recovered/Enums/STAllPlayersC_GetObjPtr_param_3Enum	pointer:/STBoatC	high	one exact direct CALL result reaches only the concrete pointer view pointer:/STBoatC through COPY/CAST/INDIRECT; consumer anchors=[0049DCE5:null-test, 0049DD05, 0049DD05:typed-argument, 0049DD25:typed-argument]; transport callee ABI pointer:/STGameObjC is retained
1	apply	0049DB40	STGroupBoatC::GrpGuard	0049DDCF	004028BA	STAllPlayersC::GetObjPtr	__thiscall;pointer:/STBoatC;pointer:/STAllPlayersC;/char;/ushort;/SubmarineTitans/Recovered/Enums/STAllPlayersC_GetObjPtr_param_3Enum	pointer:/STBoatC	high	one exact direct CALL result reaches only the concrete pointer view pointer:/STBoatC through COPY/CAST/INDIRECT; consumer anchors=[0049DDD6:null-test, 0049DE1A, 0049DE1A:typed-argument, 0049DE28:typed-argument]; transport callee ABI pointer:/STGameObjC is retained
1	apply	0049DFA0	STGroupBoatC::GrpLoadObj	0049E20B	004028BA	STAllPlayersC::GetObjPtr	__thiscall;pointer:/STBoatC;pointer:/STAllPlayersC;/char;/ushort;/SubmarineTitans/Recovered/Enums/STAllPlayersC_GetObjPtr_param_3Enum	pointer:/STBoatC	high	one exact direct CALL result reaches only the concrete pointer view pointer:/STBoatC through COPY/CAST/INDIRECT; consumer anchors=[0049E20B:machine-call-boundary, 0049E21B, 0049E21B:typed-argument]; transport callee ABI pointer:/STGameObjC is retained
1	apply	0049E510	STGroupBoatC::GrpUnLoadObj	0049E74C	006ACC70	DArrayGetElement	none	pointer:/STAllPlayersC	high	one exact direct CALL has no High output because the transport ABI is void/unsized, but its full EAX reaches one concrete pointer consumer before any redefinition; transport callee ABI /int is retained
1	apply	0049E510	STGroupBoatC::GrpUnLoadObj	0049E761	004028BA	STAllPlayersC::GetObjPtr	__thiscall;pointer:/STBoatC;pointer:/STAllPlayersC;/char;/ushort;/SubmarineTitans/Recovered/Enums/STAllPlayersC_GetObjPtr_param_3Enum	pointer:/STBoatC	high	one exact direct CALL result reaches only the concrete pointer view pointer:/STBoatC through COPY/CAST/INDIRECT; consumer anchors=[0049E761:machine-call-boundary, 0049E76E:typed-argument]; transport callee ABI pointer:/STGameObjC is retained
1	apply	0049EA00	STGroupBoatC::SetMine	0049EAE6	004028BA	STAllPlayersC::GetObjPtr	__thiscall;pointer:/STBoatC;pointer:/STAllPlayersC;/char;/ushort;/SubmarineTitans/Recovered/Enums/STAllPlayersC_GetObjPtr_param_3Enum	pointer:/STBoatC	high	one exact direct CALL result reaches only the concrete pointer view pointer:/STBoatC through COPY/CAST/INDIRECT; consumer anchors=[0049EAED:null-test, 0049EB16:load-base, 0049EB22:load-base, 0049EB2A:load-base, 0049EB34:load-base, 0049EB4C:typed-argument]; transport callee ABI pointer:/STGameObjC is retained
1	apply	0049EA00	STGroupBoatC::SetMine	0049EBC3	004028BA	STAllPlayersC::GetObjPtr	__thiscall;pointer:/STBoatC;pointer:/STAllPlayersC;/char;/ushort;/SubmarineTitans/Recovered/Enums/STAllPlayersC_GetObjPtr_param_3Enum	pointer:/STBoatC	high	one exact direct CALL result reaches only the concrete pointer view pointer:/STBoatC through COPY/CAST/INDIRECT; consumer anchors=[0049EBCA:null-test, 0049EBEB, 0049EBEB:typed-argument, 0049EBF9:typed-argument]; transport callee ABI pointer:/STGameObjC is retained
1	apply	0049ED40	STGroupBoatC::DCBomb	0049EE36	004028BA	STAllPlayersC::GetObjPtr	__thiscall;pointer:/STBoatC;pointer:/STAllPlayersC;/char;/ushort;/SubmarineTitans/Recovered/Enums/STAllPlayersC_GetObjPtr_param_3Enum	pointer:/STBoatC	high	one exact direct CALL result reaches only the concrete pointer view pointer:/STBoatC through COPY/CAST/INDIRECT; consumer anchors=[0049EE3D:null-test, 0049EE5B:load-base, 0049EE64:load-base, 0049EE95:typed-argument, 0049EE9E, 0049EE9E:typed-argument, 0049EEAF:typed-argument]; transport callee ABI pointer:/STGameObjC is retained
1	apply	0049ED40	STGroupBoatC::DCBomb	0049EF7A	004028BA	STAllPlayersC::GetObjPtr	__thiscall;pointer:/STBoatC;pointer:/STAllPlayersC;/char;/ushort;/SubmarineTitans/Recovered/Enums/STAllPlayersC_GetObjPtr_param_3Enum	pointer:/STBoatC	high	one exact direct CALL result reaches only the concrete pointer view pointer:/STBoatC through COPY/CAST/INDIRECT; consumer anchors=[0049EF81:null-test, 0049EFA2, 0049EFA2:typed-argument, 0049EFB0:typed-argument]; transport callee ABI pointer:/STGameObjC is retained
1	apply	0049F100	STGroupBoatC::Capture	0049F46A	004028BA	STAllPlayersC::GetObjPtr	__thiscall;pointer:/STBoatC;pointer:/STAllPlayersC;/char;/ushort;/SubmarineTitans/Recovered/Enums/STAllPlayersC_GetObjPtr_param_3Enum	pointer:/STBoatC	high	one exact direct CALL result reaches only the concrete pointer view pointer:/STBoatC through COPY/CAST/INDIRECT; consumer anchors=[0049F471:null-test, 0049F492, 0049F492:typed-argument, 0049F4A0:typed-argument]; transport callee ABI pointer:/STGameObjC is retained
1	apply	0049F640	STGroupBoatC::Recharge	0049F72B	004028BA	STAllPlayersC::GetObjPtr	__thiscall;pointer:/STBoatC;pointer:/STAllPlayersC;/char;/ushort;/SubmarineTitans/Recovered/Enums/STAllPlayersC_GetObjPtr_param_3Enum	pointer:/STBoatC	high	one exact direct CALL result reaches only the concrete pointer view pointer:/STBoatC through COPY/CAST/INDIRECT; consumer anchors=[0049F732:null-test, 0049F758:typed-argument]; transport callee ABI pointer:/STGameObjC is retained
1	apply	0049F640	STGroupBoatC::Recharge	0049F7B0	004028BA	STAllPlayersC::GetObjPtr	__thiscall;pointer:/STBoatC;pointer:/STAllPlayersC;/char;/ushort;/SubmarineTitans/Recovered/Enums/STAllPlayersC_GetObjPtr_param_3Enum	pointer:/STBoatC	high	one exact direct CALL result reaches only the concrete pointer view pointer:/STBoatC through COPY/CAST/INDIRECT; consumer anchors=[0049F7B7:null-test, 0049F7D8, 0049F7D8:typed-argument, 0049F7E6:typed-argument]; transport callee ABI pointer:/STGameObjC is retained
1	apply	0049F900	STGroupBoatC::Teleport	0049FA10	004028BA	STAllPlayersC::GetObjPtr	__thiscall;pointer:/STBoatC;pointer:/STAllPlayersC;/char;/ushort;/SubmarineTitans/Recovered/Enums/STAllPlayersC_GetObjPtr_param_3Enum	pointer:/STBoatC	high	one exact direct CALL result reaches only the concrete pointer view pointer:/STBoatC through COPY/CAST/INDIRECT; consumer anchors=[0049FA17:null-test, 0049FA3D:typed-argument]; transport callee ABI pointer:/STGameObjC is retained
1	apply	0049F900	STGroupBoatC::Teleport	0049FA95	004028BA	STAllPlayersC::GetObjPtr	__thiscall;pointer:/STBoatC;pointer:/STAllPlayersC;/char;/ushort;/SubmarineTitans/Recovered/Enums/STAllPlayersC_GetObjPtr_param_3Enum	pointer:/STBoatC	high	one exact direct CALL result reaches only the concrete pointer view pointer:/STBoatC through COPY/CAST/INDIRECT; consumer anchors=[0049FA9C:null-test, 0049FABD, 0049FABD:typed-argument, 0049FACB:typed-argument]; transport callee ABI pointer:/STGameObjC is retained
1	apply	0049FBF0	STGroupBoatC::Bring	0049FDDE	006ACC70	DArrayGetElement	__fastcall;pointer:/STAllPlayersC;pointer:/SubmarineTitans/Recovered/DArrayTy;/uint;pointer:/void	pointer:/STAllPlayersC	high	one exact direct CALL has no High output because the transport ABI is void/unsized, but its full EAX reaches one concrete pointer consumer before any redefinition; transport callee ABI /int is retained
1	apply	0049FBF0	STGroupBoatC::Bring	0049FDF3	004028BA	STAllPlayersC::GetObjPtr	__thiscall;pointer:/STBoatC;pointer:/STAllPlayersC;/char;/ushort;/SubmarineTitans/Recovered/Enums/STAllPlayersC_GetObjPtr_param_3Enum	pointer:/STBoatC	high	one exact direct CALL result reaches only the concrete pointer view pointer:/STBoatC through COPY/CAST/INDIRECT; consumer anchors=[0049FDF3:machine-call-boundary, 0049FE00:typed-argument]; transport callee ABI pointer:/STGameObjC is retained
1	apply	0049FBF0	STGroupBoatC::Bring	0049FE9B	004028BA	STAllPlayersC::GetObjPtr	__thiscall;pointer:/STBoatC;pointer:/STAllPlayersC;/char;/ushort;/SubmarineTitans/Recovered/Enums/STAllPlayersC_GetObjPtr_param_3Enum	pointer:/STBoatC	high	one exact direct CALL result reaches only the concrete pointer view pointer:/STBoatC through COPY/CAST/INDIRECT; consumer anchors=[0049FEA2:null-test, 0049FEC3, 0049FEC3:typed-argument, 0049FED1:typed-argument]; transport callee ABI pointer:/STGameObjC is retained
1	apply	004A0590	STGroupBoatC::Scout	004A066F	00403BCA	STGroupBoatC::Way3DGrpGetDistrPoint	__stdcall;pointer:/SubmarineTitans/Recovered/DArrayTy;pointer:/STGroupBoatC;pointer:/SubmarineTitans/Recovered/DArrayTy;/int;/int;/undefined4;/int;/int;/int	pointer:/SubmarineTitans/Recovered/DArrayTy	high	one exact direct CALL result reaches only the concrete pointer view pointer:/SubmarineTitans/Recovered/DArrayTy through COPY/CAST/INDIRECT; consumer anchors=[004A066F:typed-boundary-before-reused-lifetime, 004A0674:null-test, 004A06B3, 004A06C5, 004A06C5:typed-argument]; transport callee ABI pointer:/uint is retained
1	apply	004A0590	STGroupBoatC::Scout	004A0730	004028BA	STAllPlayersC::GetObjPtr	__thiscall;pointer:/STBoatC;pointer:/STAllPlayersC;/char;/ushort;/SubmarineTitans/Recovered/Enums/STAllPlayersC_GetObjPtr_param_3Enum	pointer:/STBoatC	high	one exact direct CALL result reaches only the concrete pointer view pointer:/STBoatC through COPY/CAST/INDIRECT; consumer anchors=[004A0737:null-test, 004A078E:typed-argument]; transport callee ABI pointer:/STGameObjC is retained
1	apply	004A0590	STGroupBoatC::Scout	004A07FC	004028BA	STAllPlayersC::GetObjPtr	__thiscall;pointer:/STBoatC;pointer:/STAllPlayersC;/char;/ushort;/SubmarineTitans/Recovered/Enums/STAllPlayersC_GetObjPtr_param_3Enum	pointer:/STBoatC	high	one exact direct CALL result reaches only the concrete pointer view pointer:/STBoatC through COPY/CAST/INDIRECT; consumer anchors=[004A0803:null-test, 004A0824, 004A0824:typed-argument, 004A0832:typed-argument]; transport callee ABI pointer:/STGameObjC is retained
1	apply	004A0990	STGroupBoatC::GrpRepSub	004A0BF9	004028BA	STAllPlayersC::GetObjPtr	__thiscall;pointer:/STBoatC;pointer:/STAllPlayersC;/char;/ushort;/SubmarineTitans/Recovered/Enums/STAllPlayersC_GetObjPtr_param_3Enum	pointer:/STBoatC	high	one exact direct CALL result reaches only the concrete pointer view pointer:/STBoatC through COPY/CAST/INDIRECT; consumer anchors=[004A0BF9:machine-call-boundary, 004A0C09, 004A0C09:typed-argument]; transport callee ABI pointer:/STGameObjC is retained
1	apply	004A0FA0	STGroupBoatC::RechargeNewCmd	004A10DC	004028BA	STAllPlayersC::GetObjPtr	__thiscall;pointer:/STBoatC;pointer:/STAllPlayersC;/char;/ushort;/SubmarineTitans/Recovered/Enums/STAllPlayersC_GetObjPtr_param_3Enum	pointer:/STBoatC	high	one exact direct CALL result reaches only the concrete pointer view pointer:/STBoatC through COPY/CAST/INDIRECT; consumer anchors=[004A10E3:null-test, 004A1109:typed-argument]; transport callee ABI pointer:/STGameObjC is retained
1	apply	004A0FA0	STGroupBoatC::RechargeNewCmd	004A114B	006ACC70	DArrayGetElement	__fastcall;pointer:/STAllPlayersC;pointer:/SubmarineTitans/Recovered/DArrayTy;/uint;pointer:/void	pointer:/STAllPlayersC	high	one exact direct CALL has no High output because the transport ABI is void/unsized, but its full EAX reaches one concrete pointer consumer before any redefinition; transport callee ABI /int is retained
1	apply	004A0FA0	STGroupBoatC::RechargeNewCmd	004A1160	004028BA	STAllPlayersC::GetObjPtr	__thiscall;pointer:/STBoatC;pointer:/STAllPlayersC;/char;/ushort;/SubmarineTitans/Recovered/Enums/STAllPlayersC_GetObjPtr_param_3Enum	pointer:/STBoatC	high	one exact direct CALL result reaches only the concrete pointer view pointer:/STBoatC through COPY/CAST/INDIRECT; consumer anchors=[004A1167:null-test, 004A118E:typed-argument]; transport callee ABI pointer:/STGameObjC is retained
1	apply	004A0FA0	STGroupBoatC::RechargeNewCmd	004A1296	004028BA	STAllPlayersC::GetObjPtr	__thiscall;pointer:/STBoatC;pointer:/STAllPlayersC;/char;/ushort;/SubmarineTitans/Recovered/Enums/STAllPlayersC_GetObjPtr_param_3Enum	pointer:/STBoatC	high	one exact direct CALL result reaches only the concrete pointer view pointer:/STBoatC through COPY/CAST/INDIRECT; consumer anchors=[004A129D:null-test, 004A12F3:typed-argument]; transport callee ABI pointer:/STGameObjC is retained
1	apply	004A0FA0	STGroupBoatC::RechargeNewCmd	004A1355	006AE140	Library::DKW::TBL::DArrayPut	__stdcall;pointer:/STAllPlayersC;pointer:/SubmarineTitans/Recovered/DArrayTy;/uint;pointer:/void	pointer:/STAllPlayersC	high	one exact direct CALL has no High output because the transport ABI is void/unsized, but its full EAX reaches one concrete pointer consumer before any redefinition; transport callee ABI /int is retained
1	apply	004A0FA0	STGroupBoatC::RechargeNewCmd	004A136D	004028BA	STAllPlayersC::GetObjPtr	__thiscall;pointer:/STBoatC;pointer:/STAllPlayersC;/char;/ushort;/SubmarineTitans/Recovered/Enums/STAllPlayersC_GetObjPtr_param_3Enum	pointer:/STBoatC	high	one exact direct CALL result reaches only the concrete pointer view pointer:/STBoatC through COPY/CAST/INDIRECT; consumer anchors=[004A1374:null-test, 004A13CB:typed-argument]; transport callee ABI pointer:/STGameObjC is retained
1	apply	004A0FA0	STGroupBoatC::RechargeNewCmd	004A1BC6	004028BA	STAllPlayersC::GetObjPtr	__thiscall;pointer:/STBoatC;pointer:/STAllPlayersC;/char;/ushort;/SubmarineTitans/Recovered/Enums/STAllPlayersC_GetObjPtr_param_3Enum	pointer:/STBoatC	high	one exact direct CALL result reaches only the concrete pointer view pointer:/STBoatC through COPY/CAST/INDIRECT; consumer anchors=[004A1BCD:null-test, 004A1BEE, 004A1BEE:typed-argument, 004A1C0D:typed-argument]; transport callee ABI pointer:/STGameObjC is retained
