apply	function_address	expected_function	expected_signature	expected_signature_source	expected_calling_convention	expected_return_type	expected_return_source	expected_parameter_count	expected_parameter_name	expected_parameter_type	expected_parameter_source	proposed_calling_convention	proposed_return_type	proposed_parameter_name	proposed_parameter_type	shared_zero_stub	confidence	reason	evidence
0	004D0B90	TLOFakeTy::GetMessage	int __thiscall GetMessage(TLOFakeTy * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=00401C62|004D0B90; family_names=TLOFakeTy::GetMessage; ret4=4; direct_offsets={10:1,14:1,18:2,1c:4}
0	004D55B0	TLOEmbryoTy::GetMessage	int __thiscall GetMessage(TLOEmbryoTy * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=00404E3F|004D55B0; family_names=TLOEmbryoTy::GetMessage; ret4=13; direct_offsets={10:1,14:6,18:1,1c:2}
0	004EE4D0	BehPanelTy::GetMessage	int __thiscall GetMessage(BehPanelTy * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=00404BBF|004EE4D0; family_names=BehPanelTy::GetMessage; ret4=8; direct_offsets={10:2,14:1,18:1,1c:0}
0	004EF6D0	BldBoatPanelTy::GetMessage	int __thiscall GetMessage(BldBoatPanelTy * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=00402C25|004EF6D0; family_names=BldBoatPanelTy::GetMessage; ret4=8; direct_offsets={10:2,14:2,18:1,1c:2}
0	004F0210	BldLabPanelTy::GetMessage	int __thiscall GetMessage(BldLabPanelTy * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=00403823|004F0210; family_names=BldLabPanelTy::GetMessage; ret4=5; direct_offsets={10:2,14:1,18:0,1c:1}
0	004F1080	BldObjPanelTy::GetMessage	int __thiscall GetMessage(BldObjPanelTy * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=00402450|004F1080; family_names=BldObjPanelTy::GetMessage; ret4=8; direct_offsets={10:2,14:2,18:0,1c:2}
0	004FB060	CPanelTy::GetMessage	int __thiscall GetMessage(CPanelTy * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=004046BA|004FB060; family_names=CPanelTy::GetMessage; ret4=2; direct_offsets={10:10,14:12,18:11,1c:6}
0	005107C0	FrmPanelTy::GetMessage	int __thiscall GetMessage(FrmPanelTy * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=00404246|005107C0; family_names=FrmPanelTy::GetMessage; ret4=8; direct_offsets={10:1,14:0,18:0,1c:1}
0	0051DDD0	HelpPanelTy::GetMessage	int __thiscall GetMessage(HelpPanelTy * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=00404458|0051DDD0; family_names=HelpPanelTy::GetMessage; ret4=40; direct_offsets={10:3,14:10,18:5,1c:12}
0	0051FBA0	HelpStringTy::GetMessage	int __thiscall GetMessage(HelpStringTy * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=00403C60|0051FBA0; family_names=HelpStringTy::GetMessage; ret4=2; direct_offsets={10:2,14:1,18:1,1c:0}
0	00521490	InfocPanelTy::GetMessage	int __thiscall GetMessage(InfocPanelTy * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=00401C03|00521490; family_names=InfocPanelTy::GetMessage; ret4=6; direct_offsets={10:2,14:2,18:2,1c:0}
0	00522E80	IntercomPanelTy::GetMessage	int __thiscall GetMessage(IntercomPanelTy * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=00401B9F|00522E80; family_names=IntercomPanelTy::GetMessage; ret4=7; direct_offsets={10:2,14:2,18:2,1c:0}
0	0052BF00	MoneyTy::GetMessage	int __thiscall GetMessage(MoneyTy * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=004019D3|0052BF00; family_names=MoneyTy::GetMessage; ret4=2; direct_offsets={10:1,14:7,18:3,1c:2}
0	0052DD20	PopUpTy::GetMessage	int __thiscall GetMessage(PopUpTy * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=00405B55|0052DD20; family_names=PopUpTy::GetMessage; ret4=2; direct_offsets={10:1,14:4,18:4,1c:0}
0	00533D10	OptPanelTy::GetMessage	int __thiscall GetMessage(OptPanelTy * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=00405EA7|00533D10; family_names=OptPanelTy::GetMessage; ret4=78; direct_offsets={10:6,14:39,18:17,1c:6}
