apply	address	function	current_signature	current_calling_convention	signature_source	calls	direct_calls	thunk_calls	ecx_pointer_setup	ecx_scalar_setup	ecx_live_prior	ecx_unknown	caller_cleanup_calls	caller_cleanup_bytes	callee_ret_pop_bytes	expected_stack_bytes	incoming_ecx_used	exact_stack_argument_calls	classification	suggested_calling_convention	confidence	reason	error
0	004013E8	thunk_FUN_00419c50	void __thiscall thunk_FUN_00419c50(void * this, ushort param_1)	__thiscall	ANALYSIS	6	6	0	6	0	0	0	0			4	0	6	thiscall_supported	__thiscall	high	6 callsites explicitly load ECX; no caller stack cleanup observed	-
0	004013FC	thunk_FUN_00672a70	undefined __thiscall thunk_FUN_00672a70(void * this, byte param_1)	__thiscall	ANALYSIS	1	1	0	0	0	0	1	0			4	0	1	ambiguous		review	calls=1, pointer_ecx=0, live_ecx=0, no_ecx=1, expected_stack=4, incoming_ecx_used=false, exact_stack_calls=1	-
0	00401406	thunk_FUN_00696d00	int __thiscall thunk_FUN_00696d00(void * this, AnonShape_00696D00_CB3CB395 * param_1, uint param_2)	__thiscall	ANALYSIS	1	1	0	1	0	0	0	0			8	0	1	thiscall_supported	__thiscall	medium	ECX is explicitly prepared at observed callsite	-
0	00401532	thunk_FUN_004e99e0	undefined4 __thiscall thunk_FUN_004e99e0(void * this, undefined4 param_1, undefined4 param_2, undefined4 param_3)	__thiscall	ANALYSIS	1	1	0	1	0	0	0	0			12	0	1	thiscall_supported	__thiscall	medium	ECX is explicitly prepared at observed callsite	-
0	00401573	thunk_FUN_0068e4f0	uint * __thiscall thunk_FUN_0068e4f0(void * this, int param_1)	__thiscall	ANALYSIS	2	2	0	0	0	0	2	0			4	0	2	ambiguous		review	calls=2, pointer_ecx=0, live_ecx=0, no_ecx=2, expected_stack=4, incoming_ecx_used=false, exact_stack_calls=2	-
0	00401627	thunk_FUN_004d8e70	undefined4 __thiscall thunk_FUN_004d8e70(void * this, int param_1, int param_2, undefined4 param_3)	__thiscall	ANALYSIS	2	2	0	2	0	0	0	0			12	0	2	thiscall_supported	__thiscall	high	2 callsites explicitly load ECX; no caller stack cleanup observed	-
0	0040162C	thunk_FUN_004b7d00	int __thiscall thunk_FUN_004b7d00(void * this, STBoatC * param_1)	__thiscall	ANALYSIS	4	4	0	4	0	0	0	0			4	0	4	thiscall_supported	__thiscall	high	4 callsites explicitly load ECX; no caller stack cleanup observed	-
0	0040169A	thunk_FUN_0061c5f0	int __thiscall thunk_FUN_0061c5f0(void * this, undefined4 * param_1)	__thiscall	ANALYSIS	2	2	0	2	0	0	0	0			4	0	2	thiscall_supported	__thiscall	high	2 callsites explicitly load ECX; no caller stack cleanup observed	-
0	004016D1	thunk_FUN_004dfc70	int __thiscall thunk_FUN_004dfc70(void * this, int * param_1)	__thiscall	ANALYSIS	1	1	0	1	0	0	0	0			4	0	1	thiscall_supported	__thiscall	medium	ECX is explicitly prepared at observed callsite	-
0	004016F4	thunk_FUN_00616f60	int __thiscall thunk_FUN_00616f60(void * this, int * param_1, int * param_2, int * param_3)	__thiscall	ANALYSIS	1	1	0	1	0	0	0	0			12	0	1	thiscall_supported	__thiscall	medium	ECX is explicitly prepared at observed callsite	-
0	0040171C	thunk_FUN_005686c0	undefined __thiscall thunk_FUN_005686c0(void * this, undefined4 param_1)	__thiscall	ANALYSIS	1	1	0	0	1	0	0	0			4	0	1	ecx_is_not_receiver_candidate		review	1 callsites place an immediate/zero value in ECX	-
0	00401730	thunk_FUN_005860d0	void __thiscall thunk_FUN_005860d0(void * this, int param_1, int param_2, int soundId)	__thiscall	ANALYSIS	2	2	0	2	0	0	0	0			12	0	2	thiscall_supported	__thiscall	high	2 callsites explicitly load ECX; no caller stack cleanup observed	-
0	00401749	thunk_FUN_0055c740	undefined __thiscall thunk_FUN_0055c740(void * this, int param_1)	__thiscall	ANALYSIS	0	0	0	0	0	0	0	0			4	1	0	unreferenced		review	no direct call reference to function or thunk entry	-
0	00401780	thunk_FUN_0041ae40	undefined __thiscall thunk_FUN_0041ae40(void * this, undefined4 * param_1)	__thiscall	ANALYSIS	0	0	0	0	0	0	0	0			4	1	0	unreferenced		review	no direct call reference to function or thunk entry	-
0	004017A3	thunk_FUN_0055bf20	void __thiscall thunk_FUN_0055bf20(void * this, undefined4 param_1)	__thiscall	ANALYSIS	2	2	0	0	1	0	1	0			4	0	2	ecx_is_not_receiver_candidate		review	1 callsites place an immediate/zero value in ECX	-
0	004017C6	thunk_FUN_00679d60	int __thiscall thunk_FUN_00679d60(void * this, byte * param_1, byte * param_2)	__thiscall	ANALYSIS	1	1	0	1	0	0	0	0			8	0	1	thiscall_supported	__thiscall	medium	ECX is explicitly prepared at observed callsite	-
0	004017CB	thunk_FUN_00427f20	int __thiscall thunk_FUN_00427f20(void * this, float param_1, float param_2, float param_3, int param_4, int param_5, int * param_6)	__thiscall	ANALYSIS	1	1	0	0	0	1	0	0			24	0	0	possible_preserved_this	__thiscall	review	1 callsites carry a live prior ECX value; 0 callers have the same recovered owner	-
0	004017D5	thunk_FUN_004ac6b0	int __thiscall thunk_FUN_004ac6b0(void * this, char param_1)	__thiscall	ANALYSIS	13	13	0	13	0	0	0	0			4	0	13	thiscall_supported	__thiscall	high	13 callsites explicitly load ECX; no caller stack cleanup observed	-
0	00401861	thunk_FUN_004ddc30	undefined4 __thiscall thunk_FUN_004ddc30(void * this, int param_1, int param_2)	__thiscall	ANALYSIS	2	2	0	2	0	0	0	0			8	0	2	thiscall_supported	__thiscall	high	2 callsites explicitly load ECX; no caller stack cleanup observed	-
0	0040194C	thunk_FUN_0058f680	int __thiscall thunk_FUN_0058f680(void * this, undefined2 * param_1, undefined2 * param_2, undefined2 * param_3, short * param_4)	__thiscall	ANALYSIS	1	1	0	1	0	0	0	0			16	0	1	thiscall_supported	__thiscall	medium	ECX is explicitly prepared at observed callsite	-
0	004019F6	thunk_FUN_00647d10	undefined4 __thiscall thunk_FUN_00647d10(void * this, int param_1)	__thiscall	ANALYSIS	0	0	0	0	0	0	0	0			4	1	0	unreferenced		review	no direct call reference to function or thunk entry	-
0	00401AAA	thunk_FUN_00417e70	int __thiscall thunk_FUN_00417e70(void * this, short param_1)	__thiscall	ANALYSIS	8	8	0	7	0	1	0	0			4	0	7	thiscall_supported	__thiscall	high	7 callsites explicitly load ECX; no caller stack cleanup observed	-
0	00401AE6	thunk_FUN_0060bc80	undefined __thiscall thunk_FUN_0060bc80(void * this, undefined4 param_1, ushort param_2)	__thiscall	ANALYSIS	1	1	0	0	0	0	1	0			8	0	1	ambiguous		review	calls=1, pointer_ecx=0, live_ecx=0, no_ecx=1, expected_stack=8, incoming_ecx_used=false, exact_stack_calls=1	-
0	00401AF5	thunk_FUN_004e3790	int __thiscall thunk_FUN_004e3790(void * this, uint param_1, int param_2, int param_3)	__thiscall	ANALYSIS	1	1	0	1	0	0	0	0			12	0	1	thiscall_supported	__thiscall	medium	ECX is explicitly prepared at observed callsite	-
0	00401B0E	thunk_FUN_005eeff0	void __thiscall thunk_FUN_005eeff0(void * this, int param_1)	__thiscall	ANALYSIS	7	7	0	7	0	0	0	0			4	0	7	thiscall_supported	__thiscall	high	7 callsites explicitly load ECX; no caller stack cleanup observed	-
0	00401B13	thunk_FUN_0063c4a0	int __thiscall thunk_FUN_0063c4a0(void * this, int param_1)	__thiscall	ANALYSIS	1	1	0	1	0	0	0	0			4	0	1	thiscall_supported	__thiscall	medium	ECX is explicitly prepared at observed callsite	-
0	00401B36	thunk_FUN_004ebab0	undefined4 __thiscall thunk_FUN_004ebab0(void * this, int param_1, int param_2)	__thiscall	ANALYSIS	2	2	0	2	0	0	0	0			8	0	2	thiscall_supported	__thiscall	high	2 callsites explicitly load ECX; no caller stack cleanup observed	-
