function_address	original_name	merge_group	anchor_address	anchor_kind	status	detail
005623C0	uVar10	1	00562943	signed_scalar_role	disabled	apply=0
005623C0	uVar10	2	005629B4	signed_scalar_role	disabled	apply=0
005623C0	uVar10	3	005629C5	signed_scalar_role	disabled	apply=0
005623C0	uVar9	0	0056243F	signed_scalar_role	disabled	apply=0
005623C0	uVar9	4	00562954	signed_scalar_role	disabled	apply=0
005623C0	uVar9	8	005629D5	signed_scalar_role	disabled	apply=0
00562CD0	local_8	0	00562DA6	signed_scalar_role	disabled	apply=0
00562F50	uVar12	1	00564056	signed_scalar_role	disabled	apply=0
00562F50	uVar12	2	00564041	signed_scalar_role	disabled	apply=0
00564F30	uVar7	0	00564FA2	signed_scalar_role	disabled	apply=0
00564F30	uVar7	4	0056539E	signed_scalar_role	disabled	apply=0
00564F30	uVar7	7	005654B2	signed_scalar_role	disabled	apply=0
00564F30	uVar7	11	00565533	signed_scalar_role	disabled	apply=0
00564F30	uVar9	1	00565490	signed_scalar_role	disabled	apply=0
00564F30	uVar9	2	005654A1	signed_scalar_role	disabled	apply=0
00564F30	uVar9	3	00565512	signed_scalar_role	disabled	apply=0
00564F30	uVar9	4	00565523	signed_scalar_role	disabled	apply=0
00565820	uVar12	1	00566165	signed_scalar_role	disabled	apply=0
00566600	pCVar5	0	00566798	call_return	disabled	apply=0
00566600	pCVar5	1	005667E8	call_return	disabled	apply=0
00567510	uVar6	1	00567892	signed_scalar_role	disabled	apply=0
00567510	uVar6	5	0056799C	signed_scalar_role	disabled	apply=0
00567C10	uVar4	1	00567D40	signed_scalar_role	disabled	apply=0
00567C10	uVar4	5	00567E4A	signed_scalar_role	disabled	apply=0
005682C0	uVar5	1	005683D7	signed_scalar_role	disabled	apply=0
005682C0	uVar5	5	005684E1	signed_scalar_role	disabled	apply=0
00568DD0	bVar1	0	00569445	boolean_scalar_role	disabled	apply=0
00568DD0	bVar1	1	005690BC	boolean_scalar_role	disabled	apply=0
00568DD0	uVar10	3	00569930	signed_scalar_role	disabled	apply=0
00568DD0	uVar10	6	00569251	signed_scalar_role	disabled	apply=0
00568DD0	uVar10	9	00569541	signed_scalar_role	disabled	apply=0
00568DD0	uVar10	14	005691B8	signed_scalar_role	disabled	apply=0
00568DD0	uVar14	0	00569627	signed_scalar_role	disabled	apply=0
00568DD0	uVar14	1	00568EBF	signed_scalar_role	disabled	apply=0
00568DD0	uVar7	1	00569636	signed_scalar_role	disabled	apply=0
00568DD0	uVar7	2	00569753	signed_scalar_role	disabled	apply=0
00568DD0	uVar7	3	005697A2	signed_scalar_role	disabled	apply=0
00568DD0	uVar7	5	00569374	signed_scalar_role	disabled	apply=0
00568DD0	uVar7	6	005693C3	signed_scalar_role	disabled	apply=0
00568DD0	uVar7	8	00568ECE	signed_scalar_role	disabled	apply=0
00568DD0	uVar7	9	00568FEB	signed_scalar_role	disabled	apply=0
00568DD0	uVar7	10	0056903A	signed_scalar_role	disabled	apply=0
00568DD0	uVar8	1	00569242	signed_scalar_role	disabled	apply=0
0056F250	uVar5	3	0056F562	call_return	disabled	apply=0
0056FA60	bVar28	0	00570A8F	boolean_scalar_role	disabled	apply=0
00571E40	pcVar11	2	00572343	typed_copy	disabled	apply=0
00575640	uVar8	2	005757D1	signed_scalar_role	disabled	apply=0
00575CB0	bVar27	0	00576148	boolean_scalar_role	disabled	apply=0
00575CB0	bVar27	1	00576181	boolean_scalar_role	disabled	apply=0
00575CB0	puVar26	0	00576263	call_argument	disabled	apply=0
00577440	DVar3	0	005775AE	call_return	disabled	apply=0
00578630	uVar10	0	00578E91	call_return	disabled	apply=0
00579350	uVar2	0	0057942D	call_return	disabled	apply=0
00579350	uVar2	1	00579414	call_return	disabled	apply=0
00579350	uVar2	5	00579677	signed_scalar_role	disabled	apply=0
0057BF60	uVar6	0	0057C7CA	call_return	disabled	apply=0
0057CD70	uVar3	0	0057CDA5	call_return	disabled	apply=0
0057CD70	uVar3	1	0057CD8C	call_return	disabled	apply=0
005825C0	uVar11	0	005825F7	call_return	disabled	apply=0
005825C0	uVar11	1	005825DE	call_return	disabled	apply=0
00585020	uVar4	0	00585103	call_return	disabled	apply=0
00585020	uVar4	1	005850EA	call_return	disabled	apply=0
00586AF0	uVar8	0	00586BDA	call_return	disabled	apply=0
00586AF0	uVar8	1	00586BC1	call_return	disabled	apply=0
00589C10	uVar9	0	0058A549	call_return	disabled	apply=0
0058A9E0	uVar3	0	0058AAC3	call_return	disabled	apply=0
0058A9E0	uVar3	1	0058AAAA	call_return	disabled	apply=0
0058BD90	uVar3	0	0058BE85	call_return	disabled	apply=0
0058BD90	uVar3	1	0058BE6C	call_return	disabled	apply=0
0058D7C0	uVar7	0	0058E0E8	call_return	disabled	apply=0
0058E570	uVar7	0	0058E5BD	call_return	disabled	apply=0
0058E570	uVar7	2	0058E58E	call_return	disabled	apply=0
0058F1E0	uVar7	0	0058F2A0	signed_scalar_role	disabled	apply=0
00590B40	pCVar3	0	00590BEA	call_return	disabled	apply=0
00590B40	pCVar3	1	00590C35	call_return	disabled	apply=0
00597120	pCVar9	0	005972F9	call_return	disabled	apply=0
00597120	pCVar9	1	00597555	call_return	disabled	apply=0
005A26C0	bVar11	0	005A279A	boolean_scalar_role	disabled	apply=0
005A26C0	bVar11	1	005A28C9	boolean_scalar_role	disabled	apply=0
005A4350	bVar43	0	005A6631	boolean_scalar_role	disabled	apply=0
005A4350	bVar43	1	005A63C5	boolean_scalar_role	disabled	apply=0
005A4350	bVar43	5	005A4EA8	boolean_scalar_role	disabled	apply=0
005AFD00	bVar26	0	005AFF60	boolean_scalar_role	disabled	apply=0
005AFD00	bVar26	1	005AFFDA	boolean_scalar_role	disabled	apply=0
005AFD00	bVar26	2	005B001A	boolean_scalar_role	disabled	apply=0
005B0BA0	bVar11	0	005B1B47	boolean_scalar_role	disabled	apply=0
005B0BA0	bVar11	1	005B1D5A	boolean_scalar_role	disabled	apply=0
005C1340	puVar8	0	005C139E	call_argument	disabled	apply=0
005C7800	puVar18	0	005C7E25	call_argument	disabled	apply=0
005CD430	bVar17	2	005CD650	boolean_scalar_role	disabled	apply=0
005CE0E0	bVar26	5	005CEF38	boolean_scalar_role	disabled	apply=0
005D5160	bVar15	1	005D532B	boolean_scalar_role	disabled	apply=0
005D8BF0	bVar18	0	005D8D58	boolean_scalar_role	disabled	apply=0
005D8BF0	bVar18	1	005D8D98	boolean_scalar_role	disabled	apply=0
005D8BF0	bVar18	2	005D8FEC	boolean_scalar_role	disabled	apply=0
005E0AC0	uVar5	0	005E0B9E	call_return	disabled	apply=0
005E0AC0	uVar5	1	005E0C0F	call_return	disabled	apply=0
