name_apply	convention_apply	this_type_apply	return_apply	parameter_apply	address	expected_name	expected_name_source	expected_signature	expected_signature_source	kind	owner	proposed_name	owner_type_path	wrapper_address	in_vtable	vtable_slots	deallocator_address	confidence	reason
0	0	0	0	0	00542EC0	InterSystemC::~InterSystemC	ANALYSIS	void __thiscall ~InterSystemC(InterSystemC * this)	ANALYSIS	destructor	InterSystemC	InterSystemC::~InterSystemC	/InterSystemC		1	0x4		high	cleanup_only_vtable_method; zeroed_this_fields=4; same_this_calls=2; field_cleanup_calls=0; 00542ECE ccFntTy::operator; 00542F14 FUN_006e52d0; previously_applied
0	0	0	0	0	005DCDB0	StartSystemTy::~StartSystemTy	ANALYSIS	void __thiscall ~StartSystemTy(StartSystemTy * this)	ANALYSIS	destructor	StartSystemTy	StartSystemTy::~StartSystemTy	/StartSystemTy		1	0x4		high	cleanup_only_vtable_method; zeroed_this_fields=4; same_this_calls=6; field_cleanup_calls=1; 005DCDBE StartSystemTy::sub_006E56B0; 005DCDD3 StartSystemTy::sub_006E56B0; 005DCDEB StartSystemTy::sub_006E56B0; 005DCE03 StartSystemTy::sub_006E56B0; 005DCE2B StartSystemTy::sub_005DB2A0; 005DCE3C StartSystemTy::sub_005DAF20; 005DCE43 FUN_005db010; 005DCE4A StartSystemTy::sub_005DA910; 005DCE51 FUN_006e52d0; previously_applied
