apply	kind	function_address	expected_function	expected_signature	stack_offset	length	proposed_name	expected_overlaps	site	reason	evidence
0	fixed_zero	00683C70	FUN_00683c70	uint * __stdcall FUN_00683c70(LPCSTR lpFileName, AnonShape_00683C70_22193481 * param_2, undefined4 * param_3, int * param_4, undefined * param_5)	-712	280	stack_bytes_neg_2C8	Stack[-0x1b1]:1:local_1b1:/undefined1:DEFAULT: | Stack[-0x1b5]:4:local_1b5:/undefined4:DEFAULT: | Stack[-0x1b9]:4:local_1b9:/undefined4:DEFAULT: | Stack[-0x1bd]:4:local_1bd:/undefined4:DEFAULT: | Stack[-0x1c1]:4:local_1c1:/undefined4:DEFAULT: | Stack[-0x1c2]:1:local_1c2:/undefined1:DEFAULT: | Stack[-0x1c3]:1:local_1c3:/undefined1:DEFAULT: | Stack[-0x1c4]:1:local_1c4:/undefined1:DEFAULT: | Stack[-0x2c8]:1:local_2c8:/undefined:DEFAULT:	006873B0 STOSD.REP ES:EDI	overlapping_stack_lifetimes	exact zero-valued REP STOS span rooted in EBP-relative local storage
0	fixed_zero	00683C70	FUN_00683c70	uint * __stdcall FUN_00683c70(LPCSTR lpFileName, AnonShape_00683C70_22193481 * param_2, undefined4 * param_3, int * param_4, undefined * param_5)	-296	44	stack_bytes_neg_128	Stack[-0x113]:1:local_113:/undefined:DEFAULT: | Stack[-0x114]:1:local_114:/undefined1:DEFAULT: | Stack[-0x116]:2:local_116:/undefined2:DEFAULT: | Stack[-0x118]:2:local_118:/undefined2:DEFAULT: | Stack[-0x11a]:2:local_11a:/undefined2:DEFAULT: | Stack[-0x11c]:2:local_11c:/undefined2:DEFAULT: | Stack[-0x120]:4:local_120:/undefined4:DEFAULT: | Stack[-0x124]:4:local_124:/undefined4:DEFAULT: | Stack[-0x128]:4:local_128:/undefined4:DEFAULT:	006863C8 STOSD.REP ES:EDI	overlapping_stack_lifetimes	exact zero-valued REP STOS span rooted in EBP-relative local storage
0	fixed_zero	00683C70	FUN_00683c70	uint * __stdcall FUN_00683c70(LPCSTR lpFileName, AnonShape_00683C70_22193481 * param_2, undefined4 * param_3, int * param_4, undefined * param_5)	-252	24	stack_bytes_neg_FC	Stack[-0xe8]:4:local_e8:/undefined4:DEFAULT: | Stack[-0xec]:4:local_ec:/undefined4:DEFAULT: | Stack[-0xf0]:4:local_f0:/undefined4:DEFAULT: | Stack[-0xf4]:4:local_f4:/undefined4:DEFAULT: | Stack[-0xf8]:4:local_f8:/undefined4:DEFAULT: | Stack[-0xfc]:4:local_fc:/undefined4:DEFAULT:	00684037 STOSD.REP ES:EDI	overlapping_stack_lifetimes	exact zero-valued REP STOS span rooted in EBP-relative local storage
0	dynamic_alloca	0068CEC0	FUN_0068cec0	uint * __cdecl FUN_0068cec0(LPCSTR lpFileName, AnonShape_00683C70_22193481 * param_2, int * param_3, undefined * param_4)	0	0	dynamic_stack_0068CEC8		0068CEC8	runtime_extent_review	call target has the machine-verified MSVC alloca_probe p-code fixup; the resulting ESP-rooted object has runtime extent and cannot be a fixed Listing local
0	fixed_zero	00691690	FUN_00691690	undefined __thiscall FUN_00691690(cMf32 * param_1, cMf32 * param_2, int param_3, undefined * param_4)	-140	80	stack_bytes_neg_8C	Stack[-0x44]:1:local_44:/undefined1:DEFAULT: | Stack[-0x64]:4:local_64:/undefined4:DEFAULT: | Stack[-0x68]:4:local_68:/undefined4:DEFAULT: | Stack[-0x6c]:4:local_6c:/undefined4:DEFAULT: | Stack[-0x70]:4:local_70:/undefined4:DEFAULT: | Stack[-0x84]:2:local_84:/undefined2:DEFAULT: | Stack[-0x8c]:4:local_8c:/undefined4:DEFAULT:	006919F7 STOSD.REP ES:EDI	overlapping_stack_lifetimes	exact zero-valued REP STOS span rooted in EBP-relative local storage
0	fixed_zero	00691690	FUN_00691690	undefined __thiscall FUN_00691690(cMf32 * param_1, cMf32 * param_2, int param_3, undefined * param_4)	-140	80	stack_bytes_neg_8C	Stack[-0x44]:1:local_44:/undefined1:DEFAULT: | Stack[-0x64]:4:local_64:/undefined4:DEFAULT: | Stack[-0x68]:4:local_68:/undefined4:DEFAULT: | Stack[-0x6c]:4:local_6c:/undefined4:DEFAULT: | Stack[-0x70]:4:local_70:/undefined4:DEFAULT: | Stack[-0x84]:2:local_84:/undefined2:DEFAULT: | Stack[-0x8c]:4:local_8c:/undefined4:DEFAULT:	00691CB8 STOSD.REP ES:EDI	overlapping_stack_lifetimes	exact zero-valued REP STOS span rooted in EBP-relative local storage
0	fixed_zero	00691690	FUN_00691690	undefined __thiscall FUN_00691690(cMf32 * param_1, cMf32 * param_2, int param_3, undefined * param_4)	-140	80	stack_bytes_neg_8C	Stack[-0x44]:1:local_44:/undefined1:DEFAULT: | Stack[-0x64]:4:local_64:/undefined4:DEFAULT: | Stack[-0x68]:4:local_68:/undefined4:DEFAULT: | Stack[-0x6c]:4:local_6c:/undefined4:DEFAULT: | Stack[-0x70]:4:local_70:/undefined4:DEFAULT: | Stack[-0x84]:2:local_84:/undefined2:DEFAULT: | Stack[-0x8c]:4:local_8c:/undefined4:DEFAULT:	00691F06 STOSD.REP ES:EDI	overlapping_stack_lifetimes	exact zero-valued REP STOS span rooted in EBP-relative local storage
0	dynamic_alloca	00693DC0	FUN_00693dc0	undefined4 __stdcall FUN_00693dc0(cMf32 * param_1, undefined4 param_2)	0	0	dynamic_stack_00693DC8		00693DC8	runtime_extent_review	call target has the machine-verified MSVC alloca_probe p-code fixup; the resulting ESP-rooted object has runtime extent and cannot be a fixed Listing local
0	dynamic_alloca	00693EB0	FUN_00693eb0	undefined4 __stdcall FUN_00693eb0(int param_1, int param_2)	0	0	dynamic_stack_00693EB8		00693EB8	runtime_extent_review	call target has the machine-verified MSVC alloca_probe p-code fixup; the resulting ESP-rooted object has runtime extent and cannot be a fixed Listing local
0	fixed_zero	006952B0	CGenerate::FUN_006952b0	int __thiscall FUN_006952b0(AnonShape_006952B0_7A982E30 * param_1, byte * param_2)	-144	32	stack_bytes_neg_90	Stack[-0x74]:4:local_74:/SubmarineTitans/Recovered/DArrayTy *32:DEFAULT:[STPointerShapeApplier] pointer:/SubmarineTitans/Recovered/DArrayTy; unique typed-call evidence={pointer:/SubmarineTitans/Recovered/DArrayTy=3} | Stack[-0x78]:4:local_78:/SubmarineTitans/Recovered/DArrayTy *32:DEFAULT:[STPointerShapeApplier] pointer:/SubmarineTitans/Recovered/DArrayTy; unique typed-call evidence={pointer:/SubmarineTitans/Recovered/DArrayTy=3} | Stack[-0x90]:1:local_90:/undefined:DEFAULT:	006953EC STOSD.REP ES:EDI	overlapping_stack_lifetimes	exact zero-valued REP STOS span rooted in EBP-relative local storage
