function_address	function	parameter_ordinal	parameter_name	current_type	direct_call_sites	byte_reads	byte_writes	bulk_transports	wide_dereferences	escapes	complete	apply	status	evidence
0041AD50	FUN_0041ad50	0	param_1	pointer:/undefined4	0	0	0	0	3	0	1	0	mixed_or_wide_pointee	complete mutable byte-buffer machine proof: direct_calls=0, byte_reads=0, byte_writes=0, rep_movs_transports=0, wide_dereferences=3, escapes=0; byte_read_sites=-; byte_write_sites=-; wide_sites=0041AD58 MOV dword ptr [ECX],EAX operand=DWORD PTR [ECX] width=4 | 0041AD5A MOV dword ptr [ECX + 0x4],EAX operand=DWORD PTR [ECX + 0X4] width=4 | 0041AD5D MOV dword ptr [ECX + 0x8],EAX operand=DWORD PTR [ECX + 0X8] width=4
0041AD80	FUN_0041ad80	0	param_1	pointer:/undefined4	0	0	1	0	3	0	1	0	mixed_or_wide_pointee	complete mutable byte-buffer machine proof: direct_calls=0, byte_reads=0, byte_writes=1, rep_movs_transports=0, wide_dereferences=3, escapes=0; byte_read_sites=-; byte_write_sites=0041AD91 MOV byte ptr [ECX + 0xa],AL; wide_sites=0041AD88 MOV dword ptr [ECX],EAX operand=DWORD PTR [ECX] width=4 | 0041AD8A MOV dword ptr [ECX + 0x4],EAX operand=DWORD PTR [ECX + 0X4] width=4 | 0041AD8D MOV word ptr [ECX + 0x8],AX operand=WORD PTR [ECX + 0X8] width=2
0041ADB0	FUN_0041adb0	0	param_1	pointer:/undefined4	0	0	1	0	3	0	1	0	mixed_or_wide_pointee	complete mutable byte-buffer machine proof: direct_calls=0, byte_reads=0, byte_writes=1, rep_movs_transports=0, wide_dereferences=3, escapes=0; byte_read_sites=-; byte_write_sites=0041ADC1 MOV byte ptr [ECX + 0xa],AL; wide_sites=0041ADB8 MOV dword ptr [ECX],EAX operand=DWORD PTR [ECX] width=4 | 0041ADBA MOV dword ptr [ECX + 0x4],EAX operand=DWORD PTR [ECX + 0X4] width=4 | 0041ADBD MOV word ptr [ECX + 0x8],AX operand=WORD PTR [ECX + 0X8] width=2
0041ADE0	FUN_0041ade0	0	param_1	pointer:/undefined4	0	0	0	0	1	0	1	0	mixed_or_wide_pointee	complete mutable byte-buffer machine proof: direct_calls=0, byte_reads=0, byte_writes=0, rep_movs_transports=0, wide_dereferences=1, escapes=0; byte_read_sites=-; byte_write_sites=-; wide_sites=0041ADEE STOSD.REP ES:EDI string_width=4
0041AE10	FUN_0041ae10	0	param_1	pointer:/undefined4	0	0	0	0	2	0	1	0	mixed_or_wide_pointee	complete mutable byte-buffer machine proof: direct_calls=0, byte_reads=0, byte_writes=0, rep_movs_transports=0, wide_dereferences=2, escapes=0; byte_read_sites=-; byte_write_sites=-; wide_sites=0041AE18 MOV dword ptr [ECX],EAX operand=DWORD PTR [ECX] width=4 | 0041AE1A MOV word ptr [ECX + 0x4],AX operand=WORD PTR [ECX + 0X4] width=2
0041AE40	FUN_0041ae40	1	param_1	pointer:/undefined4	0	0	1	0	2	0	1	0	mixed_or_wide_pointee	complete mutable byte-buffer machine proof: direct_calls=0, byte_reads=0, byte_writes=1, rep_movs_transports=0, wide_dereferences=2, escapes=0; byte_read_sites=-; byte_write_sites=0041AE5B MOV byte ptr [EDX + 0x8],0x0; wide_sites=0041AE53 STOSD.REP ES:EDI string_width=4 | 0041AE59 MOV dword ptr [EDX],EAX operand=DWORD PTR [EDX] width=4
0041AEA0	FUN_0041aea0	0	param_1	pointer:/undefined1	0	0	1	0	0	0	1	0	no_byte_read	complete mutable byte-buffer machine proof: direct_calls=0, byte_reads=0, byte_writes=1, rep_movs_transports=0, wide_dereferences=0, escapes=0; byte_read_sites=-; byte_write_sites=0041AEA6 MOV byte ptr [EAX],0x0
0041C3F0	TLOEmbryoTy::sub_0041C3F0	1	param_1	pointer:/undefined	0	0	0	0	0	2	1	0	escaped_local_proof	complete mutable byte-buffer machine proof: direct_calls=0, byte_reads=0, byte_writes=0, rep_movs_transports=0, wide_dereferences=0, escapes=2; byte_read_sites=-; byte_write_sites=-; escape_sites=0041C401 MOV dword ptr [ESI + 0x101],EAX alias stored outside a local spill | 0041C428 PUSH EAX alias passed on stack
0041C6E0	FUN_0041c6e0	1	param_1	pointer:/undefined	0	0	0	0	0	1	1	0	escaped_local_proof	complete mutable byte-buffer machine proof: direct_calls=0, byte_reads=0, byte_writes=0, rep_movs_transports=0, wide_dereferences=0, escapes=1; byte_read_sites=-; byte_write_sites=-; escape_sites=0041C6F0 PUSH EAX alias passed on stack
0041DBE0	FUN_0041dbe0	1	param_2	pointer:/undefined2	0	0	0	0	1	0	1	0	mixed_or_wide_pointee	complete mutable byte-buffer machine proof: direct_calls=0, byte_reads=0, byte_writes=0, rep_movs_transports=0, wide_dereferences=1, escapes=0; byte_read_sites=-; byte_write_sites=-; wide_sites=0041DBEC MOV word ptr [EAX],0x0 operand=WORD PTR [EAX] width=2
0041DBE0	FUN_0041dbe0	2	param_3	pointer:/undefined2	0	0	0	0	1	0	1	0	mixed_or_wide_pointee	complete mutable byte-buffer machine proof: direct_calls=0, byte_reads=0, byte_writes=0, rep_movs_transports=0, wide_dereferences=1, escapes=0; byte_read_sites=-; byte_write_sites=-; wide_sites=0041DBF4 MOV word ptr [ECX],0x0 operand=WORD PTR [ECX] width=2
0041DBE0	FUN_0041dbe0	3	param_4	pointer:/undefined2	0	0	0	0	1	0	1	0	mixed_or_wide_pointee	complete mutable byte-buffer machine proof: direct_calls=0, byte_reads=0, byte_writes=0, rep_movs_transports=0, wide_dereferences=1, escapes=0; byte_read_sites=-; byte_write_sites=-; wide_sites=0041DBF9 MOV word ptr [EDX],0x0 operand=WORD PTR [EDX] width=2
0041DBE0	FUN_0041dbe0	4	param_5	pointer:/undefined4	0	0	0	0	1	0	1	0	mixed_or_wide_pointee	complete mutable byte-buffer machine proof: direct_calls=0, byte_reads=0, byte_writes=0, rep_movs_transports=0, wide_dereferences=1, escapes=0; byte_read_sites=-; byte_write_sites=-; wide_sites=0041DBFE MOV dword ptr [EAX],0x0 operand=DWORD PTR [EAX] width=4
