create_apply	signature_apply	name_apply	representative	record_index	record_address	type_id	type_id_hex	enum_value_name	raw_factory_address	target_address	entry_bytes	current_name	current_name_source	current_signature	current_signature_source	current_return_type	proposed_name	proposed_return_type	owner	allocation_size	constructor_owners	confidence	reason
0	1	0	1	26	007CA7F0	514	0x0202	ST_OBJECT_TLO_FAKE	0040382D	004D0ED0	E99ED60C00E9D9B02400E9042A1800E9	CreateTLOFake	ANALYSIS	TLOFakeTy * __cdecl CreateTLOFake(void)	ANALYSIS	/TLOFakeTy *32	CreateTLOFake	TLOFakeTy *	TLOFakeTy	593	TLOFakeTy	high	registry[26] at 007CA7F0 stores type 0x0202 and executable pointer 0040382D; allocation size 593 uniquely matches /TLOFakeTy; calls named constructor TLOFakeTy::TLOFakeTy
0	1	0	1	27	007CA7F8	4351	0x10FF	ST_OBJECT_TYPE_10FF	0040111D	004A8890	E96E770A00E939AA0D00E9E4471500E9	FUN_004a8890	DEFAULT	void * __cdecl FUN_004a8890(void)	ANALYSIS	/void *32	CreateObjectType_10FF	void *		786	STGroupBoatC	review	registry[27] at 007CA7F8 stores type 0x10FF and executable pointer 0040111D; allocation size 786 has no unique current class-layout match
0	1	0	1	28	007CA800	4352	0x1100	ST_OBJECT_TYPE_1100	00404BB5	0044E660	E9A69A0400E9B12A2200E90C990E00E9	FUN_0044e660	DEFAULT	void * __cdecl FUN_0044e660(void)	ANALYSIS	/void *32	CreateObjectType_1100	void *		32	STAllPlayersC	review	registry[28] at 007CA800 stores type 0x1100 and executable pointer 00404BB5; allocation size 32 has no unique current class-layout match
0	1	0	1	29	007CA808	265	0x0109	ST_OBJECT_TRAKS	004025A9	00556730	E982411500E99DE10200E998C91600E9	CreateTraks	ANALYSIS	TraksClassTy * __cdecl CreateTraks(void)	ANALYSIS	/TraksClassTy *32	CreateTraks	TraksClassTy *	TraksClassTy	2092	TraksClassTy	high	registry[29] at 007CA808 stores type 0x0109 and executable pointer 004025A9; allocation size 2092 uniquely matches /TraksClassTy; calls named constructor TraksClassTy::TraksClassTy
0	1	0	1	30	007CA810	287	0x011F	ST_OBJECT_MONEY	004048BD	0052B670	E9AE6D1200E9F9440200E9A49A0F00E9	CreateMoney	ANALYSIS	MoneyTy * __cdecl CreateMoney(void)	ANALYSIS	/MoneyTy *32	CreateMoney	MoneyTy *	MoneyTy	166		high	registry[30] at 007CA810 stores type 0x011F and executable pointer 004048BD; allocation size 166 uniquely matches /MoneyTy
0	1	0	1	31	007CA818	288	0x0120	ST_OBJECT_TYPE_0120	004054B6	004F4F60	E9A5FA0E00E960D42800E9DB082300E9	FUN_004f4f60	DEFAULT	void * __cdecl FUN_004f4f60(void)	ANALYSIS	/void *32	CreateObjectType_0120	void *		3566		review	registry[31] at 007CA818 stores type 0x0120 and executable pointer 004054B6; allocation size 3566 has no unique current class-layout match
0	1	0	1	32	007CA820	289	0x0121	ST_OBJECT_TYPE_0121	0040150F	00558BA0	E98C761500E9574C2300E912A00A00E9	FUN_00558ba0	DEFAULT	void * __cdecl FUN_00558ba0(void)	ANALYSIS	/void *32	CreateObjectType_0121	void *		664	VisibleClassTy	review	registry[32] at 007CA820 stores type 0x0121 and executable pointer 0040150F; allocation size 664 has no unique current class-layout match
0	1	0	1	33	007CA828	290	0x0122	ST_OBJECT_OPT_PANEL	004038FF	0052E3A0	E99CAA1200E977C22400E952780D00E9	CreateOptPanel	ANALYSIS	OptPanelTy * __cdecl CreateOptPanel(void)	ANALYSIS	/OptPanelTy *32	CreateOptPanel	OptPanelTy *	OptPanelTy	774		high	registry[33] at 007CA828 stores type 0x0122 and executable pointer 004038FF; allocation size 774 uniquely matches /OptPanelTy
0	1	0	1	34	007CA830	328	0x0148	ST_OBJECT_INFOC_PANEL	00403FCB	0051FE40	E970BE1100E97B230100E976CF1700E9	CreateInfocPanel	ANALYSIS	InfocPanelTy * __cdecl CreateInfocPanel(void)	ANALYSIS	/InfocPanelTy *32	CreateInfocPanel	InfocPanelTy *	InfocPanelTy	985		high	registry[34] at 007CA830 stores type 0x0148 and executable pointer 00403FCB; allocation size 985 uniquely matches /InfocPanelTy
0	1	0	1	35	007CA838	329	0x0149	ST_OBJECT_TYPE_0149	00401C99	00550C90	E9F2EF1400E9FD6E1300E9D8C82400E9	FUN_00550c90	DEFAULT	void * __cdecl FUN_00550c90(void)	ANALYSIS	/void *32	CreateObjectType_0149	void *		481		review	registry[35] at 007CA838 stores type 0x0149 and executable pointer 00401C99; allocation size 481 has no unique current class-layout match
0	1	0	1	36	007CA840	330	0x014A	ST_OBJECT_BEH_PANEL	00404B01	004ED540	E93A8A0E00E9D5E42700E9C0242000E9	CreateBehPanel	ANALYSIS	BehPanelTy * __cdecl CreateBehPanel(void)	ANALYSIS	/BehPanelTy *32	CreateBehPanel	BehPanelTy *	BehPanelTy	700		high	registry[36] at 007CA840 stores type 0x014A and executable pointer 00404B01; allocation size 700 uniquely matches /BehPanelTy
0	1	0	1	37	007CA848	331	0x014B	ST_OBJECT_HELP_STRING	004043AE	0051F860	E9ADB41100E988282900E9D34B1B00E9	CreateHelpString	ANALYSIS	HelpStringTy * __cdecl CreateHelpString(void)	ANALYSIS	/HelpStringTy *32	CreateHelpString	HelpStringTy *	HelpStringTy	306		high	registry[37] at 007CA848 stores type 0x014B and executable pointer 004043AE; allocation size 306 uniquely matches /HelpStringTy
0	1	0	1	38	007CA850	291	0x0123	ST_OBJECT_PAUSE_PANEL	004021CB	005391E0	E910701300E91B761300E936B10A00E9	CreatePausePanel	ANALYSIS	PausePanelTy * __cdecl CreatePausePanel(void)	ANALYSIS	/PausePanelTy *32	CreatePausePanel	PausePanelTy *	PausePanelTy	392		high	registry[38] at 007CA850 stores type 0x0123 and executable pointer 004021CB; allocation size 392 uniquely matches /PausePanelTy
0	1	0	1	39	007CA858	769	0x0301	ST_OBJECT_MAIN_MENU	0040409D	005B50E0	E93E101B00E929C12200E9546C1500E9	CreateMainMenu	ANALYSIS	MainMenuTy * __cdecl CreateMainMenu(void)	ANALYSIS	/MainMenuTy *32	CreateMainMenu	MainMenuTy *	MainMenuTy	7908	SpriteClassTy	high	registry[39] at 007CA858 stores type 0x0301 and executable pointer 0040409D; allocation size 7908 uniquely matches /MainMenuTy; calls base/helper constructor(s) SpriteClassTy; exact derived allocation size wins
0	1	0	1	40	007CA860	770	0x0302	ST_OBJECT_M_TASK	004036B6	005E5720	E965201E00E950FC2700E98B2C1B00E9	CreateMTask	ANALYSIS	MTaskTy * __cdecl CreateMTask(void)	ANALYSIS	/MTaskTy *32	CreateMTask	MTaskTy *	MTaskTy	1751	SpriteClassTy	high	registry[40] at 007CA860 stores type 0x0302 and executable pointer 004036B6; allocation size 1751 uniquely matches /MTaskTy; calls base/helper constructor(s) SpriteClassTy; exact derived allocation size wins
0	1	0	1	41	007CA868	775	0x0307	ST_OBJECT_CAMPAIGN	00404EB7	00593860	E9A4E91800E95F200300E92A110900E9	CreateCampaign	ANALYSIS	CampaignTy * __cdecl CreateCampaign(void)	ANALYSIS	/CampaignTy *32	CreateCampaign	CampaignTy *	CampaignTy	8192	SpriteClassTy	high	registry[41] at 007CA868 stores type 0x0307 and executable pointer 00404EB7; allocation size 8192 uniquely matches /CampaignTy; calls base/helper constructor(s) SpriteClassTy; exact derived allocation size wins
