apply	function_address	expected_function	expected_signature	target_address	expected_target	expected_target_signature	stack_offset	length	element_type	element_width	element_count	proposed_name	expected_overlaps	call_sites	consumer_sites	reason	evidence
0	00683C70	FUN_00683c70	uint * __stdcall FUN_00683c70(LPCSTR lpFileName, RecoveredRecordView_00683C70_9F6EAF4E * param_2, undefined4 * param_3, int * param_4, undefined * param_5)	0064A830	FUN_0064a830	int __cdecl FUN_0064a830(int * param_1, undefined4 * param_2)	-124	8	/undefined4	4	2	output_values_neg_7C	Stack[-0x79]:2:local_79:/undefined2:DEFAULT: | Stack[-0x7b]:2:local_7b:/undefined2:DEFAULT: | Stack[-0x7c]:1:local_7c:/undefined:DEFAULT:	0068465C@00684646<-0068463D		needs_two_exact_output_calls	last explicit scalar-pointer parameter; exact EBP-rooted argument; callee return is tested and drives a width-4 pointer walk;
0	00683C70	FUN_00683c70	uint * __stdcall FUN_00683c70(LPCSTR lpFileName, RecoveredRecordView_00683C70_9F6EAF4E * param_2, undefined4 * param_3, int * param_4, undefined * param_5)	0064A830	FUN_0064a830	int __cdecl FUN_0064a830(int * param_1, undefined4 * param_2)	-116	8	/undefined4	4	2	output_values_neg_74	Stack[-0x71]:2:local_71:/undefined2:DEFAULT: | Stack[-0x73]:2:local_73:/undefined2:DEFAULT: | Stack[-0x74]:1:local_74:/undefined1:DEFAULT:	00689FFD@00689FEC<-00689FE9		needs_two_exact_output_calls	last explicit scalar-pointer parameter; exact EBP-rooted argument; callee return is tested and drives a width-4 pointer walk;
0	00683C70	FUN_00683c70	uint * __stdcall FUN_00683c70(LPCSTR lpFileName, RecoveredRecordView_00683C70_9F6EAF4E * param_2, undefined4 * param_3, int * param_4, undefined * param_5)	0064A830	FUN_0064a830	int __cdecl FUN_0064a830(int * param_1, undefined4 * param_2)	-108	8	/undefined4	4	2	output_values_neg_6C	Stack[-0x69]:2:local_69:/undefined2:DEFAULT: | Stack[-0x6b]:2:local_6b:/undefined2:DEFAULT: | Stack[-0x6c]:1:local_6c:/undefined:DEFAULT:	00684724@0068470E<-00684705		needs_two_exact_output_calls	last explicit scalar-pointer parameter; exact EBP-rooted argument; callee return is tested and drives a width-4 pointer walk;
0	00683C70	FUN_00683c70	uint * __stdcall FUN_00683c70(LPCSTR lpFileName, RecoveredRecordView_00683C70_9F6EAF4E * param_2, undefined4 * param_3, int * param_4, undefined * param_5)	0064A830	FUN_0064a830	int __cdecl FUN_0064a830(int * param_1, undefined4 * param_2)	-100	8	/undefined4	4	2	output_values_neg_64	Stack[-0x61]:2:local_61:/undefined2:DEFAULT: | Stack[-0x63]:2:local_63:/undefined2:DEFAULT: | Stack[-0x64]:1:local_64:/undefined1:DEFAULT:	00685FB7@00685FA6<-00685FA3		needs_two_exact_output_calls	last explicit scalar-pointer parameter; exact EBP-rooted argument; callee return is tested and drives a width-4 pointer walk;
0	00683C70	FUN_00683c70	uint * __stdcall FUN_00683c70(LPCSTR lpFileName, RecoveredRecordView_00683C70_9F6EAF4E * param_2, undefined4 * param_3, int * param_4, undefined * param_5)	0064A830	FUN_0064a830	int __cdecl FUN_0064a830(int * param_1, undefined4 * param_2)	-92	8	/undefined4	4	2	output_values_neg_5C	Stack[-0x59]:2:local_59:/undefined2:DEFAULT: | Stack[-0x5b]:2:local_5b:/undefined2:DEFAULT: | Stack[-0x5c]:1:local_5c:/undefined:DEFAULT:	00684847@00684839<-00684832		needs_two_exact_output_calls	last explicit scalar-pointer parameter; exact EBP-rooted argument; callee return is tested and drives a width-4 pointer walk;
0	00683C70	FUN_00683c70	uint * __stdcall FUN_00683c70(LPCSTR lpFileName, RecoveredRecordView_00683C70_9F6EAF4E * param_2, undefined4 * param_3, int * param_4, undefined * param_5)	0064A830	FUN_0064a830	int __cdecl FUN_0064a830(int * param_1, undefined4 * param_2)	-84	8	/undefined4	4	2	output_values_neg_54	Stack[-0x51]:2:local_51:/undefined2:DEFAULT: | Stack[-0x53]:2:local_53:/undefined2:DEFAULT: | Stack[-0x54]:1:local_54:/undefined1:DEFAULT:	006851DC@006851DA<-006851D3		needs_two_exact_output_calls	last explicit scalar-pointer parameter; exact EBP-rooted argument; callee return is tested and drives a width-4 pointer walk;
0	00683C70	FUN_00683c70	uint * __stdcall FUN_00683c70(LPCSTR lpFileName, RecoveredRecordView_00683C70_9F6EAF4E * param_2, undefined4 * param_3, int * param_4, undefined * param_5)	0064A830	FUN_0064a830	int __cdecl FUN_0064a830(int * param_1, undefined4 * param_2)	-76	8	/undefined4	4	2	output_values_neg_4C	Stack[-0x49]:2:local_49:/undefined2:DEFAULT: | Stack[-0x4b]:2:local_4b:/undefined2:DEFAULT: | Stack[-0x4c]:1:local_4c:/undefined1:DEFAULT:	00684AA7@00684AA5<-00684AA2		needs_two_exact_output_calls	last explicit scalar-pointer parameter; exact EBP-rooted argument; callee return is tested and drives a width-4 pointer walk;
0	00683C70	FUN_00683c70	uint * __stdcall FUN_00683c70(LPCSTR lpFileName, RecoveredRecordView_00683C70_9F6EAF4E * param_2, undefined4 * param_3, int * param_4, undefined * param_5)	0064A830	FUN_0064a830	int __cdecl FUN_0064a830(int * param_1, undefined4 * param_2)	-68	8	/undefined4	4	2	output_values_neg_44	Stack[-0x41]:2:local_41:/undefined2:DEFAULT: | Stack[-0x43]:2:local_43:/undefined2:DEFAULT: | Stack[-0x44]:1:local_44:/undefined:DEFAULT:	0068494F@00684939<-00684930		needs_two_exact_output_calls	last explicit scalar-pointer parameter; exact EBP-rooted argument; callee return is tested and drives a width-4 pointer walk;
0	0068CEC0	FUN_0068cec0	uint * __cdecl FUN_0068cec0(LPCSTR lpFileName, RecoveredRecordView_00683C70_9F6EAF4E * param_2, int * param_3, undefined * param_4)	006B5AA0	Library::DKW::TBL::FUN_006b5aa0	int __stdcall FUN_006b5aa0(DArrayTy * param_1, char * text)	-4284	4100	/char	1	4100	output_values_neg_10BC	Stack[-0x10bc]:1:local_10bc:/undefined:DEFAULT:	0068D3FE@0068D3FC<-0068D3F6|0068D4AE@0068D4A7<-0068D49E|0068D5BE@0068D5BC<-0068D5B6|0068D63F@0068D638<-0068D62F|0068D680@0068D67E<-0068D678		needs_two_count_driven_consumers	last explicit scalar-pointer parameter; exact EBP-rooted argument; callee return is tested and drives a width-1 pointer walk;
0	0068EC70	AiTactClassTy::ExecClaim	undefined __thiscall ExecClaim(void)	00662240	AiFltClassTy::GetAiMess	int __thiscall GetAiMess(uint * param_1)	-68	14	/uint	4	3	output_values_neg_44	Stack[-0x3c]:4:local_3c:/undefined4:DEFAULT: | Stack[-0x40]:4:local_40:/undefined4:DEFAULT: | Stack[-0x44]:4:local_44:/undefined4:DEFAULT:	0068ED95@0068ED81<-0068ED7E|0068EE47@0068EE43<-0068EE33|0068EEBA@0068EEB6<-0068EEA6		needs_two_count_driven_consumers	last explicit scalar-pointer parameter; exact EBP-rooted argument; callee return is tested and drives a width-4 pointer walk;
0	0068F8F0	FUN_0068f8f0	undefined4 __thiscall FUN_0068f8f0(short param_1)	00662240	AiFltClassTy::GetAiMess	int __thiscall GetAiMess(uint * param_1)	-56	56	/uint	4	14	output_values_neg_38	Stack[-0x30]:1:local_30:/undefined1:DEFAULT: | Stack[-0x34]:4:local_34:/undefined4:DEFAULT: | Stack[-0x38]:4:local_38:/undefined4:DEFAULT:	0068F990@0068F986<-0068F980		needs_two_exact_output_calls	last explicit scalar-pointer parameter; exact EBP-rooted argument; callee return is tested and drives a width-4 pointer walk;
0	0068FA00	FUN_0068fa00	undefined __thiscall FUN_0068fa00(uint * param_1)	00662240	AiFltClassTy::GetAiMess	int __thiscall GetAiMess(uint * param_1)	-56	56	/uint	4	14	output_values_neg_38	Stack[-0x2e]:4:local_2e:/undefined4:DEFAULT: | Stack[-0x2f]:1:local_2f:/undefined1:DEFAULT: | Stack[-0x30]:1:local_30:/undefined1:DEFAULT: | Stack[-0x34]:4:local_34:/undefined4:DEFAULT: | Stack[-0x38]:4:local_38:/undefined4:DEFAULT:	0068FA68@0068FA5A<-0068FA54		needs_two_exact_output_calls	last explicit scalar-pointer parameter; exact EBP-rooted argument; callee return is tested and drives a width-4 pointer walk;
0	0068FD00	AiTactClassTy::GetAiMess	int __thiscall GetAiMess(RecoveredRecordView_0068FD00_630BE91E * param_1)	00662240	AiFltClassTy::GetAiMess	int __thiscall GetAiMess(uint * param_1)	-60	52	/uint	4	13	output_values_neg_3C	Stack[-0x30]:4:local_30:/undefined4:DEFAULT: | Stack[-0x34]:4:local_34:/undefined4:DEFAULT: | Stack[-0x38]:4:local_38:/undefined4:DEFAULT: | Stack[-0x3c]:4:local_3c:/undefined4:DEFAULT:	0068FE8C@0068FE88<-0068FE82		needs_two_exact_output_calls	last explicit scalar-pointer parameter; exact EBP-rooted argument; callee return is tested and drives a width-4 pointer walk;
0	00690650	AiTactClassTy::HelpOrganize	undefined __thiscall HelpOrganize(RecoveredRecordView_00690650_B2F27882 * param_1)	00662240	AiFltClassTy::GetAiMess	int __thiscall GetAiMess(uint * param_1)	-84	52	/uint	4	13	output_values_neg_54	Stack[-0x42]:1:local_42:/undefined1:DEFAULT: | Stack[-0x44]:2:local_44:/undefined2:DEFAULT: | Stack[-0x46]:2:local_46:/undefined2:DEFAULT: | Stack[-0x48]:2:local_48:/undefined2:DEFAULT: | Stack[-0x4a]:2:local_4a:/undefined2:DEFAULT: | Stack[-0x4b]:1:local_4b:/undefined1:DEFAULT: | Stack[-0x4c]:1:local_4c:/undefined1:DEFAULT: | Stack[-0x50]:4:local_50:/undefined4:DEFAULT: | Stack[-0x54]:4:local_54:/undefined4:DEFAULT:	00690897@00690891<-00690887		needs_two_exact_output_calls	last explicit scalar-pointer parameter; exact EBP-rooted argument; callee return is tested and drives a width-4 pointer walk;
0	00690B90	AiTactClassTy::GetMessage	int __thiscall GetMessage(STMessage * message)	006E62D0	STPlaySystemC::sub_006E62D0	int __thiscall sub_006E62D0(RecoveredRecordView_005EFAE0_855D930D * param_1, int * param_2)	-8	8	/int	4	2	output_values_neg_8	Stack[-0x8]:4:local_8:/undefined4:DEFAULT:	00690D1F@00690D17<-00690D14		needs_two_exact_output_calls	last explicit scalar-pointer parameter; exact EBP-rooted argument; callee return is tested and drives a width-4 pointer walk;
