item_kind	item_id	locator	status	detail
type	AnonNested_006D6A10_0288_213244E3	/SubmarineTitans/Recovered/PointerShapes/AnonNested_006D6A10_0288_213244E3	disabled	apply=0
type	AnonNested_006D7000_00E0_8CA18F81	/SubmarineTitans/Recovered/PointerShapes/AnonNested_006D7000_00E0_8CA18F81	disabled	apply=0
type	AnonNested_006E1460_0358_17426F2F	/SubmarineTitans/Recovered/PointerShapes/AnonNested_006E1460_0358_17426F2F	disabled	apply=0
type	AnonNested_006E57B0_0010_2E36ABBC	/SubmarineTitans/Recovered/PointerShapes/AnonNested_006E57B0_0010_2E36ABBC	disabled	apply=0
type	AnonNested_006E6710_044E_DC1AB194	/SubmarineTitans/Recovered/PointerShapes/AnonNested_006E6710_044E_DC1AB194	disabled	apply=0
type	AnonNested_006E6780_044E_FEECA1D4	/SubmarineTitans/Recovered/PointerShapes/AnonNested_006E6780_044E_FEECA1D4	disabled	apply=0
type	AnonNested_006E67C0_0452_59995E3E	/SubmarineTitans/Recovered/PointerShapes/AnonNested_006E67C0_0452_59995E3E	disabled	apply=0
type	AnonNested_006E6830_0452_DAA077C9	/SubmarineTitans/Recovered/PointerShapes/AnonNested_006E6830_0452_DAA077C9	disabled	apply=0
type	AnonNested_006E8580_0004_0F761FCB	/SubmarineTitans/Recovered/PointerShapes/AnonNested_006E8580_0004_0F761FCB	disabled	apply=0
type	AnonNested_006E8EA0_02F0_0B4BBCFB	/SubmarineTitans/Recovered/PointerShapes/AnonNested_006E8EA0_02F0_0B4BBCFB	disabled	apply=0
type	AnonNested_006E9490_0310_0881F4E4	/SubmarineTitans/Recovered/PointerShapes/AnonNested_006E9490_0310_0881F4E4	disabled	apply=0
type	AnonNested_006E9CB0_0310_31D172B2	/SubmarineTitans/Recovered/PointerShapes/AnonNested_006E9CB0_0310_31D172B2	disabled	apply=0
type	AnonNested_006E9D40_0310_477CEA1A	/SubmarineTitans/Recovered/PointerShapes/AnonNested_006E9D40_0310_477CEA1A	disabled	apply=0
type	AnonNested_006E9DD0_0310_F81C983F	/SubmarineTitans/Recovered/PointerShapes/AnonNested_006E9DD0_0310_F81C983F	disabled	apply=0
type	AnonNested_006E9E60_0310_51AA0C90	/SubmarineTitans/Recovered/PointerShapes/AnonNested_006E9E60_0310_51AA0C90	disabled	apply=0
type	AnonNested_00721520_0138_26FFE90C	/SubmarineTitans/Recovered/PointerShapes/AnonNested_00721520_0138_26FFE90C	disabled	apply=0
type	AnonNested_00721830_0138_12664224	/SubmarineTitans/Recovered/PointerShapes/AnonNested_00721830_0138_12664224	disabled	apply=0
type	AnonNested_0074A39B_0078_6EAEE8D5	/SubmarineTitans/Recovered/PointerShapes/AnonNested_0074A39B_0078_6EAEE8D5	disabled	apply=0
type	AnonNested_0074BFBF_008C_134640C4	/SubmarineTitans/Recovered/PointerShapes/AnonNested_0074BFBF_008C_134640C4	disabled	apply=0
type	AnonNested_0074C45B_00D8_1CE910A3	/SubmarineTitans/Recovered/PointerShapes/AnonNested_0074C45B_00D8_1CE910A3	disabled	apply=0
type	AnonNested_0074C77C_00A0_9AFF712D	/SubmarineTitans/Recovered/PointerShapes/AnonNested_0074C77C_00A0_9AFF712D	disabled	apply=0
type	AnonNested_0074CAA4_008C_5B93FF00	/SubmarineTitans/Recovered/PointerShapes/AnonNested_0074CAA4_008C_5B93FF00	disabled	apply=0
type	AnonNested_0074CCE2_008C_4977F015	/SubmarineTitans/Recovered/PointerShapes/AnonNested_0074CCE2_008C_4977F015	disabled	apply=0
type	AnonNested_0074CCE2_0090_2EA95B8A	/SubmarineTitans/Recovered/PointerShapes/AnonNested_0074CCE2_0090_2EA95B8A	disabled	apply=0
type	AnonNested_0074CF58_00E0_5F67D8EB	/SubmarineTitans/Recovered/PointerShapes/AnonNested_0074CF58_00E0_5F67D8EB	disabled	apply=0
