apply	name	value_hex	value_decimal	function_address	function	confidence	reason	strings
1	MESS_CURSORCLASSTY_4203	0x4203	16899	005449B0	CursorClassTy::GetMessage	high	existing_enum_catalog_value	handlers: 005449B0 CursorClassTy::GetMessage
1	MESS_CURSORCLASSTY_A0FF	0xA0FF	41215	005449B0	CursorClassTy::GetMessage	high	existing_enum_catalog_value	handlers: 005449B0 CursorClassTy::GetMessage
1	MESS_CURSORCLASSTY_A100	0xA100	41216	005449B0	CursorClassTy::GetMessage	high	existing_enum_catalog_value	handlers: 005449B0 CursorClassTy::GetMessage
1	MESS_CURSORCLASSTY_A101	0xA101	41217	005449B0	CursorClassTy::GetMessage	high	existing_enum_catalog_value	handlers: 005449B0 CursorClassTy::GetMessage
1	MESS_CURSORCLASSTY_A102	0xA102	41218	005449B0	CursorClassTy::GetMessage	high	existing_enum_catalog_value	handlers: 005449B0 CursorClassTy::GetMessage
1	MESS_CURSORCLASSTY_A10F	0xA10F	41231	005449B0	CursorClassTy::GetMessage	high	existing_enum_catalog_value	handlers: 005449B0 CursorClassTy::GetMessage
1	MESS_CURSORCLASSTY_A115	0xA115	41237	005449B0	CursorClassTy::GetMessage	high	existing_enum_catalog_value	handlers: 005449B0 CursorClassTy::GetMessage
1	MESS_CURSORCLASSTY_A123	0xA123	41251	005449B0	CursorClassTy::GetMessage	high	existing_enum_catalog_value	handlers: 005449B0 CursorClassTy::GetMessage
1	MESS_CURSORCLASSTY_A124	0xA124	41252	005449B0	CursorClassTy::GetMessage	high	existing_enum_catalog_value	handlers: 005449B0 CursorClassTy::GetMessage
1	MESS_CURSORCLASSTY_A133	0xA133	41267	005449B0	CursorClassTy::GetMessage	high	existing_enum_catalog_value	handlers: 005449B0 CursorClassTy::GetMessage
1	MESS_CURSORCLASSTY_A1FF	0xA1FF	41471	005449B0	CursorClassTy::GetMessage	high	existing_enum_catalog_value	handlers: 005449B0 CursorClassTy::GetMessage
1	MESS_CURSORCLASSTY_A203	0xA203	41475	005449B0	CursorClassTy::GetMessage	high	existing_enum_catalog_value	handlers: 005449B0 CursorClassTy::GetMessage
1	MESS_CURSORCLASSTY_A206	0xA206	41478	005449B0	CursorClassTy::GetMessage	high	existing_enum_catalog_value	handlers: 005449B0 CursorClassTy::GetMessage
1	MESS_CURSORCLASSTY_A207	0xA207	41479	005449B0	CursorClassTy::GetMessage	high	existing_enum_catalog_value	handlers: 005449B0 CursorClassTy::GetMessage
1	MESS_CURSORCLASSTY_A208	0xA208	41480	005449B0	CursorClassTy::GetMessage	high	existing_enum_catalog_value	handlers: 005449B0 CursorClassTy::GetMessage
1	MESS_CURSORCLASSTY_A209	0xA209	41481	005449B0	CursorClassTy::GetMessage	high	existing_enum_catalog_value	handlers: 005449B0 CursorClassTy::GetMessage
1	MESS_CURSORCLASSTY_A313	0xA313	41747	005449B0	CursorClassTy::GetMessage	high	existing_enum_catalog_value	handlers: 005449B0 CursorClassTy::GetMessage
1	MESS_CURSORCLASSTY_A31C	0xA31C	41756	005449B0	CursorClassTy::GetMessage	high	existing_enum_catalog_value	handlers: 005449B0 CursorClassTy::GetMessage
1	MESS_CURSORCLASSTY_A31D	0xA31D	41757	005449B0	CursorClassTy::GetMessage	high	existing_enum_catalog_value	handlers: 005449B0 CursorClassTy::GetMessage
1	MESS_CURSORCLASSTY_A326	0xA326	41766	005449B0	CursorClassTy::GetMessage	high	existing_enum_catalog_value	handlers: 005449B0 CursorClassTy::GetMessage
1	MESS_CURSORCLASSTY_A32F	0xA32F	41775	005449B0	CursorClassTy::GetMessage	high	existing_enum_catalog_value	handlers: 005449B0 CursorClassTy::GetMessage
1	MESS_CURSORCLASSTY_A330	0xA330	41776	005449B0	CursorClassTy::GetMessage	high	existing_enum_catalog_value	handlers: 005449B0 CursorClassTy::GetMessage
1	MESS_CURSORCLASSTY_A4FF	0xA4FF	42239	005449B0	CursorClassTy::GetMessage	high	existing_enum_catalog_value	handlers: 005449B0 CursorClassTy::GetMessage
1	MESS_CURSORCLASSTY_A500	0xA500	42240	005449B0	CursorClassTy::GetMessage	high	existing_enum_catalog_value	handlers: 005449B0 CursorClassTy::GetMessage
1	MESS_CURSORCLASSTY_A501	0xA501	42241	005449B0	CursorClassTy::GetMessage	high	existing_enum_catalog_value	handlers: 005449B0 CursorClassTy::GetMessage
1	MESS_CURSORCLASSTY_A502	0xA502	42242	005449B0	CursorClassTy::GetMessage	high	existing_enum_catalog_value	handlers: 005449B0 CursorClassTy::GetMessage
1	MESS_CURSORCLASSTY_A503	0xA503	42243	005449B0	CursorClassTy::GetMessage	high	existing_enum_catalog_value	handlers: 005449B0 CursorClassTy::GetMessage
1	MESS_CURSORCLASSTY_A504	0xA504	42244	005449B0	CursorClassTy::GetMessage	high	existing_enum_catalog_value	handlers: 005449B0 CursorClassTy::GetMessage
1	MESS_CURSORCLASSTY_A507	0xA507	42247	005449B0	CursorClassTy::GetMessage	high	existing_enum_catalog_value	handlers: 005449B0 CursorClassTy::GetMessage
1	MESS_CURSORCLASSTY_A50C	0xA50C	42252	005449B0	CursorClassTy::GetMessage	high	existing_enum_catalog_value	handlers: 005449B0 CursorClassTy::GetMessage
1	MESS_CURSORCLASSTY_A51A	0xA51A	42266	005449B0	CursorClassTy::GetMessage	high	existing_enum_catalog_value	handlers: 005449B0 CursorClassTy::GetMessage
1	MESS_CURSORCLASSTY_A6FF	0xA6FF	42751	005449B0	CursorClassTy::GetMessage	high	existing_enum_catalog_value	handlers: 005449B0 CursorClassTy::GetMessage
1	MESS_CURSORCLASSTY_A708	0xA708	42760	005449B0	CursorClassTy::GetMessage	high	existing_enum_catalog_value	handlers: 005449B0 CursorClassTy::GetMessage
1	MESS_CURSORCLASSTY_B0FF	0xB0FF	45311	005449B0	CursorClassTy::GetMessage	high	existing_enum_catalog_value	handlers: 005449B0 CursorClassTy::GetMessage
1	MESS_EDITORCLASSTY_0041	0x41	65	00722410	EditorClassTy::GetMessage	high	existing_enum_catalog_value	handlers: 00722410 EditorClassTy::GetMessage
1	MESS_FRMPANELTY_B108	0xB108	45320	005107C0	FrmPanelTy::GetMessage	high	existing_enum_catalog_value	handlers: 005107C0 FrmPanelTy::GetMessage
1	MESS_FRMPANELTY_B109	0xB109	45321	005107C0	FrmPanelTy::GetMessage	high	existing_enum_catalog_value	handlers: 005107C0 FrmPanelTy::GetMessage
1	MESS_FRMPANELTY_B10A	0xB10A	45322	005107C0	FrmPanelTy::GetMessage	high	existing_enum_catalog_value	handlers: 005107C0 FrmPanelTy::GetMessage
1	MESS_FRMPANELTY_B10B	0xB10B	45323	005107C0	FrmPanelTy::GetMessage	high	existing_enum_catalog_value	handlers: 005107C0 FrmPanelTy::GetMessage
1	MESS_FRMPANELTY_C0A5	0xC0A5	49317	005107C0	FrmPanelTy::GetMessage	high	existing_enum_catalog_value	handlers: 005107C0 FrmPanelTy::GetMessage | 005A4350 FSGSTy::GetMessage
1	MESS_FSGSTY_6150	0x6150	24912	005A4350	FSGSTy::GetMessage	high	existing_enum_catalog_value	handlers: 005A4350 FSGSTy::GetMessage
1	MESS_FSGSTY_6151	0x6151	24913	005A4350	FSGSTy::GetMessage	high	existing_enum_catalog_value	handlers: 005A4350 FSGSTy::GetMessage
1	MESS_FSGSTY_6156	0x6156	24918	005A4350	FSGSTy::GetMessage	high	existing_enum_catalog_value	handlers: 005A4350 FSGSTy::GetMessage
1	MESS_FSGSTY_6506	0x6506	25862	005A4350	FSGSTy::GetMessage	high	existing_enum_catalog_value	handlers: 005A4350 FSGSTy::GetMessage
1	MESS_FSGSTY_6901	0x6901	26881	005A4350	FSGSTy::GetMessage	high	existing_enum_catalog_value	handlers: 005A4350 FSGSTy::GetMessage | 005B4BB0 MainMenuTy::GetMessage | 005D9470 SIDTy::GetMessage
1	MESS_FSGSTY_6903	0x6903	26883	005A4350	FSGSTy::GetMessage	high	existing_enum_catalog_value	handlers: 005A4350 FSGSTy::GetMessage
1	MESS_FSGSTY_6904	0x6904	26884	005A4350	FSGSTy::GetMessage	high	existing_enum_catalog_value	handlers: 005A4350 FSGSTy::GetMessage
1	MESS_FSGSTY_6905	0x6905	26885	005A4350	FSGSTy::GetMessage	high	existing_enum_catalog_value	handlers: 005A4350 FSGSTy::GetMessage
1	MESS_FSGSTY_6906	0x6906	26886	005A4350	FSGSTy::GetMessage	high	existing_enum_catalog_value	handlers: 005A4350 FSGSTy::GetMessage
