apply	action	target	replacement	expected	proposed	evidence_domains	confidence	evidence
1	canonical_system	/SystemClassTy		/SystemClassTy:32|0:4:/void * *|4:4:/void *|8:4:/void *|12:4:/void *|16:4:/void *|20:4:/int|24:4:/AppClassTy *|28:4:/SystemClassTy *|description=PlaceHolder Class Structure [STTypeBootstrapApplier] [ST_SEMANTIC_ANCHOR] canonical class identity; fields and vptr are refined by class/vtable solvers.		class_namespace|method_family|vtable_family	high	named_methods=11; canonical_type=/SystemClassTy
1	ensure_darray	/SubmarineTitans/Recovered/DArrayTy		/SubmarineTitans/Recovered/DArrayTy:32|0:4:/dword|4:4:/dword|8:4:/dword|12:4:/dword|16:4:/dword|20:4:/dword|24:4:/void *|28:4:/void *|description=[STTypeBootstrapApplier] [ST_SEMANTIC_ANCHOR] inferred from DArray helper-family field accesses and runtime stride use.		embedded_source_provenance|named_family|utility_semantic_tag|field_offsets|instruction_semantics	high	functions=15; offsets=[4, 8, 12, 16, 20, 24, 28]; identity=[embedded_source_provenance, named_family, utility_semantic_tag]; operations=[helper_calls, runtime_stride]; examples=[DArrayDestroy, DArrayGetElement, DArrayGetNext, DArrayRemoveAt, Library::DKW::TBL::DArrayAppend, Library::DKW::TBL::DArrayCreate, Library::DKW::TBL::DArrayPut, Library::DKW::TBL::FUN_006ae310]
1	ensure_message	/SubmarineTitans/Recovered/STMessage		/SubmarineTitans/Recovered/STMessage:32|0:4:/dword|4:4:/dword|8:4:/dword|12:4:/dword|16:4:/SubmarineTitans/Recovered/STMessageId|20:4:/SubmarineTitans/Recovered/STMessageArg|24:4:/SubmarineTitans/Recovered/STMessageArg|28:4:/SubmarineTitans/Recovered/STMessageArg|description=Common message envelope. The three argument slots are discriminator-dependent. [STRecoveredTypesApplier] [STTypeBootstrapApplier] [ST_SEMANTIC_ANCHOR] common envelope inferred from GetMessage RET 4 and +0x10..+0x1c accesses.		named_family|field_offsets|instruction_semantics	high	functions=105; offsets=[16, 20, 24, 28]; identity=[]; operations=[argument_slots, id_dispatch, ret_4]; examples=[AiBossClassTy::GetMessage, AiEventClassTy::GetMessage, AiFltClassTy::GetMessage, AiPlrClassTy::GetMessage, AiTactClassTy::GetMessage, BehPanelTy::GetMessage, BldBoatPanelTy::GetMessage, BldLabPanelTy::GetMessage]
0	replace_duplicate	/SubmarineTitans/Recovered/SystemClassTy	/SystemClassTy	/SubmarineTitans/Recovered/SystemClassTy:32|0:4:/SubmarineTitans/Recovered/SystemClassTyVTable *|4:4:/SubmarineTitans/Recovered/DArrayTy *|8:4:/SubmarineTitans/Recovered/DArrayTy *|12:4:/void *|16:4:/SubmarineTitans/Recovered/DArrayTy *|20:4:/int|24:4:/void *|28:4:/SubmarineTitans/Recovered/SystemClassTy *|description=		canonical_class_identity|equivalent_layout	review	duplicate_length=32; canonical_length=32
