apply	anonymous_type	named_type	match_kind	length	observed_fields	concrete_fields	semantic_matches	confidence	evidence
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_018D	/PE/IMAGE_RESOURCE_DATA_ENTRY	compatible_same_length	16	4	0	4	review	all observed offsets fit the named layout, but partial geometry does not prove type identity; semantic_anchor=false
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_018D	/WinDef.h/tagRECT	compatible_same_length	16	4	0	4	review	all observed offsets fit the named layout, but partial geometry does not prove type identity; semantic_anchor=false
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_018D	/crtdefs.h/localerefcount	compatible_same_length	16	4	0	4	review	all observed offsets fit the named layout, but partial geometry does not prove type identity; semantic_anchor=false
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_0191	/PE/IMAGE_RESOURCE_DATA_ENTRY	compatible_same_length	16	4	0	4	review	all observed offsets fit the named layout, but partial geometry does not prove type identity; semantic_anchor=false
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_0191	/WinDef.h/tagRECT	compatible_same_length	16	4	0	4	review	all observed offsets fit the named layout, but partial geometry does not prove type identity; semantic_anchor=false
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_0191	/crtdefs.h/localerefcount	compatible_same_length	16	4	0	4	review	all observed offsets fit the named layout, but partial geometry does not prove type identity; semantic_anchor=false
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_01A5	/SoundPosition	compatible_same_length	12	3	0	2	review	all observed offsets fit the named layout, but partial geometry does not prove type identity; semantic_anchor=false
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_01A5	/SubmarineTitans/Recovered/STPosition32	compatible_same_length	12	3	0	3	review	all observed offsets fit the named layout, but partial geometry does not prove type identity; semantic_anchor=false
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_01A5	/unknwn.h/IUnknownVtbl	compatible_same_length	12	3	0	3	review	all observed offsets fit the named layout, but partial geometry does not prove type identity; semantic_anchor=false
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_01A5	/winbase.h/_SECURITY_ATTRIBUTES	compatible_same_length	12	3	0	3	review	all observed offsets fit the named layout, but partial geometry does not prove type identity; semantic_anchor=false
