address	name	current_type	call_boundary_types	trusted_pointer_return_store_types	constructor_store_types	address_of_uses	proposed_type	type_apply	call_boundary_sites	trusted_store_sites
0079B070	PTR_s_TITLE_MISSION_0079b070	pointer:/char	{pointer:/char=3}	{}	{}	0		0	0056DB80 -> 006F1CE0 parameter 2 as pointer:/char @ 0056E0B1 (global value) | 0056E9E0 -> 006F1CE0 parameter 2 as pointer:/char @ 0056EAF1 (global value) | 0056F250 -> 006F13F0 parameter 2 as pointer:/char @ 0056F471 (global value)	-
0079B074	PTR_s_DESCRIPTION_0079b074	pointer:/char	{pointer:/char=4}	{}	{}	0		0	0056DB80 -> 0071AA10 parameter 1 as pointer:/char @ 0056E1AE (global value) | 0056E9E0 -> 0071AA10 parameter 1 as pointer:/char @ 0056EA6F (global value) | 0056EBE0 -> 0071AA10 parameter 1 as pointer:/char @ 0056EC9A (global value) | 0056F250 -> 0071AB30 parameter 2 as pointer:/char @ 0056F4B4 (global value)	-
0079B078	PTR_s_OBJECTIVES_0079b078	pointer:/char	{pointer:/char=3}	{}	{}	0		0	0056DB80 -> 0071AA10 parameter 1 as pointer:/char @ 0056E1EE (global value) | 0056E9E0 -> 0071AA10 parameter 1 as pointer:/char @ 0056EAAB (global value) | 0056F250 -> 0071AB30 parameter 2 as pointer:/char @ 0056F4E4 (global value)	-
0079B07C	PTR_s_TEXTURE_0079b07c	pointer:/char	{pointer:/char=3}	{}	{}	0		0	0056DB80 -> 006F2600 parameter 2 as pointer:/char @ 0056DFB3 (global value) | 0056DB80 -> 0071AD00 parameter 1 as pointer:/char @ 0056DF99 (global value) | 0056F250 -> 0071ADB0 parameter 3 as pointer:/char @ 0056F400 (global value)	-
0079B080	PTR_s_DESCRIPTOR_0079b080	pointer:/char	{pointer:/char=5}	{}	{}	0		0	0056ADC0 -> 006F13F0 parameter 2 as pointer:/char @ 0056B625 (global value) | 0056ADC0 -> 006F1CE0 parameter 2 as pointer:/char @ 0056B600 (global value) | 0056ADC0 -> 006F1CE0 parameter 2 as pointer:/char @ 0056BCD6 (global value) | 0056DB80 -> 006F1CE0 parameter 2 as pointer:/char @ 0056E15F (global value) | 0056F250 -> 006F13F0 parameter 2 as pointer:/char @ 0056F44F (global value)	-
0079B088	PTR_s_ORIG_DB_0079b088	pointer:/char	{pointer:/char=2}	{}	{}	0		0	0056DB80 -> 006F1CE0 parameter 2 as pointer:/char @ 0056DE59 (global value) | 0056F250 -> 006F13F0 parameter 2 as pointer:/char @ 0056F5BF (global value)	-
0079B08C	PTR_s_TYPE_START_0079b08c	pointer:/char	{pointer:/char=3}	{}	{}	0		0	0056DB80 -> 006F1CE0 parameter 2 as pointer:/char @ 0056DDF5 (global value) | 0056DB80 -> 006F1CE0 parameter 2 as pointer:/char @ 0056E18B (global value) | 0056F250 -> 006F13F0 parameter 2 as pointer:/char @ 0056F59D (global value)	-
0079B090	PTR_s_REPORT_0079b090	pointer:/char	{pointer:/char=2}	{}	{}	0		0	0056DB80 -> 006F1CE0 parameter 2 as pointer:/char @ 0056E2B9 (global value) | 0056F250 -> 006F13F0 parameter 2 as pointer:/char @ 0056F5E1 (global value)	-
0079B0D4	PTR_s_OPTIONS_PLAYER_0079b0d4	pointer:/char	{pointer:/char=2}	{}	{}	0		0	00572510 -> 006F1CE0 parameter 2 as pointer:/char @ 0057264E (global value) | 00572920 -> 006F13F0 parameter 2 as pointer:/char @ 00572A67 (global value)	-
0079B0D8	PTR_s_ACCKEYS_PLAYER_0079b0d8	pointer:/char	{pointer:/char=2}	{}	{}	0		0	00572510 -> 006F1CE0 parameter 2 as pointer:/char @ 00572688 (global value) | 00572BA0 -> 006F13F0 parameter 2 as pointer:/char @ 00572C65 (global value)	-
