action	target	status	detail
canonical_system	/SystemClassTy	unchanged	named_methods=11; canonical_type=/SystemClassTy
ensure_darray	/SubmarineTitans/Recovered/DArrayTy	unchanged	functions=7; offsets=[4, 8, 12, 16, 20, 28]; operations=[helper_calls, runtime_stride]; examples=[DArrayDestroy, DArrayGetElement, DArrayGetNext, DArrayRemoveAt, Library::DKW::TBL::DArrayAppend, Library::DKW::TBL::DArrayCreate, Library::DKW::TBL::DArrayPut]
ensure_message	/SubmarineTitans/Recovered/STMessage	unchanged	functions=105; offsets=[16, 20, 24, 28]; operations=[argument_slots, id_dispatch, ret_4]; examples=[AiBossClassTy::GetMessage, AiEventClassTy::GetMessage, AiFltClassTy::GetMessage, AiPlrClassTy::GetMessage, AiTactClassTy::GetMessage, BehPanelTy::GetMessage, BldBoatPanelTy::GetMessage, BldLabPanelTy::GetMessage]
mark_view_only	/SubmarineTitans/Recovered/GlobalRecords/STWorldCell	unchanged	retire bootstrap spatial shape: descriptor geometry alone does not prove cell semantics or a concrete pointee type
mark_view_only	/SubmarineTitans/Recovered/GlobalRecords/STWorldGrid	unchanged	retire bootstrap spatial shape: descriptor geometry alone does not prove cell semantics or a concrete pointee type
mark_view_only	/SubmarineTitans/Recovered/STControlCommand	unchanged	obsolete manually named command layout; later access and discriminator passes recover only fields and payload views they can observe
replace_duplicate	/SubmarineTitans/Recovered/SystemClassTy	disabled	apply=0
