repair_apply	owner_apply	convention_apply	this_type_apply	parameter_apply	address	expected_name	expected_name_source	expected_signature	expected_signature_source	expected_calling_convention	owner	proposed_name	owner_type_path	agreed_this_calls	receiver_accesses	incoming_edx_uses	incoming_stack_parameter_uses	owner_call_counts	call_sites	direct_callers	receiver_alias_callers	attributed_callers	confidence	reason
0	0	0	0	0	0055BB00	SubmarineTitans::Recovered::HiddenThis::AnonReceiver_00558C00::sub_0055BB00	ANALYSIS	undefined __thiscall sub_0055BB00(AnonReceiver_00558C00 * this, undefined1 param_1, undefined2 param_2, undefined2 param_3, undefined1 param_4, uint param_5, undefined1 param_6, undefined4 param_7)	ANALYSIS	__thiscall	SubmarineTitans::Recovered::HiddenThis::AnonReceiver_00558C00	SubmarineTitans::Recovered::HiddenThis::AnonReceiver_00558C00::sub_0055BB00	/SubmarineTitans/Recovered/HiddenThis/AnonReceiver_00558C00	1	2	0	7	{SubmarineTitans::Recovered::HiddenThis::AnonReceiver_00558C00=1}	00559511 SubmarineTitans::Recovered::HiddenThis::AnonReceiver_00558C00::FUN_005594a0	0	0	1	high	this_call_owners=[SubmarineTitans::Recovered::HiddenThis::AnonReceiver_00558C00]; agreed_this_calls=1; incoming_this_accesses=2; incoming_edx_uses=0; incoming_stack_parameter_uses=7; direct_non_thunk_callers=0; incoming_ecx_receiver_callers=0; attributed_named_callers=1; owner_evidence_coverage=adequate; previously_applied
0	0	0	0	0	0055BBC0	SubmarineTitans::Recovered::HiddenThis::AnonReceiver_00558C00::sub_0055BBC0	ANALYSIS	undefined __thiscall sub_0055BBC0(AnonReceiver_00558C00 * this, undefined1 param_1, undefined2 param_2, undefined2 param_3, undefined1 param_4, uint param_5, undefined1 param_6, undefined4 param_7)	ANALYSIS	__thiscall	SubmarineTitans::Recovered::HiddenThis::AnonReceiver_00558C00	SubmarineTitans::Recovered::HiddenThis::AnonReceiver_00558C00::sub_0055BBC0	/SubmarineTitans/Recovered/HiddenThis/AnonReceiver_00558C00	2	3	0	7	{SubmarineTitans::Recovered::HiddenThis::AnonReceiver_00558C00=2}	00559691 SubmarineTitans::Recovered::HiddenThis::AnonReceiver_00558C00::FUN_00559620 | 00559DCA SubmarineTitans::Recovered::HiddenThis::AnonReceiver_00558C00::FUN_00559d60	0	0	2	high	this_call_owners=[SubmarineTitans::Recovered::HiddenThis::AnonReceiver_00558C00]; agreed_this_calls=2; incoming_this_accesses=3; incoming_edx_uses=0; incoming_stack_parameter_uses=7; direct_non_thunk_callers=0; incoming_ecx_receiver_callers=0; attributed_named_callers=2; owner_evidence_coverage=adequate; previously_applied
0	0	0	0	0	0055DB70	FUN_0055db70	DEFAULT	undefined __stdcall FUN_0055db70(void)	ANALYSIS	__stdcall	StartSystemTy	StartSystemTy::sub_0055DB70	/StartSystemTy	1	0	0	1	{StartSystemTy=1}	005DB2AA StartSystemTy::sub_005DB2A0	0	0	1	medium	this_call_owners=[StartSystemTy]; agreed_this_calls=1; incoming_this_accesses=0; incoming_edx_uses=0; incoming_stack_parameter_uses=1; direct_non_thunk_callers=0; incoming_ecx_receiver_callers=0; attributed_named_callers=1; owner_evidence_coverage=adequate; calling_convention_not_receiver_compatible
0	0	0	0	0	0057BF20	FUN_0057bf20	DEFAULT	undefined __fastcall FUN_0057bf20(void * param_1)	ANALYSIS	__fastcall	STFishC	STFishC::sub_0057BF20	/STFishC	1	1	0	0	{STFishC=1}	0057CF9E STFishC::LifeFish	0	0	1	medium	this_call_owners=[STFishC]; agreed_this_calls=1; incoming_this_accesses=1; incoming_edx_uses=0; incoming_stack_parameter_uses=0; direct_non_thunk_callers=0; incoming_ecx_receiver_callers=0; attributed_named_callers=1; owner_evidence_coverage=adequate
0	0	0	0	0	0057D420	FUN_0057d420	DEFAULT	undefined4 __fastcall FUN_0057d420(AnonShape_0057D420_ACBACC73 * param_1)	ANALYSIS	__fastcall	STFishC	STFishC::sub_0057D420	/STFishC	1	17	2	0	{STFishC=1}	0057D677 STFishC::sub_0057D5F0	0	0	1	medium	this_call_owners=[STFishC]; agreed_this_calls=1; incoming_this_accesses=17; incoming_edx_uses=2; incoming_stack_parameter_uses=0; direct_non_thunk_callers=0; incoming_ecx_receiver_callers=0; attributed_named_callers=1; owner_evidence_coverage=adequate
0	0	0	0	0	0057D5F0	STFishC::sub_0057D5F0	ANALYSIS	undefined4 __thiscall sub_0057D5F0(STFishC * this, uint param_1)	ANALYSIS	__thiscall	STFishC	STFishC::sub_0057D5F0	/STFishC	1	9	0	3	{STFishC=1}	0057CEF0 STFishC::LifeFish	0	0	1	high	this_call_owners=[STFishC]; agreed_this_calls=1; incoming_this_accesses=9; incoming_edx_uses=0; incoming_stack_parameter_uses=3; direct_non_thunk_callers=0; incoming_ecx_receiver_callers=0; attributed_named_callers=1; owner_evidence_coverage=adequate; previously_applied
0	0	0	0	0	0057D700	STFishC::sub_0057D700	ANALYSIS	undefined4 __thiscall sub_0057D700(STFishC * this, uint * param_1, uint * param_2, int * param_3, int * param_4)	ANALYSIS	__thiscall	STFishC	STFishC::sub_0057D700	/STFishC	1	12	0	6	{STFishC=1}	0057D641 STFishC::sub_0057D5F0	0	0	1	high	this_call_owners=[STFishC]; agreed_this_calls=1; incoming_this_accesses=12; incoming_edx_uses=0; incoming_stack_parameter_uses=6; direct_non_thunk_callers=0; incoming_ecx_receiver_callers=0; attributed_named_callers=1; owner_evidence_coverage=adequate; previously_applied
0	0	0	0	0	005802A0	STResourceC::sub_005802A0	ANALYSIS	undefined __thiscall sub_005802A0(STResourceC * this, undefined4 param_1, undefined4 param_2)	ANALYSIS	__thiscall	STResourceC	STResourceC::sub_005802A0	/STResourceC	1	5	0	2	{STResourceC=1}	00580D58 STResourceC::sub_00580D30	0	0	1	high	this_call_owners=[STResourceC]; agreed_this_calls=1; incoming_this_accesses=5; incoming_edx_uses=0; incoming_stack_parameter_uses=2; direct_non_thunk_callers=0; incoming_ecx_receiver_callers=0; attributed_named_callers=1; owner_evidence_coverage=adequate; previously_applied
0	0	0	0	0	00580380	FUN_00580380	DEFAULT	undefined __fastcall FUN_00580380(void * param_1)	ANALYSIS	__fastcall	STResourceC	STResourceC::sub_00580380	/STResourceC	1	1	0	0	{STResourceC=1}	00580D86 STResourceC::sub_00580D30	0	0	1	medium	this_call_owners=[STResourceC]; agreed_this_calls=1; incoming_this_accesses=1; incoming_edx_uses=0; incoming_stack_parameter_uses=0; direct_non_thunk_callers=0; incoming_ecx_receiver_callers=0; attributed_named_callers=1; owner_evidence_coverage=adequate
0	0	0	0	0	00580D30	STResourceC::sub_00580D30	ANALYSIS	undefined __thiscall sub_00580D30(STResourceC * this, int param_1)	ANALYSIS	__thiscall	STResourceC	STResourceC::sub_00580D30	/STResourceC	1	4	0	1	{STResourceC=1}	0057E05A STResourceC::SetResource	0	0	1	high	this_call_owners=[STResourceC]; agreed_this_calls=1; incoming_this_accesses=4; incoming_edx_uses=0; incoming_stack_parameter_uses=1; direct_non_thunk_callers=0; incoming_ecx_receiver_callers=0; attributed_named_callers=1; owner_evidence_coverage=adequate; previously_applied
