source_target	destination_target	site
004FB060|local|ZF:1	004F37C0|parameter|Stack[0x14]:1	004FB060 C call -> CPanelTy::PaintBBut
004FB060|local|Stack[-0x44]:4	004F8020|parameter|ECX:4 (auto)	004FB060 C call -> CPanelTy::sub_004F8020
004FB060|parameter|Stack[0x4]:4	004F3540|parameter|Stack[0x8]:4	004FB060 C call -> CPanelTy::PaintBut
004FB060|parameter|Stack[0x4]:4	004F3540|parameter|Stack[0x8]:4	004FB060 C call -> CPanelTy::PaintBut
004FB060|parameter|Stack[0x4]:4	004F3540|parameter|Stack[0x8]:4	004FB060 C call -> CPanelTy::PaintBut
004FB060|local|Stack[-0x44]:4	004F8020|parameter|ECX:4 (auto)	004FB060 C call -> CPanelTy::sub_004F8020
004FB060|local|Stack[-0x44]:4	004F8020|parameter|ECX:4 (auto)	004FB060 C call -> CPanelTy::sub_004F8020
004FB060|local|Stack[-0x44]:4	004F8020|parameter|ECX:4 (auto)	004FB060 C call -> CPanelTy::sub_004F8020
004FB060|local|Stack[-0x44]:4	004F8020|parameter|ECX:4 (auto)	004FB060 C call -> CPanelTy::sub_004F8020
004FB060|local|Stack[-0x44]:4	004F8020|parameter|ECX:4 (auto)	004FB060 C call -> CPanelTy::sub_004F8020
004FB060|local|Stack[-0xc]:4	005007A0|parameter|Stack[0x8]:1	004FB060 C call -> CPanelTy::SetNewDeep
004FB060|local|Stack[-0x34]:4	004AB470|parameter|Stack[0x4]:4	004FB060 C call -> FUN_004ab470
004FB060|local|Stack[-0x38]:4	004AB470|parameter|Stack[0x8]:4	004FB060 C call -> FUN_004ab470
004FB060|local|Stack[-0x44]:4	004F80A0|parameter|ECX:4 (auto)	004FB060 C call -> CPanelTy::PaintTV
004FB060|local|Stack[-0x44]:4	004F5690|parameter|ECX:4 (auto)	004FB060 C call -> CPanelTy::InitCPanel
004FB060|local|Stack[-0x44]:4	004F7800|parameter|ECX:4 (auto)	004FB060 C call -> CPanelTy::DoneCPanel
004FB060|parameter|Stack[0x4]:4	004F3540|parameter|Stack[0x8]:4	004FB060 C call -> CPanelTy::PaintBut
004FB060|local|Stack[-0x44]:4	004F8020|parameter|ECX:4 (auto)	004FB060 C call -> CPanelTy::sub_004F8020
004FB060|parameter|Stack[0x4]:4	004F3540|parameter|Stack[0x8]:4	004FB060 C call -> CPanelTy::PaintBut
004FB060|parameter|Stack[0x4]:4	004F3540|parameter|Stack[0x8]:4	004FB060 C call -> CPanelTy::PaintBut
004FB060|parameter|Stack[0x4]:4	004F3540|parameter|Stack[0x8]:4	004FB060 C call -> CPanelTy::PaintBut
004FB060|parameter|Stack[0x4]:4	004F3540|parameter|Stack[0x8]:4	004FB060 C call -> CPanelTy::PaintBut
004FB060|local|Stack[-0x44]:4	004F8020|parameter|ECX:4 (auto)	004FB060 C call -> CPanelTy::sub_004F8020
004FB060|local|Stack[-0x44]:4	004F8020|parameter|ECX:4 (auto)	004FB060 C call -> CPanelTy::sub_004F8020
004FB060|local|Stack[-0x44]:4	004F8020|parameter|ECX:4 (auto)	004FB060 C call -> CPanelTy::sub_004F8020
004FB060|parameter|Stack[0x4]:4	006E5FD0|parameter|Stack[0x4]:4	004FB060 C call -> FUN_006e5fd0
004FE4F0|local|Stack[-0x14]:4	006B55F0|parameter|Stack[0x4]:4	004FE4F0 C call -> Library::DKW::WGR::FUN_006b55f0
004FE6C0|local|Stack[-0x8]:4	006B5440|parameter|Stack[0x4]:4	004FE6C0 C call -> FUN_006b5440
004FE6C0|local|Stack[-0x8]:4	006B5440|parameter|Stack[0x4]:4	004FE6C0 C call -> FUN_006b5440
004FF110|local|Stack[-0x8]:4	00526100|parameter|Stack[0x4]:4	004FF110 C call -> FUN_00526100
004FF110|local|Stack[-0x8]:4	00526100|parameter|Stack[0x4]:4	004FF110 C call -> FUN_00526100
004FF110|local|Stack[-0x8]:4	00526100|parameter|Stack[0x4]:4	004FF110 C call -> FUN_00526100
004FF380|local|Stack[-0x16]:4	006B5A50|parameter|ECX:4	004FF380 C call -> FUN_006b5a50
005007A0|local|Stack[-0xc]:4	00540760|parameter|Stack[0x4]:4	005007A0 C call -> DibPut
00501D00|parameter|ECX:4 (auto)	00502360|parameter|ECX:4 (auto)	00501D00 C call -> CPanelTy::SetControlBoat
00501D00|parameter|ECX:4 (auto)	00503450|parameter|ECX:4 (auto)	00501D00 C call -> CPanelTy::SetControlBoatSI
00501D00|parameter|ECX:4 (auto)	006E6080|parameter|ECX:4 (auto)	00501D00 C call -> FUN_006e6080
00501D00|parameter|ECX:4 (auto)	004F17D0|parameter|ECX:4 (auto)	00501D00 C call -> CPanelTy::sub_004F17D0
00501D00|parameter|ECX:4 (auto)	004F1610|parameter|ECX:4 (auto)	00501D00 C call -> CPanelTy::sub_004F1610
00501D00|parameter|ECX:4 (auto)	004F1610|parameter|ECX:4 (auto)	00501D00 C call -> CPanelTy::sub_004F1610
00501D00|parameter|ECX:4 (auto)	006E6080|parameter|ECX:4 (auto)	00501D00 C call -> FUN_006e6080
00501D00|parameter|ECX:4 (auto)	004F17D0|parameter|ECX:4 (auto)	00501D00 C call -> CPanelTy::sub_004F17D0
00501D00|parameter|ECX:4 (auto)	004F1610|parameter|ECX:4 (auto)	00501D00 C call -> CPanelTy::sub_004F1610
00501D00|parameter|ECX:4 (auto)	004F4570|parameter|ECX:4 (auto)	00501D00 C call -> CPanelTy::sub_004F4570
00501D00|parameter|Stack[0x4]:4	004F4570|parameter|Stack[0x8]:4	00501D00 C call -> CPanelTy::sub_004F4570
00501D00|parameter|Stack[0x8]:4	004F4570|parameter|Stack[0xc]:4	00501D00 C call -> CPanelTy::sub_004F4570
00501D00|parameter|ECX:4 (auto)	006E6080|parameter|ECX:4 (auto)	00501D00 C call -> FUN_006e6080
00501D00|parameter|ECX:4 (auto)	006E6080|parameter|ECX:4 (auto)	00501D00 C call -> FUN_006e6080
00502360|local|Stack[-0xc]:4	004F17D0|parameter|Stack[0x8]:1	00502360 C call -> CPanelTy::sub_004F17D0
00502360|local|Stack[-0x10]:4	004F2E40|parameter|Stack[0xc]:4	00502360 C call -> CPanelTy::SetButStruct
00502360|local|Stack[-0x10]:4	004F3130|parameter|Stack[0xc]:4	00502360 C call -> CPanelTy::CreateBut
00502360|local|Stack[-0x8]:4	004F3130|parameter|Stack[0x10]:4	00502360 C call -> CPanelTy::CreateBut
00503450|local|Stack[-0xc]:4	004F17D0|parameter|Stack[0x8]:1	00503450 C call -> CPanelTy::sub_004F17D0
00503450|local|Stack[-0x14]:4	004F2E40|parameter|Stack[0xc]:4	00503450 C call -> CPanelTy::SetButStruct
00503450|local|Stack[-0x8]:4	004F2E40|parameter|Stack[0x14]:4	00503450 C call -> CPanelTy::SetButStruct
00503450|local|Stack[-0x1c]:4	004F3130|parameter|Stack[0x1c]:4	00503450 C call -> CPanelTy::CreateBut
00503BB0|local|Stack[-0x10]:4	004F8020|parameter|ECX:4 (auto)	00503BB0 C call -> CPanelTy::sub_004F8020
00503BB0|local|Stack[-0x78]:1	0054EDF0|parameter|Stack[0x8]:4	00503BB0 C call -> FUN_0054edf0
00503BB0|local|Stack[-0x9c]:1	0054EDF0|parameter|Stack[0x8]:4	00503BB0 C call -> FUN_0054edf0
00504210|local|Stack[-0xc]:4	004F1D20|parameter|Stack[0x4]:4	00504210 C call -> FUN_004f1d20
00504210|parameter|Stack[0x4]:4	004F1C80|parameter|Stack[0x4]:4	00504210 C call -> FUN_004f1c80
00504210|local|Stack[-0x1c]:4	004F1C80|parameter|Stack[0x8]:4	00504210 C call -> FUN_004f1c80
005044B0|parameter|Stack[0x4]:4	00540760|parameter|Stack[0x8]:4	005044B0 C call -> DibPut
005044B0|local|Stack[-0x8]:4	006B0140|parameter|Stack[0x4]:4	005044B0 C call -> LoadResourceString
005047C0|local|Stack[-0xc]:4	004F1D90|parameter|ECX:4 (auto)	005047C0 C call -> CPanelTy::PaintDamageXY
005049A0|local|Stack[-0xc]:4	004F1F60|parameter|ECX:4 (auto)	005049A0 C call -> CPanelTy::PaintDamageXY
00505070|parameter|ECX:4 (auto)	005050B0|parameter|ECX:4 (auto)	00505070 C call -> CPanelTy::sub_005050B0
00505070|parameter|Stack[0x4]:1	005050B0|parameter|Stack[0x4]:1	00505070 C call -> CPanelTy::sub_005050B0
00505230|parameter|Stack[0x4]:4	00540760|parameter|Stack[0x8]:4	00505230 C call -> DibPut
00505230|local|Stack[-0x20]:4	00540760|parameter|Stack[0xc]:4	00505230 C call -> DibPut
00505230|local|Stack[-0x1c]:4	00540760|parameter|Stack[0x8]:4	00505230 C call -> DibPut
00505230|local|Stack[-0x20]:4	00540760|parameter|Stack[0xc]:4	00505230 C call -> DibPut
00505960|local|Stack[-0x1c]:4	00540760|parameter|Stack[0xc]:4	00505960 C call -> DibPut
00505960|local|Stack[-0x1c]:4	00710A90|parameter|Stack[0x10]:4	00505960 C call -> ccFntTy::SetSurf
00505960|local|Stack[-0xc]:4	00540760|parameter|Stack[0x8]:4	00505960 C call -> DibPut
00505960|local|Stack[-0x8]:4	00540760|parameter|Stack[0xc]:4	00505960 C call -> DibPut
005061C0|local|Stack[-0x8]:4	00529500|parameter|Stack[0x4]:4	005061C0 C call -> FUN_00529500
005061C0|local|Stack[-0x8]:4	006B0140|parameter|Stack[0x4]:4	005061C0 C call -> LoadResourceString
005061C0|local|Stack[-0x1c]:4	00540760|parameter|Stack[0x14]:4	005061C0 C call -> DibPut
005061C0|local|ESI:4	00540760|parameter|Stack[0x8]:4	005061C0 C call -> DibPut
005061C0|local|Stack[-0x1c]:4	006B55F0|parameter|Stack[0x1c]:4	005061C0 C call -> Library::DKW::WGR::FUN_006b55f0
005061C0|local|ESI:4	00540760|parameter|Stack[0x8]:4	005061C0 C call -> DibPut
00507F60|local|Stack[-0x8]:4	004F17D0|parameter|Stack[0x8]:1	00507F60 C call -> CPanelTy::sub_004F17D0
00507F60|local|Stack[-0x8]:4	004F17D0|parameter|Stack[0x8]:1	00507F60 C call -> CPanelTy::sub_004F17D0
00507F60|local|Stack[-0x14]:4	006B55F0|parameter|Stack[0x1c]:4	00507F60 C call -> Library::DKW::WGR::FUN_006b55f0
00507F60|local|Stack[-0xe4]:1	006E6080|parameter|Stack[0xc]:4	00507F60 C call -> FUN_006e6080
00507F60|local|Stack[-0x104]:1	006E6080|parameter|Stack[0xc]:4	00507F60 C call -> FUN_006e6080
005097E0|local|Stack[-0x10]:4	004F17D0|parameter|Stack[0x8]:1	005097E0 C call -> CPanelTy::sub_004F17D0
005097E0|local|Stack[-0x8]:4	004F2E40|parameter|Stack[0xc]:4	005097E0 C call -> CPanelTy::SetButStruct
005097E0|local|Stack[-0xc]:4	004F3130|parameter|Stack[0x14]:4	005097E0 C call -> CPanelTy::CreateBut
005097E0|local|Stack[-0xc]:4	00525EF0|parameter|Stack[0x8]:1	005097E0 C call -> FUN_00525ef0
005097E0|local|Stack[-0x14]:4	004F3130|parameter|Stack[0x10]:4	005097E0 C call -> CPanelTy::CreateBut
005097E0|local|Stack[-0x10]:4	004F3130|parameter|Stack[0x14]:4	005097E0 C call -> CPanelTy::CreateBut
005097E0|local|Stack[-0x14]:4	004F3130|parameter|Stack[0x10]:4	005097E0 C call -> CPanelTy::CreateBut
0050C620|local|Stack[-0xc]:4	004F17D0|parameter|Stack[0x8]:1	0050C620 C call -> CPanelTy::sub_004F17D0
0050C620|local|Stack[-0xc]:4	004F17D0|parameter|Stack[0x8]:1	0050C620 C call -> CPanelTy::sub_004F17D0
0050C620|local|Stack[-0x120]:1	006E6080|parameter|Stack[0xc]:4	0050C620 C call -> FUN_006e6080
0050C620|local|Stack[-0xe0]:1	006E6080|parameter|Stack[0xc]:4	0050C620 C call -> FUN_006e6080
0050C620|local|Stack[-0xc]:4	00540760|parameter|Stack[0x8]:4	0050C620 C call -> DibPut
0050C620|local|Stack[-0xc]:4	00540760|parameter|Stack[0x8]:4	0050C620 C call -> DibPut
0050C620|local|Stack[-0x100]:1	006E6080|parameter|Stack[0xc]:4	0050C620 C call -> FUN_006e6080
0050C620|local|Stack[-0x140]:1	006E6080|parameter|Stack[0xc]:4	0050C620 C call -> FUN_006e6080
0050E7D0|local|Stack[-0x18]:4	004F17D0|parameter|Stack[0x8]:1	0050E7D0 C call -> CPanelTy::sub_004F17D0
0050E7D0|local|Stack[-0xc]:4	004F2E40|parameter|Stack[0xc]:4	0050E7D0 C call -> CPanelTy::SetButStruct
0050E7D0|local|Stack[-0x8]:4	00525EF0|parameter|Stack[0x8]:1	0050E7D0 C call -> FUN_00525ef0
0050F430|local|Stack[-0x44]:4	004F8020|parameter|ECX:4 (auto)	0050F430 C call -> CPanelTy::sub_004F8020
00510370|parameter|ECX:4 (auto)	0053EA50|parameter|ECX:4 (auto)	00510370 C call -> SpecPanelTy::ShiftControls
00510370|parameter|Stack[0x4]:4	0053EA50|parameter|Stack[0x4]:4	00510370 C call -> SpecPanelTy::ShiftControls
005105E0|parameter|Stack[0x8]:4	006F2C00|parameter|Stack[0x4]:4	005105E0 C call -> FUN_006f2c00
005105E0|local|Stack[-0x8]:4	006F2C00|parameter|Stack[0xc]:4	005105E0 C call -> FUN_006f2c00
005105E0|local|Stack[-0x18]:4	00540760|parameter|Stack[0x8]:4	005105E0 C call -> DibPut
005105E0|local|Stack[-0x10]:4	00540760|parameter|Stack[0xc]:4	005105E0 C call -> DibPut
005105E0|local|Stack[-0xc]:4	00540760|parameter|Stack[0x14]:4	005105E0 C call -> DibPut
005107C0|local|Stack[-0x8]:4	0053EB70|parameter|ECX:4 (auto)	005107C0 C call -> SpecPanelTy::GetMessage
005107C0|parameter|Stack[0x4]:4	0053EB70|parameter|Stack[0x4]:4	005107C0 C call -> SpecPanelTy::GetMessage
005107C0|local|Stack[-0x1c]:4	0054EDF0|parameter|Stack[0x8]:4	005107C0 C call -> FUN_0054edf0
005107C0|parameter|Stack[0x4]:4	005105E0|parameter|Stack[0x4]:4	005107C0 C call -> FrmPanelTy::PaintBut
00510C80|parameter|ECX:4	006E5FB0|parameter|ECX:4 (auto)	00510C80 C call -> sub_006E5FB0
00510E30|local|Stack[-0x14]:4	0072E620|parameter|Stack[0x8]:4	00510E30 C call -> Library::MSVCRT::__strcmpi
00510E30|local|Stack[-0x8]:4	006B0CD0|parameter|Stack[0xc]:4	00510E30 C call -> FUN_006b0cd0
00510E30|local|EAX:4	006B50C0|parameter|Stack[0x10]:4	00510E30 C call -> FUN_006b50c0
00510E30|local|EAX:4	006B50C0|parameter|Stack[0x10]:4	00510E30 C call -> FUN_006b50c0
00511AB0|local|EAX:4	006B50C0|parameter|Stack[0x10]:4	00511AB0 C call -> FUN_006b50c0
00511C70|local|Stack[-0x8]:4	006E6080|parameter|ECX:4 (auto)	00511C70 C call -> FUN_006e6080
00513BC0|local|Stack[-0x8]:4	00517A50|parameter|ECX:4 (auto)	00513BC0 C call -> HelpPanelTy::RCProc
00513BC0|local|Stack[-0x8]:4	0051A100|parameter|ECX:4 (auto)	00513BC0 C call -> HelpPanelTy::ObjProc
00513BC0|local|Stack[-0x8]:4	00518C20|parameter|ECX:4 (auto)	00513BC0 C call -> HelpPanelTy::SubProc
00513BC0|local|Stack[-0x8]:4	0051B5A0|parameter|ECX:4 (auto)	00513BC0 C call -> HelpPanelTy::ArmProc
00513BC0|local|Stack[-0x8]:4	00516A40|parameter|ECX:4 (auto)	00513BC0 C call -> HelpPanelTy::TechProc
00513BC0|local|Stack[-0x8]:4	00516480|parameter|ECX:4 (auto)	00513BC0 C call -> HelpPanelTy::TTreeProc
00513BC0|local|Stack[-0x8]:4	00516300|parameter|ECX:4 (auto)	00513BC0 C call -> HelpPanelTy::MObjProc
00513BC0|local|Stack[-0x8]:4	0051D540|parameter|ECX:4 (auto)	00513BC0 C call -> HelpPanelTy::TipProc
00513BC0|local|Stack[-0x8]:4	00513A40|parameter|ECX:4 (auto)	00513BC0 C call -> HelpPanelTy::IndexBut
00513BC0|local|Stack[-0x8]:4	0051C980|parameter|ECX:4 (auto)	00513BC0 C call -> HelpPanelTy::SpecProc
00513BC0|local|Stack[-0x8]:4	0051D360|parameter|ECX:4 (auto)	00513BC0 C call -> HelpPanelTy::NatProc
00513BC0|local|Stack[-0x8]:4	00513030|parameter|ECX:4 (auto)	00513BC0 C call -> HelpPanelTy::ChangeTree
00513FA0|local|Stack[-0x8]:4	00517A50|parameter|ECX:4 (auto)	00513FA0 C call -> HelpPanelTy::RCProc
00513FA0|local|Stack[-0x8]:4	0051A100|parameter|ECX:4 (auto)	00513FA0 C call -> HelpPanelTy::ObjProc
00513FA0|local|Stack[-0x8]:4	00518C20|parameter|ECX:4 (auto)	00513FA0 C call -> HelpPanelTy::SubProc
00513FA0|local|Stack[-0x8]:4	0051B5A0|parameter|ECX:4 (auto)	00513FA0 C call -> HelpPanelTy::ArmProc
00513FA0|local|Stack[-0x8]:4	00516A40|parameter|ECX:4 (auto)	00513FA0 C call -> HelpPanelTy::TechProc
00513FA0|local|Stack[-0x8]:4	00516480|parameter|ECX:4 (auto)	00513FA0 C call -> HelpPanelTy::TTreeProc
00513FA0|local|Stack[-0x8]:4	00516300|parameter|ECX:4 (auto)	00513FA0 C call -> HelpPanelTy::MObjProc
00513FA0|local|Stack[-0x8]:4	0051D540|parameter|ECX:4 (auto)	00513FA0 C call -> HelpPanelTy::TipProc
00513FA0|local|Stack[-0x8]:4	00513A40|parameter|ECX:4 (auto)	00513FA0 C call -> HelpPanelTy::IndexBut
00513FA0|local|Stack[-0x8]:4	0051C980|parameter|ECX:4 (auto)	00513FA0 C call -> HelpPanelTy::SpecProc
00513FA0|local|Stack[-0x8]:4	0051D360|parameter|ECX:4 (auto)	00513FA0 C call -> HelpPanelTy::NatProc
00513FA0|local|Stack[-0x8]:4	00513030|parameter|ECX:4 (auto)	00513FA0 C call -> HelpPanelTy::ChangeTree
00514330|local|Stack[-0x8]:4	005135F0|parameter|ECX:4 (auto)	00514330 C call -> HelpPanelTy::HomeBut
00514330|local|Stack[-0x8]:4	00517A50|parameter|ECX:4 (auto)	00514330 C call -> HelpPanelTy::RCProc
00514330|local|Stack[-0x8]:4	0051A100|parameter|ECX:4 (auto)	00514330 C call -> HelpPanelTy::ObjProc
00514330|local|Stack[-0x8]:4	00518C20|parameter|ECX:4 (auto)	00514330 C call -> HelpPanelTy::SubProc
00514330|local|Stack[-0x8]:4	0051B5A0|parameter|ECX:4 (auto)	00514330 C call -> HelpPanelTy::ArmProc
00514330|local|Stack[-0x8]:4	00516A40|parameter|ECX:4 (auto)	00514330 C call -> HelpPanelTy::TechProc
00514330|local|Stack[-0x8]:4	00516480|parameter|ECX:4 (auto)	00514330 C call -> HelpPanelTy::TTreeProc
00514330|local|Stack[-0x8]:4	00516300|parameter|ECX:4 (auto)	00514330 C call -> HelpPanelTy::MObjProc
00514330|local|Stack[-0x8]:4	0051D540|parameter|ECX:4 (auto)	00514330 C call -> HelpPanelTy::TipProc
00514330|local|Stack[-0x8]:4	00513A40|parameter|ECX:4 (auto)	00514330 C call -> HelpPanelTy::IndexBut
00514330|local|Stack[-0x8]:4	0051C980|parameter|ECX:4 (auto)	00514330 C call -> HelpPanelTy::SpecProc
00514330|local|Stack[-0x8]:4	0051D360|parameter|ECX:4 (auto)	00514330 C call -> HelpPanelTy::NatProc
005145E0|local|Stack[-0x8]:4	005135F0|parameter|ECX:4 (auto)	005145E0 C call -> HelpPanelTy::HomeBut
005145E0|local|Stack[-0x8]:4	00517A50|parameter|ECX:4 (auto)	005145E0 C call -> HelpPanelTy::RCProc
005145E0|local|Stack[-0x8]:4	0051A100|parameter|ECX:4 (auto)	005145E0 C call -> HelpPanelTy::ObjProc
005145E0|local|Stack[-0x8]:4	00518C20|parameter|ECX:4 (auto)	005145E0 C call -> HelpPanelTy::SubProc
005145E0|local|Stack[-0x8]:4	0051B5A0|parameter|ECX:4 (auto)	005145E0 C call -> HelpPanelTy::ArmProc
005145E0|local|Stack[-0x8]:4	00516A40|parameter|ECX:4 (auto)	005145E0 C call -> HelpPanelTy::TechProc
005145E0|local|Stack[-0x8]:4	00516480|parameter|ECX:4 (auto)	005145E0 C call -> HelpPanelTy::TTreeProc
005145E0|local|Stack[-0x8]:4	00516300|parameter|ECX:4 (auto)	005145E0 C call -> HelpPanelTy::MObjProc
005145E0|local|Stack[-0x8]:4	0051D540|parameter|ECX:4 (auto)	005145E0 C call -> HelpPanelTy::TipProc
005145E0|local|Stack[-0x8]:4	00513A40|parameter|ECX:4 (auto)	005145E0 C call -> HelpPanelTy::IndexBut
005145E0|local|Stack[-0x8]:4	0051C980|parameter|ECX:4 (auto)	005145E0 C call -> HelpPanelTy::SpecProc
005145E0|local|Stack[-0x8]:4	0051D360|parameter|ECX:4 (auto)	005145E0 C call -> HelpPanelTy::NatProc
005148A0|parameter|ECX:4 (auto)	00513030|parameter|ECX:4 (auto)	005148A0 C call -> HelpPanelTy::ChangeTree
005148A0|parameter|ECX:4 (auto)	005148A0|parameter|ECX:4 (auto)	005148A0 C call -> HelpPanelTy::sub_005148A0
005149B0|local|Stack[-0x8]:4	005148A0|parameter|ECX:4 (auto)	005149B0 C call -> HelpPanelTy::sub_005148A0
00514BC0|parameter|ECX:4 (auto)	00517A50|parameter|ECX:4 (auto)	00514BC0 C call -> HelpPanelTy::RCProc
00514BC0|parameter|ECX:4 (auto)	0051A100|parameter|ECX:4 (auto)	00514BC0 C call -> HelpPanelTy::ObjProc
00514BC0|parameter|ECX:4 (auto)	00518C20|parameter|ECX:4 (auto)	00514BC0 C call -> HelpPanelTy::SubProc
00514BC0|parameter|ECX:4 (auto)	0051B5A0|parameter|ECX:4 (auto)	00514BC0 C call -> HelpPanelTy::ArmProc
00514BC0|parameter|ECX:4 (auto)	00516A40|parameter|ECX:4 (auto)	00514BC0 C call -> HelpPanelTy::TechProc
00514BC0|parameter|ECX:4 (auto)	00516480|parameter|ECX:4 (auto)	00514BC0 C call -> HelpPanelTy::TTreeProc
00514BC0|parameter|ECX:4 (auto)	00516300|parameter|ECX:4 (auto)	00514BC0 C call -> HelpPanelTy::MObjProc
00514BC0|parameter|ECX:4 (auto)	0051D540|parameter|ECX:4 (auto)	00514BC0 C call -> HelpPanelTy::TipProc
00514BC0|parameter|ECX:4 (auto)	00513A40|parameter|ECX:4 (auto)	00514BC0 C call -> HelpPanelTy::IndexBut
00514BC0|parameter|ECX:4 (auto)	0051C980|parameter|ECX:4 (auto)	00514BC0 C call -> HelpPanelTy::SpecProc
00514BC0|parameter|ECX:4 (auto)	0051D360|parameter|ECX:4 (auto)	00514BC0 C call -> HelpPanelTy::NatProc
00514BC0|parameter|ECX:4 (auto)	005149B0|parameter|ECX:4 (auto)	00514BC0 C call -> HelpPanelTy::LinkAct
00514BC0|parameter|ECX:4 (auto)	005134B0|parameter|ECX:4 (auto)	00514BC0 C call -> HelpPanelTy::PutToSHlp
00515180|parameter|ECX:4 (auto)	00517A50|parameter|ECX:4 (auto)	00515180 C call -> HelpPanelTy::RCProc
00515180|parameter|ECX:4 (auto)	0051A100|parameter|ECX:4 (auto)	00515180 C call -> HelpPanelTy::ObjProc
00515180|parameter|ECX:4 (auto)	00518C20|parameter|ECX:4 (auto)	00515180 C call -> HelpPanelTy::SubProc
00515180|parameter|ECX:4 (auto)	0051B5A0|parameter|ECX:4 (auto)	00515180 C call -> HelpPanelTy::ArmProc
00515180|parameter|ECX:4 (auto)	00516A40|parameter|ECX:4 (auto)	00515180 C call -> HelpPanelTy::TechProc
00515180|parameter|ECX:4 (auto)	00516480|parameter|ECX:4 (auto)	00515180 C call -> HelpPanelTy::TTreeProc
00515180|parameter|ECX:4 (auto)	00514F10|parameter|ECX:4 (auto)	00515180 C call -> HelpPanelTy::PrepMissObj
00515180|parameter|ECX:4 (auto)	0051D540|parameter|ECX:4 (auto)	00515180 C call -> HelpPanelTy::TipProc
00515180|parameter|ECX:4 (auto)	0051C980|parameter|ECX:4 (auto)	00515180 C call -> HelpPanelTy::SpecProc
00515180|parameter|ECX:4 (auto)	0051D360|parameter|ECX:4 (auto)	00515180 C call -> HelpPanelTy::NatProc
00515310|local|Stack[-0x8]:4	00710A90|parameter|Stack[0x10]:4	00515310 C call -> ccFntTy::SetSurf
00515310|parameter|Stack[0x4]:4	006B0140|parameter|Stack[0x4]:4	00515310 C call -> LoadResourceString
00515310|local|Stack[-0x8]:4	00710A90|parameter|Stack[0x10]:4	00515310 C call -> ccFntTy::SetSurf
00515310|local|Stack[-0x8]:4	00710A90|parameter|Stack[0x10]:4	00515310 C call -> ccFntTy::SetSurf
00515310|parameter|Stack[0xc]:4	006B0140|parameter|Stack[0x4]:4	00515310 C call -> LoadResourceString
00515650|parameter|Stack[0xc]:1	0044C130|parameter|Stack[0x4]:4	00515650 C call -> STAllPlayersC::GetTOBJImage
00515650|parameter|Stack[0x8]:4	0044C130|parameter|Stack[0x8]:4	00515650 C call -> STAllPlayersC::GetTOBJImage
00515650|local|Stack[-0x14]:4	006B55F0|parameter|Stack[0x24]:4	00515650 C call -> Library::DKW::WGR::FUN_006b55f0
00515650|local|Stack[-0xc]:4	006B55F0|parameter|Stack[0x28]:4	00515650 C call -> Library::DKW::WGR::FUN_006b55f0
00515650|local|Stack[-0x8]:4	006B5440|parameter|Stack[0x14]:4	00515650 C call -> FUN_006b5440
00515650|parameter|Stack[0x8]:4	00526BA0|parameter|Stack[0x4]:4	00515650 C call -> FUN_00526ba0
00515650|parameter|Stack[0xc]:1	00526BA0|parameter|Stack[0x8]:1	00515650 C call -> FUN_00526ba0
00515650|parameter|Stack[0x10]:4	0070B3A0|parameter|Stack[0x4]:4	00515650 C call -> FUN_0070b3a0
00515650|local|Stack[-0x8]:4	00540760|parameter|Stack[0x14]:4	00515650 C call -> DibPut
00515900|parameter|Stack[0x4]:4	00710A90|parameter|Stack[0xc]:4	00515900 C call -> ccFntTy::SetSurf
00515C00|parameter|Stack[0x8]:4	006B0140|parameter|Stack[0x4]:4	00515C00 C call -> LoadResourceString
00516A40|parameter|Stack[0x8]:1	00528060|parameter|Stack[0x8]:1	00516A40 C call -> FUN_00528060
00516A40|parameter|Stack[0x8]:1	005276E0|parameter|Stack[0x8]:1	00516A40 C call -> FUN_005276e0
00516A40|local|Stack[-0x8]:4	00710A90|parameter|Stack[0x10]:4	00516A40 C call -> ccFntTy::SetSurf
00516A40|local|Stack[-0x8]:4	00710A90|parameter|Stack[0x10]:4	00516A40 C call -> ccFntTy::SetSurf
00516A40|parameter|Stack[0x4]:4	004E5910|parameter|Stack[0x8]:4	00516A40 C call -> FUN_004e5910
00516A40|parameter|Stack[0x4]:4	004E6140|parameter|Stack[0x8]:4	00516A40 C call -> FUN_004e6140
00516A40|parameter|Stack[0x4]:4	004E6140|parameter|Stack[0x8]:4	00516A40 C call -> FUN_004e6140
00516A40|parameter|Stack[0x4]:4	004E60D0|parameter|Stack[0x8]:4	00516A40 C call -> FUN_004e60d0
00516A40|parameter|Stack[0x4]:4	004E5F90|parameter|Stack[0x8]:4	00516A40 C call -> FUN_004e5f90
00516A40|parameter|Stack[0x4]:4	004E5CC0|parameter|Stack[0x8]:4	00516A40 C call -> FUN_004e5cc0
00516A40|local|Stack[-0x38]:4	004E5CC0|parameter|Stack[0xc]:4	00516A40 C call -> FUN_004e5cc0
00516A40|parameter|Stack[0x4]:4	004E6140|parameter|Stack[0x8]:4	00516A40 C call -> FUN_004e6140
00516A40|parameter|Stack[0x4]:4	004E60D0|parameter|Stack[0x8]:4	00516A40 C call -> FUN_004e60d0
00516A40|parameter|Stack[0x4]:4	004E7F20|parameter|Stack[0x8]:4	00516A40 C call -> FUN_004e7f20
00516A40|parameter|Stack[0x8]:1	004E7F20|parameter|Stack[0xc]:4	00516A40 C call -> FUN_004e7f20
