source_target	destination_target	site
0040CE20|parameter|Stack[0x8]:4	00497920|parameter|Stack[0x4]:4	0040CE20 C call -> FUN_00497920
0040CE20|parameter|Stack[0x8]:4	00497920|parameter|Stack[0x4]:4	0040CE20 C call -> FUN_00497920
0040CE20|parameter|Stack[0x8]:4	00497920|parameter|Stack[0x4]:4	0040CE20 C call -> FUN_00497920
0040CE20|parameter|Stack[0x8]:4	00497920|parameter|Stack[0x4]:4	0040CE20 C call -> FUN_00497920
0040CE20|parameter|Stack[0x8]:4	00497920|parameter|Stack[0x4]:4	0040CE20 C call -> FUN_00497920
0040CE20|parameter|Stack[0x8]:4	00497920|parameter|Stack[0x4]:4	0040CE20 C call -> FUN_00497920
0040CE20|parameter|Stack[0x8]:4	00497920|parameter|Stack[0x4]:4	0040CE20 C call -> FUN_00497920
0040D540|parameter|Stack[0x4]:4	00423E70|parameter|ECX:4 (auto)	0040D540 C call -> FUN_00423e70
0040D540|parameter|Stack[0x8]:4	00423E70|parameter|Stack[0x4]:2	0040D540 C call -> FUN_00423e70
0040D540|parameter|Stack[0x4]:4	00423E70|parameter|ECX:4 (auto)	0040D540 C call -> FUN_00423e70
0040D540|parameter|Stack[0x4]:4	0040CE20|parameter|Stack[0x4]:4	0040D540 C call -> FUN_0040ce20
0040D540|parameter|Stack[0x4]:4	0040CE20|parameter|Stack[0x4]:4	0040D540 C call -> FUN_0040ce20
0040E0F0|local|Stack[-0x24]:4	0040F4D0|parameter|Stack[0x4]:4	0040E0F0 C call -> FUN_0040f4d0
0040E0F0|local|Stack[-0x40]:4	0040F4D0|parameter|Stack[0xc]:4	0040E0F0 C call -> FUN_0040f4d0
0040E0F0|local|Stack[-0x40]:4	0040F840|parameter|Stack[0xc]:4	0040E0F0 C call -> FUN_0040f840
0040E0F0|local|Stack[-0x48]:4	0040F270|parameter|Stack[0x4]:4	0040E0F0 C call -> FUN_0040f270
0040E0F0|local|Stack[-0x54]:4	0040F270|parameter|Stack[0xc]:4	0040E0F0 C call -> FUN_0040f270
0040F270|parameter|Stack[0x1c]:4	006AADD0|parameter|Stack[0x10]:4	0040F270 C call -> FUN_006aadd0
0040F270|parameter|Stack[0x20]:4	006AADD0|parameter|Stack[0x14]:4	0040F270 C call -> FUN_006aadd0
0040F270|parameter|Stack[0x24]:4	006AADD0|parameter|Stack[0x18]:4	0040F270 C call -> FUN_006aadd0
0040F270|parameter|Stack[0x10]:4	006AADD0|parameter|Stack[0x10]:4	0040F270 C call -> FUN_006aadd0
0040F270|parameter|Stack[0x14]:4	006AADD0|parameter|Stack[0x14]:4	0040F270 C call -> FUN_006aadd0
0040F270|parameter|Stack[0x18]:4	006AADD0|parameter|Stack[0x18]:4	0040F270 C call -> FUN_006aadd0
0040FC40|local|Stack[-0x5c]:4	0040F4D0|parameter|Stack[0xc]:4	0040FC40 C call -> FUN_0040f4d0
0040FC40|local|Stack[-0x5c]:4	0040F840|parameter|Stack[0xc]:4	0040FC40 C call -> FUN_0040f840
00410DC0|parameter|Stack[0x4]:4	0040FC40|parameter|Stack[0x4]:4	00410DC0 C call -> FUN_0040fc40
00410DC0|parameter|Stack[0x8]:4	0040FC40|parameter|Stack[0x8]:4	00410DC0 C call -> FUN_0040fc40
00410DC0|parameter|Stack[0xc]:4	0040FC40|parameter|Stack[0xc]:4	00410DC0 C call -> FUN_0040fc40
00410DC0|parameter|Stack[0x10]:4	0040FC40|parameter|Stack[0x10]:4	00410DC0 C call -> FUN_0040fc40
00410DC0|parameter|Stack[0x14]:4	0040FC40|parameter|Stack[0x14]:4	00410DC0 C call -> FUN_0040fc40
00410DC0|parameter|Stack[0x4]:4	0040FC40|parameter|Stack[0x4]:4	00410DC0 C call -> FUN_0040fc40
00410DC0|parameter|Stack[0x8]:4	0040FC40|parameter|Stack[0x8]:4	00410DC0 C call -> FUN_0040fc40
00410DC0|parameter|Stack[0xc]:4	0040FC40|parameter|Stack[0xc]:4	00410DC0 C call -> FUN_0040fc40
00410DC0|parameter|Stack[0x14]:4	0040FC40|parameter|Stack[0x14]:4	00410DC0 C call -> FUN_0040fc40
00410DC0|local|Stack[-0x8]:4	0040FC40|parameter|Stack[0x4]:4	00410DC0 C call -> FUN_0040fc40
00410DC0|local|Stack[-0xc]:4	0040FC40|parameter|Stack[0x8]:4	00410DC0 C call -> FUN_0040fc40
00410DC0|parameter|Stack[0xc]:4	0040FC40|parameter|Stack[0xc]:4	00410DC0 C call -> FUN_0040fc40
00410DC0|parameter|Stack[0x14]:4	0040FC40|parameter|Stack[0x14]:4	00410DC0 C call -> FUN_0040fc40
00410DC0|local|Stack[-0x8]:4	0040FC40|parameter|Stack[0x4]:4	00410DC0 C call -> FUN_0040fc40
00410DC0|local|Stack[-0xc]:4	0040FC40|parameter|Stack[0x8]:4	00410DC0 C call -> FUN_0040fc40
00410DC0|parameter|Stack[0xc]:4	0040FC40|parameter|Stack[0xc]:4	00410DC0 C call -> FUN_0040fc40
00410DC0|parameter|Stack[0x14]:4	0040FC40|parameter|Stack[0x14]:4	00410DC0 C call -> FUN_0040fc40
00411260|local|Stack[-0x64]:4	00411CF0|parameter|Stack[0x8]:4	00411260 C call -> FUN_00411cf0
00411260|local|Stack[-0x24]:4	0040F4D0|parameter|Stack[0x4]:4	00411260 C call -> FUN_0040f4d0
00411260|local|EAX:4	0040F4D0|parameter|Stack[0x8]:4	00411260 C call -> FUN_0040f4d0
00411260|local|Stack[-0x4c]:4	0040F4D0|parameter|Stack[0xc]:4	00411260 C call -> FUN_0040f4d0
00411260|local|Stack[-0x24]:4	0040F840|parameter|Stack[0x4]:4	00411260 C call -> FUN_0040f840
00411260|local|EAX:4	0040F840|parameter|Stack[0x8]:4	00411260 C call -> FUN_0040f840
00411260|local|Stack[-0x4c]:4	0040F840|parameter|Stack[0xc]:4	00411260 C call -> FUN_0040f840
00411260|local|Stack[-0x54]:4	006ACF50|parameter|Stack[0x4]:4	00411260 C call -> Library::DKW::LIB::MemRealloc
00411260|local|Stack[-0x54]:4	00411CF0|parameter|Stack[0x4]:4	00411260 C call -> FUN_00411cf0
00411260|local|Stack[-0x64]:4	00411CF0|parameter|Stack[0x8]:4	00411260 C call -> FUN_00411cf0
00411260|local|Stack[-0x54]:4	006A5E90|parameter|Stack[0x4]:4	00411260 C call -> FUN_006a5e90
00411E50|local|Stack[-0x58]:4	00411CF0|parameter|Stack[0x4]:4	00411E50 C call -> FUN_00411cf0
00411E50|local|Stack[-0x68]:4	00411CF0|parameter|Stack[0x8]:4	00411E50 C call -> FUN_00411cf0
00411E50|local|Stack[-0x28]:4	0040F4D0|parameter|Stack[0x4]:4	00411E50 C call -> FUN_0040f4d0
00411E50|local|Stack[-0x24]:4	0040F4D0|parameter|Stack[0x8]:4	00411E50 C call -> FUN_0040f4d0
00411E50|local|Stack[-0x50]:4	0040F4D0|parameter|Stack[0xc]:4	00411E50 C call -> FUN_0040f4d0
00411E50|local|Stack[-0x28]:4	0040F840|parameter|Stack[0x4]:4	00411E50 C call -> FUN_0040f840
00411E50|local|Stack[-0x24]:4	0040F840|parameter|Stack[0x8]:4	00411E50 C call -> FUN_0040f840
00411E50|local|Stack[-0x50]:4	0040F840|parameter|Stack[0xc]:4	00411E50 C call -> FUN_0040f840
00411E50|local|Stack[-0x58]:4	006ACF50|parameter|Stack[0x4]:4	00411E50 C call -> Library::DKW::LIB::MemRealloc
00411E50|local|Stack[-0x58]:4	00411CF0|parameter|Stack[0x4]:4	00411E50 C call -> FUN_00411cf0
00411E50|local|Stack[-0x68]:4	00411CF0|parameter|Stack[0x8]:4	00411E50 C call -> FUN_00411cf0
00411E50|local|Stack[-0x58]:4	006A5E90|parameter|Stack[0x4]:4	00411E50 C call -> FUN_006a5e90
00412960|parameter|Stack[0x4]:4	00412DE0|parameter|Stack[0x4]:4	00412960 C call -> FUN_00412de0
00412960|parameter|Stack[0x8]:4	00412DE0|parameter|Stack[0x8]:4	00412960 C call -> FUN_00412de0
00412960|parameter|Stack[0xc]:4	00412DE0|parameter|Stack[0xc]:4	00412960 C call -> FUN_00412de0
00412960|parameter|Stack[0x4]:4	00412B80|parameter|Stack[0x4]:4	00412960 C call -> FUN_00412b80
00412960|parameter|Stack[0x8]:4	00412B80|parameter|Stack[0x8]:4	00412960 C call -> FUN_00412b80
00412960|parameter|Stack[0xc]:4	00412B80|parameter|Stack[0xc]:4	00412960 C call -> FUN_00412b80
00413050|parameter|Stack[0x8]:4	00413170|parameter|Stack[0x8]:4	00413050 C call -> FUN_00413170
00413050|parameter|Stack[0xc]:4	00413170|parameter|Stack[0xc]:4	00413050 C call -> FUN_00413170
00413050|parameter|Stack[0x10]:4	00413170|parameter|Stack[0x10]:4	00413050 C call -> FUN_00413170
00413AF0|parameter|Stack[0x4]:4	00423E70|parameter|ECX:4 (auto)	00413AF0 C call -> FUN_00423e70
00413AF0|parameter|Stack[0x4]:4	00423E70|parameter|ECX:4 (auto)	00413AF0 C call -> FUN_00423e70
00413AF0|parameter|Stack[0x4]:4	00423E70|parameter|ECX:4 (auto)	00413AF0 C call -> FUN_00423e70
00413AF0|parameter|Stack[0xc]:4	006AD0B0|parameter|Stack[0xc]:4	00413AF0 C call -> FUN_006ad0b0
00413AF0|parameter|Stack[0x10]:4	006AD0B0|parameter|Stack[0x10]:4	00413AF0 C call -> FUN_006ad0b0
00413AF0|parameter|Stack[0xc]:4	0040E0F0|parameter|Stack[0x4]:4	00413AF0 C call -> FUN_0040e0f0
