owner	type_path	status	typed_fields	named_fields	detail
STJellyManC	/STJellyManC	updated	0	0	6 fields; length=531; updated unchanged generated structure
STJumpMineC	/STJumpMineC	applied	0	0	26 fields; length=337; replaced placeholder structure
STLBombC	/STLBombC	unchanged	0	0	14 fields; length=600
STLightC	/STLightC	applied	0	0	13 fields; length=176; replaced placeholder structure
STMBombC	/STMBombC	unchanged	0	0	4 fields; length=627
STManBasisC	/STManBasisC	applied	0	0	7 fields; length=72; replaced placeholder structure
STManRub3C	/STManRub3C	applied	0	0	5 fields; length=184; replaced placeholder structure
STManRuinC	/STManRuinC	applied	0	0	10 fields; length=117; replaced placeholder structure
STMineSetC	/STMineSetC	updated	0	0	26 fields; length=871; updated unchanged generated structure
STOctopusC	/STOctopusC	updated	0	0	31 fields; length=685; updated unchanged generated structure
STParticleC	/STParticleC	applied	0	0	21 fields; length=264; replaced placeholder structure
STPlaySystemC	/STPlaySystemC	updated	1	0	43 fields; length=248; updated unchanged generated structure
STResourceC	/STResourceC	unchanged	0	0	2 fields; length=605
STRubbishC	/STRubbishC	updated	0	0	10 fields; length=510; updated unchanged generated structure
STSatC	/STSatC	unchanged	0	0	7 fields; length=585
STSharkC	/STSharkC	updated	0	0	22 fields; length=639; updated unchanged generated structure
STSprGameObjC	/STSprGameObjC	updated	0	0	25 fields; length=783; updated unchanged generated structure
STT3DSprC	/STT3DSprC	updated	0	0	18 fields; length=64; updated unchanged generated structure
STTeamLissagC	/STTeamLissagC	applied	0	0	8 fields; length=45; replaced placeholder structure
STTmMineC	/STTmMineC	applied	0	0	16 fields; length=879; replaced placeholder structure
STTorpC	/STTorpC	applied	0	0	17 fields; length=642; replaced placeholder structure
STVolcanoC	/STVolcanoC	applied	0	0	15 fields; length=181; replaced placeholder structure
SettMapMTy	/SettMapMTy	updated	2	0	76 fields; length=8773; updated unchanged generated structure
SettMapSTy	/SettMapSTy	updated	0	0	37 fields; length=8680; updated unchanged generated structure
SettMapTy	/SettMapTy	updated	5	0	99 fields; length=8700; updated unchanged generated structure
SliderClassTy	/SliderClassTy	applied	0	0	17 fields; length=100; replaced placeholder structure
SndUnderAttMenegC	/SndUnderAttMenegC	applied	0	0	9 fields; length=61; replaced placeholder structure
SoundClassTy	/SoundClassTy	applied	0	0	14 fields; length=4341; replaced placeholder structure
SoundManagerTy	/SoundManagerTy	updated	0	0	7 fields; length=61; updated unchanged generated structure
SpecPanelTy	/SpecPanelTy	updated	1	0	18 fields; length=397; updated unchanged generated structure
SpriteClassTy	/SpriteClassTy	updated	0	0	30 fields; length=145; updated unchanged generated structure
StartSystemTy	/StartSystemTy	updated	2	0	106 fields; length=1718; updated unchanged generated structure
SystemClassTy	/SystemClassTy	disabled	0	0	apply=0
SystemWithNamedObjClassTy	/SystemWithNamedObjClassTy	unchanged	0	0	2 fields; length=36
TLOBaseTy	/TLOBaseTy	updated	0	0	63 fields; length=1571; updated unchanged generated structure
TLOEmbryoTy	/TLOEmbryoTy	applied	2	0	36 fields; length=884; replaced placeholder structure
TLOFakeTy	/TLOFakeTy	updated	0	0	5 fields; length=593; updated unchanged generated structure
TabClassTy	/TabClassTy	applied	0	0	13 fields; length=120; replaced placeholder structure
TrackbarClassTy	/TrackbarClassTy	applied	0	0	23 fields; length=412; replaced placeholder structure
TradePanelTy	/TradePanelTy	updated	2	0	25 fields; length=481; updated unchanged generated structure
TraksClassTy	/TraksClassTy	applied	0	0	4 fields; length=2092; replaced placeholder structure
UPanelTy	/UPanelTy	updated	0	0	8 fields; length=108; updated unchanged generated structure
UpgPanelTy	/UpgPanelTy	updated	0	0	11 fields; length=1015; updated unchanged generated structure
ViewerClassTy	/ViewerClassTy	applied	0	0	32 fields; length=504; replaced placeholder structure
Visible	/Visible	applied	0	0	17 fields; length=280; replaced placeholder structure
VisibleClassTy	/VisibleClassTy	applied	0	0	22 fields; length=476; replaced placeholder structure
WaitTy	/WaitTy	updated	4	0	31 fields; length=6916; updated unchanged generated structure
cLoadingTy	/cLoadingTy	applied	1	0	21 fields; length=92; replaced placeholder structure
cMf32	/cMf32	applied	0	0	3 fields; length=48; replaced placeholder structure
cTypingTy	/cTypingTy	applied	0	0	26 fields; length=180; replaced placeholder structure
ccFntTy	/ccFntTy	applied	0	0	23 fields; length=176; replaced placeholder structure
