apply	function_address	function_name	parameter_ordinal	expected_name	expected_storage	expected_type	expected_source	proposed_type	shape_id	confidence	reason
0	00586AF0	FUN_00586af0	0	param_1	ECX:4	pointer:/int	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_00586AF0_P0	CallableReceiver_00586AF0_P0	review	receiver family is not dense enough for a persistent structural view; sites=2; slots=1; exact_extent=678
0	00589740	FUN_00589740	0	param_1	ECX:4	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredRecordView_00589740_39D83294	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_00589740_P0	CallableReceiver_00589740_P0	review	receiver family is not dense enough for a persistent structural view; concrete parameter type preserved; sites=1; slots=1; exact_extent=632
0	0058A9E0	FUN_0058a9e0	0	param_1	ECX:4	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredRecordView_0058A9E0_0338C9E5	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_0058A9E0_P0	CallableReceiver_0058A9E0_P0	review	receiver family is not dense enough for a persistent structural view; concrete parameter type preserved; sites=1; slots=1; exact_extent=679
0	0058BD90	FUN_0058bd90	0	param_1	ECX:4	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredRecordView_0058BD90_5921842F	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_0058BD90_P0	CallableReceiver_0058BD90_P0	review	receiver family is not dense enough for a persistent structural view; concrete parameter type preserved; sites=1; slots=1; exact_extent=627
0	005C5CA0	FUN_005c5ca0	0	param_1	ECX:4	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredRecordView_005C5CA0_616D4596	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_005C5CA0_P0	CallableReceiver_005C5CA0_P0	review	receiver family is not dense enough for a persistent structural view; concrete parameter type preserved; sites=1; slots=1; exact_extent=8543
0	005EDA50	FUN_005eda50	0	param_1	ECX:4	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredRecordView_005EDA50_CEB6238A	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_005EDA50_P0	CallableReceiver_005EDA50_P0	review	receiver family is not dense enough for a persistent structural view; concrete parameter type preserved; sites=2; slots=2; exact_extent=746
0	005EDC20	FUN_005edc20	0	param_1	ECX:4	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredRecordView_005EDC20_AE493B38	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_005EDC20_P0	CallableReceiver_005EDC20_P0	review	receiver family is not dense enough for a persistent structural view; concrete parameter type preserved; sites=2; slots=2; exact_extent=712
0	005F04B0	FUN_005f04b0	1	param_1	Stack[0x4]:4	pointer:/int	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_005F04B0_P1	CallableReceiver_005F04B0_P1	review	receiver family is not dense enough for a persistent structural view; sites=1; slots=1; exact_extent=52
0	005F0E20	FUN_005f0e20	2	param_2	Stack[0x8]:4	pointer:/int	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_005F0E20_P2	CallableReceiver_005F0E20_P2	review	receiver family is not dense enough for a persistent structural view; sites=2; slots=1; exact_extent=38
0	0060BD30	FUN_0060bd30	1	param_1	Stack[0x4]:4	pointer:/undefined4	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_0060BD30_P1	CallableReceiver_0060BD30_P1	review	receiver family is not dense enough for a persistent structural view; sites=1; slots=1; exact_extent=26
